ts,value,counter_name,t_s
1284780294641,545068544.0,Clocks / Second,0.0
1284780299016,100.0,GPU % Bus Busy,4.375e-06
1284780301047,0.0,% Vertex Fetch Stall,6.406e-06
1284780302506,0.0,% Texture Fetch Stall,7.865e-06
1284780305527,0.0,L1 Texture Cache Miss Per Pixel,1.0886e-05
1284780307089,0.0,% Texture L2 Miss,1.2448e-05
1284780309016,0.0,% Stalled on System Memory,1.4375e-05
1284780310475,0.0,Pre-clipped Polygons/Second,1.5834e-05
1284780312402,0.0,% Prims Trivially Rejected,1.7761e-05
1284780314537,0.0,% Prims Clipped,1.9896e-05
1284780316152,0.0,Average Vertices / Polygon,2.1511e-05
1284780318027,0.0,Reused Vertices / Second,2.3386e-05
1284780319485,0.0,Average Polygon Area,2.4844e-05
1284780320995,0.0,% Shaders Busy,2.6354e-05
1284780322766,0.0,Vertices Shaded / Second,2.8125e-05
1284780324745,0.0,Fragments Shaded / Second,3.0104e-05
1284780326100,0.0,Vertex Instructions / Second,3.1459e-05
1284780327610,0.0,Fragment Instructions / Second,3.2969e-05
1284780329172,0.0,Fragment ALU Instructions / Sec (Full),3.4531e-05
1284780330787,0.0,Fragment ALU Instructions / Sec (Half),3.6146e-05
1284780332245,0.0,Fragment EFU Instructions / Second,3.7604e-05
1284780333652,0.0,Textures / Vertex,3.9011e-05
1284780335214,0.0,Textures / Fragment,4.0573e-05
1284780336672,0.0,ALU / Vertex,4.2031e-05
1284780338183,0.0,ALU / Fragment,4.3542e-05
1284780339589,0.0,EFU / Fragment,4.4948e-05
1284780346672,0.0,EFU / Vertex,5.2031e-05
1284780348495,0.0,% Time Shading Fragments,5.3854e-05
1284780350058,0.0,% Time Shading Vertices,5.5417e-05
1284780351568,0.0,% Time Compute,5.6927e-05
1284780353079,0.0,% Shader ALU Capacity Utilized,5.8438e-05
1284780354485,0.0,% Time ALUs Working,5.9844e-05
1284780355995,0.0,% Time EFUs Working,6.1354e-05
1284780359277,0.0,% Nearest Filtered,6.4636e-05
1284780360787,0.0,% Linear Filtered,6.6146e-05
1284780362141,0.0,% Anisotropic Filtered,6.75e-05
1284780363704,0.0,% Non-Base Level Textures,6.9063e-05
1284780365318,0.0,Read Total (Bytes/sec),7.0677e-05
1284780366881,149879.765625,Write Total (Bytes/sec),7.224e-05
1284780368964,0.0,Texture Memory Read BW (Bytes/Second),7.4323e-05
1284780370579,0.0,Vertex Memory Read (Bytes/Second),7.5938e-05
1284780372297,0.0,SP Memory Read (Bytes/Second),7.7656e-05
1284780373756,0.0,Avg Bytes / Fragment,7.9115e-05
1284780375214,0.0,Avg Bytes / Vertex,8.0573e-05
1284780376672,0.0,Preemptions / second,8.2031e-05
1284780378027,0.0,Avg Preemption Delay,8.3386e-05
1284780379589,545000000.0,GPU Frequency,8.4948e-05
1284781794537,544973632.0,Clocks / Second,0.001499896
1284781798027,100.0,GPU % Bus Busy,0.001503386
1284781798808,0.0,% Vertex Fetch Stall,0.001504167
1284781799329,0.0,% Texture Fetch Stall,0.001504688
1284781800058,0.0,L1 Texture Cache Miss Per Pixel,0.001505417
1284781800735,0.0,% Texture L2 Miss,0.001506094
