ts,value,counter_name,t_s
1427683428200,545224384.0,Clocks / Second,0.0
1427683434971,100.0,GPU % Bus Busy,6.771e-06
1427683438773,0.0,% Vertex Fetch Stall,1.0573e-05
1427683440596,0.0,% Texture Fetch Stall,1.2396e-05
1427683443304,-1.0,L1 Texture Cache Miss Per Pixel,1.5104e-05
1427683445752,0.0,% Texture L2 Miss,1.7552e-05
1427683447835,0.0,% Stalled on System Memory,1.9635e-05
1427683449450,0.0,Pre-clipped Polygons/Second,2.125e-05
1427683451064,0.0,% Prims Trivially Rejected,2.2864e-05
1427683452939,0.0,% Prims Clipped,2.4739e-05
1427683454346,0.0,Average Vertices / Polygon,2.6146e-05
1427683456012,0.0,Reused Vertices / Second,2.7812e-05
1427683457627,-1.0,Average Polygon Area,2.9427e-05
1427683459242,0.0,% Shaders Busy,3.1042e-05
1427683460804,0.0,Vertices Shaded / Second,3.2604e-05
1427683462523,-1.0,Fragments Shaded / Second,3.4323e-05
1427683463929,-1.0,Vertex Instructions / Second,3.5729e-05
1427683465544,-1.0,Fragment Instructions / Second,3.7344e-05
1427683466898,-1.0,Fragment ALU Instructions / Sec (Full),3.8698e-05
1427683468565,-1.0,Fragment ALU Instructions / Sec (Half),4.0365e-05
1427683470023,-1.0,Fragment EFU Instructions / Second,4.1823e-05
1427683471481,-1.0,Textures / Vertex,4.3281e-05
1427683473148,-1.0,Textures / Fragment,4.4948e-05
1427683474710,-1.0,ALU / Vertex,4.651e-05
1427683476117,-1.0,ALU / Fragment,4.7917e-05
1427683477575,-1.0,EFU / Fragment,4.9375e-05
1427683486846,-1.0,EFU / Vertex,5.8646e-05
1427683488460,0.0,% Time Shading Fragments,6.026e-05
1427683490023,0.0,% Time Shading Vertices,6.1823e-05
1427683491377,0.0,% Time Compute,6.3177e-05
1427683492940,0.0,% Shader ALU Capacity Utilized,6.474e-05
1427683494398,0.0,% Time ALUs Working,6.6198e-05
1427683496221,0.0,% Time EFUs Working,6.8021e-05
1427683500231,0.0,% Nearest Filtered,7.2031e-05
1427683501950,0.0,% Linear Filtered,7.375e-05
1427683503460,0.0,% Anisotropic Filtered,7.526e-05
1427683504919,0.0,% Non-Base Level Textures,7.6719e-05
1427683506846,0.0,Read Total (Bytes/sec),7.8646e-05
1427683508617,152283.828125,Write Total (Bytes/sec),8.0417e-05
1427683510387,0.0,Texture Memory Read BW (Bytes/Second),8.2187e-05
1427683511898,0.0,Vertex Memory Read (Bytes/Second),8.3698e-05
1427683513408,0.0,SP Memory Read (Bytes/Second),8.5208e-05
1427683514867,-1.0,Avg Bytes / Fragment,8.6667e-05
1427683516429,0.0,Avg Bytes / Vertex,8.8229e-05
1427683518044,0.0,Preemptions / second,8.9844e-05
1427683519554,0.0,Avg Preemption Delay,9.1354e-05
1427683521012,545000000.0,GPU Frequency,9.2812e-05
1427684798929,544799232.0,Clocks / Second,0.001370729
1427684800596,100.0,GPU % Bus Busy,0.001372396
1427684801273,0.0,% Vertex Fetch Stall,0.001373073
1427684801846,0.0,% Texture Fetch Stall,0.001373646
1427684802523,-1.0,L1 Texture Cache Miss Per Pixel,0.001374323
1427684803148,0.0,% Texture L2 Miss,0.001374948
1427684803877,0.0,% Stalled on System Memory,0.001375677
1427684804502,0.0,Pre-clipped Polygons/Second,0.001376302
1427684805127,0.0,% Prims Trivially Rejected,0.001376927
1427684805752,0.0,% Prims Clipped,0.001377552
1427684806221,0.0,Average Vertices / Polygon,0.001378021
1427684806638,0.0,Reused Vertices / Second,0.001378438
1427684807002,-1.0,Average Polygon Area,0.001378802
1427684807367,0.0,% Shaders Busy,0.001379167
1427684807731,0.0,Vertices Shaded / Second,0.001379531
1427684808148,-1.0,Fragments Shaded / Second,0.001379948
1427684808513,-1.0,Vertex Instructions / Second,0.001380313
1427684808877,-1.0,Fragment Instructions / Second,0.001380677
1427684809190,-1.0,Fragment ALU Instructions / Sec (Full),0.00138099
1427684809554,-1.0,Fragment ALU Instructions / Sec (Half),0.001381354
1427684809919,-1.0,Fragment EFU Instructions / Second,0.001381719
1427684810283,-1.0,Textures / Vertex,0.001382083
