ts,value,counter_name,t_s
182490143570392,24.509668350219727,application_prediction_milliseconds,0.0
182490143932215,0.0,stale_frames_per_second,0.000361823
182490143934715,0.0,last_used_foveation_level,0.000364323
182490143937788,1.0,application_layer_count,0.000367396
182490143939976,7951.0,app_vss_mb,0.000369584
182490143942215,371.0,app_rss_mb,0.000371823
182490143943622,69.0,app_uss_mb,0.00037323
182490143944924,0.20251679420471191,app_gpu_ms,0.000374532
182490277859312,545016512.0,Clocks / Second,0.13428892
182490277864573,100.0,GPU % Bus Busy,0.134294181
182490277867281,0.0,% Vertex Fetch Stall,0.134296889
182490277869208,0.0,% Texture Fetch Stall,0.134298816
182490277872281,0.0,L1 Texture Cache Miss Per Pixel,0.134301889
182490277873948,0.0,% Texture L2 Miss,0.134303556
182490277876708,0.0,% Stalled on System Memory,0.134306316
182490277878323,0.0,Pre-clipped Polygons/Second,0.134307931
182490277880041,0.0,% Prims Trivially Rejected,0.134309649
182490277881760,0.0,% Prims Clipped,0.134311368
182490277883531,0.0,Average Vertices / Polygon,0.134313139
182490277885145,0.0,Reused Vertices / Second,0.134314753
182490277887020,0.0,Average Polygon Area,0.134316628
182490277888583,0.0,% Shaders Busy,0.134318191
182490277891708,0.0,Vertices Shaded / Second,0.134321316
182490277894364,0.0,Fragments Shaded / Second,0.134323972
182490277896760,0.0,Vertex Instructions / Second,0.134326368
182490277899208,0.0,Fragment Instructions / Second,0.134328816
182490277901031,0.0,Fragment ALU Instructions / Sec (Full),0.134330639
182490277902854,0.0,Fragment ALU Instructions / Sec (Half),0.134332462
182490277904468,0.0,Fragment EFU Instructions / Second,0.134334076
182490277906135,0.0,Textures / Vertex,0.134335743
182490277907958,0.0,Textures / Fragment,0.134337566
182490277909677,0.0,ALU / Vertex,0.134339285
182490277911395,0.0,ALU / Fragment,0.134341003
182490277912854,0.0,EFU / Fragment,0.134342462
182490277924208,0.0,EFU / Vertex,0.134353816
182490277926500,0.0,% Time Shading Fragments,0.134356108
182490277928166,0.0,% Time Shading Vertices,0.134357774
182490277929677,0.0,% Time Compute,0.134359285
182490277931864,0.0,% Shader ALU Capacity Utilized,0.134361472
182490277933270,0.0,% Time ALUs Working,0.134362878
182490277934781,0.0,% Time EFUs Working,0.134364389
182490277937750,0.0,% Nearest Filtered,0.134367358
182490277939416,0.0,% Linear Filtered,0.134369024
182490277941135,0.0,% Anisotropic Filtered,0.134370743
182490277942645,0.0,% Non-Base Level Textures,0.134372253
182490277944625,0.0,Read Total (Bytes/sec),0.134374233
182490277946604,139781.59375,Write Total (Bytes/sec),0.134376212
182490277948479,0.0,Texture Memory Read BW (Bytes/Second),0.134378087
182490277973166,0.0,Vertex Memory Read (Bytes/Second),0.134402774
182490277975770,0.0,SP Memory Read (Bytes/Second),0.134405378
182490277978270,0.0,Avg Bytes / Fragment,0.134407878
182490277979937,0.0,Avg Bytes / Vertex,0.134409545
182490277981552,0.0,Preemptions / second,0.13441116
