ts,value,counter_name,t_s
182108029075556,545156544.0,Clocks / Second,0.0
182108029080556,27.161348342895508,GPU % Bus Busy,5e-06
182108029083681,0.9630239009857178,% Vertex Fetch Stall,8.125e-06
182108029085660,24.15300178527832,% Texture Fetch Stall,1.0104e-05
182108029088941,0.26377689838409424,L1 Texture Cache Miss Per Pixel,1.3385e-05
182108029091025,23.348865509033203,% Texture L2 Miss,1.5469e-05
182108029094671,0.13923004269599915,% Stalled on System Memory,1.9115e-05
182108029096858,31776500.0,Pre-clipped Polygons/Second,2.1302e-05
182108029098577,50.5631217956543,% Prims Trivially Rejected,2.3021e-05
182108029100608,1.580156922340393,% Prims Clipped,2.5052e-05
182108029102483,1.0380414724349976,Average Vertices / Polygon,2.6927e-05
182108029104462,62387628.0,Reused Vertices / Second,2.8906e-05
182108029106858,318.0422058105469,Average Polygon Area,3.1302e-05
182108029108629,0.0,% Shaders Busy,3.3073e-05
182108029111546,32985328.0,Vertices Shaded / Second,3.599e-05
182108029114358,4853227520.0,Fragments Shaded / Second,3.8802e-05
182108029116389,5168214528.0,Vertex Instructions / Second,4.0833e-05
182108029118368,282807271424.0,Fragment Instructions / Second,4.2812e-05
182108029120764,143014019072.0,Fragment ALU Instructions / Sec (Full),4.5208e-05
182108029122743,248625463296.0,Fragment ALU Instructions / Sec (Half),4.7187e-05
182108029124410,15480522752.0,Fragment EFU Instructions / Second,4.8854e-05
182108029126650,0.6229507923126221,Textures / Vertex,5.1094e-05
182108029128681,-1.0,Textures / Fragment,5.3125e-05
182108029130712,150.7747344970703,ALU / Vertex,5.5156e-05
182108029132587,48.0073356628418,ALU / Fragment,5.7031e-05
182108029134306,2.780038595199585,EFU / Fragment,5.875e-05
182108029145348,5.907494068145752,EFU / Vertex,6.9792e-05
182108029147743,0.0,% Time Shading Fragments,7.2187e-05
182108029150243,0.0,% Time Shading Vertices,7.4687e-05
182108029152014,0.0,% Time Compute,7.6458e-05
182108029154306,0.0,% Shader ALU Capacity Utilized,7.875e-05
182108029156337,0.0,% Time ALUs Working,8.0781e-05
182108029158160,0.0,% Time EFUs Working,8.2604e-05
182108029161702,0.0,% Nearest Filtered,8.6146e-05
182108029163525,0.0,% Linear Filtered,8.7969e-05
182108029165452,0.0,% Anisotropic Filtered,8.9896e-05
182108029167691,0.0,% Non-Base Level Textures,9.2135e-05
182108029169462,2285334784.0,Read Total (Bytes/sec),9.3906e-05
182108029171962,3119527424.0,Write Total (Bytes/sec),9.6406e-05
182108029174098,1901059456.0,Texture Memory Read BW (Bytes/Second),9.8542e-05
182108029176546,186981232.0,Vertex Memory Read (Bytes/Second),0.00010099
182108029178473,4055573.0,SP Memory Read (Bytes/Second),0.000102917
182108029180556,0.3417626917362213,Avg Bytes / Fragment,0.000105
182108029182431,5.668618202209473,Avg Bytes / Vertex,0.000106875
182108029184462,0.0,Preemptions / second,0.000108906
182108029187066,0.0,Avg Preemption Delay,0.00011151
182108029188785,545000000.0,GPU Frequency,0.000113229
182108030616285,545159232.0,Clocks / Second,0.001540729
182108030622431,28.156494140625,GPU % Bus Busy,0.001546875
182108030623473,1.915814757347107,% Vertex Fetch Stall,0.001547917
182108030624306,27.958309173583984,% Texture Fetch Stall,0.00154875
182108030625973,0.2491438388824463,L1 Texture Cache Miss Per Pixel,0.001550417
182108030626598,26.62450408935547,% Texture L2 Miss,0.001551042
182108030627119,0.01007215864956379,% Stalled on System Memory,0.001551563
182108030627587,17530784.0,Pre-clipped Polygons/Second,0.001552031
182108030628108,47.138919830322266,% Prims Trivially Rejected,0.001552552
182108030628629,1.8833256959915161,% Prims Clipped,0.001553073
182108030629046,1.0348776578903198,Average Vertices / Polygon,0.00155349
182108030629671,34491552.0,Reused Vertices / Second,0.001554115
182108030630139,308.119873046875,Average Polygon Area,0.001554583
182108030630556,0.0,% Shaders Busy,0.001555
182108030631129,18142216.0,Vertices Shaded / Second,0.001555573
182108030631650,2805888512.0,Fragments Shaded / Second,0.001556094
182108030632223,2730095104.0,Vertex Instructions / Second,0.001556667
182108030632744,168336326656.0,Fragment Instructions / Second,0.001557188
182108030633160,85005672448.0,Fragment ALU Instructions / Sec (Full),0.001557604
182108030633577,145811423232.0,Fragment ALU Instructions / Sec (Half),0.001558021
182108030634098,10424935424.0,Fragment EFU Instructions / Second,0.001558542
182108030634567,0.828255295753479,Textures / Vertex,0.001559011
182108030635035,-1.0,Textures / Fragment,0.001559479
182108030635556,144.40773010253906,ALU / Vertex,0.00156
182108030636077,48.89693069458008,ALU / Fragment,0.001560521
182108030636598,3.2280592918395996,EFU / Fragment,0.001561042
182108030637014,6.075267314910889,EFU / Vertex,0.001561458
182108030637692,0.0,% Time Shading Fragments,0.001562136
182108030638160,0.0,% Time Shading Vertices,0.001562604
182108030638629,0.0,% Time Compute,0.001563073
182108030639046,0.0,% Shader ALU Capacity Utilized,0.00156349
182108030639514,0.0,% Time ALUs Working,0.001563958
