ts,value,counter_name,t_s
182250936692553,545022592.0,Clocks / Second,0.0
182250936698334,100.0,GPU % Bus Busy,5.781e-06
182250936701094,0.0,% Vertex Fetch Stall,8.541e-06
182250936703021,0.0,% Texture Fetch Stall,1.0468e-05
182250936706355,-1.0,L1 Texture Cache Miss Per Pixel,1.3802e-05
182250936708751,0.0,% Texture L2 Miss,1.6198e-05
182250936711823,0.0,% Stalled on System Memory,1.927e-05
182250936713907,0.0,Pre-clipped Polygons/Second,2.1354e-05
182250936715782,0.0,% Prims Trivially Rejected,2.3229e-05
182250936717865,0.0,% Prims Clipped,2.5312e-05
182250936719636,0.0,Average Vertices / Polygon,2.7083e-05
182250936721667,0.0,Reused Vertices / Second,2.9114e-05
182250936724480,-1.0,Average Polygon Area,3.1927e-05
182250936726355,0.0,% Shaders Busy,3.3802e-05
182250936729376,0.0,Vertices Shaded / Second,3.6823e-05
182250936731980,-1.0,Fragments Shaded / Second,3.9427e-05
182250936733855,-1.0,Vertex Instructions / Second,4.1302e-05
182250936735678,-1.0,Fragment Instructions / Second,4.3125e-05
182250936738073,-1.0,Fragment ALU Instructions / Sec (Full),4.552e-05
182250936739896,-1.0,Fragment ALU Instructions / Sec (Half),4.7343e-05
182250936741563,-1.0,Fragment EFU Instructions / Second,4.901e-05
182250936743698,-1.0,Textures / Vertex,5.1145e-05
182250936745730,-1.0,Textures / Fragment,5.3177e-05
182250936747813,-1.0,ALU / Vertex,5.526e-05
182250936749740,-1.0,ALU / Fragment,5.7187e-05
182250936751563,-1.0,EFU / Fragment,5.901e-05
182250936761198,-1.0,EFU / Vertex,6.8645e-05
182250936763334,0.0,% Time Shading Fragments,7.0781e-05
182250936765938,0.0,% Time Shading Vertices,7.3385e-05
182250936767813,0.0,% Time Compute,7.526e-05
182250936770313,0.0,% Shader ALU Capacity Utilized,7.776e-05
182250936772240,0.0,% Time ALUs Working,7.9687e-05
182250936774115,0.0,% Time EFUs Working,8.1562e-05
182250936777657,0.0,% Nearest Filtered,8.5104e-05
182250936779636,0.0,% Linear Filtered,8.7083e-05
182250936781667,0.0,% Anisotropic Filtered,8.9114e-05
182250936783751,0.0,% Non-Base Level Textures,9.1198e-05
182250936785573,0.0,Read Total (Bytes/sec),9.302e-05
182250936787657,139754.34375,Write Total (Bytes/sec),9.5104e-05
182250936789688,0.0,Texture Memory Read BW (Bytes/Second),9.7135e-05
182250936791563,0.0,Vertex Memory Read (Bytes/Second),9.901e-05
182250936793646,0.0,SP Memory Read (Bytes/Second),0.000101093
182250936795469,-1.0,Avg Bytes / Fragment,0.000102916
182250936797188,0.0,Avg Bytes / Vertex,0.000104635
182250936799428,0.0,Preemptions / second,0.000106875
182250936801615,0.0,Avg Preemption Delay,0.000109062
182250936803490,545000000.0,GPU Frequency,0.000110937
182250938192084,544923520.0,Clocks / Second,0.001499531
182250938196303,100.0,GPU % Bus Busy,0.00150375
182250938197292,0.0,% Vertex Fetch Stall,0.001504739
182250938198022,0.0,% Texture Fetch Stall,0.001505469
182250938198907,-1.0,L1 Texture Cache Miss Per Pixel,0.001506354
182250938199636,0.0,% Texture L2 Miss,0.001507083
182250938200313,0.0,% Stalled on System Memory,0.00150776
182250938200990,0.0,Pre-clipped Polygons/Second,0.001508437
182250938201772,0.0,% Prims Trivially Rejected,0.001509219
182250938202501,0.0,% Prims Clipped,0.001509948
182250938203334,0.0,Average Vertices / Polygon,0.001510781
182250938204167,0.0,Reused Vertices / Second,0.001511614
182250938204949,-1.0,Average Polygon Area,0.001512396
182250938205522,0.0,% Shaders Busy,0.001512969
182250938205990,0.0,Vertices Shaded / Second,0.001513437
182250938206719,-1.0,Fragments Shaded / Second,0.001514166
182250938207344,-1.0,Vertex Instructions / Second,0.001514791
182250938207813,-1.0,Fragment Instructions / Second,0.00151526
182250938208334,-1.0,Fragment ALU Instructions / Sec (Full),0.001515781
182250938208751,-1.0,Fragment ALU Instructions / Sec (Half),0.001516198
182250938209219,-1.0,Fragment EFU Instructions / Second,0.001516666
182250938209688,-1.0,Textures / Vertex,0.001517135
182250938210157,-1.0,Textures / Fragment,0.001517604
182250938210574,-1.0,ALU / Vertex,0.001518021
182250938211459,-1.0,ALU / Fragment,0.001518906
182250938211928,-1.0,EFU / Fragment,0.001519375
182250938212397,-1.0,EFU / Vertex,0.001519844
182250938212969,0.0,% Time Shading Fragments,0.001520416
182250938213386,0.0,% Time Shading Vertices,0.001520833
182250938213907,0.0,% Time Compute,0.001521354
182250938214376,0.0,% Shader ALU Capacity Utilized,0.001521823
182250938214792,0.0,% Time ALUs Working,0.001522239
182250938215313,0.0,% Time EFUs Working,0.00152276
182250938215938,0.0,% Nearest Filtered,0.001523385
182250938216407,0.0,% Linear Filtered,0.001523854
182250938216876,0.0,% Anisotropic Filtered,0.001524323
182250938217397,0.0,% Non-Base Level Textures,0.001524844
182250938217865,0.0,Read Total (Bytes/sec),0.001525312
182250938218334,131153.9375,Write Total (Bytes/sec),0.001525781
182250938218803,0.0,Texture Memory Read BW (Bytes/Second),0.00152625
182250938219324,0.0,Vertex Memory Read (Bytes/Second),0.001526771
182250938219792,0.0,SP Memory Read (Bytes/Second),0.001527239
182250938220313,-1.0,Avg Bytes / Fragment,0.00152776
182250938220782,0.0,Avg Bytes / Vertex,0.001528229
182250938221303,0.0,Preemptions / second,0.00152875
182250938221772,0.0,Avg Preemption Delay,0.001529219
182250938222240,545000000.0,GPU Frequency,0.001529687
182250939658490,545222592.0,Clocks / Second,0.002965937
182250939670470,22.067407608032227,GPU % Bus Busy,0.002977917
182250939671824,0.873220682144165,% Vertex Fetch Stall,0.002979271
182250939672293,0.0,% Texture Fetch Stall,0.00297974
182250939673230,-1.0,L1 Texture Cache Miss Per Pixel,0.002980677
182250939673699,26.71923828125,% Texture L2 Miss,0.002981146
182250939674168,0.729777991771698,% Stalled on System Memory,0.002981615
182250939674897,21816382.0,Pre-clipped Polygons/Second,0.002982344
182250939675678,59.45085144042969,% Prims Trivially Rejected,0.002983125
182250939676095,1.5735490322113037,% Prims Clipped,0.002983542
182250939676563,1.126966953277588,Average Vertices / Polygon,0.00298401
182250939677397,47346424.0,Reused Vertices / Second,0.002984844
182250939677813,-1.0,Average Polygon Area,0.00298526
182250939678230,0.0,% Shaders Busy,0.002985677
182250939678907,24586340.0,Vertices Shaded / Second,0.002986354
182250939679636,-1.0,Fragments Shaded / Second,0.002987083
182250939680574,-1.0,Vertex Instructions / Second,0.002988021
182250939681147,-1.0,Fragment Instructions / Second,0.002988594
182250939681876,-1.0,Fragment ALU Instructions / Sec (Full),0.002989323
182250939682293,-1.0,Fragment ALU Instructions / Sec (Half),0.00298974
182250939682709,-1.0,Fragment EFU Instructions / Second,0.002990156
182250939683126,-1.0,Textures / Vertex,0.002990573
182250939683595,-1.0,Textures / Fragment,0.002991042
182250939684063,-1.0,ALU / Vertex,0.00299151
182250939684740,-1.0,ALU / Fragment,0.002992187
182250939685209,-1.0,EFU / Fragment,0.002992656
182250939685678,-1.0,EFU / Vertex,0.002993125
182250939686147,0.0,% Time Shading Fragments,0.002993594
182250939686615,0.0,% Time Shading Vertices,0.002994062
182250939687084,0.0,% Time Compute,0.002994531
