Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,13.332890510559082,11.978530883789062,0.30597639083862305,0.4353064298629761,8.416302680969238,19.091197967529297,20.184068083763123,0.11922155320644377,5.68572998046875,6.926750183105469,20.105775833129883,5.817488670349121,23.801218032836914,1.1987812519073486,0.2382521880790591,16.372894287109375,41.87793731689453,67.3858413696289,0.27412939071655273,0.12362121045589447,1.8063766956329346,0.1082892045378685,544944592.0,0.9343241453170777,1.8322069644927979,34532909056.0,42561761280.0,3185030656.0,58998820864.0,717803840.0,55.5126228928566,545000000.0,0.0726095288991928,4106285.0,93.34162902832033,447792992.5,8788944.606201172,1385936.5,367470304.0,0.2678191959857941,0.27368465065956116,787239552.0,32533666.0,4505124.106201172,364938479.4238281,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.01,26.2680298941476,16.404382978166854,0.30597639083862305,1.1791797373443842,23.34299223763602,33.48309169496809,38.00034230095999,0.14690783510533426,10.062858309064593,11.116641453334264,34.52006769180298,9.19012131861278,41.27791050502232,15.864946467535836,0.3440498672425747,27.000313350132533,102.91098349434989,173.08562360491072,0.47942209243774414,0.1553479220185961,5.137657301766532,0.11016269241060529,544993060.5714285,1.4341730730874198,3.9221787580421994,63324965156.57143,81644219830.85715,5553258203.428572,109700331227.42857,1450289042.2857144,40.422798786844524,545000000.0,0.11288786360195703,9205706.92857143,50.756055559430806,737176674.2857143,14448556.303850446,2463147.3214285714,573745901.7142857,0.44560870102473665,0.6224346927234105,1393707538.2857144,59059679.428571425,8452902.94670759,1078051410.3214285,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.02,35.11583273751395,21.694555010114396,0.8319652282765934,1.3091497250965662,13.285267421177455,43.65496608189174,45.97329602922712,0.01828770638842666,12.758655820574079,15.11309106009347,44.85355922154018,12.058743068150111,55.25384630475725,1.8890104634421212,0.35841890185007025,36.409828186035156,73.47521100725446,228.68436540876115,0.452642402877765,0.21679851838520595,3.084772382463728,0.06293299794197083,544980626.2857143,1.916151659829276,3.1498891285487582,83938116754.28572,107125718454.85715,7444123282.285714,144945098166.85715,1881947209.142857,57.584536688668386,545000000.0,0.1539797484874725,8816476.339285715,51.86946323939733,938583620.5714285,17391398.54143415,2867295.526785714,790291163.4285715,0.5920011060578483,0.4372586863381522,1633809664.0,65988290.28571428,9088967.398577008,1266409735.0714285,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.03,22.99243450164795,14.47102952003479,0.37992528080940247,1.0196727074217051,20.922868728637695,29.33925759792328,32.42478233575821,0.05389841657597571,8.420372724533081,9.673682928085327,30.334760665893555,8.027981013059616,36.07831573486328,13.921683639287949,0.33582439343445003,23.592729091644287,88.78005409240723,148.241792678833,0.41327326744794846,0.14471404626965523,4.165906727313995,0.15464183315634727,544963592.0,1.2466261386871338,3.341061729937792,51429049344.0,65951293440.0,4535949696.0,88940646400.0,1163595072.0,47.15929727256298,545000000.0,0.10279622673988342,8016281.90625,89.38094711303711,637249460.0,12929991.032958984,2437822.578125,491315624.0,0.39194002747535706,0.4412142410874367,1231679784.0,53005326.0,7499485.673583984,796410064.4316406,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.04,8.117152622767858,6.168561662946429,0.37992528080940247,0.3324416032327073,18.362861360822404,11.829315321786064,13.087191155978612,0.001064821079905543,3.474956512451172,3.8054632459368025,12.27903972353254,3.220996135047504,13.714464460100446,14.856963975088936,0.11818279751709528,9.276870727539062,40.171927315848215,44.348397391183035,0.24969407490321568,0.05541168791907174,1.8456878662109375,0.11067985636847359,544972141.7142857,0.5155000346047538,1.1057549246719904,22871415661.714287,28816408576.0,2071565458.2857144,39351184822.85714,498941403.4285714,61.43778933797564,545000000.0,0.036504771028246195,4641758.285714285,42.18611798967634,297777735.5,6382207.851004465,1142903.0714285714,209250212.57142857,0.15014834063393728,0.15614005497523717,607853622.8571428,26463181.714285713,4051240.5652901786,379217098.45089287,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.05,38.234278996785484,28.66006024678548,0.8186848958333334,11.528393881661552,40.5320987701416,51.72512968381246,47.328666704041616,0.03198915377704125,13.272901807512556,15.18852070399693,53.78812885284424,14.896824784576893,63.8000857035319,19.53324790795644,0.40319478139281273,42.82996813456217,129.9519500732422,206.82833644321985,1.4134810268878937,0.2739639530579249,5.5831215381622314,0.21419483919938406,544948187.4285715,2.385591467221578,6.134093806147575,81688938203.42857,104399538468.57143,7260890404.571428,141149597110.85715,1832177938.2857144,28.272791538919723,545000000.0,0.15304850041866302,11428539.024623325,115.20328267415364,1136188273.0,19369770.347935267,3596767.625,899218773.3333334,0.6025082724434989,0.8892355305807931,1833593746.2857144,89971655.91666667,10954979.878348215,1465977502.75,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.06,31.687114238739014,16.225255489349365,3.075180530548096,1.0196292570659093,13.123049327305385,37.976656913757324,43.893805163247244,0.05036997156483784,11.618913786751884,13.506736482892718,38.1493558883667,9.466962099075317,48.424702644348145,1.5752975642681122,0.30894061603716444,32.53644275665283,73.4606214250837,245.9658464704241,0.4495910642934697,0.16757729928940535,3.0058794021606445,0.05503862723708153,544985444.5714285,1.4801384508609772,2.755746006965637,84644749312.0,108057826596.57143,7510037133.714286,146183697261.7143,1897977476.5714285,44.25189554691315,545000000.0,0.15215201463018144,8895157.517857144,45.96292495727539,829388080.0625,17550993.396623883,2323720.25,697751155.0,0.5778196198599679,0.4372946960585458,1648301019.4285715,58549724.0,9170246.253766742,1115359312.3359375,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.07,7.6754559108189175,6.610258374895368,3.075180530548096,0.4730395597538778,26.6509279523577,14.362040655953544,13.519286223820277,0.12097334755318503,3.348212105887277,3.9414427621024,14.957719734736852,4.006472751498222,13.517534528459823,29.339608192443848,0.17434511014393397,9.4393310546875,59.70110866001674,35.375126429966514,0.4754533852849688,0.06866210273333959,3.1071669033595493,0.061345964670181274,544937709.7142857,0.5380427156175885,1.646575199706214,24996188745.142857,30827160722.285713,2303360438.857143,42713130130.28571,532382902.85714287,61.895388330732075,545000000.0,0.04172044992446899,7053387.5,98.05664934430804,384937586.6651786,11770796.285714285,1376911.7857142857,264234386.2857143,0.14871699469430105,0.10372610603060041,1012859008.0,44389532.571428575,6847339.285714285,435594497.04910713,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.08,17.168792724609375,11.402635846819196,3.075180530548096,0.6438737264169114,19.169869899749756,22.859367030007498,27.045597008296422,0.008690885401197829,7.757545471191406,6.071994781494141,23.71086549758911,6.296996067677226,27.62908935546875,15.228053740092687,0.3463751166460237,17.917763301304408,72.70854949951172,111.62491280691964,0.369689268725259,0.10333755612373352,3.2144249507359097,0.11691643510546003,544964918.8571428,0.959045580455235,2.680339025599616,48244743021.71429,62206113499.42857,4234249801.142857,83582049133.71428,1104096329.142857,51.842014176504954,545000000.0,0.07569274732044765,6423938.857142857,48.8209228515625,991574859.4285715,8866308.138532367,2137124.0714285714,848066084.5714285,0.2999851873942784,0.4631953409739903,920457069.7142857,39398578.28571428,5505503.7099609375,771694279.8370535,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
0.09,39.321587880452476,27.303780873616535,0.7157166798909506,1.673680265744527,16.343879381815594,50.80941518147787,54.22386932373047,0.16477403013656536,15.542499860127768,17.553645451863606,52.65778350830078,14.579395294189453,64.0575065612793,2.6091603438059487,0.41323696573575336,42.70228703816732,123.59526824951172,244.37388865152994,0.6099284589290619,0.2636663466691971,5.229632377624512,0.07644533117612202,545033226.6666666,2.3124217987060547,5.473368406295776,87078141952.0,110898554197.33333,7732280661.333333,150259701077.33334,1945858880.0,49.62666988372803,545000000.0,0.17889400323232016,9121110.375,58.51161193847656,976759082.6666666,18003410.458333332,2864310.9791666665,821811605.3333334,0.6982249220212301,0.8771668076515198,1685530256.0,68747345.66666667,9397638.145833334,1313179980.2760417,1.0810099840164185,1201.0,247.0,12026.0,5.0,22.813188552856445,3054.0,1920.0,3.0,51.0,49.0,53.0,22.0,18.0,30.0,72.0,545.0,2.0,27.089375257492065,3196.0,2.0,1.0,2.468210458755493
