Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,30.097177505493164,19.902822494506836,9.076083592006139,0.979109168983996,34.100196838378906,0.11156113445758817,13.317975521087646,11.348256587982178,47.23715400695801,27.762844920158386,0.5955022722482681,-1.0,101.65828514099121,177.957275390625,0.8976223021745682,0.19755876809358597,5.378204166889191,0.20081821509769981,545048016.0,-1.0,3.8559834361076355,70771546112.0,122525356032.0,8044819456.0,140079042560.0,2379735040.0,40.83064591884613,545000000.0,0.13905578106641767,15733785.75,102.08326067243304,1214578904.375,30747211.5,3214439.875,1012159424.0,0.5232891738414766,0.39245906472206116,2475714640.0,89347223.0,16121344.5,1555504147.6914062,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.01,15.258509499686104,7.103917258126395,9.076083592006139,0.3565034866333008,7.060024806431362,0.002073789547596657,6.034642628261021,5.828314236232212,27.752090454101562,0.8193384579249791,0.14832477218338422,-1.0,20.553885323660715,161.22476196289062,0.15528594542826926,0.0723229981958866,0.7005246026175362,0.20081821509769981,544973083.4285715,-1.0,0.867067677634103,14044246454.857143,24040622372.57143,1752495534.9107144,27817053915.42857,462778930.28571427,81.9631759098598,545000000.0,0.07025908998080661,2947796.9508928573,102.08326067243304,230042294.85714287,5797397.803152902,306161.25,195097389.14285713,0.2450874192374093,0.11959238563265119,456824210.28571427,14939418.285714285,3048390.3745814734,346766871.84821427,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.02,27.438363075256348,22.747861862182617,0.3049570620059967,0.9839136078953743,20.08692169189453,0.06464259210042654,13.756351232528687,13.081158638000488,46.84260845184326,3.157392039895058,0.42079775780439377,-1.0,84.56258392333984,176.69261741638184,0.45142341405153275,0.20859057456254956,3.5839605927467346,0.20081821509769981,545008704.0,-1.0,3.782339930534363,49109826560.0,84751424000.0,5728535360.0,97214075904.0,1641120312.0,63.91459107398987,545000000.0,0.13130949437618256,10880058.0625,102.08326067243304,832602152.0,21437873.4375,1991958.390625,697070176.0,0.5257294327020645,0.6044411361217499,1707561732.0,61295391.75,11238046.296875,1109239744.4277344,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.03,24.86275863647461,17.99438422066825,0.3049570620059967,14.151673999215875,35.88978522164481,0.17335944463099753,11.110283715384346,10.472679138183594,53.34797232491629,18.080598422459193,0.7307849019499761,-1.0,88.59719412667411,166.55817304338728,0.8009997010231018,0.17115722809519088,3.254315802029201,0.20081821509769981,544947501.7142857,-1.0,2.570648653166635,51853977737.14286,89302990848.0,6084441757.142858,102589912585.14285,1729215808.5714285,40.96707047734942,545000000.0,0.1144323476723262,14212668.656808035,102.08326067243304,945705755.4285715,24715627.07254464,2749064.3214285714,739042395.4285715,0.447712779045105,0.31099419934409006,2009733178.0714285,76358851.77790178,13800279.09375,1219067891.236607,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.04,8.11581529889788,6.169898986816407,0.3049570620059967,0.2971815381731306,7.346327645438058,0.029358114515032088,4.02872439793178,3.294419424874442,13.441424778529578,0.8442893709455218,0.05606171914509365,-1.0,20.177784511021205,44.062997000558035,0.14622124603816442,0.06351081388337272,0.7987797600882394,0.20081821509769981,544994989.7142857,-1.0,0.8147293499537877,16637164397.714285,28675082532.57143,2002012452.5714285,32976718116.57143,553123072.0,89.9190731048584,545000000.0,0.04193789192608425,3748890.285714286,102.08326067243304,307912082.28571427,7416986.285714285,665489.6428571428,258219958.85714287,0.1491715226854597,0.10221667800630842,563863149.7142857,21455385.14285714,3837171.714285714,393574206.22321427,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.05,16.74432373046875,11.827104840959821,0.3049570620059967,0.3947765827178955,14.278367723737444,0.010538200448666286,8.2986398765019,7.267805916922433,26.86987849644252,1.7015502793448312,0.3188982238726957,-1.0,42.062059674944194,88.21179635184151,0.36965284177235197,0.1102040580340794,1.5244242123195104,0.20081821509769981,544994048.0,-1.0,1.7104857989719935,38824817929.82143,67055214614.96429,4464954684.133928,76817379190.0,1301269325.7142856,70.64313207353864,545000000.0,0.11335435935429163,8517802.69252232,102.08326067243304,634101116.1428572,16736755.588867188,1374016.1607142857,530427392.0,0.30483649458204,0.20903864928654262,1361513033.142857,48268638.85714286,8831271.017438617,862737970.5758928,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.06,32.555324009486604,24.663758414132253,0.9645143236432757,0.912360395703997,22.67538343157087,1.3143966050951608,17.649468285696848,14.096580232892718,53.96255384172712,3.180303909948894,0.4134659596851894,-1.0,84.91153390066964,211.29591805594308,0.4915418028831482,0.23242083191871643,2.530378154345921,0.20081821509769981,545031917.7142857,-1.0,3.5781329018729076,54966497865.14286,94851493302.85715,6416350427.428572,108808594578.28572,1835615195.4285715,59.53423881530762,545000000.0,0.14909767040184566,12208166.392857144,102.08326067243304,934455021.7142857,24068954.785714287,2219662.2366071427,781530130.2857143,0.6013756138937814,0.4295684950692313,1918060233.142857,68986878.34821428,12624364.160714285,1240139569.627232,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.07,23.099051475524902,14.105945587158203,0.6551308035850525,0.6469363868236542,19.266037464141846,0.060633123153820606,9.257470846176147,8.526792764663696,34.92333221435547,2.5766677260398865,0.2331821033731103,-1.0,52.280394554138184,97.3912525177002,0.4049641191959381,0.13992388918995857,2.209292411804199,0.20081821509769981,545019016.0,-1.0,1.944350153207779,36128596992.0,62538354176.0,4111033696.0,71508809728.0,1212717088.0,73.65116834640503,545000000.0,0.1017440930008888,9215115.875,102.08326067243304,635305832.0,19019953.5,1602889.953125,517620124.0,0.37967783957719803,0.1676832213997841,1476268432.0,57003203.0,9880404.5,786803047.5410156,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.08,7.638131822858538,6.647582462855749,0.6551308035850525,13.62692780260529,20.19885471888951,0.0069832346801246715,4.476210457938058,4.125153950282505,26.819453648158483,16.037688868386404,0.296231349531029,-1.0,49.71619742257254,113.73458426339286,0.47410452365875244,0.05810032146317618,1.3785992520196098,0.1153505529676165,544948717.7142857,-1.0,1.2556814295904977,14469684105.142857,24610593645.714287,1804275198.5714285,28579258322.285713,474109660.71428573,62.12605733530862,545000000.0,0.03496267327240534,4297447.556361607,44.57611083984375,275148861.71428573,4559511.801339285,834612.9464285715,199639936.0,0.1483772482190813,0.2551445960998535,450638706.64285713,15234631.011160715,3251024.0613839286,385437701.2589286,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
0.09,32.51447950090681,24.05298560006278,1.2483975546700614,0.7516360410622188,21.997523716517858,0.09135025912629705,15.043871198381696,14.497492381504603,54.44089944022043,2.701957498277937,0.34730031793670996,-1.0,62.193612234933035,232.9175807407924,0.4520661403824176,0.22108532701219832,2.3165832247052873,0.061363880123410895,544974966.8571428,-1.0,2.52347959790911,55337473170.28571,95500326619.42857,6463733942.857142,109551371410.28572,1848893074.2857144,60.119877679007395,545000000.0,0.15050120438848222,12236202.25,51.258775983537944,939863200.0,24105416.76436942,2260047.5569196427,785081869.7142857,0.5793660793985639,0.31113940477371216,1919805440.0,69283173.71428572,12645661.335797992,1252415762.1607144,0.4861379265785217,101.0,2.0,6313.0,1.0,17.381141662597656,2864.0,7198566058.0,1920.0,3.0,48.0,50.0,52.0,19.0,31.0,57.0,72.0,545.0,2.0,19.514642655849457,0.7342010140419006,2736.0,62.0,2.1944568157196045
