Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,18.39430109659831,14.939032236735025,0.12187715619802475,0.4736980199813843,17.902971903483074,0.06086584428946176,9.6269162495931,7.69679896036784,31.358723958333332,1.9746096928914387,0.2337018847465515,-1.0,46.878011067708336,103.96280924479167,0.3411564032236735,0.15618148446083066,2.9979286193847656,0.16562559083104134,545014570.6666666,-1.0,1.9014573097229004,36256079872.0,61280594602.666664,4427458901.333333,71323833685.33333,1175524778.6666667,76.9294999440511,545000000.0,0.09815258781115214,8314946.0,90.06810760498047,686310613.3333334,16451594.666666666,2111494.6666666665,579769984.0,0.35508867104848224,0.24199432134628296,1245353130.6666667,76537936.0,8510090.666666666,910171163.96875,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.01,18.39430109659831,14.939032236735025,0.12187715619802475,0.4736980199813843,17.902971903483074,0.06086584428946176,9.6269162495931,7.69679896036784,31.358723958333332,1.9746096928914387,0.2337018847465515,-1.0,46.878011067708336,103.96280924479167,0.3411564032236735,0.15618148446083066,2.9979286193847656,0.16562559083104134,545014570.6666666,-1.0,1.9014573097229004,36256079872.0,61280594602.666664,4427458901.333333,71323833685.33333,1175524778.6666667,76.9294999440511,545000000.0,0.09815258781115214,8314946.0,90.06810760498047,686310613.3333334,16451594.666666666,2111494.6666666665,579769984.0,0.35508867104848224,0.24199432134628296,1245353130.6666667,76537936.0,8510090.666666666,910171163.96875,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.02,18.000146048409597,10.571282523018974,0.12187715619802475,0.47979189668382916,14.208311353410993,0.31899101393563406,7.628973552158901,7.066050665719168,26.91425541469029,1.6571737698146276,0.44286991017205374,-1.0,42.865064348493306,89.51816231863839,0.29602597440992084,0.10760477185249329,1.1936791283743722,0.16562559083104134,545009600.0,-1.0,1.75793422971453,43766420041.14286,68671759506.28571,4500313819.428572,82602613613.71428,1306823789.7142856,79.36556679861886,545000000.0,0.08269486257008143,8560993.714285715,90.06810760498047,647269083.4285715,16824601.714285713,1199691.5,537248292.5714285,0.3378962789263044,0.2086117352758135,1397394870.857143,34926805.71428572,8873304.0,872153896.0825893,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.03,25.877872467041016,16.979270390101842,0.12187715619802475,0.6792266539164952,21.884993961879186,0.480138082589422,11.897172927856445,10.356523513793945,40.357125418526785,2.500016553061349,0.5887072256633213,-1.0,62.97113691057478,134.07980346679688,0.44240028517586844,0.17441088812691824,2.3073767934526717,0.16562559083104134,544996818.2857143,-1.0,2.5735182080950056,57996599296.0,92777763401.14285,6244681142.857142,110630163017.14285,1769562916.5714285,69.58331298828125,545000000.0,0.12429729104042052,11876390.0,90.06810760498047,921855341.7142857,23384146.285714287,1849337.7142857143,769020964.5714285,0.48994244847978863,0.31222077778407503,1892325595.4285715,67025752.0,12266555.714285715,1232750569.799107,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.04,34.1000714302063,14.94542908668518,0.12187715619802475,9.577031195163727,40.03112745285034,0.47896125057013705,10.530635549221188,12.738231420516968,36.967766642570496,13.032233148813248,0.5637423284351826,-1.0,75.98479270935059,144.8442358970642,1.831791527569294,0.18957462161779404,74.42264008522034,0.16562559083104134,544944384.0,-1.0,2.8580289781093597,53844254992.0,85838294352.0,5798621644.0,102562023424.0,1646381336.25,49.41116975992918,545000000.0,0.12427816912531851,14058840.590148926,90.06810760498047,1322443062.0,24105855.33544922,2599984.58203125,1098727797.0,0.5154038295149803,0.40969736874103546,1961053104.0,79401160.25,13445746.866210938,1205206277.1582031,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.05,34.1000714302063,14.94542908668518,0.12187715619802475,9.577031195163727,40.03112745285034,0.47896125057013705,10.530635549221188,12.738231420516968,36.967766642570496,13.032233148813248,0.5637423284351826,-1.0,75.98479270935059,144.8442358970642,1.831791527569294,0.18957462161779404,74.42264008522034,0.16562559083104134,544992466.2857143,-1.0,2.8580289781093597,53844254992.0,85838294352.0,5798621644.0,102562023424.0,1646381336.25,100.0,545000000.0,0.12427816912531851,14058840.590148926,90.06810760498047,1322443062.0,24105855.33544922,2599984.58203125,1098727797.0,0.5154038295149803,0.40969736874103546,1961053104.0,79401160.25,13445746.866210938,167090.203125,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.06,25.885042463030135,16.9721006665911,0.12187715619802475,0.6763516323907035,21.884258815220424,0.43484895210713154,11.73727444240025,10.336238861083984,40.364901951381135,2.4922404970441545,0.5450301510947091,-1.0,62.953011648995535,134.10988071986608,0.4422914981842041,0.17446537528719222,2.3077395984104703,0.16562559083104134,544999222.8571428,-1.0,2.572758265904018,57324807314.28571,91694984630.85715,6168488813.714286,109340789028.57143,1748509147.4285715,69.43618610927037,545000000.0,0.12486595341137477,11730549.142857144,90.06810760498047,909985828.5714285,23097899.42857143,1826763.5,759347602.2857143,0.49018071378980366,0.3123207518032619,1869375634.2857144,66233475.428571425,12115005.42857143,1216760709.09375,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.07,25.79954583304269,17.112880161830358,0.1786297048841204,0.9102915866034371,15.497220175606865,0.5345067041260856,11.77475357055664,10.316503252301898,40.17804173060826,2.679100922175816,0.5208324768713543,-1.0,81.27091326032367,160.90271650041853,0.41111992938177927,0.17475585426603044,4.125073364802769,0.16562559083104134,545021842.2857143,-1.0,3.793884141104562,58110216484.57143,93016157622.85715,6263446235.428572,110881736996.57143,1774713234.2857144,69.4737469809396,545000000.0,0.1249059523854937,11648094.5,90.06810760498047,919929782.8571428,22898839.0,1788638.25,767787209.1428572,0.49143804822649273,0.5195152759552002,1859245421.7142856,66692718.85714286,12012960.785714285,1236319355.8236606,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.08,7.655847276960101,6.751427241734096,0.1786297048841204,0.18643336636679514,8.641833714076451,0.049588224717548916,3.3138514927455356,3.417029789515904,12.750042506626674,1.5356713703700475,0.08779188564845494,-1.0,19.00412859235491,25.52178955078125,0.15185400417872838,0.06845624957765852,0.5815879958016532,0.16562559083104134,545010194.2857143,-1.0,0.7064683096749442,16072893586.285715,26985388909.714287,1982680502.857143,31548267373.714287,504162962.28571427,89.32131086077008,545000000.0,0.041896309171404154,7483649.142857143,90.06810760498047,319660105.14285713,15210621.714285715,723875.0714285715,256295844.57142857,0.15509969847542898,0.062065724815641134,1097578349.7142856,32385542.85714286,7954954.285714285,382670148.08928573,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
0.09,18.154511043003627,10.347847257341657,0.11358495269502912,0.7221514327185494,6.8642392839704245,0.45630971768072676,8.420780726841517,6.986952372959682,27.417739868164062,1.153688941683088,0.4413084643227713,-1.0,61.09810093470982,135.3324977329799,0.2668745006833758,0.10634336301258632,3.3209747586931506,0.16562559083104134,544972854.8571428,-1.0,2.9535207067217146,42966126006.85714,67497775689.14286,4379205046.857142,81094218313.14285,1298509348.5714285,80.14134189060756,545000000.0,0.08230837753840856,4362205.714285715,90.06810760498047,615464758.8571428,8086943.428571428,1468390.5714285714,524085906.28571427,0.33614604813711985,0.4868641325405666,794319670.8571428,35112224.0,4266789.571428572,872583372.2544643,0.3449661433696747,101.0,2.0,6330.0,1.0,20.392276763916016,2782.0,1920.0,3.0,60.0,60.0,68.0,26.0,63.0,31.0,72.0,545.0,2.0,19.179904460906982,3196.0,2.0,59.0,2.26475191116333
