Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.905627870133945,21.98314884730748,0.15314858872443438,13.90592656816755,15.847345352172852,0.6003314086369106,-1.0,104.28271484375,181.12820162091936,0.5703155398368837,0.3076384322983878,4.620518922805786,0.2690289999757494,545015952.0,-1.0,4.674510683332171,65989193728.0,95986107830.85715,6547305435.428572,120529555748.57143,1775021037.7142856,100.0,545000000.0,0.16688798793724605,10869256.142857144,152.9999520438058,903942669.7142857,21376088.714285713,1599208.700892857,760033869.7142857,-1.0,0.6748323568275997,1839295158.857143,65550491.428571425,11194243.142857144,155929.30078125,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.01,0.905627870133945,21.98314884730748,0.15314858872443438,13.90592656816755,15.847345352172852,0.6003314086369106,-1.0,104.28271484375,181.12820162091936,0.5703155398368837,0.3076384322983878,4.620518922805786,0.2690289999757494,545023405.7142857,-1.0,4.674510683332171,65989193728.0,95986107830.85715,6547305435.428572,120529555748.57143,1775021037.7142856,56.37420327322824,545000000.0,0.16688798793724605,10869256.142857144,152.9999520438058,903942669.7142857,21376088.714285713,1599208.700892857,760033869.7142857,-1.0,0.6748323568275997,1839295158.857143,65550491.428571425,11194243.142857144,1236156545.939732,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.02,0.7858161479234695,14.898533821105957,0.09700189158320426,9.142872095108032,9.376960754394531,0.30862230621278286,-1.0,68.0906925201416,122.4422607421875,0.3626435250043869,0.15625140070915222,1.2037324224199568,0.2690289999757494,544984184.0,-1.0,3.009620249271393,38756774400.0,60654265344.0,3964104128.0,73048009728.0,1154490560.0,71.34065163135529,545000000.0,0.1252114623785019,7638175.3125,152.9999520438058,593929864.0,15022897.5,526618.9107142857,494029740.0,-1.0,0.4042780213057995,1265562240.0,44966867.0,7864068.125,781904311.8339844,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.03,0.0287644692829677,4.789603642054966,0.0011205952614545714,3.7260129111153737,4.393656866891043,0.06833593334470475,-1.0,24.093902587890625,45.540980747767854,0.14758091313498362,0.09502847492694855,3.332499086856842,0.2690289999757494,545020059.4285715,-1.0,1.0606375421796526,22714878244.57143,27889530587.42857,2112947638.857143,38772590884.57143,476270774.85714287,89.36850602286202,545000000.0,0.034797281026840196,2318724.285714286,152.9999520438058,235841097.14285713,4568246.857142857,1121584.25,204493458.2857143,-1.0,0.16164241518293107,421785600.0,14973300.57142857,2395396.0,359572219.91071427,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.04,0.9217395782470703,21.659340449741908,0.20167064187782152,14.795915876116071,14.624013900756836,0.3759578512981534,-1.0,102.2942134312221,192.13617597307478,0.5609187398638044,0.2409714162349701,4.999600001743862,0.2690289999757494,544987136.0,-1.0,4.519230433872768,66663315748.57143,96892065499.42857,6606060251.428572,121715408896.0,1793163300.5714285,57.74124663216727,545000000.0,0.17454804054328374,10868382.5,152.9999520438058,909656777.1428572,21332241.0,2257337.089285714,765305115.4285715,-1.0,0.6347361973353794,1836501595.4285715,65718873.14285714,11171804.92857143,1253223488.453125,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.05,13.606463039559978,35.7765680040632,0.06024451626996906,12.433135032653809,14.052018301827568,0.5081740411530647,-1.0,122.23688125610352,243.91109357561385,0.9867766499519348,0.22634645019258767,5.771405364785876,0.2690289999757494,544931565.7142857,-1.0,4.35939467379025,69623235757.71428,98397850477.71428,6567050774.857142,125389211666.28572,1882720565.9285715,27.54144891670772,545000000.0,0.17117399828774585,14239652.030970981,152.9999520438058,998476566.8571428,24741532.167410713,2455299.8214285714,767098829.7142857,-1.0,0.6157349092619759,2127543597.4642856,89929001.19810268,14100437.171316965,1274428057.2745535,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.06,0.21388733386993408,9.370140075683594,0.08743118388312203,1.8127918243408203,3.264541898454939,0.11656137981585094,-1.0,19.791697910853795,13.604759216308594,0.16030473368508474,0.07356235810688563,0.5732511111668178,0.08440600122724261,545040128.0,-1.0,0.7241730008806501,4239034953.142857,6386645869.714286,430174976.0,7862532388.571428,97108233.14285715,73.2580463545663,545000000.0,0.05352542655808584,3066837.4285714286,45.734104701450896,82753769.0,6606401.820591518,128787.23214285714,57339588.571428575,-1.0,0.061237509761537814,494223213.71428573,13809504.0,3443156.392020089,7652021.477678572,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.07,0.46585709708077566,10.768543243408203,0.043990170050944584,10.316377367292132,11.300551005772181,0.25031215591090067,-1.0,46.89595249720982,200.49550083705358,0.30250016041100025,0.15525220121656141,2.2577148165021623,0.0886561359677996,544926116.5714285,-1.0,2.0532446588788713,58000773705.14286,81209554651.42857,5414727899.428572,104020278125.71428,1589108900.5714285,68.86677633013043,545000000.0,0.11407354048320224,7043205.482142857,91.85108293805804,752175030.8571428,13105598.104492188,1431842.8191964286,624002299.4285715,-1.0,0.2841324976512364,1174848950.857143,54985472.0,7188902.675920759,1120527111.3995535,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.08,0.5351676323584148,19.142311913626536,0.138214573264122,10.875233105250768,10.867467880249023,0.25117266603878563,-1.0,64.76332790510995,39837.77482822963,1.16734778881073,0.15960361702101572,3.8317651067461287,0.10555324384144374,544970788.5714285,-1.0,2.6603156498500278,65063029577.14286,91790852096.0,6134060909.714286,117092517558.85715,1950493622.857143,54.2905398777553,545000000.0,0.13749901524611882,10658113.072544644,87.25765555245536,894974880.0,20838883.71875,2005982.5714285714,731128602.2857143,-1.0,0.32656993184770855,1768967441.1607144,71874925.75,11210480.505859375,1178496383.924107,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.09,0.4899992602212088,14.476260593959264,0.08113820212227958,7.2759688922337125,6.651953016008649,0.21737955191305705,-1.0,42.48362077985491,43901.737893240796,1.4439318180084229,0.1057542860507965,2.4014690944126675,0.09753354958125524,544991734.8571428,-1.0,1.6964304787772042,43938217984.0,65181656210.28571,4133979136.0,80663027712.0,1490954514.2857144,65.47120489392962,545000000.0,0.10304996797016688,8292229.768345424,44.932460239955354,668398907.4285715,16157613.806919644,1526602.388392857,536693792.0,-1.0,0.18321182046617782,1341261948.293527,56965112.587053575,8754890.146763394,849515843.1986607,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
