Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.43452929705381393,13.421493917703629,0.1539619424147531,9.66779375076294,0.14088589325547218,-1.0,-1.0,-1.0,0.7611665725708008,-1.0,7.343784689903259,0.349656343460083,544935888.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.58537757396698,545000000.0,-1.0,6446306.84375,167.25601959228516,562868932.0,12423511.28125,1517733.21875,443788701.0,-1.0,-1.0,-1.0,52026290.0,6972974.25,683383850.8398438,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.01,1.0186491566044944,15.490189858845302,0.004289211638803971,13.430365698678154,0.6752924762134042,-1.0,-1.0,-1.0,0.6638020745345524,-1.0,7.176914691925049,0.11223686592919487,544960685.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.587797028677805,545000000.0,-1.0,8453914.535714285,49.456495012555806,654038205.7142857,16400104.30357143,1786854.7410714286,526783822.85714287,-1.0,-1.0,-1.0,58330935.428571425,8985205.5,850405490.734375,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.02,0.730525770357677,21.737720114844187,0.12780372479132243,11.776577268327985,0.5145608506032399,-1.0,-1.0,-1.0,0.7314942053386143,-1.0,5.7643183299473355,0.22233514274869645,544970386.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.7830149105617,545000000.0,-1.0,11384639.125,103.47070748465401,918323021.7142857,22211290.35714286,2832011.035714286,746095586.2857143,-1.0,-1.0,-1.0,75250786.28571428,11995066.75,1176387418.328125,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.03,0.8332843099321637,17.157158911228176,0.11473344505897587,7.650579724993024,0.27460101512925966,-1.0,-1.0,-1.0,0.4285899315561567,-1.0,4.123215505055019,16.872587587152207,544874578.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.04843766348702,545000000.0,-1.0,8957657.0,200.9751979282924,756601563.4285715,17356176.57142857,2519492.285714286,607495689.1428572,-1.0,-1.0,-1.0,62945064.0,9444474.0,951062443.0691965,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.04,0.2801275828054973,20.199437277657644,0.05967747632946286,6.270017623901367,0.2702849305101803,-1.0,-1.0,-1.0,1.3988522461482458,-1.0,1.5328025817871094,0.24958572785059616,544953846.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.73862246104649,545000000.0,-1.0,6815023.987374442,59.263651529947914,324550869.3333333,9200523.62611607,659372.5572916666,268665344.0,-1.0,-1.0,-1.0,19441975.528645832,3742425.8821614585,445220110.1276042,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.05,0.9183730781078339,22.360451459884644,0.12915965898927034,15.411704744611468,0.603809525391885,-1.0,-1.0,-1.0,1.8889428576720613,-1.0,6.89473158121109,0.24179916083812714,544965074.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.208742346082413,545000000.0,-1.0,11489260.969587054,116.06261825561523,896793376.0,22450520.836216517,2964061.50390625,667495951.0,-1.0,-1.0,-1.0,93513600.6484375,13082661.908203125,1082868734.2265625,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.06,1.1575273445674352,22.701995849609375,0.08523252499955038,12.34494686126709,0.754441021542464,-1.0,-1.0,-1.0,0.4957141067300524,-1.0,3.284991809300014,0.0875945772443499,544974985.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.530090876988005,545000000.0,-1.0,12516966.964285715,52.48081316266741,968605001.1428572,24800628.05357143,2433862.375,802203510.8571428,-1.0,-1.0,-1.0,71875935.96428572,13020393.17857143,1259871786.6651785,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.07,0.20477681926318578,7.4195656435830255,0.10846132252897535,5.723366873604911,0.09695844565119062,-1.0,-1.0,-1.0,0.4475112812859671,-1.0,3.9719578425089517,0.15538618961970013,545109238.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.938095501491,545000000.0,-1.0,4811499.982142857,56.72149658203125,32766100.705729168,10150008.30357143,217810.54166666666,6381849.333333333,-1.0,-1.0,-1.0,12211912.0,5553958.857142857,23755886.442708332,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.08,0.598883589108785,16.295128504435223,0.04978417108456292,7.167290369669597,0.4199231465657552,-1.0,-1.0,-1.0,0.3363298376401265,-1.0,2.6449969836643765,0.20818187509264266,544802709.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.1575886408488,545000000.0,-1.0,6765167.333333333,96.05994524274554,824942025.1428572,12253787.666666666,2195835.4285714286,673479789.7142857,-1.0,-1.0,-1.0,68894704.0,6854998.333333333,1083819501.638393,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
0.09,6.231675897325788,26.800559997558594,0.07394112925976513,10.115318025861468,0.4483040603143828,-1.0,-1.0,-1.0,1.859405747481755,-1.0,96.66430868421283,0.17772236040660314,544923840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.74124165943691,545000000.0,-1.0,12263523.115513394,145.31568254743303,996395065.1428572,23924143.93973214,2722723.28125,810629483.4285715,-1.0,-1.0,-1.0,78303278.28571428,12892608.15625,1307456907.044643,1.99581241607666,387.0,46.0,11703.0,7.0,17.319494247436523,2350.0,1920.0,3.0,59.0,59.0,68.0,37.0,45.0,32.0,72.0,545.0,2.0,18.90789568424225,3196.0,61.0,2.206408262252808
