Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.7068255245685577,24.95032501220703,0.012798566371202426,13.44126558303833,12.468356609344482,0.6894268691539764,-1.0,73.61003494262695,157.39075469970703,0.5182868540287018,0.1897956058382988,2.7149983644485474,0.1628359705209732,540501296.0,-1.0,2.99301278591156,58040569856.0,100235284480.0,6684155392.0,114842365952.0,1944281536.0,63.82756757736206,545000000.0,0.12677613273262975,12719703.5,87.98109436035156,953274848.0,24991341.0,2050574.8125,795759840.0,-1.0,0.365493968129158,2033098944.0,73108660.0,13189894.0,1289234976.2226562,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.01,0.5151699781417847,14.640235900878906,0.03495099076202938,7.5067547389439175,6.327800750732421,0.2607536571366446,-1.0,41.69159589494978,89.51535906110492,0.2944535527910505,0.11220733608518328,1.6239163534981864,0.1628359705209732,544998592.0,-1.0,1.6581476075308663,40571522486.85714,70239132525.71428,4611883008.0,80302969417.14285,1364279222.857143,79.33380317687988,545000000.0,0.07926999245371137,9117148.285714285,87.98109436035156,697929874.2857143,17958166.85714286,1543438.5714285714,581302784.0,-1.0,0.19152258975165232,1435975094.857143,53642834.28571428,9408119.714285715,897132378.3727678,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.02,0.16044244170188904,6.086033821105957,0.0033335504122078375,3.707066297531128,3.4543943405151367,0.19214428961277008,-1.0,17.97186851501465,38.97281265258789,0.1293945461511612,0.051647309213876724,0.6256768703460693,0.1628359705209732,545003808.0,-1.0,0.7582262754440308,12947692544.0,22154162176.0,1620159488.0,25644933120.0,425479264.0,91.0565881729126,545000000.0,0.030568039044737812,2723462.5,87.98109436035156,215585502.6484375,5357681.5,300609.71875,182678208.0,-1.0,0.10462657362222672,422432512.0,14111314.0,2819209.75,314653909.1113281,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.03,1.0708476134708949,22.641917637416295,0.158264249297125,15.516923359462194,13.345399856567383,0.5912138362015996,-1.0,92.48422677176339,210.81822204589844,0.5273609331675938,0.21972078510693138,4.263561657496861,0.1628359705209732,544979474.2857143,-1.0,4.158118384225028,53726488868.57143,92707036013.71428,6263279396.571428,106343287076.57143,1791022555.4285715,59.35359273638044,545000000.0,0.15133586525917053,12206538.92857143,87.98109436035156,921917065.1428572,24147320.92857143,1733946.4642857143,769037778.2857143,-1.0,0.5574614916528974,1919880114.2857144,69630244.0,12662860.785714285,1201096407.2410715,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.04,1.0344192641122,22.896738869803293,0.10695599099355083,15.239058903285436,13.498831067766462,0.6740736876215253,-1.0,98.31412833077567,205.44730486188615,0.5619503089359829,0.21801953230585372,3.509568555014474,0.1628359705209732,545023442.2857143,-1.0,4.437959943498884,55989546422.85714,96639957869.71428,6528542573.714286,110838066614.85715,1872547876.5714285,59.09329414367676,545000000.0,0.15179850799696784,12391643.42857143,87.98109436035156,954458770.2857143,24387145.42857143,1956873.892857143,798341549.7142857,-1.0,0.7162198211465564,1940438985.142857,70359126.28571428,12789962.5,1272088321.595982,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.05,0.4967547655105591,26.51915216445923,0.11048611253499985,6.140578508377075,5.7672340869903564,0.3383060460910201,-1.0,49.32936634123325,334.1068286895752,1.7346439063549042,0.11757836490869522,1.9833893775939941,0.1628359705209732,544957936.0,-1.0,1.418114211410284,22198871816.0,37456997376.0,2764817313.25,43692188072.0,693688542.3125,56.28892578184605,545000000.0,0.07114595919847488,8257428.10005188,87.98109436035156,467098079.4375,15393472.500488281,996983.109375,347013184.0,-1.0,0.15300970524549484,1206901342.2006836,42071631.5,8427614.975585938,459593700.48046875,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.06,0.47705577101026264,11.391176496233259,0.007151026810918513,7.742988586425781,6.749807357788086,0.35921899335724966,-1.0,47.90596880231585,135.74658203125,0.2625669836997986,0.09731205020632062,1.7898061616080148,0.1628359705209732,544985444.5714285,-1.0,2.234039783477783,30200236324.57143,52968402358.85714,3317481033.142857,60001920146.28571,1064116918.8571428,80.18820081438336,545000000.0,0.07246035976069314,4046564.4285714286,87.98109436035156,466074861.71428573,7264904.857142857,907918.7857142857,393545764.5714286,-1.0,0.3764643371105194,629266212.5714285,26772930.285714287,3840602.714285714,772686382.90625,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.07,0.617181658744812,18.89325475692749,0.03301580518018452,10.126317977905273,9.081961393356323,0.4334207698702812,-1.0,56.411962032318115,121.0224609375,0.3836711198091507,0.1499028354883194,15.747000396251677,0.1628359705209732,545007552.0,-1.0,2.228451669216156,49619755008.0,85642106880.0,5789536896.0,98230347776.0,1658562816.0,73.04264307022095,545000000.0,0.10013426467776297,10957822.75,87.98109436035156,846395081.546875,21582274.15625,2195373.25,707914928.0,-1.0,0.27460552006959915,1719733068.125,62928260.0,11319704.5859375,1124440400.5546875,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.08,0.7144019092832293,21.811379023960658,0.8495004006794521,12.447218213762556,10.13962881905692,0.5044477539403098,-1.0,62.243927001953125,130.85804094587053,0.44676675115312847,0.16896902663367136,2.354414803641183,0.1628359705209732,545006939.4285715,-1.0,2.525132179260254,52989062582.85714,91418460160.0,6150844416.0,104849138834.28572,1753707885.7142856,69.5201802934919,545000000.0,0.11371160617896488,12167665.714285715,87.98109436035156,909536073.1428572,24274608.0,2064374.2857142857,755693330.2857143,-1.0,0.3110846366201128,1934880292.5714285,70835995.42857143,12731583.42857143,1080857537.716518,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
0.09,0.0555864359651293,21.811379023960658,0.0038710579808269143,3.777271270751953,4.148600169590542,0.0033989777522427573,-1.0,62.243927001953125,101.58095005580357,0.0016675930736320284,0.05310288497379847,2.354414803641183,0.1628359705209732,544982043.4285715,-1.0,2.525132179260254,2805792182.857143,4865636352.0,360923904.0,5599534518.857142,110633563.42857143,92.07792718069894,545000000.0,0.036915864263262065,161560.25,87.98109436035156,43290601.14285714,1885.917271205357,13410.96763392857,41211904.0,-1.0,0.3110846366201128,1934880292.5714285,70835995.42857143,1885.917271205357,182688944.63839287,0.3215371668338775,101.0,2.0,6330.0,1.0,17.381187438964844,2655.0,1920.0,3.0,52.0,53.0,60.0,28.0,27.0,61.0,72.0,545.0,2.0,18.571603298187256,2736.0,1.0,60.0,2.203911781311035
