Time (s),% Linear Filtered,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.2,59.5765266418457,0.9097223877906799,24.14145851135254,0.03368639200925825,12.311556339263916,2.9528623819351196,0.7132018059492111,-1.0,73.67565155029297,156.42267608642578,0.5193396806716919,0.18171786516904828,2.7431682348251343,15.213894098997116,544898256.0,-1.0,2.9865671396255493,-1.0,98579697664.0,-1.0,-1.0,1917694272.0,59.58990669250488,545000000.0,0.12826570868492126,12254227.0,220.53289031982422,962414944.0,24097291.0,1863042.5625,762201024.0,-1.0,0.3603475093841553,1963031808.0,70548680.0,12733659.0,1282712213.921875,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.2,59.5765266418457,0.9097223877906799,24.14145851135254,0.03368639200925825,12.311556339263916,2.9528623819351196,0.7132018059492111,-1.0,73.67565155029297,156.42267608642578,0.5193396806716919,0.18171786516904828,2.7431682348251343,15.213894098997116,544898256.0,-1.0,2.9865671396255493,-1.0,98579697664.0,-1.0,-1.0,1917694272.0,59.58990669250488,545000000.0,0.12826570868492126,12254227.0,220.53289031982422,962414944.0,24097291.0,1863042.5625,762201024.0,-1.0,0.3603475093841553,1963031808.0,70548680.0,12733659.0,1282712213.921875,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.21,59.5765266418457,0.5821128686269125,15.484586079915365,0.4686434616645177,7.927604675292969,1.9847391446431477,0.34802080194155377,-1.0,51.94805653889974,98.65622456868489,0.35014869769414264,0.1342431455850601,2.043006340662638,15.213894098997116,545128117.3333334,-1.0,2.106495221455892,-1.0,71298411178.66667,-1.0,-1.0,1305781248.0,75.51650047302246,545000000.0,0.0915261059999466,8908664.0,220.53289031982422,678053781.3333334,18028047.333333332,1931764.9166666667,569597568.0,-1.0,0.2593577007452647,1513894101.3333333,56452710.666666664,9442557.333333334,714340645.921875,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.22,59.5765266418457,0.28615048953465055,6.177535465785435,0.1133402841431754,3.6748316628592357,0.6165396826607841,0.20847053187234063,-1.0,20.66739981515067,50.939854213169646,0.13838167701448714,0.05335210902350289,0.763441835130964,15.213894098997116,544904868.5714285,-1.0,0.8683105877467564,-1.0,25534960201.142857,-1.0,-1.0,503446966.85714287,89.92196301051548,545000000.0,0.036270231008529656,2506727.1428571427,220.53289031982422,241608393.14285713,4616205.142857143,372296.8214285714,201089280.0,-1.0,0.11763964380536761,366050450.28571427,12976504.0,2428196.0,459025333.09151787,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.23,59.5765266418457,1.3098760502679008,21.878738948277064,0.055372675880789736,15.336272375924247,4.491954326629638,0.564175912312099,-1.0,96.4681156703404,181.3755280630929,0.5635470577648708,0.32691316519464764,4.66703292301723,15.213894098997116,544982034.2857143,-1.0,4.16820444379534,-1.0,86995771977.14285,-1.0,-1.0,1632153668.5714285,69.44379043579102,545000000.0,0.11374602573258533,9872563.214285715,220.53289031982422,813075767.8571428,19449955.85714286,1834063.6517857143,683731186.2857143,-1.0,0.5830885767936707,1610389622.857143,60626364.0,10201295.142857144,1123443066.325893,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.24,59.5765266418457,1.0325088500976562,19.805279867989675,0.03788683515241631,14.395224434988839,2.4311886514936174,0.6528272461146116,-1.0,65.20982796805245,234.3526829310826,0.44937577018780367,0.21950659581593104,2.534576892852783,15.213894098997116,545015387.4285715,-1.0,2.674553326198033,-1.0,96208596992.0,-1.0,-1.0,1805265280.0,60.74877684456961,545000000.0,0.1509427598544529,11078851.392857144,220.53289031982422,915248580.5714285,21828676.820033483,2220134.5379464286,766556132.5714285,-1.0,0.3400466527257647,1805711981.7142856,66845914.28571428,11443328.24860491,1228481441.6919644,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.25,59.5765266418457,0.4773465836686747,28.44272777012416,0.05319770957742419,7.5847737448556085,16.389764717647008,0.45265345701149534,-1.0,59.00431387765067,68.50391496930804,0.41637130294527325,0.14361939685685293,2.491496971675328,0.26117529613631113,544938779.4285715,-1.0,1.7625148338930947,-1.0,54629425152.0,-1.0,-1.0,978689974.8571428,62.20517012051174,545000000.0,0.08108968394143241,9019009.714285715,99.25609043666294,609165725.7142857,16735597.714285715,1859327.1785714286,460744832.0,-1.0,0.20171350240707397,1391629184.0,52121864.571428575,9180505.0,625562237.8147322,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.26,59.5765266418457,0.814618740762983,6.6009014674595425,0.003402330380465286,6.712662015642438,0.9806561980928693,0.365397039268698,-1.0,59.323900495256694,137.03727504185267,0.21407240203448705,0.0922156274318695,3.0564445086887906,0.26117529613631113,544997074.2857143,-1.0,2.920515877859933,-1.0,45288232667.42857,-1.0,-1.0,902388443.4285715,80.47007887704032,545000000.0,0.07327983634812489,3808188.035714286,99.25609043666294,395262619.4285714,6880568.142857143,639993.5982142857,332966811.4285714,-1.0,0.47828561067581177,581125590.8571428,22281104.57142857,3629066.410714286,699041924.875,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.27,59.5765266418457,0.9980366400309971,19.8505984715053,0.04708630006228171,14.67241450718471,2.470257895333426,0.5726434495300055,-1.0,65.21973746163505,231.3414350237165,0.4500242643324392,0.22881595577512467,2.580887998853411,0.26117529613631113,545003904.0,-1.0,2.674806867327009,-1.0,92192234934.85715,-1.0,-1.0,1727593691.4285715,60.724431719098774,545000000.0,0.15057758774076188,10551536.50892857,99.25609043666294,878748973.7142857,20775496.461356025,2258648.1495535714,735198902.8571428,-1.0,0.33997844798224314,1721398601.142857,64911229.71428572,10890962.747070312,1185080776.674107,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
0.28,59.5765266418457,0.7799886805670602,19.579527173723495,0.09718632857714381,10.63081659589495,2.3151045526776994,0.47672035864421297,-1.0,65.20079912458148,133.9871608189174,0.4419107437133789,0.1702231126172202,2.4767610004970004,0.26117529613631113,545015424.0,-1.0,2.67409018107823,-1.0,89927584036.57143,-1.0,-1.0,1685460260.5714285,68.87787655421666,545000000.0,0.11451062985828943,10309845.714285715,99.25609043666294,854145261.7142857,20305287.42857143,1729762.5714285714,716741869.7142857,-1.0,0.3399291293961661,1681979318.857143,61318469.71428572,10644441.142857144,1151957313.9642856,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2715.0,7019787623.0,1920.0,3.0,60.0,59.0,64.0,39.0,41.0,62.0,72.0,545.0,2.0,19.179992377758023,2736.0,1.0,60.0,2.2952136993408203
