Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.39629971981048584,7.856449127197266,0.02883048355579375,7.301430225372314,0.4389319121837616,-1.0,-1.0,-1.0,0.2590961158275604,-1.0,1.6735546588897705,8.987807248319898,544848816.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.63513803482056,545000000.0,-1.0,3797045.0,83.8310775756836,395505664.0,7486786.0,429215.125,335587200.0,-1.0,-1.0,-1.0,26343078.0,3935198.5,589482830.6699219,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.01,0.8615996497017997,16.045347486223495,0.014113852222050914,15.50327273777553,0.520007333319102,-1.0,-1.0,-1.0,0.455038466224713,-1.0,2.9072638920375278,8.987807248319898,545009965.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.89767101832798,545000000.0,-1.0,9613205.80357143,83.8310775756836,920710299.4285715,18975774.09263393,2200440.6551339286,771672091.4285715,-1.0,-1.0,-1.0,67596755.42857143,9925094.378348215,1255671332.3816965,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.02,0.3387392248426165,5.556037357875279,0.0505583541733878,3.6871945517403737,0.07572258370263237,-1.0,-1.0,-1.0,0.14549461432865685,-1.0,0.961089951651437,8.987807248319898,544979620.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.48299625941685,545000000.0,-1.0,2771559.4285714286,83.8310775756836,286912768.0,5499076.0,633431.4285714285,242240018.2857143,-1.0,-1.0,-1.0,18990274.285714287,2822728.8571428573,379142275.91964287,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.03,0.4404332637786865,8.853204727172852,0.00720580655615775,6.701350927352905,0.34874127805233,-1.0,-1.0,-1.0,0.2589494436979294,-1.0,1.700501024723053,8.987807248319898,544976984.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.09709978103638,545000000.0,-1.0,5275312.625,83.8310775756836,490045025.3432617,10370567.25,1161706.71875,409657552.0,-1.0,-1.0,-1.0,37490547.0,5467110.625,687453064.8867188,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.04,0.8455398423331124,15.686131341116768,0.07071468500154358,11.40324238368443,0.4104705612574305,-1.0,-1.0,-1.0,0.4921066122395651,-1.0,2.89015565599714,8.987807248319898,545010075.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.75842475891113,545000000.0,-1.0,9600370.351004465,83.8310775756836,920860726.5,18924187.3843471,1847496.75,772803145.1428572,-1.0,-1.0,-1.0,66977465.14285714,9899484.527204242,1263522435.65625,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.05,0.8631098371531282,30.02565901620048,0.32010077578680857,11.340728214808873,0.4991468574319567,-1.0,-1.0,-1.0,0.5473401461328778,-1.0,3.7656591279166087,8.987807248319898,544915510.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.561110496520996,545000000.0,-1.0,10891815.857142856,201.00291660853796,974027161.1428572,19976297.85714286,2302236.8928571427,770835766.8571428,-1.0,-1.0,-1.0,73199832.0,10869671.92857143,1185631652.154018,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.06,0.3319519928523472,5.832182203020368,0.025575435587338026,3.650489492075784,0.08009879503931318,-1.0,-1.0,-1.0,0.1590732724538871,-1.0,1.0095325197492326,8.987807248319898,544989312.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.93818610055106,545000000.0,-1.0,2564434.4866071427,201.00291660853796,232262409.14285713,5248549.884905134,581386.1662946428,188080314.16964287,-1.0,-1.0,-1.0,19045114.285714287,2696960.456333705,303691447.33370537,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.07,0.9135381834847587,10.79600306919643,0.0033770244834678284,11.13145637512207,0.4607807179646833,-1.0,-1.0,-1.0,0.37484570911952425,-1.0,4.6011616843087335,8.987807248319898,544995638.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.42567253112793,545000000.0,-1.0,6866202.357142857,201.00291660853796,678092507.4285715,13225436.392857144,1568430.0357142857,571613522.2857143,-1.0,-1.0,-1.0,47592730.85714286,6974390.571428572,1069135226.5200893,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.08,1.1555960859571184,16.31761932373047,0.9541459197311529,15.12903540475028,0.5291951788323266,-1.0,-1.0,-1.0,0.4901738166809082,-1.0,3.5292440823146274,8.987807248319898,544992438.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.230352946690154,545000000.0,-1.0,8692577.285714285,201.00291660853796,846683172.5714285,17059173.42857143,1672894.5625,710595392.0,-1.0,-1.0,-1.0,60619367.64285714,8919244.776785715,1168220950.6808035,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.09,0.6145077432904925,11.564990452357701,0.037953538021871014,7.004686628069196,0.1960210885320391,-1.0,-1.0,-1.0,0.30358076095581055,-1.0,1.9460830688476562,8.987807248319898,544983332.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0774917602539,545000000.0,-1.0,6893250.0,201.00291660853796,604774765.7142857,14119344.57142857,1417479.642857143,496107739.4285714,-1.0,-1.0,-1.0,50441382.85714286,7379414.571428572,645852566.203125,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.1,0.5948089978524616,19.312717982700892,0.0021891339149858143,8.354009628295898,0.4619323632546834,-1.0,-1.0,-1.0,0.3159168320042746,-1.0,3.9080329622541154,0.11378623758043561,544992228.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.26949889319283,545000000.0,-1.0,3948164.1071428573,51.418287004743306,350673920.0,5579731.821428572,654053.2946428572,259577389.7142857,-1.0,-1.0,-1.0,21697489.42857143,3364043.089285714,620419887.3191965,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.11,1.0740565657615662,14.746049404144287,0.053502746624872075,13.43626093864441,0.5769923739135265,-1.0,-1.0,-1.0,0.4548521973192691,-1.0,4.759382861001151,0.06136884008135114,544976816.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.41257727146149,545000000.0,-1.0,8981440.25,54.65818568638393,989106723.0892857,17715766.42944336,1984240.5892857143,826364178.2857143,-1.0,-1.0,-1.0,72880457.14285715,9274548.99194336,1349253067.71875,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.12,1.207147819655282,16.628605433872767,0.06691365569297754,15.369044167654854,0.6477393976279667,-1.0,-1.0,-1.0,0.514979464667184,-1.0,4.328004062175751,0.06136884008135114,544996909.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.432133538382395,545000000.0,-1.0,9316051.25,54.65818568638393,782150176.0,18381992.0,1874464.09375,655886824.0,-1.0,-1.0,-1.0,57121043.25,9617238.017857144,1066445513.9355469,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
0.13,0.3377913066319057,5.562841142926898,0.010678665978567928,3.62426621573312,0.050271332263946526,-1.0,-1.0,-1.0,0.14558703558785574,-1.0,0.9517133576529366,0.06136884008135114,544994349.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.46224921090263,545000000.0,-1.0,2890494.5714285714,54.65818568638393,300802230.85714287,5733188.0,621110.0,254159524.57142857,-1.0,-1.0,-1.0,19624432.0,2945729.714285714,395395885.26785713,0.2523285746574402,104.0,2.0,6330.0,1.0,16.73200798034668,2592.0,1920.0,3.0,49.0,47.0,52.0,24.0,50.0,38.0,72.0,545.0,2.0,20.161980390548703,2736.0,1.0,61.0,2.4715023040771484
