Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.5780593138188124,26.06190586090088,0.36482805013656616,5.619792461395263,0.21867423504590988,-1.0,-1.0,-1.0,0.6277064681053162,-1.0,3.5583651065826416,0.20341321400233675,544972640.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.47817277908325,545000000.0,-1.0,9165800.25,82.01079668317523,578997952.0,19364972.0,1295060.0,454666112.0,-1.0,-1.0,-1.0,61527494.0,10044241.75,707412839.9960938,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.01,0.6168112584522792,14.911082676478795,0.30754782698516336,8.169139862060547,0.4491231287164347,-1.0,-1.0,-1.0,0.2984841407409736,-1.0,1.4179553304399763,0.20341321400233675,545011584.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.00203541346959,545000000.0,-1.0,7441326.160714285,82.01079668317523,1098970331.4285715,13895598.468191965,1474780.5691964286,990526244.5714285,-1.0,-1.0,-1.0,36325622.85714286,7349276.468191965,939341394.46875,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.02,1.0453724988869257,41.96912438528879,0.07753317244350907,13.38168443952288,0.5474296361207962,-1.0,-1.0,-1.0,0.6766460367611477,-1.0,4.097651549748012,0.20341321400233675,544957668.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.556796721049714,545000000.0,-1.0,12033077.07142857,82.01079668317523,890408066.2857143,22610854.92857143,1778322.892857143,702413865.1428572,-1.0,-1.0,-1.0,67759510.28571428,12158004.5,1164916249.2276785,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.03,0.7255550963538033,21.51753125871931,0.03155083661632876,10.225373676845006,0.4147695302963257,-1.0,-1.0,-1.0,0.44009936707360403,-1.0,2.295450142451695,0.20341321400233675,544994578.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.13250895908901,545000000.0,-1.0,12007962.285714285,82.01079668317523,920107446.8571428,23711913.714285713,1972463.1785714286,766493092.5714285,-1.0,-1.0,-1.0,68327508.57142857,12424835.42857143,1240398416.8705356,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.04,0.7255550963538033,21.51753125871931,0.03155083661632876,10.225373676845006,0.4147695302963257,-1.0,-1.0,-1.0,0.44009936707360403,-1.0,2.295450142451695,0.20341321400233675,545015850.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,12007962.285714285,82.01079668317523,920107446.8571428,23711913.714285713,1972463.1785714286,766493092.5714285,-1.0,-1.0,-1.0,68327508.57142857,12424835.42857143,155723.11197916666,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.05,0.9775246232748032,20.41840648651123,0.09866611938923596,12.512953042984009,0.5127625181339681,-1.0,-1.0,-1.0,0.4724336192011833,-1.0,3.603871166706085,0.20341321400233675,544994744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.29595732688904,545000000.0,-1.0,9821293.4375,82.01079668317523,760716176.0,19339396.8125,1556007.4140625,635141840.0,-1.0,-1.0,-1.0,55366992.5,10133545.53125,1028318161.609375,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.06,1.1136031661714827,23.990296500069753,0.06868096933301003,15.099080221993583,0.6347196485315051,-1.0,-1.0,-1.0,0.5653423156057086,-1.0,4.728987795966012,0.20341321400233675,544991149.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.07308210645403,545000000.0,-1.0,12840240.285714285,82.01079668317523,979782816.0,25314687.42857143,1856890.84375,816967670.8571428,-1.0,-1.0,-1.0,72187148.57142857,13268975.357142856,1312617454.3392856,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.07,0.3891688585281372,14.49720048904419,0.2562902634963393,5.34424090385437,0.14350098371505737,-1.0,-1.0,-1.0,0.24728373438119888,-1.0,1.4147143959999084,15.640078067779541,544917656.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.63120532035828,545000000.0,-1.0,9106509.0,177.1854019165039,636894144.0,16505157.0,1334634.21875,499961424.0,-1.0,-1.0,-1.0,51107874.0,9022603.5,804938729.9492188,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.08,0.4117545485496521,7.509282793317523,0.0076193752299461995,7.432462964739118,0.12792027369141576,-1.0,-1.0,-1.0,0.16338982479646802,-1.0,0.7375984191894531,0.14469938618796213,545019712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.2652804510934,545000000.0,-1.0,3175650.0178571427,105.24353899274554,273966610.28571427,6288495.8740234375,348524.3839285714,208339538.2857143,-1.0,-1.0,-1.0,17135332.57142857,3320522.731166295,373944423.81473213,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.09,0.982245922088623,20.41252374649048,0.05689702549716455,10.897616267204285,0.6246159868314862,-1.0,-1.0,-1.0,0.48319635540246964,-1.0,3.310994803905487,0.14469938618796213,544938288.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.85127401351929,545000000.0,-1.0,11244578.125,105.24353899274554,874122296.0,22128144.3125,1420753.6328125,729165642.0,-1.0,-1.0,-1.0,64021666.5,11600355.15625,1177636286.46875,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
