Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,25.99811553955078,22.933402061462402,1.4622043073177338,0.09995546308346093,9.599037715366908,38.37834548950195,44.03876304626465,0.00102848664391785,14.586532592773438,15.469806671142578,38.94544792175293,9.406638622283936,49.12898254394531,0.8710183501243591,0.46254735719412565,-1.0,147.75344848632812,348.0598907470703,0.29247684637084603,0.3288510590791702,6.82388973236084,0.15093375742435455,544983776.0,-1.0,9.92343044281006,33768156160.0,36955577344.0,-1.0,-1.0,440819744.0,67.62150955200195,545000000.0,0.23140082508325577,667563.828125,92.48871994018555,405821200.0,1106782.2661132812,55731.6484375,364897760.0,0.9285577237606049,2.480857610702515,365887392.0,15834758.0,582629.0161132812,743721672.3828125,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.01,22.151710510253906,20.70543234688895,1.4622043073177338,0.09995546308346093,9.599037715366908,33.806200299944194,37.91301727294922,0.13748978640485024,14.198297228131976,12.981022426060267,35.049774169921875,8.606205531529017,41.49805123465402,1.35909104347229,0.4762900471687317,-1.0,123.15040806361607,184.69447108677454,0.44213695185525076,0.24854069096701487,5.968532698495047,0.15093375742435455,545031158.8571428,-1.0,7.38001619066511,75085327798.85715,81332518912.0,-1.0,-1.0,1363257435.4285715,70.79042516435895,545000000.0,0.14525272803647177,5852737.5,92.48871994018555,889064265.1428572,11557149.285714285,1439095.0513392857,789213293.7142857,0.6064081362315586,1.7355784177780154,1046842002.2857143,51587157.71428572,6023312.321428572,1293908842.3191965,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.02,6.556257724761963,5.943742275238037,1.4622043073177338,0.08757689595222473,4.139610290527344,9.84351921081543,10.469510078430176,0.03880633041262626,3.9321534633636475,3.5138659477233887,10.205018043518066,2.4901647567749023,12.057059288024902,0.44294095039367676,0.022691687569022175,-1.0,16.89897346496582,39.73404312133789,0.12741370499134064,0.06180791929364204,0.9076278209686279,0.15093375742435455,544976464.0,-1.0,0.7451592683792114,20566257664.0,22087731200.0,-1.0,-1.0,433668128.0,91.28857231140137,545000000.0,0.035586178302764886,2090544.375,92.48871994018555,253628774.4013672,4147151.5,531567.0,221194752.0,0.12985268235206604,0.1383277475833893,300784768.0,15472601.0,2130912.0,351011268.87890625,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.03,20.387256622314453,19.81966999598912,4.293647221156529,0.0004863718724144286,4.869068690708706,32.84555925641741,35.45628901890346,0.02740909631497091,13.459040778023857,13.500063214983259,32.40521349225725,7.995243072509766,41.96276092529297,0.8943819318498883,0.34054664256317274,-1.0,104.2250497000558,333.9733232770647,0.36332568526268005,0.2825019189289638,4.950163636888776,0.15093375742435455,545004562.2857143,-1.0,6.554540974753245,53046174281.14286,57662879451.42857,-1.0,-1.0,888500537.1428572,70.89109448024205,545000000.0,0.1896206417254039,3532936.0627790177,92.48871994018555,616781113.1428572,6953038.199358259,853158.9508928572,552412996.5714285,0.6947193486349923,1.5840390750340052,722730770.2857143,34819297.14285714,3661355.8422154016,915679425.5803572,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.04,30.532411302839005,26.28845269339425,0.4598586303847177,0.0969195376216833,9.627607073102679,44.557949611118865,46.62550680977957,0.08638509494319023,15.906220436096191,16.267596653529576,46.0592041015625,11.179479598999023,53.73163822719029,3.4112194648810794,1.1440468430519104,-1.0,217.7671138218471,291.3576180594308,0.9683684951492718,0.298473311322076,6.545483384813581,0.15093375742435455,545004498.2857143,-1.0,13.734319278172084,76051008365.71428,82343753728.0,-1.0,-1.0,1376347638.857143,61.71780095781599,545000000.0,0.18763678627354757,5893703.892857143,92.48871994018555,901514784.0,11631034.58482143,1420531.3286830357,800717579.4285715,0.7854966265814645,3.3241352353777205,1057160118.8571428,52276272.70535714,6063884.915178572,1307338865.9642856,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.05,32.381742000579834,17.750383853912354,0.3884729743003845,0.10055261198431253,21.906327724456787,32.468250930309296,31.833595633506775,0.059308899430106955,11.338320434093475,11.172418321482837,33.849008440971375,9.925216607749462,48.36574861174449,14.134252160787582,0.2990525469649583,-1.0,93.43015098571777,321.7281017303467,0.7630165778100491,0.17610559376771562,3.641403377056122,0.15093375742435455,544952480.0,-1.0,3.4223585575819016,48614501440.0,51876992112.75,-1.0,-1.0,1020709047.625,48.24442559480667,545000000.0,0.3535095080733299,7452595.256347656,92.48871994018555,597238813.0,11716426.862548828,1730927.744140625,484142215.0,1.0549219995737076,0.6675762236118317,919061578.0625,47423479.25,6879813.681152344,830995885.734375,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.06,7.225656236921039,7.060058048793247,0.3884729743003845,0.10055261198431253,21.906327724456787,11.293530055454799,13.613619123186382,0.0004002848041376857,4.761650630405971,4.474497386387417,11.71563720703125,2.9205970764160156,13.93193054199219,0.35378377778189524,0.2472258976527623,-1.0,84.4305419921875,92.43208530970982,0.14854412419455393,0.11678223099027361,3.899365561349051,0.15093375742435455,545006619.4285715,-1.0,5.670531681605749,22352766098.285713,24892522496.0,-1.0,-1.0,242889984.0,90.77248437064034,545000000.0,0.07339241674968175,399686.21428571426,92.48871994018555,288666788.5714286,791098.6428571428,33943.627232142855,265493467.42857143,0.31026993479047504,1.4176329204014373,262120320.0,11343960.0,415597.28571428574,397710557.93973213,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.07,22.16075897216797,20.69638388497489,0.3884729743003845,0.09642200810568673,9.600946698869977,33.91484941755022,38.00940159388951,0.07248868061495677,14.005199704851423,12.992873873029437,35.158302307128906,8.63259642464774,41.45362091064453,1.403522048677717,0.420889322246824,-1.0,124.7245614188058,189.646235874721,0.442118763923645,0.24996794121606009,6.125952311924526,0.15093375742435455,544997321.1428572,-1.0,7.421258313315256,70324617216.0,76264381293.71428,-1.0,-1.0,1261850240.0,70.78814315795898,545000000.0,0.14625467785767146,5356766.214285715,92.48871994018555,838553618.2857143,10581340.57142857,1666758.1919642857,745483062.8571428,0.6069739205496651,1.7356049163000926,995618596.5714285,49800140.571428575,5510000.071428572,1211742990.1339285,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.08,24.937966346740723,23.665924549102783,2.346801519393921,0.08544817566871643,8.400825023651123,38.54287147521973,42.57368087768555,0.33891337718523573,16.2703058719635,15.125991582870483,38.97484111785889,9.588024854660034,48.76532173156738,1.2346780896186829,0.39128704788163304,-1.0,108.09631538391113,283.438289642334,0.4051382644101977,0.3150503635406494,5.2482956647872925,0.15093375742435455,545060608.0,-1.0,6.4804237484931955,68558048256.0,74264050432.0,-1.0,-1.0,1243195024.0,66.20799231529236,545000000.0,0.1994413174688816,5332373.443359375,92.48871994018555,813296292.0,10529418.041992188,1681191.93359375,722047442.0,0.7562622725963593,1.5243851244449615,956054432.0,47336607.0,5488971.4169921875,1181333604.5019531,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
0.09,7.4574110848563055,6.82830320085798,2.346801519393921,0.09704886163984026,4.731589726039341,11.28302001953125,12.803262983049665,0.0703437158039638,4.820314134870257,3.9520476205008372,11.703780038016182,2.856199264526367,13.776788984026227,0.5089255401066372,0.04512615714754377,-1.0,19.329315185546875,45.3059343610491,0.1455122573035104,0.06980742727007185,1.0320230211530412,0.15093375742435455,544937078.8571428,-1.0,0.8523250307355609,24565762340.57143,26332570770.285713,-1.0,-1.0,516741412.5714286,89.82914297921317,545000000.0,0.040442087820598056,2496755.1428571427,92.48871994018555,298631771.4285714,4950946.857142857,532527.3214285715,260569728.0,0.14798802988869802,0.1582214832305908,359275885.71428573,18372193.14285714,2543159.4285714286,336058476.02901787,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,41.0,43.0,46.0,18.0,11.0,72.0,72.0,545.0,2.0,15.805913507938383,2736.0,73.0,1.9669185876846316
