Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,36.214533996582034,24.473471069335936,1.0761528696332658,1.0200839519500733,31.20246810913086,0.09764755889773366,15.911881637573241,14.216547012329102,55.960723876953125,4.039275646209717,0.8569783210754395,-1.0,86.52783813476563,169.5648620605469,0.6352334976196289,0.2469134211540222,3.2053175926208497,0.12115763766424996,545045977.6,-1.0,3.4817755699157713,65638616268.8,112939283251.2,7611478016.0,129719736729.6,2141086464.0,56.36133728027344,545000000.0,0.16391388773918153,16170814.8,45.85337611607143,1153056921.6,32699120.8,2568164.05,956614822.4,0.6421291828155518,0.4228869557380676,2594566809.6,92739080.0,17154674.0,1341157044.6046875,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.01,36.214533996582034,24.473471069335936,1.0761528696332658,1.0200839519500733,31.20246810913086,0.09764755889773366,15.911881637573241,14.216547012329102,55.960723876953125,4.039275646209717,0.8569783210754395,-1.0,86.52783813476563,169.5648620605469,0.6352334976196289,0.2469134211540222,3.2053175926208497,0.12115763766424996,545045977.6,-1.0,3.4817755699157713,65638616268.8,112939283251.2,7611478016.0,129719736729.6,2141086464.0,56.36133728027344,545000000.0,0.16391388773918153,16170814.8,45.85337611607143,1153056921.6,32699120.8,2568164.05,956614822.4,0.6421291828155518,0.4228869557380676,2594566809.6,92739080.0,17154674.0,1341157044.6046875,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.02,7.722700391496931,5.770565577915738,1.0761528696332658,0.3663003785269601,31.20246810913086,0.0009671103076211,4.079263959612166,3.7830963134765625,14.169619968959264,0.11609473398753575,0.0029892501022134427,-1.0,32.54486083984375,95.30991036551339,0.04150313990456717,0.046123691967555454,0.8285489082336426,0.12115763766424996,544959716.5714285,-1.0,1.825059073311942,7661608960.0,13383992466.285715,884549924.5714285,15238155702.857143,292313398.85714287,90.88300704956055,545000000.0,0.033721391643796644,430453.0714285714,45.85337611607143,107405129.14285715,247549.92857142858,63070.044642857145,96251200.0,0.13601402725492204,0.31385793004717144,30087170.285714287,725305.5,125056.07142857143,263449830.734375,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.03,39.341722760881694,17.801134381975448,1.0761528696332658,0.756902984210423,35.72656413487026,0.3187195022474043,11.74943246692419,10.349448067801339,40.4683843425342,16.674472127641952,0.5677108934947422,-1.0,78.19240461077008,1178.5469665527344,0.544701703957149,0.17247231943266733,3.1800714901515414,0.12115763766424996,544990107.4285715,-1.0,2.574816942214966,53678180344.57143,92536927963.42857,6217703716.571428,106164347750.28572,1808778530.2857144,55.62410552161081,545000000.0,0.13351270556449887,14308330.0,45.85337611607143,958167339.5625,25171989.285714287,2946245.25,769763218.5714285,0.591671211378915,0.3103242516517639,2052316434.2857144,77391531.42857143,13973264.42857143,1229176231.28125,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.04,23.771624445915222,27.923980712890625,0.15165165439248085,10.934253826737404,21.305072784423828,0.03824244835413991,10.500144243240356,9.000051259994507,50.06763219833374,12.432367742061615,0.48671634681522846,-1.0,89.05572986602783,190.06850242614746,0.7243834882974625,0.15064943581819534,3.4170807376503944,0.05462462082505226,544969008.0,-1.0,3.526776283979416,50705712196.0,87335115316.0,5870153438.0,100243421380.0,1692669994.125,48.98940274119377,545000000.0,0.10020964965224265,10945853.974609375,45.21136474609375,880941661.0,21554351.635253906,1674503.0625,721989462.375,0.3920806795358658,0.5059284456074238,1725444269.375,62178416.77294922,11311964.68359375,1149635324.6347656,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.05,17.223834446498326,11.347594124930245,0.15165165439248085,0.49422149998801096,14.634529113769531,0.04568733062062944,7.561485835484096,6.49682262965611,26.819769723074778,1.751659665788923,0.25230458804539274,-1.0,41.68947274344308,89.74428885323661,0.2944604158401489,0.11501773340361457,1.578005041394915,0.05462462082505226,544997010.2857143,-1.0,1.6583430426461356,39026199990.85714,67573785746.28571,4415230829.714286,77228319890.28572,1313020233.142857,79.4720230102539,545000000.0,0.07907474040985106,8732109.42857143,45.21136474609375,675415954.2857143,17196500.0,1289546.5714285714,564045184.0,0.2991147041320801,0.19160311562674387,1377824877.7142856,50116665.14285714,9013942.285714285,855273984.9776785,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.06,7.836900983537946,6.448813302176339,0.15165165439248085,0.24434108393532888,6.816598074776786,0.0012256930183087,4.061052867344448,3.9605560302734375,13.493808201381137,0.7919058799743652,0.21918017523629324,-1.0,20.621991838727677,44.184927804129465,0.14780516283852713,0.057248975549425395,0.718148912702288,0.05462462082505226,545008603.4285715,-1.0,0.8691101755414691,15075477796.571428,25713227483.42857,1853014016.0,29785105554.285713,494008466.28571427,89.75206865583148,545000000.0,0.03536647132464817,3115567.1428571427,45.21136474609375,245736338.2857143,6130615.428571428,440269.96428571426,206821741.7142857,0.1498357057571411,0.11874502045767647,484932717.71428573,16204562.285714285,3223478.285714286,360342215.66964287,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.07,27.652900060017902,22.830958048502605,0.21277173360188797,0.8387754956881205,25.404876708984375,0.11200038343667984,12.6480499903361,12.107165018717447,45.82551701863607,4.174482782681783,0.5027845700581869,-1.0,72.98084767659505,140.0262451171875,0.5195032954216003,0.22176238397757211,2.7464117209116616,0.05462462082505226,545012042.6666666,-1.0,2.9542441368103027,46951182677.333336,80779605333.33333,5488461098.666667,92829444778.66667,1554414144.0,62.135673681894936,545000000.0,0.13843678434689838,10991971.0,45.21136474609375,815102388.2164713,21837098.333333332,1636163.25,680370496.0,0.5363658467928568,0.3598362406094869,1728899669.3333333,61174688.0,11444583.333333334,1027349285.5677084,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.08,30.715224583943684,19.471285820007324,0.10030276576677959,0.8037165602048238,26.220469156901043,0.062431272196893865,12.598138173421225,11.333578109741211,46.491722106933594,3.508277734120687,0.6790400445461273,-1.0,70.82693227132161,138.44425455729166,0.5263457894325256,0.196306844552358,2.58556866645813,0.05462462082505226,545014656.0,-1.0,2.816503922144572,46565325482.666664,80429707264.0,5329764522.666667,92109944149.33333,1531381077.3333333,63.03834819793701,545000000.0,0.13565638661384583,12373848.333333334,45.21136474609375,820793237.3333334,25012896.666666668,1806933.4583333333,674428832.0,0.5335212548573812,0.3278079330921173,1960786432.0,68467328.0,13132176.666666666,936916866.6770834,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
0.09,15.80691419328962,12.527809143066406,0.38568568229675293,14.167039923369884,21.695467267717635,0.044546928510369184,8.101470947265625,7.066021238054548,40.71024431501116,16.432613406862533,0.2943306565284729,-1.0,81.62015642438617,177.23334176199776,0.5875750013760158,0.1186818778514862,3.6471124461718967,0.17937160389763968,544924352.0,-1.0,2.7143248660223827,23856721984.0,40879712548.57143,2878751376.857143,47175328612.57143,807394710.6428572,52.64491896969931,545000000.0,0.07720816561153956,6561425.234933035,95.65563092912946,475739581.71428573,9439781.04017857,1405807.732142857,361774573.71428573,0.2892848082951137,0.4555704849106926,795496733.3571428,33905154.82198661,5693887.287946428,661131024.079241,0.3370116949081421,102.0,2.0,6330.0,1.0,28.741500854492188,2856.0,1920.0,3.0,58.0,58.0,61.0,28.0,36.0,58.0,72.0,545.0,2.0,18.81406009197235,2736.0,73.0,2.2135818004608154
