Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.3402623236179352,13.061948776245117,0.00509182922542095,6.945156574249268,0.5068575143814087,-1.0,-1.0,-1.0,0.22367607057094574,-1.0,0.6232424974441529,11.488792851567268,544965104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.16853380203247,545000000.0,-1.0,3425786.0,220.1497344970703,314615040.0,5786365.0,569692.6875,284728800.0,-1.0,-1.0,-1.0,7641116.0,3065065.25,493329415.3535156,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.01,1.3272716999053955,26.826073964436848,1.177811523899436,16.587189038594563,1.0582753270864487,-1.0,-1.0,-1.0,0.6193559964497884,-1.0,5.111189444859822,11.488792851567268,545013988.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.76267274220785,545000000.0,-1.0,13046672.5,220.1497344970703,998781509.3333334,25720301.75,1994072.7291666667,834430309.3333334,-1.0,-1.0,-1.0,74121303.0,13494893.979166666,1324838609.328125,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.02,0.5010592797771096,25.24337148666382,0.05351266606157876,5.535171985626221,0.2599315941333771,-1.0,-1.0,-1.0,0.34752336889505386,-1.0,2.1550827026367188,11.488792851567268,544869549.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.19219198822975,545000000.0,-1.0,10291852.25,220.1497344970703,665907796.0,17484304.75,1518330.5625,505286416.0,-1.0,-1.0,-1.0,56336773.0,9885901.875,809612105.2558594,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.03,0.3003125361033848,7.192745208740234,0.012779396293418744,8.335065841674805,0.2474794044558491,-1.0,-1.0,-1.0,0.15622479681457793,-1.0,0.7270041193280902,0.18390498842511857,544978962.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.99638175964355,545000000.0,-1.0,3133201.1428571427,51.791107177734375,253713216.0,6161861.31375558,510922.3348214286,209761590.85714287,-1.0,-1.0,-1.0,16513491.42857143,3246850.742327009,372261893.5714286,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.04,0.7389901195253644,21.498022896902903,0.0504926988588912,10.298116683959961,0.5320763289928437,-1.0,-1.0,-1.0,0.4420615775244577,-1.0,2.3380561556134904,0.18390498842511857,544976694.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.11821774074009,545000000.0,-1.0,11393380.857142856,51.791107177734375,879058147.8002232,22439579.42857143,1501408.8214285714,734887734.8571428,-1.0,-1.0,-1.0,65112614.85714286,11760835.42857143,1163221597.8995535,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.05,0.7471898794174194,21.867928096226283,0.2365102990131293,10.32176399230957,0.5664418595177787,-1.0,-1.0,-1.0,0.4499517168317522,-1.0,2.3260134969438826,0.18390498842511857,545010834.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.69349561418805,545000000.0,-1.0,12231650.857142856,51.791107177734375,914910683.4285715,24401304.0,1627819.0714285714,760793563.4285715,-1.0,-1.0,-1.0,70134134.85714285,12789983.714285715,1092448405.767857,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.06,0.06480881571769714,21.867928096226283,0.0027145982853003857,3.993792397635324,0.003369846248200957,-1.0,-1.0,-1.0,0.0016665123403072286,-1.0,2.3260134969438826,0.18390498842511857,545010084.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92.08666501726422,545000000.0,-1.0,154568.07142857142,51.791107177734375,41338898.28571428,1803.127232142857,25644.477678571428,39357860.571428575,-1.0,-1.0,-1.0,70134134.85714285,1803.127232142857,176926890.6919643,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.07,0.6577408323064446,31.299676418304443,0.02126139340543885,9.07503056526184,0.48595464322716,-1.0,-1.0,-1.0,0.47619258612394333,-1.0,2.3296476772853305,0.18390498842511857,545001248.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.42118322849274,545000000.0,-1.0,13156046.25,51.791107177734375,952497502.25,23107287.037109375,1999276.607142857,797242130.2857143,-1.0,-1.0,-1.0,69588357.71428572,12826301.787109375,1263343371.5401785,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.08,14.190294112477984,21.491150992257253,1.0975152972553457,10.036858694893974,0.4972049548689808,-1.0,-1.0,-1.0,0.6802683642932347,-1.0,2.9080039337277412,0.15271718055009842,544925147.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.497101715632844,545000000.0,-1.0,12443704.87388393,89.09918594360352,897546203.859375,24489678.059151787,2124813.21875,703312224.0,-1.0,-1.0,-1.0,71820983.484375,12846829.808035715,1149165330.6347656,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.09,0.5359457560947963,14.575967516217913,0.03702239479337418,6.314400264195034,0.22238988535744802,-1.0,-1.0,-1.0,0.29424563476017546,-1.0,1.603212560926165,0.15271718055009842,544999478.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.3481946672712,545000000.0,-1.0,9184483.714285715,89.09918594360352,704644589.7142857,18093399.42857143,1375295.357142857,586964626.2857143,-1.0,-1.0,-1.0,53410281.14285714,9474888.285714285,903273690.2276785,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.1,0.5224255664008004,8.108813149588448,0.021408689873559126,8.055874960763115,0.5877535854067121,-1.0,-1.0,-1.0,0.21445372700691223,-1.0,1.6920620373317175,0.15271718055009842,545118089.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.59464291163853,545000000.0,-1.0,3111530.0,89.09918594360352,242807241.14285713,6133284.535714285,465979.5,205066377.14285713,-1.0,-1.0,-1.0,16460325.214285715,3226175.125,355438331.28125,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.11,0.9789035980190549,21.613914489746094,1.5578350850514002,9.88074438912528,0.5143630211906773,-1.0,-1.0,-1.0,0.5989932077271598,-1.0,5.19762202671596,0.15271718055009842,544933952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.983058384486604,545000000.0,-1.0,11196157.5,89.09918594360352,860092950.8571428,22097895.42857143,1633609.0,719473956.5714285,-1.0,-1.0,-1.0,64186972.0,11580720.535714285,1143794877.127232,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.12,1.1961566380092077,22.597762516566686,0.22457745538226193,13.424597603934151,0.587216202701841,-1.0,-1.0,-1.0,0.5262402083192553,-1.0,4.884463582720075,0.15271718055009842,545004315.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.016546794346404,545000000.0,-1.0,12078291.857142856,89.09918594360352,930643300.5714285,23813752.82142857,1706766.8214285714,777567990.8571428,-1.0,-1.0,-1.0,68734721.14285715,12480420.625,1235736999.53125,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.13,0.7488862169640405,33.28872953142439,0.0671517814542832,3.328864506312779,0.4611479057265179,-1.0,-1.0,-1.0,0.2722461958016668,-1.0,1.7153639963694982,0.17406782933643886,544967908.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.27385834285191,545000000.0,-1.0,6269091.25,100.91111537388393,315997222.85714287,9499192.40736607,1166185.5357142857,207494509.7142857,-1.0,-1.0,-1.0,32508118.40011161,5761623.1640625,238580457.0200893,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.14,0.8564810412270683,15.454080854143415,0.09905684586348276,10.98077883039202,0.843125764812742,-1.0,-1.0,-1.0,0.3797434994152614,-1.0,3.702131067003523,0.17406782933643886,544966025.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.2618796484811,545000000.0,-1.0,8052886.428571428,100.91111537388393,643272246.8571428,15485445.32142857,1156084.517857143,542710294.8571428,-1.0,-1.0,-1.0,44741858.28571428,8172091.517857143,985863806.2321428,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.15,1.066610187292099,19.50550127029419,0.17941138183232397,10.006516456604004,0.45166137628257275,-1.0,-1.0,-1.0,0.4383763968944549,-1.0,4.449372291564941,0.17406782933643886,545013784.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.27079176902771,545000000.0,-1.0,10420003.28125,100.91111537388393,1184483520.0,20533657.9375,1308581.359375,1038487272.0,-1.0,-1.0,-1.0,59098769.5,10761783.8984375,1096027305.5136719,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.16,0.6991665533610752,23.236980438232422,0.17466266027518682,9.917820249285016,0.720379616533007,-1.0,-1.0,-1.0,0.45625434603009907,-1.0,2.1650041171482632,0.17406782933643886,545000685.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.15724127633231,545000000.0,-1.0,11159104.142857144,100.91111537388393,744357691.4285715,22519530.57142857,1336703.4285714286,612776470.8571428,-1.0,-1.0,-1.0,62384742.85714286,11803499.42857143,870912055.8058035,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.17,0.40791916847229004,23.236980438232422,0.0014613296038338,3.8385399409702847,0.04804120744977679,-1.0,-1.0,-1.0,0.08457382236208234,-1.0,1.8424242564610072,0.17406782933643886,544990390.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.75526373726981,545000000.0,-1.0,601796.5714285715,100.91111537388393,162498212.57142857,685646.7857142857,356993.39285714284,145748306.2857143,-1.0,-1.0,-1.0,4594850.285714285,356273.64285714284,314206167.06696427,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.18,0.7442573479243687,21.497067587716238,0.8751323308263507,10.193434579031807,0.5133620074817112,-1.0,-1.0,-1.0,0.4420912946973528,-1.0,2.345391273498535,0.17406782933643886,544992667.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.92494555882045,545000000.0,-1.0,11453576.285714285,100.91111537388393,884904289.9553572,22558801.714285713,1936458.4285714286,739107382.8571428,-1.0,-1.0,-1.0,65749260.571428575,11822338.0,1170603395.3794644,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.19,14.649028745080743,37.15163312639509,0.060720211456230404,13.59011949811663,0.6213821518634047,-1.0,-1.0,-1.0,0.8914538792201451,-1.0,5.644992896488735,0.17776032856532506,544947977.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.603671993528092,545000000.0,-1.0,15071228.280691965,94.59932163783482,1042929785.1428572,26873028.09151786,2712471.785714286,824980160.0,-1.0,-1.0,-1.0,82034783.08091518,14808408.286830356,1352303646.5223215,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
0.2,0.43289787428719656,17.13183539254325,0.02805108736668313,3.399021693638393,0.19166734069585797,-1.0,-1.0,-1.0,0.33615502289363314,-1.0,1.5082871232713972,0.17776032856532506,545106852.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.49585710253034,545000000.0,-1.0,7687201.214285715,94.59932163783482,372682010.28571427,15735656.57142857,530688.6428571428,304701604.5714286,-1.0,-1.0,-1.0,33779348.571428575,8220538.714285715,387130234.1316964,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,3.0,56.0,55.0,56.0,26.0,25.0,61.0,72.0,545.0,2.0,20.41330486536026,2736.0,1.0,73.0,2.232675552368164
