Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,13.63410472869873,11.36589527130127,0.23639457566397531,0.4978696405887603,11.90942096710205,17.140438079833984,17.29742431640625,0.04304509237408637,6.293076515197754,5.839159965515137,17.776988983154297,5.46864652633667,23.52797508239746,1.4720253944396973,0.14775361120700836,12.235196113586426,39.68365478515625,77.74291229248047,0.2584187984466553,0.11838393658399582,1.43478262424469,0.10736726224422455,544952064.0,0.8148460984230042,1.5900403261184692,28256743424.0,48524947456.0,3497702656.0,56016920576.0,933789120.0,81.62834787368774,545000000.0,0.07237405329942702,5841001.5,92.17298126220703,548985216.0,11519226.0,1533758.375,464121184.0,0.2604745030403137,0.20154494047164917,996792512.0,34651140.0,6037698.5,688420097.765625,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.01,17.20627158028739,11.365156991141182,0.23639457566397531,0.5834010006593806,24.928741455078125,25.55907917022705,25.110783917563303,0.015528065019420185,7.029797962733677,7.112134660993304,26.95377826690674,7.720182757292475,40.029158455984934,17.113698039736068,0.34484132059982847,22.42000961303711,74.59531729561942,135.20486450195312,0.6545628734997341,0.10424551367759705,2.810930609703064,0.09018246616636004,544969435.4285715,1.2381104401179723,2.0379381009510587,46003460850.28571,69254531364.57143,4595261984.571428,85225987200.0,1291131249.4285715,50.67758788381304,545000000.0,0.0734172250543322,9467524.947544644,43.67467825753348,671071693.7142857,15745229.224330356,1938270.4642857143,513674166.85714287,0.30003559589385986,0.2550474149840219,1472679796.5,57534454.06863839,9046051.38950893,856292383.5357143,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.02,26.01836119379316,31.37396022251674,0.23639457566397531,1.271068472681301,35.41694961275373,39.87208727427891,41.473842075892854,0.10490883594112735,12.75633362361363,15.187931878226143,42.27270637239729,13.085534555571419,51.30429186139788,20.12427956717355,0.5247353538870811,32.19499969482422,109.21432495117188,158.70761925833565,0.7058710370744977,0.3138843136174338,4.9992884908403665,0.1542123896735055,544974893.7142857,2.199890749795096,3.83761288864272,64229101568.0,100260383890.28572,6809925028.571428,121169216950.85715,1884603490.2857144,42.251968826566426,545000000.0,0.1554045762334551,13558654.857142856,104.48292759486607,993260253.7142857,23359556.42857143,2625948.1964285714,804107152.0,0.6382837295532227,0.4681377751486642,2139523620.5714285,81668010.28571428,13153276.42857143,1274144577.9419644,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.03,17.80967746462141,25.377498626708984,0.15087871892111643,0.9532209294182914,15.953665597098214,31.78173610142299,29.011637210845947,0.10023555319224084,9.017840998513359,11.237454005650111,34.43920762198312,11.478580066135951,50.24840654645647,6.894450732639858,0.39583757227020605,29.161441802978516,88.91571698869977,176.69147573198592,0.6790507520948138,0.2622759980814798,4.014594503811428,0.062423765659332275,544957056.0,2.005453109741211,3.2978154591151645,41343771346.28571,71445637412.57143,4707480028.0,81774069421.71428,1389642143.2142856,52.55088991778238,545000000.0,0.11874723860195704,8224736.401785715,50.143641880580354,736857842.2857143,16130069.138392856,1383997.267857143,595257008.0,0.4960585491997855,0.4472803771495819,1457811701.9285715,52303432.71428572,8524126.04017857,917805131.8370535,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.04,7.802314221858978,18.000436782836914,0.15087871892111643,0.4966522769536823,24.007421731948853,18.819422841072083,14.83729338645935,0.004929856921080488,3.209357410669327,7.518640756607056,21.48438584804535,7.070344895124435,30.181275367736816,19.81872507929802,0.24352558457758278,20.90229082107544,60.803096771240234,79.31435084342957,0.5812008157372475,0.2094993107020855,2.184993639588356,0.1326148696243763,544951200.0,1.3747633397579193,1.5231238454580307,22052374520.0,27679486528.0,2044737550.5,37936854440.0,468840774.875,54.12249693274498,545000000.0,0.059723267331719385,6696638.637207031,87.92309188842773,302947520.0,10924288.995117188,945827.3515625,201860352.0,0.44742329418659205,0.1786065623164177,915454790.625,35279817.658203125,6353183.4736328125,364117286.6582031,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.05,25.456751142229354,17.32739039829799,0.5445295061383929,1.04377721223448,25.37943022591727,35.71308285849435,37.92346000671387,0.06238451433767163,11.580576760428292,10.399472917829241,37.35894530160086,10.784478628209659,53.881985255650115,17.546586411339895,0.3999318259635142,29.412328447614396,109.02812194824219,220.31216866629464,0.7654131140027728,0.16830120767865858,5.144186173166547,0.11534213168280465,544973019.4285715,1.6897521018981934,3.7095945051738193,62486194313.14286,96957153280.0,6588410634.285714,117553181440.0,1829187322.0714285,41.31641238076346,545000000.0,0.11421027353831699,10809347.95033482,47.49371773856027,975314313.1428572,17678114.03236607,2872813.035714286,777767460.5714285,0.4475203411919729,0.561588968549456,1736770058.4285715,68287823.28125,10215532.84375,1256983861.236607,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.06,32.95957565307617,24.914756229945592,0.2253675971712385,1.28708393233163,19.94057927812849,39.92737906319754,42.05974197387695,0.12098534179053133,13.235707827976771,14.229726246425084,41.84090968540737,12.327638081141881,52.541624886649,4.601232154028756,0.5225983517510551,30.168003627232142,103.0948726109096,182.04473114013672,0.5713689156941005,0.25640893833977835,5.006407397133963,0.061865717172622674,544974902.8571428,1.866835696356637,4.374890736171177,65162409984.0,101500102948.57143,6894253202.285714,122806714368.0,1906898752.0,56.29279463631766,545000000.0,0.15900554401533942,10810298.42857143,53.080025809151785,967040905.1428572,21258669.57142857,1988431.0,811920530.2857143,0.6353856325149536,0.6121689677238464,1928297088.0,69755022.85714285,11206453.642857144,1271211144.189732,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.07,7.8272089276994965,6.458505358014789,0.2253675971712385,0.3703827706298658,21.05021939958845,13.997925962720599,11.570063386644636,0.1363048381837351,3.98823983328683,3.067981175013951,14.989969526018415,4.581083876746042,26.38526807512556,16.47187464577811,0.16628823934921197,13.264210292271205,49.10025678362165,89.04731096540179,0.50618748153959,0.06731391378811427,1.772304892539978,0.1949920994894845,544950866.2857143,0.7894339561462402,0.95636904665402,15644409636.571428,26739575076.57143,1924713597.4285715,30938911058.285713,515741550.5714286,61.47747213499887,545000000.0,0.041060847895486016,6043032.7578125,102.35009765625,365450274.48214287,8569622.659598215,1622156.7142857143,255110162.2857143,0.14888838359287807,0.11495794568743024,774689625.5714285,31614046.09151786,5351526.754464285,413886301.3683036,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.08,17.178327287946427,11.393101283482142,0.2253675971712385,0.5703850814274379,24.93262835911342,22.15113592147827,24.501112993274415,0.006907750386744728,6.993829454694476,7.227968760899135,23.019074167524064,6.318142533302307,27.989966324397496,14.867176873343329,0.3617886443223272,22.46789005824498,64.09643009730748,126.36728777204242,0.3985337955611093,0.10409832852227345,2.7236595835004533,0.12740853003093175,544982674.2857143,1.246056011744908,2.0381569223744527,49978481170.28571,74995066002.28572,4987485946.285714,92463496461.71428,1396263333.5,50.59878156866346,545000000.0,0.07326533113207134,10061762.0,50.18033708844866,719008280.6428572,16874108.705636162,1758842.0,554858386.2857143,0.3000441108431135,0.2552360040800912,1578157970.2857144,61220061.71428572,9654829.780412946,925874714.4642857,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
0.09,24.99242183140346,17.849323272705078,0.09337979555130005,11.435108576502119,36.611280713762554,33.162232398986816,37.917231862034114,0.14598850799458368,11.564515522548131,10.412830897739955,34.64812878199986,10.034852300371442,40.769589603213326,16.37326656069074,0.4137856438755989,23.185257502964564,93.41459437779018,159.4700448172433,1.3867622528757368,0.1714339256286621,3.548864024026053,0.17248196687017167,545021860.5714285,1.3837237358093262,3.781407492501395,64699128685.71429,100277567488.0,6814712393.142858,121652627748.57143,1880776630.857143,41.204412715775625,545000000.0,0.1148413164275033,10670380.754952567,101.29671805245536,953020033.3571428,20954938.832868304,2321504.4508928573,798589879.4285715,0.4489318983895438,0.47085211106709074,1896797184.0,68735547.42857143,11050435.47126116,1254314683.564732,1.1645469665527344,1117.0,462.0,12249.0,6.0,22.830432891845703,3068.0,3647700644.0,1920.0,3.0,48.0,47.0,54.0,30.0,36.0,29.0,72.0,545.0,2.0,26.209965348243717,3196.0,2.0,1.0,2.292571544647217
