Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.5219892263412476,8.202363967895508,0.06728434562683105,6.882306575775146,0.16615113615989685,-1.0,-1.0,-1.0,0.2750011384487152,-1.0,1.8643718957901,0.10919608175754547,544959568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.94623041152954,545000000.0,-1.0,4201522.5,95.14747619628906,455952800.0,9008944.0,1644148.375,377277248.0,-1.0,-1.0,-1.0,34466224.0,4621693.5,366345102.71484375,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.01,1.0866878040667092,23.510806764875138,0.0040445434860885,11.075554166521345,0.28025761299899643,-1.0,-1.0,-1.0,0.4767928293773106,-1.0,4.948476450783866,0.1154002036367144,544980086.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.15393730572292,545000000.0,-1.0,9003048.92857143,50.08503941127232,717332453.1428572,14098638.578822544,2031196.0357142857,557503195.4285715,-1.0,-1.0,-1.0,57986652.571428575,8259305.935965402,1045128795.828125,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.02,1.2239286459516734,25.551740884780884,0.0398060370935127,13.326052904129028,0.4449655378120951,-1.0,-1.0,-1.0,0.583887130022049,-1.0,5.427475392818451,0.1505245752632618,545239976.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.39466147124767,545000000.0,-1.0,10181229.3125,88.84954833984375,887001428.0,17403800.260864258,2353394.65625,704763156.0,-1.0,-1.0,-1.0,69818913.0,9787594.260864258,1146969273.875,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.03,10.838422707148961,21.02122633797782,0.05162014333265167,7.293824332101004,0.22171020294938767,-1.0,-1.0,-1.0,1.6607754400798254,-1.0,2.1995224271501814,0.06293596114431109,544629586.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.3480081813676,545000000.0,-1.0,6664805.253208705,55.88543701171876,716894230.1428572,13156344.877232144,2242315.214285714,601419245.7142857,-1.0,-1.0,-1.0,53046676.571428575,6866260.362723215,934316698.9040178,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.04,0.3175421109689133,18.51738166809082,0.0008109917731157285,3.9378604888916016,0.18585894655968463,-1.0,-1.0,-1.0,0.24973285198211667,-1.0,1.8236938885280065,0.11434458834784371,544974436.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.25510547842298,545000000.0,-1.0,4905890.857142857,44.760877336774556,310769089.4123884,6732763.002790178,1057327.892857143,216746642.2857143,-1.0,-1.0,-1.0,27561165.714285713,4279293.002790178,402252776.2410714,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.05,0.8337768919300288,23.882609367370602,0.030985263409092998,9.945777416229248,0.2848673283588141,-1.0,-1.0,-1.0,0.47557234764099116,-1.0,3.6324132084846497,0.15142745897173882,544956832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.96640546619892,545000000.0,-1.0,10173196.375,90.19732284545898,882775141.0,17237970.361450195,2489536.75,699401024.0,-1.0,-1.0,-1.0,70084684.0,9732785.986450195,1146387676.7851562,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.06,1.189188071659633,13.301394871303014,0.03492498038602724,15.381217411586217,0.26328260105635437,-1.0,-1.0,-1.0,0.45332759405885426,-1.0,3.1513258389064243,0.06134956223624093,544998500.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.981650488717214,545000000.0,-1.0,8867414.089285715,51.656507219587056,943791190.8571428,17521385.98214286,2353917.940848214,793259501.7142857,-1.0,-1.0,-1.0,68038585.14285715,9157915.125,1258039299.919643,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.07,0.32852329606456415,18.714235305786133,0.006976635860545285,3.930858612060547,0.15909411226000106,-1.0,-1.0,-1.0,0.25035710845674786,-1.0,1.9508403369358607,0.18352581347737992,544929033.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.87752134459359,545000000.0,-1.0,5239703.714285715,102.53720964704242,358484873.14285713,7153308.285714285,1464235.857142857,260595437.7142857,-1.0,-1.0,-1.0,31390533.714285713,4534556.857142857,299017932.171875,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.08,0.8873576826881617,20.573558807373047,0.11283180976897708,9.71676754951477,0.25804242864251137,-1.0,-1.0,-1.0,0.3889395333826542,-1.0,3.2586459517478943,0.1234084740281105,544987944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.03661900758743,545000000.0,-1.0,7705780.28125,41.74784469604492,583645448.0,12439379.421875,1591212.29296875,439959512.0,-1.0,-1.0,-1.0,51448759.65625,7247753.21875,844964784.0449219,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
0.09,1.4058352546500308,28.15936197553362,0.04408134999019756,15.259249823434013,0.41201206722429823,-1.0,-1.0,-1.0,0.6147965788841248,-1.0,5.931522369384766,0.17776342800685338,544970249.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.89568144934518,545000000.0,-1.0,11736656.17857143,102.41135515485492,1026208712.0,20074134.9828404,2816597.4464285714,814898614.8571428,-1.0,-1.0,-1.0,81345610.0,11289535.929268973,1323833614.810268,1.081145167350769,1120.0,461.0,12267.0,5.0,24.17796897888184,2915.0,1920.0,3.0,48.0,44.0,50.0,28.0,24.0,31.0,72.0,545.0,2.0,26.90106630325317,3196.0,1.0,2.47329044342041
