Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.28,1.1121751070022583,1089.0,451.0,12214.0,5.0,22.414379119873047,3155.0,2954870932.0,1920.0,3.0,47.0,46.0,51.0,15.0,18.0,17.0,72.0,545.0,2.0,26.89866423606873,3196.0,1.0,5.0,2.474529504776001
0.28,2523.318359375,1089.0,451.0,12214.0,5.0,22.414379119873047,3155.0,2954870932.0,1920.0,3.0,47.0,46.0,51.0,15.0,18.0,17.0,72.0,545.0,2.0,26.89866423606873,3196.0,1.0,5.0,2.474529504776001
0.3,1.0810760259628296,145.0,2.0,6661.0,1.0,22.414379119873047,3155.0,2954870932.0,1920.0,3.0,47.0,46.0,51.0,15.0,18.0,17.0,72.0,545.0,2.0,26.89866423606873,3196.0,1.0,5.0,2.474529504776001
1.0,1.081426978111267,1089.0,451.0,12214.0,5.0,22.541135787963867,3155.0,2954870932.0,1920.0,3.0,45.0,45.0,52.0,30.0,31.0,26.0,72.0,545.0,2.0,26.900216937065125,3196.0,1.0,5.0,2.4694812297821045
1.28,2523.318359375,1089.0,451.0,12214.0,5.0,22.541135787963867,3155.0,2954870932.0,1920.0,3.0,45.0,45.0,52.0,30.0,31.0,26.0,72.0,545.0,2.0,26.900216937065125,3196.0,1.0,5.0,2.4694812297821045
1.3,1.0811244249343872,145.0,2.0,6661.0,1.0,22.541135787963867,3155.0,2954870932.0,1920.0,3.0,45.0,45.0,52.0,30.0,31.0,26.0,72.0,545.0,2.0,26.900216937065125,3196.0,1.0,5.0,2.4694812297821045
2.0,1.081440567970276,1089.0,451.0,12214.0,5.0,22.567153930664062,3155.0,2954870932.0,1920.0,3.0,50.0,48.0,57.0,24.0,30.0,27.0,72.0,545.0,2.0,26.88145339488983,3196.0,1.0,5.0,2.473446846008301
2.28,2523.318359375,1089.0,451.0,12214.0,5.0,22.567153930664062,3155.0,2954870932.0,1920.0,3.0,50.0,48.0,57.0,24.0,30.0,27.0,72.0,545.0,2.0,26.88145339488983,3196.0,1.0,5.0,2.473446846008301
2.3,1.045798897743225,145.0,2.0,6661.0,1.0,22.567153930664062,3155.0,2954870932.0,1920.0,3.0,50.0,48.0,57.0,24.0,30.0,27.0,72.0,545.0,2.0,26.88145339488983,3196.0,1.0,5.0,2.473446846008301
3.0,1.0471299886703491,1089.0,451.0,12214.0,5.0,22.55723571777344,3155.0,2954870932.0,1920.0,3.0,50.0,50.0,54.0,23.0,24.0,19.0,72.0,545.0,2.0,26.871401071548465,3196.0,1.0,5.0,2.47145676612854
3.28,2523.318359375,1089.0,451.0,12214.0,5.0,22.55723571777344,3155.0,2954870932.0,1920.0,3.0,50.0,50.0,54.0,23.0,24.0,19.0,72.0,545.0,2.0,26.871401071548465,3196.0,1.0,5.0,2.47145676612854
3.3,1.0814504623413086,145.0,2.0,6661.0,1.0,22.55723571777344,3155.0,2954870932.0,1920.0,3.0,50.0,50.0,54.0,23.0,24.0,19.0,72.0,545.0,2.0,26.871401071548465,3196.0,1.0,5.0,2.47145676612854
4.0,1.0836344957351685,1089.0,451.0,12214.0,5.0,22.41486167907715,3155.0,2954870932.0,1920.0,3.0,50.0,45.0,52.0,22.0,19.0,25.0,72.0,545.0,2.0,26.8560528755188,3196.0,1.0,5.0,2.469419002532959
4.28,2523.318359375,1089.0,451.0,12214.0,5.0,22.41486167907715,3155.0,2954870932.0,1920.0,3.0,50.0,45.0,52.0,22.0,19.0,25.0,72.0,545.0,2.0,26.8560528755188,3196.0,1.0,5.0,2.469419002532959
4.3,1.080346703529358,145.0,2.0,6661.0,1.0,22.41486167907715,3155.0,2954870932.0,1920.0,3.0,50.0,45.0,52.0,22.0,19.0,25.0,72.0,545.0,2.0,26.8560528755188,3196.0,1.0,5.0,2.469419002532959
5.0,1.078905701637268,1089.0,451.0,12214.0,5.0,22.38558387756348,3155.0,2954870932.0,1920.0,3.0,47.0,47.0,50.0,22.0,17.0,16.0,72.0,545.0,2.0,26.88889503479004,3196.0,1.0,5.0,2.473376989364624
