Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.28,1.1036739349365234,493.0,81.0,11638.0,6.0,25.689435958862305,2239.0,1920.0,3.0,46.0,45.0,54.0,25.0,27.0,20.0,72.0,545.0,2.0,26.43045783042908,3196.0,1.0,3.0,2.3009395599365234
0.28,2523.318359375,493.0,81.0,11638.0,6.0,25.689435958862305,2239.0,1920.0,3.0,46.0,45.0,54.0,25.0,27.0,20.0,72.0,545.0,2.0,26.43045783042908,3196.0,1.0,3.0,2.3009395599365234
0.3,1.1681113243103027,150.0,2.0,6661.0,1.0,25.689435958862305,2239.0,1920.0,3.0,46.0,45.0,54.0,25.0,27.0,20.0,72.0,545.0,2.0,26.43045783042908,3196.0,1.0,3.0,2.3009395599365234
1.0,1.136780858039856,493.0,81.0,11638.0,6.0,24.97089385986328,2239.0,1920.0,3.0,45.0,44.0,52.0,27.0,28.0,24.0,72.0,545.0,2.0,26.150807738304135,3196.0,1.0,3.0,2.293963670730591
1.28,2523.318359375,493.0,81.0,11638.0,6.0,24.97089385986328,2239.0,1920.0,3.0,45.0,44.0,52.0,27.0,28.0,24.0,72.0,545.0,2.0,26.150807738304135,3196.0,1.0,3.0,2.293963670730591
1.3,1.1661782264709473,150.0,2.0,6661.0,1.0,24.97089385986328,2239.0,1920.0,3.0,45.0,44.0,52.0,27.0,28.0,24.0,72.0,545.0,2.0,26.150807738304135,3196.0,1.0,3.0,2.293963670730591
2.0,1.1348050832748413,493.0,81.0,11638.0,6.0,24.514875411987305,2239.0,1920.0,3.0,57.0,52.0,61.0,42.0,42.0,36.0,72.0,545.0,2.0,26.105791330337524,3196.0,1.0,3.0,2.3054358959198
2.28,2523.318359375,493.0,81.0,11638.0,6.0,24.514875411987305,2239.0,1920.0,3.0,57.0,52.0,61.0,42.0,42.0,36.0,72.0,545.0,2.0,26.105791330337524,3196.0,1.0,3.0,2.3054358959198
2.3,1.0987743139266968,150.0,2.0,6661.0,1.0,24.514875411987305,2239.0,1920.0,3.0,57.0,52.0,61.0,42.0,42.0,36.0,72.0,545.0,2.0,26.105791330337524,3196.0,1.0,3.0,2.3054358959198
3.02,1.098666787147522,1136.0,451.0,12197.0,6.0,24.041841506958008,2862.0,1920.0,3.0,47.0,45.0,50.0,26.0,23.0,25.0,72.0,545.0,2.0,26.03384554386139,3196.0,1.0,3.0,2.296224355697632
