Time (s),% Nearest Filtered,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,40.69293594360352,0.6231773048639299,25.2507905960083,0.7207049173302948,13.877418518066406,12.778435230255127,93.70455169677734,6.295448303222656,0.5940015017986298,24.338562965393066,73.47631454467773,157.94886779785156,0.5179062783718109,0.19057530909776685,2.6576521396636963,0.11276390722819737,545019248.0,1.5432813167572021,2.9903924465179443,53556742144.0,92300068864.0,6183682048.0,105890463744.0,1789192640.0,64.58944892883301,545000000.0,0.1267750635743141,11843646.5,45.108328683035715,884591680.0,23281768.0,1788807.0625,738042464.0,-1.0,0.3667924553155899,1890240064.0,67321380.0,12269519.0,1191080781.8671875,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.01,40.69293594360352,0.6909845215933663,22.235313960484095,0.09752208952392849,11.63505118233817,9.974567413330078,93.70455169677734,6.295448303222656,0.38060263650757925,20.912230355398997,62.35557338169643,125.56253705705915,0.4518062046595982,0.16996149931635177,2.3559231758117676,0.11276390722819737,545000530.2857143,1.2954513686043876,2.5303211212158203,42951918738.28571,73617372891.42857,4920318683.428572,84680924013.71428,1409078930.2857144,68.49252264840263,545000000.0,0.11655774286815097,10614133.142857144,45.108328683035715,745663232.0,21478714.85714286,1555627.607142857,611577179.4285715,-1.0,0.3112193005425589,1716643108.5714285,61921340.571428575,11272487.42857143,879739960.7209822,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.02,40.69293594360352,0.16811321462903703,22.235313960484095,0.030022499816758284,4.979147774832589,3.8541363307407925,93.70455169677734,6.295448303222656,0.01574178146464483,7.118323189871652,20.99102783203125,95.31862967354911,0.024278676935604628,0.0565460239137922,0.14722796848842074,0.11276390722819737,545009261.7142857,0.4876138482775007,0.7591442380632673,6598437741.714286,11264933888.0,837831899.4285715,13068736219.428572,231093266.2857143,91.07356098720005,545000000.0,0.03441108763217925,344649.25,45.108328683035715,95751744.0,124220.86607142857,36219.296875,91707254.85714285,-1.0,0.008281573653221129,8917869.714285715,60365.49553571428,58573.392857142855,245668303.93526787,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.03,40.69293594360352,0.66016743012837,21.73288999285017,0.02433043305895157,11.599760328020368,10.643952233450753,93.70455169677734,6.295448303222656,0.32313890968050274,20.965714590890066,62.28855678013393,134.33689662388392,0.44224948542458664,0.1722132010119302,2.3231541088649204,0.11276390722819737,544988836.5714285,1.329002789088658,2.5300632204328264,55507089115.42857,95030830226.28572,6455667565.714286,109478168868.57143,1836926866.2857144,69.29811559404645,545000000.0,0.11512866829122814,12208078.0,45.108328683035715,942923028.9902344,24043438.85714286,2003953.9642857143,788489325.7142857,-1.0,0.3115057349205017,1915880886.857143,69236694.85714285,12603123.142857144,1270268769.2901785,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.04,40.69293594360352,0.6619636075837272,21.72892161778041,0.5177792949335916,12.143014635358538,10.462808064052037,93.70455169677734,6.295448303222656,0.38261596645627705,20.96549551827567,62.29247392926897,134.29937744140625,0.44225992475237164,0.1722972563334874,2.317643029349191,0.11276390722819737,545002130.2857143,1.3290248598371233,2.5301429203578403,53517273380.57143,91598773101.71428,6226210084.571428,105542870162.28572,1770450578.2857144,69.7520569392613,545000000.0,0.11492175076689037,11768690.0,45.108328683035715,910737760.0524553,23179265.714285713,1762909.482142857,761453494.8571428,-1.0,0.3114803263119289,1845968749.7142856,66574376.0,12148380.285714285,1226686020.9441965,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.05,40.69293594360352,0.30476822171892437,7.3144378662109375,0.046427462782178595,3.9863362993512834,3.3672989436558316,93.70455169677734,6.295448303222656,0.06763797572680881,7.057889120919364,20.304861886160715,43.98163277762277,0.14630062239510672,0.0632787389414651,0.808839729854039,0.11276390722819737,545007561.1428572,0.4477411338261196,0.8213928086417062,16235571492.571428,27400615643.42857,1899084214.857143,31834963968.0,526862372.5714286,90.03306089128766,545000000.0,0.042664919580732076,3554683.714285714,45.108328683035715,294092598.85714287,7030774.857142857,1046323.6428571428,246254793.14285713,-1.0,0.10193978037152972,538351250.2857143,20611316.57142857,3640367.1428571427,391640850.8504464,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.06,40.69293594360352,0.3836507094757898,28.67441994803292,0.35732523458344595,7.884119578770229,7.333958489554269,93.70455169677734,6.295448303222656,0.38853929724012104,17.151798520769393,57.89275360107422,101.10189274379185,0.39819103479385376,0.10892704980713981,2.3675552776881625,0.11276390722819737,544952566.8571428,0.8812524931771415,1.7563264667987823,38354042435.42857,66050750171.42857,4445024694.857142,75824445873.14285,1280028236.9107144,65.75706556865147,545000000.0,0.07260286382266454,10962523.42857143,45.108328683035715,677401206.8571428,18601780.42857143,1719759.392857143,528453558.85714287,-1.0,0.20954502480370657,1547679104.0,58154443.428571425,10552639.57142857,879593640.5892857,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.07,40.69293594360352,21.047619700431824,29.721285820007324,0.08134514465928076,10.165006875991821,9.209432601928711,93.70455169677734,6.295448303222656,0.41016691899858415,23.736926555633545,62.999162673950195,155.25719451904297,1.821213036775589,0.15052543580532074,2.220240034162998,0.053692832589149475,544980912.0,1.4318589568138123,2.2051610350608826,50626561408.0,86553792512.0,5880203534.75,99783660688.0,1674049570.0,48.459551475942135,545000000.0,0.10073979012668131,11126118.273742676,46.32667922973633,871672645.375,21911615.790527344,1613517.515625,717519616.0,-1.0,0.2709198668599129,1746307631.4375,63093709.47705078,11494696.787109375,1167705622.0839844,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.08,40.69293594360352,0.6662017788205828,21.722531454903738,0.4446220342069864,11.84109115600586,10.454154150826591,93.70455169677734,6.295448303222656,0.36630161319460186,20.96688679286412,62.29962158203125,134.20819527762276,0.44227843625204905,0.17211251173700606,2.320538180215018,0.053692832589149475,545041956.5714285,1.329080513545445,2.5304102216448103,54887880411.42857,93956440064.0,6384061147.428572,108250164662.85715,1815809755.4285715,69.56749180385044,545000000.0,0.11501508099692206,12072229.142857144,46.32667922973633,932518966.8571428,23776710.285714287,2063837.892857143,780263789.7142857,-1.0,0.3114404933793204,1894013659.4285715,68443610.28571428,12462085.42857143,1257194901.1986606,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
0.09,40.69293594360352,0.6662017788205828,21.722531454903738,0.4446220342069864,11.84109115600586,10.454154150826591,93.70455169677734,6.295448303222656,0.36630161319460186,20.96688679286412,62.29962158203125,134.20819527762276,0.44227843625204905,0.17211251173700606,2.320538180215018,0.053692832589149475,544956982.8571428,1.329080513545445,2.5304102216448103,54887880411.42857,93956440064.0,6384061147.428572,108250164662.85715,1815809755.4285715,100.0,545000000.0,0.11501508099692206,12072229.142857144,46.32667922973633,101228.25892857143,23776710.285714287,2063837.892857143,780263789.7142857,-1.0,0.3114404933793204,1894013659.4285715,68443610.28571428,12462085.42857143,241407.69419642858,0.9857892394065856,435.0,62.0,12184.0,7.0,18.361406326293945,2147.0,5689634575.0,2208.0,3.0,60.0,58.0,63.0,34.0,29.0,62.0,72.0,456.0,2.0,19.47082281112671,3196.0,63.0,2.2079532146453857
