Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,30.966561317443848,19.033438682556152,0.13867230074746267,1.0284338295459747,24.893962860107422,0.0184360584244132,12.77854871749878,11.101887226104736,46.927833557128906,3.072165608406067,0.678724728524685,-1.0,75.82697677612305,155.96348571777344,0.5151636302471161,0.188264325261116,2.962439775466919,0.1725075798375266,544369216.0,-1.0,3.017312169075012,70643724288.0,122487885824.0,7912088320.0,139799752704.0,2381543296.0,63.52178907394409,545000000.0,0.13828396797180176,15411864.5,98.49620274135044,1193702208.0,30374309.0,3049545.75,990326112.0,0.5240712463855743,0.3316819816827774,2508151424.0,94679508.0,15886468.0,1503598121.453125,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.01,7.507811955043247,6.777902330671039,0.13867230074746267,0.03259535772459847,4.7902390616280695,0.0026199711220604997,3.9411487579345703,4.361544745309013,13.722424098423549,0.5632898126329694,0.052611856588295515,-1.0,24.090576171875,45.54068865094866,0.14757387978690012,0.058965329613004415,0.9028026717049736,0.1725075798375266,544977728.0,-1.0,1.059926986694336,21772114797.714287,26745232237.714287,2028357632.0,37173088841.14286,456861586.28571427,82.76027815682548,545000000.0,0.034641768251146586,2226398.714285714,98.49620274135044,225189641.25,4384691.66545759,509983.96428571426,194673627.42857143,0.14954897335597447,0.16145517144884383,404906934.85714287,14534542.857142856,2301725.8083147323,316441000.5089286,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.02,25.200355529785156,17.6567873273577,0.13867230074746267,0.9061231740883419,26.60983657836914,0.09709366730281285,11.249439784458705,10.533505303519112,40.90879603794643,16.234061104910715,0.22186614573001862,-1.0,90.22000994001117,151.14022827148438,0.6166808434895107,0.16660794615745544,3.8560922145843506,0.1725075798375266,545007533.7142857,-1.0,3.5937108312334334,63092148516.57143,97803864356.57143,6635794432.0,118629873371.42857,1835140278.857143,55.85149301801409,545000000.0,0.11306871260915484,11108208.57142857,98.49620274135044,917305677.7142857,21876323.714285713,1867697.4285714286,768728704.0,0.4489562511444092,0.40155913148607525,1850242669.7142856,70224997.71428572,11451300.857142856,1186224311.5848215,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.03,26.213031700679235,31.74211665562221,0.13867230074746267,1.0491819360426493,35.88800484793527,0.03661382291465994,11.750046866280693,10.637899126325335,46.94604975836618,24.48252204486302,0.31572141711200985,-1.0,113.4391359601702,198.69723510742188,0.6956818955285209,0.16661455375807627,4.972601447786603,0.1725075798375266,544920210.2857143,-1.0,4.370702121938978,66819755958.85714,103751370788.57143,7035081383.142858,125730523163.42857,1949083560.142857,41.170660734176636,545000000.0,0.11342413510595048,14355718.57142857,98.49620274135044,1030528665.6339285,25427267.0,2597791.0535714286,815859161.7142857,0.4470972163336618,0.5739702326910836,2176777179.428571,83943333.71428572,14048501.42857143,1290835989.7254465,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.04,8.13499287196568,6.673941476004464,0.13867230074746267,0.23398431709834508,9.04852022443499,0.024073998842920573,2.3926260811941966,2.5280990600585938,11.701591491699219,2.584123066493443,0.1326249667576381,-1.0,20.064590454101562,15.572703770228795,0.1602243525641305,0.059736013412475586,0.6073387009756905,0.1725075798375266,545027602.2857143,-1.0,0.7495179857526507,4135514989.714286,7056255268.571428,480335323.4285714,8143977910.857142,126280649.14285715,87.12041064671108,545000000.0,0.042774413313184455,3269352.0,98.49620274135044,87771428.57142857,7042290.857142857,136094.11607142858,60555698.28571428,0.16165760585239955,0.06844610401562282,534249472.0,15588963.42857143,3666808.5714285714,616054.6941964285,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.05,22.113770484924316,15.297253608703613,0.14585899841040373,0.6978921610862017,10.718017578125,0.041431439167354235,10.04889726638794,9.371386528015137,35.80916881561279,1.69083172082901,0.20471805706620216,-1.0,70.92100524902344,149.8655071258545,0.36062102019786835,0.14567755907773972,3.555568277835846,0.1725075798375266,544977168.0,-1.0,3.242753326892853,47581099008.0,73477347328.0,4978630912.0,89298401280.0,1384985120.0,73.13948559761047,545000000.0,0.09905250370502472,6391329.875,98.49620274135044,671901792.0,12089383.625,1420427.78125,574022864.0,0.391100749373436,0.515624325722456,1068825568.0,43221872.0,6342380.1875,966821818.8222656,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.06,34.013810294015066,23.872195107596262,1.0484261512756348,1.02336320068155,20.919771466936385,0.0161716771711196,15.238940102713448,12.229860578264509,53.53601510184152,3.6068413938794817,0.3253566495009831,-1.0,98.84178379603794,196.91624668666296,0.5597027710505894,0.23296248061316355,4.676695006234305,0.1725075798375266,545003364.5714285,-1.0,4.316841806684222,60764228461.71429,94646050816.0,6418962578.285714,114506217179.42857,1782698038.857143,59.05828257969448,545000000.0,0.15766804558890207,11009861.857142856,98.49620274135044,1294443008.0,21747857.0,2115363.535714286,1134580891.4285715,0.6093071613992963,0.631492623261043,1831640137.142857,67586914.28571428,11380822.142857144,1170947959.3191965,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.07,21.38361422220866,13.028533935546875,1.0484261512756348,0.679060697555542,17.20312245686849,0.0336011320662995,8.523113250732422,7.221177101135254,30.987748463948567,2.345585028330485,0.2601804733276367,-1.0,50.60621897379557,93.63989766438802,0.35566359758377075,0.13278017938137054,1.9886515935262044,0.1725075798375266,544981546.6666666,-1.0,2.0137924353281655,41115025408.0,70764694186.66667,4670614357.333333,81167985322.66667,1326719402.6666667,75.07280190785725,545000000.0,0.09506194293498992,10023432.0,98.49620274135044,724210901.3333334,20503603.333333332,1427999.0,593626538.6666666,0.3582674463589986,0.22160635391871134,1694419285.3333333,64321314.666666664,10718533.0,736744979.2213541,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.08,12.910211563110352,10.582362174987793,1.8913870453834534,0.08935514092445372,16.382026433944702,0.0012604057264979875,5.869813919067383,7.242525577545166,25.353818774223328,12.146181523799896,0.08592074434272945,-1.0,34.84464168548584,155.5746726989746,0.2126114967977628,0.08339349925518036,1.5238900780677795,0.10326007008552551,544969752.0,-1.0,0.9633919522166252,21247161456.0,28408096256.0,2009702681.25,37460911304.0,536076300.1875,69.99137350916862,545000000.0,0.05981287732720374,4446036.453125,44.73439025878906,282325900.2565918,5324626.995239258,1027144.5849609375,198539620.0,0.24431130290031433,0.14025281369686124,507639376.0,21638766.0,3551905.120239258,458960502.71875,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
0.09,32.05715342930385,24.39379174368722,1.3656078747340612,0.6536976716348103,20.21623338971819,0.42943584533142193,13.837329047066826,15.115051814488002,54.05684116908482,3.0860161866460527,0.24436743131705693,-1.0,107.96188572474888,209.79925755092077,0.5142059326171874,0.21861711144447327,3.696381092071533,0.06134458524840219,544975862.8571428,-1.0,4.834021977015904,66643838098.28571,104032854016.0,7045799643.428572,125706065627.42857,1954394532.5714285,57.57406643458775,545000000.0,0.14829898519175394,11939000.75,55.359810965401785,980697051.4285715,23548054.07142857,2120062.151785714,820289261.7142857,0.5881191747529166,0.8030098506382534,1986745298.2857144,74403138.14285715,12325148.267857144,1256890160.7075894,0.5160199403762817,100.0,2.0,6330.0,1.0,17.7922306060791,2665.0,2361.0,3.0,54.0,53.0,52.0,36.0,34.0,47.0,72.0,545.0,2.0,20.11452317237854,3196.0,61.0,2.281217336654663
