Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,29.782021522521973,20.463610649108887,0.4446370601654053,0.9486077725887299,26.33333396911621,33.92082977294922,34.91617774963379,0.05096415034495293,10.917415618896484,10.221936702728271,35.47440147399902,10.469470500946045,46.01112365722656,3.988875985145569,0.4184006601572037,-1.0,69.17279052734375,114.35338973999023,0.5338297188282013,0.1988735422492027,2.642819881439209,0.1532573103904724,544979072.0,-1.0,2.6764585971832275,39747399680.0,68460630016.0,-1.0,-1.0,1302596864.0,60.284820556640625,545000000.0,0.14532994478940964,12478714.5,87.2568588256836,708825696.0,25606940.0,914868.71875,574669232.0,0.5294874906539917,0.27648723870515823,1935164480.0,70903562.0,13354666.0,657722776.0,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.01,15.173254830496651,13.297677176339286,0.16655605179922922,0.4495420288294554,4.833707555064133,20.86654554094587,21.096026829310826,0.0062365130787448994,6.175350734165737,7.580963407244001,21.51139940534319,5.765708923339844,27.74864741734096,0.8227813073566982,0.09565517625638416,-1.0,45.81016322544643,135.43241228376115,0.2873782515525818,0.10071148191179548,3.9344757625034874,0.08888407264436994,544925394.2857143,-1.0,2.1783227239336287,41187771538.28571,56256598601.14286,-1.0,-1.0,1121873261.7142856,78.38527761186872,545000000.0,0.06437052573476518,3258698.1428571427,97.17140415736607,510333915.4285714,5673737.857142857,1351215.357142857,420705298.28571427,0.29154970816203524,0.38450256415775846,566220361.1428572,35707152.0,3314058.1428571427,818403091.4397322,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.02,33.68039788518633,52.269270760672434,0.6826701164245605,1.0666009145123618,19.616943482841766,49.475721086774556,60.954657963344026,0.046767332990254644,15.827846382345472,16.546082632882253,51.17060422897339,12.701859406062535,82.64114924839565,3.07313784211874,0.42202925362757276,-1.0,97.3347246987479,44099.123212541854,1.9694345848900932,0.23181601720196857,8.819615840911865,0.11754643065588814,544990518.8571428,-1.0,4.215688977922712,66088785773.71429,98585623405.71428,-1.0,-1.0,2115728576.0,32.10294614519392,545000000.0,0.1699878103099763,10883749.256277902,50.272308349609375,967812102.8571428,21266012.90122768,2169320.4754464286,791507353.1428572,0.8637901203972953,0.6298743997301374,1743597243.529018,79712171.05803572,11456598.8359375,1250793280.9375,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.03,22.708969116210938,20.397068568638392,0.0473935774394444,0.6751702853611538,19.060296194893972,28.912294115339005,32.43860626220703,0.0814756997860968,10.35660798209054,8.875311987740654,30.15158952985491,8.94854382106236,40.26521519252232,2.5919271196637834,0.19860587801252091,-1.0,65.39044407435826,141.40638732910156,0.45503110545022146,0.1573690261159624,2.7566491535731723,0.08549268756593977,544987273.1428572,-1.0,2.714273044041225,47162995273.14286,77762028690.28572,-1.0,-1.0,1634950253.7142856,67.67293739318848,545000000.0,0.11098401035581315,9893870.142857144,51.904798235212056,809480192.0,20085486.0,1736630.1785714286,672779062.8571428,0.4481175286429269,0.35016617604664396,1651535872.0,66241056.0,10516197.714285715,921113805.1495535,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.04,6.127159663609096,22.154398236955917,0.38995167187282015,5.50557994310345,6.606695713741439,11.122543811798096,14.285572052001953,0.0004603987825768286,2.3356543268476213,4.154497964041574,11.268299852098737,2.263274601527623,28.490331377301896,0.08109703234263828,0.023840545543602525,-1.0,8.328841950212206,26376.69091796875,1.3012062226022993,0.03303130822522298,3.037475977625165,0.17931161608014787,544951771.4285715,-1.0,0.3555151735033308,16790905124.571428,17200371419.42857,-1.0,-1.0,582706413.7142857,75.06827054704938,545000000.0,0.041123004896300164,609495.7819475447,98.44912719726562,158279328.0,451531.88839285716,256643.15625,115972939.42857143,0.2796657681465149,0.06803441899163382,31978986.52120536,10411065.613839285,544747.3337053572,308073892.24776787,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.05,23.705164773123606,19.15197808401925,0.38995167187282015,0.6007283138377326,32.260758536202566,31.494748183659144,33.20763444900513,0.08368259774787083,9.815322603498187,10.38740485055106,32.65714018685477,8.894769127879822,40.77894919259207,16.36390863146101,0.23963266823972976,-1.0,80.20172773088727,138.80460030691964,0.5517503619194031,0.1589708157948085,3.8199826649257114,0.38445072514670237,544948150.8571428,-1.0,2.731129535606929,63565386313.14286,94596211858.28572,-1.0,-1.0,1853362249.142857,53.47819873264858,545000000.0,0.10661318685327258,12312066.714285715,130.64927673339844,949275626.5136719,21746520.714285713,2476753.1785714286,750462848.0,0.4428786720548357,0.35537391901016235,1817640155.4285715,85023341.71428572,12293700.0,1189639590.9620535,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.06,33.73885703086853,51.74355098179409,0.52376047202519,12.399202358509813,21.30621119907924,50.2234057698931,55.39679554530552,0.04717247470814201,14.665107309818268,17.072386060442245,51.80693278993879,12.660519616944452,82.89681679861886,2.817467612879617,0.21598076527672153,-1.0,101.57652882167271,4709.39359828404,1.2461854730333601,0.22181108806814467,6.452965114797864,7.983302746500288,544909293.7142857,-1.0,3.619917937687465,66949230043.42857,99877009261.71428,-1.0,-1.0,2125004827.4285715,30.79946490696498,545000000.0,0.16792806929775644,10976007.25502232,144.4447065080915,999085668.5714285,21446725.50892857,2044517.5736607143,804500096.0,0.8572998217173985,0.4281188462461744,1760419408.7857144,80257809.00892857,11549916.49107143,1269138921.2566965,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.07,17.808040925434657,49.67739595685686,6.421075003487723,0.6303759941032955,13.591577380895615,29.13058478491647,46.9205207824707,0.025023763733250742,8.759485866342272,8.573101316179548,29.922388213021414,6.261758616992405,69.71179308210101,1.716777662081378,0.21651205314057212,-1.0,43.65487701552255,99957.5698285784,4.011623450687954,0.11233080497809818,6.1246146474565775,0.20028188398906163,544950436.5714285,-1.0,1.706341062273298,43202743753.14286,69777912393.14285,-1.0,-1.0,1619712301.7142856,40.04933425358364,545000000.0,0.11642991199291175,8349252.539803641,99.64864676339286,736523142.8571428,16263552.508649554,1426153.9285714286,592017964.0,0.7096323456083026,0.2025813204901559,1291348992.717634,63724820.86383928,8832916.589285715,894362173.4084822,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.08,7.822226694652012,35.03491646902902,6.421075003487723,0.031845105545861375,4.86152988246509,19.391931465693883,26.870433807373047,0.0010260219818779286,4.655471376010349,6.944458280290876,19.94638647351946,3.5587531328201294,42.248313903808594,0.608828968767609,0.11812741735151833,-1.0,25.32286821092878,43938.11625017439,1.5777804510934013,0.06216220131942203,4.871279239654541,0.11010258538382393,545028736.0,-1.0,1.0588483129228865,27488803474.285713,30898652306.285713,-1.0,-1.0,796669120.0,49.458582401275635,545000000.0,0.053427925932088054,2589860.2827148438,50.094185965401785,294420963.35714287,4898184.0859375,800077.1830357143,233842777.7142857,0.41286938531058176,0.16148315157209128,432886007.66629463,25948289.61830357,2902758.9638671875,406039927.9910714,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
0.09,23.60508918762207,26.15291976928711,0.581584095954895,0.7765324326852957,23.215286494543154,36.59881480534872,38.913394927978516,0.2315575023142931,12.106842358907064,8.379968802134195,37.84001318613688,10.042224804560343,48.35070927937826,18.31595855454604,0.18689765563855565,-1.0,83.52824783325195,243.2613983154297,0.6889723042647043,0.15023690710465112,6.18501877784729,0.2343577742576599,544851104.0,-1.0,3.3829294443130493,62796993877.333336,91180683264.0,-1.0,-1.0,2019045162.6666667,47.57453656196594,545000000.0,0.1112590581178665,10530543.041666666,115.63264973958333,1371751309.3333333,20689373.375,2021069.6875,1181284480.0,0.5072886943817139,0.4187760055065155,1674897816.0,75663485.33333333,11188129.125,1231144270.7213542,0.2610395848751068,107.0,2.0,6332.0,1.0,17.84322166442871,2556.0,5784682746.0,1920.0,3.0,56.0,55.0,66.0,46.0,37.0,36.0,72.0,545.0,2.0,18.286125361919403,0.1869789958000183,2736.0,3.0,64.0,2.2245891094207764
