Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,58.96865081787109,41.031349182128906,2.2865070899327598,0.8211289048194885,24.581533432006836,0.1150893522426486,14.234858989715576,12.06077575683594,47.09915542602539,2.9008439779281616,1.0269003808498383,24.291285514831543,73.7868766784668,156.94577026367188,0.5178619623184204,0.18666822463274,2.7808680534362793,0.13472850833620342,544996096.0,1.5107271075248718,2.9984331130981445,59583883264.0,102836699136.0,6771399424.0,117773631488.0,1995951424.0,63.61221694946289,545000000.0,0.12719345092773438,12913914.0,46.121695382254465,972542976.0,25386025.0,1963962.75,808342624.0,0.5247996151447296,0.36372971534729004,2067311808.0,75522578.0,13377873.0,1329744663.1796875,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.01,58.96865081787109,41.031349182128906,2.2865070899327598,0.7283636501857212,21.55142593383789,0.0766652077436447,11.46489143371582,10.117944172450475,40.323939732142854,2.5332033974783763,0.5027735786778587,20.855709620884486,62.25569370814732,134.45445905412947,0.442209073475429,0.17095881274768285,2.334806646619524,0.13472850833620342,544986514.2857143,1.3216993808746338,2.525808879307338,53967058651.42857,93059004123.42857,6266664667.428572,106763227721.14285,1800656676.5714285,69.6483018057687,545000000.0,0.11456293293407985,11898383.714285715,46.121695382254465,921674148.5714285,23434880.57142857,1875112.3214285714,769641673.1428572,0.4473057985305786,0.3106884104864938,1867680731.4285715,67581299.42857143,12281304.857142856,1259678583.1964285,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.02,58.96865081787109,41.031349182128906,2.2865070899327598,0.7283636501857212,21.55142593383789,0.0766652077436447,11.46489143371582,10.117944172450475,40.323939732142854,2.5332033974783763,0.5027735786778587,20.855709620884486,62.25569370814732,134.45445905412947,0.442209073475429,0.17095881274768285,2.334806646619524,0.13472850833620342,545014619.4285715,1.3216993808746338,2.525808879307338,53967058651.42857,93059004123.42857,6266664667.428572,106763227721.14285,1800656676.5714285,100.0,545000000.0,0.11456293293407985,11898383.714285715,46.121695382254465,3237.364676339286,23434880.57142857,1875112.3214285714,769641673.1428572,0.4473057985305786,0.3106884104864938,1867680731.4285715,67581299.42857143,12281304.857142856,160690.33035714287,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.03,58.96865081787109,41.031349182128906,2.2865070899327598,0.7290232351848057,21.551078251429967,0.3662421256303787,12.100463322230748,10.198962620326451,40.349553789411274,2.5075889314923967,0.5087875851563045,20.85564422607422,62.262254987444194,133.96030970982142,0.4421684060777937,0.17161173479897635,2.3514929498944963,0.13472850833620342,545004132.5714285,1.3217041492462158,2.5260904857090543,49522960676.57143,85339162916.57143,5768718921.142858,97961258422.85715,1651999561.142857,69.84258106776646,545000000.0,0.11446949413844516,10869158.57142857,46.121695382254465,842794038.8571428,21405400.57142857,1713310.9642857143,703646957.7142857,0.4488696881702968,0.31072609765189035,1706242742.857143,61999629.71428572,11222015.714285715,1168806426.075893,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.04,58.96865081787109,41.031349182128906,2.2865070899327598,1.057286302248637,25.58669598897298,0.13588643275822201,17.40977128346761,15.12610912322998,63.37034225463867,3.296323855717977,0.5612549638996521,31.657555262247723,73.15721638997395,260.47837829589844,0.5287063528473179,0.250019592543443,2.774294455846151,0.13472850833620342,544981301.3333334,1.9280002911885579,2.974165598551432,57428179626.666664,99028847957.33333,6672246144.0,113614851413.33333,1920159829.3333333,53.580047607421875,545000000.0,0.17593684295813242,12573041.770833334,46.121695382254465,975706106.6666666,24720285.001464844,2275278.3776041665,815464709.3333334,0.6926721731821696,0.366825004418691,1970756565.3333333,70938705.33333333,12957697.334798178,1363842422.7682292,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.05,58.96865081787109,41.031349182128906,2.2865070899327598,0.26114874226706364,7.505829947335379,0.0414612420967647,4.065870829990932,3.2632944924490794,13.431374686104911,0.8543399402073452,0.05515970928328377,6.974866049630301,20.100843157087052,44.28230503627232,0.1462392977305821,0.06497817380087716,0.7664192063467843,0.13472850833620342,545000923.4285715,0.4584446975163052,0.8127913475036621,16262189641.142857,27973582848.0,1988208054.857143,32237188827.42857,538815158.8571428,90.27010372706822,545000000.0,0.04147132805415561,3727152.0,46.121695382254465,307470043.4285714,7373564.0,940122.4285714285,258730349.7142857,0.1489777735301426,0.10288616589137486,558556050.2857143,20469332.57142857,3815392.5714285714,433153736.16964287,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.06,58.96865081787109,41.031349182128906,2.2865070899327598,13.681823440960477,28.306377955845424,0.04089831028665813,7.527763639177595,7.154504503522601,40.28460591179984,16.858251980372835,0.5649997733001199,23.30080086844308,67.882566179548,143.5126211983817,0.6674568993704659,0.10638557161603654,2.506915203162602,0.13472850833620342,544966454.8571428,1.1783201694488525,1.7607144670827048,38867223955.42857,66895647305.14286,4417775129.714286,76732822145.14285,1299626385.4464285,51.4138160773686,545000000.0,0.07320322947842735,10965775.12779018,46.121695382254465,689764918.8571428,18539892.808035713,1684281.9464285714,525193380.5714286,0.2998900072915213,0.20783850124904088,1548872941.0714285,58979294.75055803,10543448.58705357,902502138.6941965,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.07,58.96865081787109,41.031349182128906,0.15805205277034215,1.108019505228315,23.653920309884207,0.05075162995074474,14.04869283948626,13.281342097691127,52.58402470179966,4.558831862040928,0.6618055020059858,27.683643886021205,96.7957262311663,190.52593994140625,0.5565560204642159,0.23860700215612138,4.803089618682861,0.062380697046007426,545003876.5714285,1.7511492116110665,4.242025784083775,55997839945.14286,96558783341.71428,6503865746.285714,110781099446.85715,1870206994.2857144,57.03200939723423,545000000.0,0.15611498057842255,12313258.642857144,53.082079206194194,957610934.8571428,24250833.42857143,1753538.5982142857,798506738.2857143,0.6150887863976615,0.6326675713062286,1932520228.5714285,69718790.85714285,12712141.357142856,1322838073.486607,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.08,58.96865081787109,41.031349182128906,0.32275727816990446,0.7382839407239642,22.07942635672433,0.14940859909568513,11.705021449497767,10.116048812866211,40.14547620500837,2.711667401450021,0.505133398941585,21.076190403529576,62.27751159667969,126.16722760881696,0.453092166355678,0.1796844814504896,2.3379058156694685,0.062380697046007426,545000530.2857143,1.3544028827122279,2.526548589978899,48713696402.28571,83472189732.57143,5741832338.285714,96191624923.42857,1586479798.857143,69.0313856942313,545000000.0,0.11617307152066912,11293357.142857144,53.082079206194194,849117421.7142857,22740654.285714287,1878013.6785714286,709205394.2857143,0.45398974418640137,0.3106939452035086,1811806939.4285715,65617875.428571425,11919054.0,1052882299.6607143,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
0.09,58.96865081787109,41.031349182128906,2.2206699053446455,0.19887091716130575,22.07942635672433,0.0015105131703118332,3.5347267786661782,3.615910847981771,16.666666666666668,2.711667401450021,0.0030210263406236833,7.111380259195964,62.27751159667969,113.22060139973958,0.0011547344426314,0.03789960344632467,2.3379058156694685,0.062380697046007426,544998421.3333334,0.357122262318929,2.526548589978899,3954932394.6666665,7341868373.333333,382958933.3333333,8008825514.666667,173537109.33333334,89.62957191467285,545000000.0,0.0387564847866694,265788.5416666667,53.082079206194194,48576080.0,1841.4910481770833,26190.096354166668,40008645.333333336,0.1602072020371755,0.3106939452035086,1811806939.4285715,65617875.428571425,1841.4910481770833,197116036.0390625,0.1816757768392563,104.0,2.0,6332.0,1.0,17.392019271850586,2713.0,4896358430.0,2361.0,3.0,51.0,50.0,56.0,38.0,59.0,32.0,72.0,545.0,2.0,18.377240002155304,3196.0,63.0,2.215818166732788
