Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time EFUs Working,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,13.274502754211426,11.725497245788574,0.10204082727432251,18.169767796993256,33.69306659698486,8.367683082818985,0.020453501492738724,2.978388786315918,7.134150981903076,5.616844177246093,1.392107367515564,0.15499821305274963,-1.0,35.7462158203125,78.1868896484375,1.8309980034828186,0.10241463035345078,1.208868384361267,1.183497190475464,544935744.0,-1.0,-1.0,-1.0,40987508736.0,3022471168.0,-1.0,789155776.0,53.39495639503002,545000000.0,0.06039757654070853,5082611.515930176,168.5570831298828,452214055.375,10011062.169433594,409930.8125,334379488.0,0.2593413293361664,0.2086448222398758,-1.0,25512800.0,5282161.2431640625,624099973.1953125,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.01,28.59659703572591,21.56464385986328,0.10204082727432251,0.7758732239405314,25.68324343363444,36.828259785970054,0.04495490357900656,12.61191463470459,12.047197024027506,10.79560120900472,3.467412789662679,0.3040270407994588,-1.0,72.47559102376302,146.04885609944662,0.5239545206228892,0.20706920325756073,2.685892184575399,0.11685759822527568,545005013.3333334,-1.0,-1.0,-1.0,89557367466.66667,6108972970.666667,-1.0,1730517568.0,62.69506518046061,545000000.0,0.13451174894968668,11677647.0,51.699625651041664,884727210.6666666,23120725.333333332,1520515.25,738626314.6666666,0.5291185180346171,0.36308950185775757,-1.0,65635785.333333336,12125393.666666666,1210013513.90625,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.02,8.183527946472168,16.891257286071777,0.10204082727432251,9.130630791187286,18.03484296798706,11.84120000898838,0.09862732887268066,3.267551854252815,2.87751292437315,2.818602204322815,1.4974758327007296,0.15398237854242322,-1.0,21.3607759475708,134.1860694885254,1.3595986068248749,0.06324039865285158,8.296928346157074,0.17757300287485123,544939776.0,-1.0,-1.0,-1.0,28267211360.0,2050670648.75,-1.0,543733234.0,53.861043229699135,545000000.0,0.05825222469866275,6988597.250366211,88.95916748046875,337187577.1875,14326983.828125,528568.796875,264125750.5,0.25439760833978653,0.06578391790390015,-1.0,33738611.9453125,7504731.7744140625,367931220.3691406,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.03,17.14711652483259,11.356082916259766,0.12557614701134817,0.5794448511941093,7.024094717843191,24.247314453125,0.0063470909371972,8.401370457240514,7.192323684692383,6.136271612984793,1.1013353892735072,0.19040303996631078,-1.0,54.14852687290737,136.34886823381697,0.2568701505661011,0.10421741008758545,3.5472351482936313,0.17757300287485123,544986148.5714285,-1.0,-1.0,-1.0,64474646820.57143,4194125531.428571,-1.0,1273650066.2857144,80.31182125636509,545000000.0,0.07178665910448345,4333582.642857143,88.95916748046875,583433106.2857143,7881753.428571428,1223007.0714285714,499502957.71428573,0.2969949075153896,0.3978758709771292,-1.0,33910677.71428572,4160178.285714286,902566841.9910715,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.04,28.628565470377605,20.857245127360027,1.0966872374216716,1.0087143977483113,26.64911460876465,46.45172309875488,0.3449692997771005,13.905168533325195,12.276102066040039,11.483967145284018,18.967483679453533,0.3801050049563249,-1.0,105.80587514241536,218.52362060546875,0.6055494075020155,0.192055806517601,3.5245217084884644,0.17757300287485123,545006997.3333334,-1.0,-1.0,-1.0,87113490432.0,5911753472.0,-1.0,1688426069.3333333,50.85445753733317,545000000.0,0.13103939096132913,12293849.791666666,88.95916748046875,863910405.3333334,24333771.25,1345109.125,719975050.6666666,0.5130676428476969,0.5810040930906931,-1.0,66815677.4375,12724852.614583334,1206383753.1744792,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.05,17.32727813720703,25.529864719935826,1.0966872374216716,0.4104019914354597,17.63196291242327,16.775306974138534,0.02579837185995917,4.39044463634491,6.445859909057617,5.790035792759487,2.631478013736861,0.18850092164107732,-1.0,40.25487147910254,12625.082284109933,3.1330517615590776,0.11130525810377938,2.3239384378705705,12.508470262799944,544884050.2857143,-1.0,-1.0,-1.0,63751794102.85714,4157002605.714286,-1.0,1257759324.5714285,62.899786949157715,545000000.0,0.0976754639829908,10528010.474400112,223.58512660435267,681611537.7142857,18071895.013671875,1788247.4330357143,525400539.4285714,0.44190926211220877,0.15536149910518102,-1.0,58310020.399553575,10175834.05970982,876804126.4241072,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.06,17.323445320129395,6.978228211402894,1.7419464588165285,0.25707897543907166,6.278655052185059,11.118212223052979,0.3582310378551483,4.271988272666931,6.423544406890869,3.3380035161972046,0.7006022930145264,0.057743312325328575,-1.0,17.89289093017578,133.97374725341797,0.13595569739118218,0.07635566033422946,0.602995753288269,0.16562986373901367,544980320.0,-1.0,-1.0,-1.0,22238611840.0,1643078576.0,-1.0,427335132.0,82.60697412490845,545000000.0,0.06169368885457515,2761498.53515625,45.8768196105957,229060935.0,5442486.943359375,270122.71875,182226452.0,0.24648993462324142,0.10451606661081314,-1.0,13829109.0,2868338.693359375,326474858.1074219,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.07,29.068505605061848,20.931494394938152,1.7419464588165285,0.7954152226448059,25.187252680460613,39.73786163330078,0.0209274653655787,13.664258003234863,12.167710940043131,10.752014795939127,2.9526752630869546,0.3110170091191928,-1.0,72.61751556396484,156.54369608561197,0.5160149137179056,0.19824135800202683,2.715258836746216,0.16562986373901367,544999989.3333334,-1.0,-1.0,-1.0,96619170474.66667,6552231253.333333,-1.0,1870393898.6666667,64.26152801513672,545000000.0,0.13289783149957657,12347321.0,45.8768196105957,951149760.0,24318757.333333332,1861600.5,796555754.6666666,0.52238796154658,0.3629092872142792,-1.0,70043128.0,12745971.0,1321236884.0546875,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.08,34.054051535470144,23.0864862714495,0.28809815535766703,0.9130144034113202,27.70847157069615,45.53509739467076,0.033723588700273185,15.110104969569615,13.54654938834054,12.08129392351423,3.4203284127371654,0.3024013244679996,-1.0,83.05118451799665,187.0553261893136,0.5825684240886143,0.22129040105002268,3.12385048185076,0.16562986373901367,544994962.2857143,-1.0,-1.0,-1.0,94267566372.57143,6362585673.142858,-1.0,1825931410.2857144,59.30930655343192,545000000.0,0.15273248084953853,12122689.142857144,45.8768196105957,926045440.0,23924749.714285713,1799563.0,774571181.7142857,0.5990719284330096,0.42871897029025213,-1.0,68637439.14285715,12542178.42857143,1284094948.9910715,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
0.09,14.331422328948975,10.871580123901367,0.09590810537338257,0.43330714106559753,13.724744319915771,19.65696907043457,0.060311784152872853,6.556600570678711,5.925788164138794,5.407702207565308,1.9633013606071472,0.250276256352663,-1.0,35.7567024230957,63.41348075866699,0.26977013051509857,0.10912009328603745,1.3011130690574646,0.16562986373901367,545001848.0,-1.0,-1.0,-1.0,44638205952.0,2962173824.0,-1.0,855633888.0,81.30498003959656,545000000.0,0.07094071060419083,7525705.5,45.8768196105957,464511232.0,15397701.0,799021.0,376497888.0,0.26498502492904663,0.15284358710050583,-1.0,41507300.0,8061477.75,482719329.2949219,0.3780413866043091,103.0,2.0,6313.0,1.0,19.438570022583008,2643.0,6577694257.0,2361.0,3.0,44.0,44.0,47.0,37.0,33.0,45.0,72.0,545.0,2.0,19.132667779922485,2736.0,55.0,2.1931028366088867
