Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.5018334984779358,37.96499538421631,0.12083796388469632,25.10020875930786,0.9363657278008759,-1.0,-1.0,-1.0,0.7860265960916877,-1.0,4.079619765281677,0.20289682490485056,545042048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.71213436126709,545000000.0,-1.0,18952816.71875,94.85126168387276,1465131904.0,37347635.67285156,2724598.96484375,1225910156.0,-1.0,-1.0,-1.0,107069178.0,19563318.172851562,2024520960.0,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.01,0.2301906517573765,8.495086124965123,0.19769488062177384,3.0354723249162947,0.0732066205569676,-1.0,-1.0,-1.0,0.14960513796125138,-1.0,0.6161789894104004,0.20289682490485056,545054802.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.37495613098145,545000000.0,-1.0,7386841.142857143,94.85126168387276,309719746.89285713,14891544.0,633773.5714285715,245195812.57142857,-1.0,-1.0,-1.0,33366315.42857143,7735765.714285715,388321824.9285714,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.02,0.6406019585473197,6.923036847795759,0.007226622796484386,7.161480222429548,0.383236254964556,-1.0,-1.0,-1.0,0.2814083780561175,-1.0,2.862098148890904,0.20289682490485056,544913819.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.04897335597447,545000000.0,-1.0,4212879.571428572,94.85126168387276,594365604.5714285,7942444.857142857,875958.2142857143,510985782.85714287,-1.0,-1.0,-1.0,33117898.285714287,4233448.928571428,863773189.2455357,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.03,1.157710859818118,37.68079049246652,0.02673359388219456,14.967947278703962,0.8588966578245163,-1.0,-1.0,-1.0,0.6475502337728228,-1.0,5.5391043935503275,0.20289682490485056,544963712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.86822877611433,545000000.0,-1.0,14689940.714285715,94.85126168387276,1000945892.5714285,25628784.85714286,2685863.3839285714,786573472.0,-1.0,-1.0,-1.0,80203609.71428572,14267835.75,1351476447.392857,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.04,0.7906009256839752,13.214412689208984,0.019684937316924313,8.961305618286133,0.3179163224995136,-1.0,-1.0,-1.0,0.25486723865781513,-1.0,3.536434991019113,0.20289682490485056,544999040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.61445140838623,545000000.0,-1.0,10030863.25,94.85126168387276,648140392.6696428,16371062.285714285,1613636.857142857,540361398.8571428,-1.0,-1.0,-1.0,49140836.571428575,8570724.142857144,881523071.0267857,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.05,0.287942886352539,9.666794913155693,0.05198892951011657,8.961305618286133,0.014519430696964259,-1.0,-1.0,-1.0,0.2872995585203171,-1.0,1.3797049522399902,0.20289682490485056,545001005.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.00206552233014,545000000.0,-1.0,1452649.4285714286,94.85126168387276,230691235.0,8462601.0,326040.46875,182771888.0,-1.0,-1.0,-1.0,23927938.0,4447988.5,321198358.24609375,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.06,0.9209528650556292,14.687702178955078,0.01635995720114026,10.253505434308734,0.35981069558433126,-1.0,-1.0,-1.0,0.39328815255846294,-1.0,4.1465340341840475,0.20289682490485056,544988196.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.04814938136509,545000000.0,-1.0,10615413.285714285,94.85126168387276,911493266.2857143,20280958.85714286,1846542.25,775592155.4285715,-1.0,-1.0,-1.0,57487330.28571428,10625913.42857143,1279683838.1339285,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.07,1.209507669721331,22.488360268729075,0.07111005777759208,12.997285434177943,0.5211403497627803,-1.0,-1.0,-1.0,0.5054462594645364,-1.0,4.896766526358468,0.20289682490485056,545037549.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.13008417401995,545000000.0,-1.0,12206448.607142856,94.85126168387276,938311414.8571428,24056457.10714286,1743503.2857142857,784647853.7142857,-1.0,-1.0,-1.0,69013401.42857143,12606589.75,1296811539.3839285,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.08,0.3060487322509289,25.717736562093098,0.03439434121052423,3.7137584686279292,0.23181231816609701,-1.0,-1.0,-1.0,0.29713572065035504,-1.0,1.8846877415974934,12.378877292076746,544924586.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.79522267977397,545000000.0,-1.0,8999365.166666666,162.06796264648438,466096629.3333333,15201867.5,1584463.25,342231978.6666667,-1.0,-1.0,-1.0,47371552.666666664,8714718.666666666,467790002.0755208,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
0.09,0.8058522939682007,6.933683126100472,0.023766057831900455,6.805378232683454,0.27651034295558924,-1.0,-1.0,-1.0,0.22243170227323258,-1.0,3.150782993861607,0.2747502752712795,544900032.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.2637083871024,545000000.0,-1.0,3594944.964285714,100.04844883510044,396579437.71428573,6504643.071428572,538158.4464285715,326743424.0,-1.0,-1.0,-1.0,20797639.14285714,3449002.214285714,710217123.0825893,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2597.0,6173217461.0,1920.0,3.0,58.0,60.0,63.0,30.0,27.0,69.0,72.0,545.0,2.0,18.59600394964218,2736.0,63.0,2.197547197341919
