Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.1288005709648132,22.819470405578613,0.043728572782129,19.904025077819824,0.30014460906386375,-1.0,-1.0,-1.0,0.7140797078609468,-1.0,5.3614503145217896,12.681131109595299,544893840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.08747720718384,545000000.0,-1.0,16025940.875,287.9861145019531,1425903264.0,25833250.0,3419738.8125,1144870112.0,-1.0,-1.0,-1.0,96363597.0,14756299.125,1986532118.4960938,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.01,0.7058090652738299,11.183278220040458,0.03908293694257735,7.070225306919643,0.1978449821472168,-1.0,-1.0,-1.0,0.30063203402927946,-1.0,1.980966227395194,12.681131109595299,544978459.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.14877755301339,545000000.0,-1.0,7166024.0,287.9861145019531,636791972.5714285,14529846.285714285,1431253.25,527428406.85714287,-1.0,-1.0,-1.0,52484608.0,7583996.571428572,723412450.5,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.02,0.3101452759334019,5.971428462437221,0.02145804757518426,8.187271390642438,0.1972728637712342,-1.0,-1.0,-1.0,0.2491197075162615,-1.0,2.1228361810956686,12.681131109595299,544993472.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.64396640232631,545000000.0,-1.0,2413419.9285714286,287.9861145019531,276020288.0,4384281.428571428,358213.5625,237876658.2857143,-1.0,-1.0,-1.0,14793086.857142856,2300175.6785714286,560214599.5714285,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.03,0.9062714204192162,14.719777584075928,0.07061067019822073,13.570321083068848,0.34838434122502804,-1.0,-1.0,-1.0,0.46176326274871826,-1.0,4.022221684455872,12.681131109595299,545009768.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.929035902023315,545000000.0,-1.0,8466371.71875,287.9861145019531,805908280.0,16708826.21875,1593920.015625,677195080.0,-1.0,-1.0,-1.0,58377226.5,8730291.34375,1141476075.8085938,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.04,1.051306894847325,16.922977992466517,0.8610686468226569,14.35484232221331,0.5257774761744908,-1.0,-1.0,-1.0,0.5787510616438729,-1.0,3.8301090512956892,12.681131109595299,545002998.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.741394315447124,545000000.0,-1.0,9614717.857142856,287.9861145019531,925147684.5714285,18951544.0,1748795.142857143,776614637.7142857,-1.0,-1.0,-1.0,67486374.57142857,9903542.5,1314150705.7566965,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.05,0.0030003000671664833,16.666066487630207,7.792422547935e-05,14.35484232221331,0.060599068800608315,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.1401326060295105,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,2200428.8333333335,36390219.916666664,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.2,0.0030003000671664833,16.666066487630207,7.792422547935e-05,25.73243904113769,0.6224807500839233,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6540836691856384,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7326220.5,36390219.916666664,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.3,0.0030003000671664833,16.666066487630207,7.792422547935e-05,26.100849151611328,0.6644218564033508,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6147276759147644,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7090812.0,36390219.916666664,1.0587430000305176,1087.0,452.0,12688.0,6.0,16.91083526611328,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.37,0.0030003000671664833,16.666066487630207,7.792422547935e-05,26.100849151611328,0.6644218564033508,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,0.6147276759147644,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7090812.0,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
0.4,0.0030003000671664833,16.666066487630207,7.792422547935e-05,25.474857330322266,0.7091986536979675,-1.0,-1.0,-1.0,0.11932193239529927,-1.0,1.0031011899312336,23.71410179138184,544973973.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.70426563421886,545000000.0,-1.0,3073518.3333333335,55.32886250813802,64854277.333333336,2429379.6666666665,764866.1666666666,776614637.7142857,-1.0,-1.0,-1.0,13243516.0,7113080.0,36390219.916666664,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2769.0,6221454561.0,1920.0,3.0,46.0,47.0,52.0,27.0,19.0,59.0,72.0,545.0,2.0,20.40800005197525,2736.0,1.0,61.0,2.488769292831421
