Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.946486396715045,34.863767474889755,0.06038862940476972,13.147189140319824,0.5822952874004841,-1.0,-1.0,-1.0,0.6209926083683968,-1.0,3.7650042176246643,0.1807732805609703,545003664.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,13315891.5,90.7113037109375,897990368.0,23224878.25,2255552.03125,701400114.0,-1.0,-1.0,-1.0,72439149.5,12951633.0,149046.779296875,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.01,0.946486396715045,34.863767474889755,0.06038862940476972,13.147189140319824,0.5822952874004841,-1.0,-1.0,-1.0,0.6209926083683968,-1.0,3.7650042176246643,0.1807732805609703,544964800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.51904007792473,545000000.0,-1.0,13315891.5,90.7113037109375,897990368.0,23224878.25,2255552.03125,701400114.0,-1.0,-1.0,-1.0,72439149.5,12951633.0,1191176831.4550781,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.02,0.7336681910923549,21.544768742152623,0.13115310695554527,8.593971252441406,0.40110316446849276,-1.0,-1.0,-1.0,0.4423603500638689,-1.0,2.329531397138323,0.1807732805609703,545003081.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.73370143345424,545000000.0,-1.0,12129256.857142856,90.7113037109375,1397047314.2857144,23887920.57142857,1694866.0357142857,1226720128.0,-1.0,-1.0,-1.0,68928708.57142857,12529216.0,1320695547.6651785,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.03,0.7336681910923549,21.544768742152623,0.13115310695554527,8.593971252441406,0.40110316446849276,-1.0,-1.0,-1.0,0.4423603500638689,-1.0,2.329531397138323,0.1807732805609703,545030290.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,12129256.857142856,90.7113037109375,1397047314.2857144,23887920.57142857,1694866.0357142857,1226720128.0,-1.0,-1.0,-1.0,68928708.57142857,12529216.0,163003.45982142858,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.04,0.7133425985063825,21.52480697631836,0.6785955663238253,10.154093606131417,0.5135845754827771,-1.0,-1.0,-1.0,0.43807411193847656,-1.0,2.3183769498552596,0.1807732805609703,544956480.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.82685497828892,545000000.0,-1.0,12183858.857142856,90.7113037109375,940104301.7142857,23998923.42857143,2059795.4464285714,786194669.7142857,-1.0,-1.0,-1.0,69225155.42857143,12582215.142857144,1297659547.3705356,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.05,0.7907486132213047,18.348865236554825,0.07866086491516655,10.314441680908203,0.4645308681896755,-1.0,-1.0,-1.0,0.4183345522199358,-1.0,3.2462680680411204,0.1807732805609703,545051072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.43792179652623,545000000.0,-1.0,11227235.857142856,90.7113037109375,889635730.2857143,22042011.714285713,1737421.267857143,744776301.7142857,-1.0,-1.0,-1.0,64754764.571428575,11558121.0,1228547543.2745535,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.06,13.380888735609394,23.75908933367048,0.04677497489111764,3.460671288626535,0.27595657243260313,-1.0,-1.0,-1.0,0.5617913774081639,-1.0,1.5247362341199602,0.17508382030895778,544930806.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.139820269175935,545000000.0,-1.0,10547700.83314732,97.46044049944196,457546461.71428573,18200895.38950893,1553377.2857142857,328244809.14285713,-1.0,-1.0,-1.0,47301155.14899553,10335544.921875,438120795.15848213,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.07,0.6120547652244568,6.053154468536377,0.012076694983988999,5.893427133560181,0.21779193542897698,-1.0,-1.0,-1.0,0.22392448782920837,-1.0,3.153275847434997,0.17508382030895778,544988464.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.88068389892578,545000000.0,-1.0,3821704.5,97.46044049944196,480418800.0,6976612.375,935154.6875,402923792.0,-1.0,-1.0,-1.0,29900519.0,3683179.5625,788861399.34375,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.08,0.7326303720474243,21.544539860316686,0.03765222330444623,10.136019025530134,0.5191999162946429,-1.0,-1.0,-1.0,0.4420778751373291,-1.0,2.3609849384852817,0.17508382030895778,545016292.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.43161937168666,545000000.0,-1.0,12203627.142857144,97.46044049944196,944059648.0,24036383.42857143,1759838.6785714286,788913883.4285715,-1.0,-1.0,-1.0,70076626.28571428,12596649.42857143,1299077692.638393,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
0.09,0.73215309211186,21.546574183872767,0.06399627522166285,10.343322481427874,0.47402400629861013,-1.0,-1.0,-1.0,0.44206338269369944,-1.0,2.330419199807303,0.17508382030895778,545000018.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.46160316467285,545000000.0,-1.0,12099309.714285715,97.46044049944196,932391350.8571428,23829056.57142857,1993944.392857143,780146889.1428572,-1.0,-1.0,-1.0,68710593.14285715,12490702.285714285,1285234905.3013394,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2852.0,2361.0,3.0,56.0,52.0,54.0,17.0,30.0,63.0,72.0,456.0,2.0,18.66132616996765,3196.0,2.0,60.0,2.21313738822937
