Time (s),% Linear Filtered,% Nearest Filtered,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.23,61.44175338745117,38.55824661254883,25.818866729736328,23.135202407836918,93.92005157470705,6.079952239990234,0.8017048239707947,0.6440759301185608,75120648192.0,1208190592.0,1.1502933502197266,1308850688.0,8554797.0,2.2726855278015137,1120.0,467.0,12732.0,7.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.23,61.44175338745117,38.55824661254883,25.818866729736328,23.135202407836918,93.92005157470705,6.079952239990234,0.8017048239707947,0.6440759301185608,75120648192.0,1208190592.0,1.1502933502197266,1308850688.0,8554797.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.42,61.44175338745117,38.55824661254883,25.818866729736328,23.135202407836918,93.92005157470705,6.079952239990234,0.8017048239707947,0.6440759301185608,75120648192.0,1208190592.0,1.1502933502197266,1308850688.0,8554797.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.52,61.27370071411133,38.72629928588867,23.769777297973636,23.482959747314453,93.79927825927734,6.2007246017456055,0.7550523281097412,0.6183697581291199,78240825344.0,1258655360.0,1.1473238468170166,1374169728.0,9023399.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.62,61.62302780151367,38.37697219848633,26.239213943481445,23.13214874267578,93.95034790039062,6.049653053283691,0.8431316614151001,0.6201668381690979,82907766784.0,1332303488.0,1.153037190437317,1443956224.0,9418042.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.72,61.46250915527344,38.53749084472656,23.578622817993164,23.520288467407227,93.79781341552734,6.202187538146973,0.7991790175437927,0.6339516639709473,75296432128.0,1210288000.0,1.1501591205596924,1323290496.0,8677121.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.82,61.45621490478516,38.54378509521485,26.40174865722656,22.71198463439941,94.03469848632812,5.96530294418335,0.7976509928703308,29.85993766784668,75290574848.0,1210251264.0,1.1501657962799072,1312282752.0,8578288.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.92,61.418758392333984,38.581241607666016,24.89397430419922,22.18478775024414,93.81604766845705,6.183948516845703,0.7528221011161804,21.56498336791992,75250229248.0,1210333312.0,1.14990496635437,1336318848.0,8801978.0,0.294620543718338,102.0,2.0,6313.0,1.0,17.8238468170166,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
0.93,61.418758392333984,38.581241607666016,24.89397430419922,22.18478775024414,93.81604766845705,6.183948516845703,0.7528221011161804,21.56498336791992,75250229248.0,1210333312.0,1.14990496635437,1336318848.0,8801978.0,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2623.0,4804976236.0,1920.0,3.0,51.0,50.0,55.0,37.0,45.0,29.0,72.0,545.0,2.0,18.842455744743347,2092.0,2.0,63.0,2.1951651573181152
1.0,61.418758392333984,38.581241607666016,24.89397430419922,22.18478775024414,93.81604766845705,6.183948516845703,0.7528221011161804,21.56498336791992,75250229248.0,1210333312.0,1.14990496635437,1336318848.0,8801978.0,1.249268889427185,1120.0,467.0,12732.0,7.0,17.059968948364258,2623.0,4804976236.0,1920.0,3.0,59.0,58.0,62.0,43.0,59.0,29.0,72.0,545.0,2.0,18.66125911474228,2092.0,2.0,67.0,2.215432643890381
