Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.8131542801856995,40.22341442108154,0.3824296370148659,25.044780254364014,0.9829732440412043,-1.0,-1.0,-1.0,0.8885705322027206,-1.0,5.4623042345047,0.18508392572402954,545238576.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.581992149353027,545000000.0,-1.0,18048120.875,105.21073695591518,1378492288.0,35644133.5625,3174461.875,1152732288.0,-1.0,-1.0,-1.0,100611998.5,18691457.140625,1903479208.0,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.01,0.30182760102408274,7.336945669991629,0.018579138176781786,3.1791746956961497,0.10549942084721156,-1.0,-1.0,-1.0,0.14618040834154403,-1.0,0.7749317714146206,0.18508392572402954,544865819.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.045163835798,545000000.0,-1.0,3728615.1428571427,105.21073695591518,310896969.14285713,7377935.428571428,813831.7857142857,261891730.2857143,-1.0,-1.0,-1.0,20696470.85714286,3815353.4285714286,410261297.87946427,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.02,0.8729998895100185,14.862551007952009,0.4233372184181853,10.83253424508231,0.578223348595202,-1.0,-1.0,-1.0,0.3207288214138576,-1.0,1.8637375150408064,0.18508392572402954,544984484.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.1350931440081,545000000.0,-1.0,8744432.392857144,105.21073695591518,652361526.8571428,17211019.75,1119892.392857143,543657883.4285715,-1.0,-1.0,-1.0,49742482.91071428,9085524.455357144,905005331.4330357,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.03,0.996391549706459,20.08740758895874,0.0731487488519633,12.10072112083435,0.575375254265964,-1.0,-1.0,-1.0,0.4661761373281479,-1.0,3.7375152707099915,0.18508392572402954,545004184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.51567101478577,545000000.0,-1.0,10611793.3125,105.21073695591518,830910168.0,20869647.9375,1526173.671875,694567008.0,-1.0,-1.0,-1.0,60956390.5,10946667.25,1139625561.703125,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.04,10.573319367000035,29.076968601771764,0.06497655975233228,9.561933517456055,0.29719692415424753,-1.0,-1.0,-1.0,0.8575368845569236,-1.0,2.7063651425497874,0.18508392572402954,544951661.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.48386008398874,545000000.0,-1.0,11218186.758231027,105.21073695591518,813804519.7142857,20465066.82589286,1791081.767857143,630200480.0,-1.0,-1.0,-1.0,63378007.28180803,11155606.995256696,1043162396.0178572,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.05,0.21724448885236466,6.891373225620815,0.0027119833976030285,3.92343875340053,0.2049201045717512,-1.0,-1.0,-1.0,0.147924610546657,-1.0,0.7411313056945801,0.18508392572402954,545012224.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.79513713291713,545000000.0,-1.0,3191840.0,105.21073695591518,251692013.7142857,6278055.428571428,452464.85714285716,211736667.42857143,-1.0,-1.0,-1.0,17146392.0,3305061.714285714,372992440.484375,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.06,0.9769763201475143,20.5251202583313,0.5622760392725468,12.012893199920654,0.4906262382864952,-1.0,-1.0,-1.0,0.49167032539844513,-1.0,4.133495032787323,0.18508392572402954,544975176.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.04238510131836,545000000.0,-1.0,10271266.5625,105.21073695591518,800301168.0,20253277.125,1596365.21875,669739416.0,-1.0,-1.0,-1.0,59430646.0,10624165.375,1093624186.9628906,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.07,1.1669867890221732,22.94168417794364,0.13099367810147147,13.609038761683873,0.5408365550850119,-1.0,-1.0,-1.0,0.5506542239870343,-1.0,4.803825582776751,0.18508392572402954,544997467.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.171835490635466,545000000.0,-1.0,12358640.142857144,105.21073695591518,960739456.0,24323004.0,1882888.8214285714,802627090.2857143,-1.0,-1.0,-1.0,70382206.85714285,12760529.214285715,1320175014.720982,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.08,0.4946279355457851,17.741457802908762,0.5024409123829433,3.166346958705357,0.23174979857036046,-1.0,-1.0,-1.0,0.32828799315861296,-1.0,1.3858476706913538,0.18508392572402954,545015899.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.76366329193115,545000000.0,-1.0,6807677.142857143,105.21073695591518,290890867.4285714,14052746.0,662260.6428571428,229391213.7142857,-1.0,-1.0,-1.0,31369768.0,7349267.857142857,339963223.3504464,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
0.09,0.6556099482945034,6.886473519461496,0.030463671045643927,7.052895682198661,0.24127719019140517,-1.0,-1.0,-1.0,0.25900458438055857,-1.0,3.3956100600106374,0.18508392572402954,544988918.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.1755177634103,545000000.0,-1.0,4410289.714285715,105.21073695591518,604361106.2857143,8048388.571428572,1112518.857142857,518285366.85714287,-1.0,-1.0,-1.0,34666924.571428575,4250405.571428572,894978819.921875,0.2362324148416519,102.0,2.0,6330.0,1.0,24.509668350219727,2147.0,2361.0,3.0,67.0,65.0,71.0,50.0,66.0,35.0,72.0,545.0,2.0,18.511459231376648,3196.0,66.0,2.2226686477661133
