Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.6995848417282104,30.28608226776123,7.601843985263258,22.357177257537842,0.34960342943668365,-1.0,-1.0,-1.0,0.42113058269023895,-1.0,3.446869373321533,17.28244638442993,544925664.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.87278890609741,545000000.0,-1.0,5976605.25,179.41564178466797,1278217632.0,8693119.75,1069709.34375,1144063696.0,-1.0,-1.0,-1.0,32421189.0,5177037.25,1642748255.0078125,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.01,0.8598053114754813,15.168458666120257,0.577021848410368,10.192253112792969,0.4192537111895424,-1.0,-1.0,-1.0,0.40658994231905254,-1.0,4.001969064985002,17.28244638442993,544964928.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.50236981255667,545000000.0,-1.0,12545795.57142857,53.21802629743304,962634799.4642857,24764661.285714287,1965901.6785714286,803246793.1428572,-1.0,-1.0,-1.0,71329961.14285715,12985695.357142856,1302321057.8191965,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.02,0.30272156851632254,9.52838134765625,0.00044663792609102857,10.192253112792969,0.014739051461219786,-1.0,-1.0,-1.0,0.17939925193786624,-1.0,0.8597640991210938,17.28244638442993,544996425.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.90189593178886,545000000.0,-1.0,1497373.4285714286,53.21802629743304,17231221.072823662,3629862.5714285714,1965901.6785714286,803246793.1428572,-1.0,-1.0,-1.0,11316865.142857144,1880393.857142857,375510.28348214284,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.03,0.8266674280166626,12.498510837554932,0.2919402619590983,8.802828550338745,0.33432179037481546,-1.0,-1.0,-1.0,0.3215555250644684,-1.0,3.4967469573020935,17.28244638442993,545021552.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.36799764633179,545000000.0,-1.0,9138740.4375,53.21802629743304,799274184.0,17404561.375,1945380.140625,680928304.0,-1.0,-1.0,-1.0,50055456.5,9143961.59375,1114669568.2578125,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.04,1.2659418682257335,27.18950653076172,0.04637137994480627,17.447155316670734,1.117979829510053,-1.0,-1.0,-1.0,0.6279385387897491,-1.0,4.9081616799036665,17.28244638442993,544967946.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.731998920440674,545000000.0,-1.0,12674555.041666666,53.21802629743304,969868426.6666666,25027986.083333332,1923026.8541666667,810263141.3333334,-1.0,-1.0,-1.0,72373987.0,13130292.625,1314484961.2057292,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.05,0.7517633949007306,7.748341151646206,0.04989553828324589,6.196841376168387,0.2248280644416809,-1.0,-1.0,-1.0,0.22490433284214567,-1.0,3.7487878799438477,17.28244638442993,545014866.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.52843911307198,545000000.0,-1.0,6507487.285714285,53.21802629743304,531265325.71428573,12678561.964285715,1185346.892857143,444806546.28571427,-1.0,-1.0,-1.0,38715591.428571425,6646074.178571428,742059476.390625,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.06,23.971842053745473,33.4394291469029,8.43917886699949,32.5584774017334,0.3997144120346222,-1.0,-1.0,-1.0,2.4250214525631497,-1.0,1.647846566779273,0.11118794339043754,544961837.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.31106572491782,545000000.0,-1.0,4432255.716727121,52.103969029017854,584666160.0,6984794.464285715,829557.3571428572,489474203.4285714,-1.0,-1.0,-1.0,21799473.72377232,4131867.8515625,677987367.4352678,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.07,1.0735528767108917,19.89032506942749,0.10101361630950123,11.552565097808838,0.4522686079144478,-1.0,-1.0,-1.0,0.4555106833577156,-1.0,3.9958348870277405,0.05369289964437485,544967632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.25460863113403,545000000.0,-1.0,10781335.03125,46.34636306762695,838921912.0,21248943.78125,1788972.03125,699585024.0,-1.0,-1.0,-1.0,62170833.75,11149056.859375,1139544893.7714844,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.08,1.123845441000802,23.269346509660995,0.6246438629126975,10.270462308611188,0.4737965145281383,-1.0,-1.0,-1.0,0.5578401599611554,-1.0,5.646760872432163,0.05369289964437485,545029065.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.0714807510376,545000000.0,-1.0,12312711.214285715,46.34636306762695,926691582.8571428,24328463.35714286,1693338.8214285714,786962121.1428572,-1.0,-1.0,-1.0,69573063.42857143,12760530.035714285,1246045063.8035715,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
0.09,0.4807535069329398,16.569054194859095,0.022407139651477313,3.277103969029018,0.18467623740434647,-1.0,-1.0,-1.0,0.3164640324456351,-1.0,1.2968672343662806,0.05369289964437485,545192612.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.02288096291679,545000000.0,-1.0,8375657.0,46.34636306762695,470978256.0,17107438.285714287,953635.7857142857,392743497.14285713,-1.0,-1.0,-1.0,42283828.571428575,8947115.142857144,477893822.2410714,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2679.0,2361.0,6.0,59.0,56.0,59.0,45.0,52.0,51.0,72.0,545.0,2.0,19.718439877033237,3196.0,2.0,60.0,2.22304368019104
