Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.28,1.0478049516677856,1027.0,403.0,12069.0,5.0,26.971982955932617,3488.0,1920.0,3.0,55.0,54.0,54.0,32.0,27.0,35.0,72.0,545.0,2.0,25.520750880241398,2736.0,2.0,1.5,2.4607625007629395
0.28,2523.318359375,1027.0,403.0,12069.0,5.0,26.971982955932617,3488.0,1920.0,3.0,55.0,54.0,54.0,32.0,27.0,35.0,72.0,545.0,2.0,25.520750880241398,2736.0,2.0,1.5,2.4607625007629395
0.3,1.082589864730835,143.0,2.0,6661.0,1.0,26.971982955932617,3488.0,1920.0,3.0,55.0,54.0,54.0,32.0,27.0,35.0,72.0,545.0,2.0,25.520750880241398,2736.0,2.0,1.5,2.4607625007629395
1.0,1.0837182998657229,1027.0,403.0,12069.0,5.0,24.723413467407227,3488.0,1920.0,3.0,42.0,50.0,47.0,21.0,13.0,25.0,72.0,545.0,2.0,26.385444402694706,2736.0,2.0,1.5,2.4603734016418457
1.28,2523.318359375,1027.0,403.0,12069.0,5.0,24.723413467407227,3488.0,1920.0,3.0,42.0,50.0,47.0,21.0,13.0,25.0,72.0,545.0,2.0,26.385444402694706,2736.0,2.0,1.5,2.4603734016418457
1.3,1.076332926750183,143.0,2.0,6661.0,1.0,24.723413467407227,3488.0,1920.0,3.0,42.0,50.0,47.0,21.0,13.0,25.0,72.0,545.0,2.0,26.385444402694706,2736.0,2.0,1.5,2.4603734016418457
2.01,1.0404616594314575,1027.0,403.0,12069.0,5.0,24.0658016204834,3488.0,1920.0,3.0,54.0,48.0,60.0,27.0,30.0,29.0,72.0,545.0,2.0,26.662763953208923,2736.0,2.0,1.5,2.461991548538208
2.29,2523.318359375,1027.0,403.0,12069.0,5.0,24.0658016204834,3488.0,1920.0,3.0,54.0,48.0,60.0,27.0,30.0,29.0,72.0,545.0,2.0,26.662763953208923,2736.0,2.0,1.5,2.461991548538208
2.3,1.08061420917511,143.0,2.0,6661.0,1.0,24.0658016204834,3488.0,1920.0,3.0,54.0,48.0,60.0,27.0,30.0,29.0,72.0,545.0,2.0,26.662763953208923,2736.0,2.0,1.5,2.461991548538208
3.0,1.1153602600097656,1027.0,403.0,12069.0,5.0,23.682973861694336,3488.0,1920.0,3.0,45.0,47.0,43.0,21.0,25.0,19.0,72.0,545.0,2.0,26.747560501098636,3196.0,2.0,1.5,2.4618842601776123
