Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.28,1.085517168045044,1077.0,451.0,12214.0,5.0,22.55134391784668,3121.0,4388439512.0,1920.0,3.0,44.0,42.0,47.0,18.0,16.0,18.0,72.0,545.0,2.0,26.85877084732056,2736.0,6.0,2.4716618061065674
0.28,2523.318359375,1077.0,451.0,12214.0,5.0,22.55134391784668,3121.0,4388439512.0,1920.0,3.0,44.0,42.0,47.0,18.0,16.0,18.0,72.0,545.0,2.0,26.85877084732056,2736.0,6.0,2.4716618061065674
0.3,1.117443323135376,144.0,2.0,6661.0,1.0,22.55134391784668,3121.0,4388439512.0,1920.0,3.0,44.0,42.0,47.0,18.0,16.0,18.0,72.0,545.0,2.0,26.85877084732056,2736.0,6.0,2.4716618061065674
1.0,1.0817360877990725,1077.0,451.0,12214.0,5.0,22.456907272338867,3121.0,4388439512.0,1920.0,3.0,45.0,45.0,48.0,18.0,25.0,19.0,72.0,545.0,2.0,26.87634825706482,2736.0,6.0,2.474898338317871
1.28,2523.318359375,1077.0,451.0,12214.0,5.0,22.456907272338867,3121.0,4388439512.0,1920.0,3.0,45.0,45.0,48.0,18.0,25.0,19.0,72.0,545.0,2.0,26.87634825706482,2736.0,6.0,2.474898338317871
1.3,1.050092697143555,144.0,2.0,6661.0,1.0,22.456907272338867,3121.0,4388439512.0,1920.0,3.0,45.0,45.0,48.0,18.0,25.0,19.0,72.0,545.0,2.0,26.87634825706482,2736.0,6.0,2.474898338317871
2.0,1.0816138982772827,1077.0,451.0,12214.0,5.0,22.459083557128903,3121.0,4388439512.0,1920.0,3.0,46.0,46.0,54.0,22.0,20.0,32.0,72.0,545.0,2.0,26.885882019996643,2736.0,6.0,2.477040529251098
2.28,2523.318359375,1077.0,451.0,12214.0,5.0,22.459083557128903,3121.0,4388439512.0,1920.0,3.0,46.0,46.0,54.0,22.0,20.0,32.0,72.0,545.0,2.0,26.885882019996643,2736.0,6.0,2.477040529251098
2.3,1.0817145109176636,144.0,2.0,6661.0,1.0,22.459083557128903,3121.0,4388439512.0,1920.0,3.0,46.0,46.0,54.0,22.0,20.0,32.0,72.0,545.0,2.0,26.885882019996643,2736.0,6.0,2.477040529251098
3.0,1.1152607202529907,1077.0,451.0,12214.0,5.0,22.418556213378903,3121.0,4388439512.0,1920.0,3.0,46.0,47.0,50.0,18.0,16.0,26.0,72.0,545.0,2.0,26.8732488155365,2736.0,6.0,2.4682657718658447
3.28,2523.318359375,1077.0,451.0,12214.0,5.0,22.418556213378903,3121.0,4388439512.0,1920.0,3.0,46.0,47.0,50.0,18.0,16.0,26.0,72.0,545.0,2.0,26.8732488155365,2736.0,6.0,2.4682657718658447
3.3,1.044284701347351,144.0,2.0,6661.0,1.0,22.418556213378903,3121.0,4388439512.0,1920.0,3.0,46.0,47.0,50.0,18.0,16.0,26.0,72.0,545.0,2.0,26.8732488155365,2736.0,6.0,2.4682657718658447
4.0,1.0844329595565796,1077.0,451.0,12214.0,5.0,22.52396011352539,3121.0,4388439512.0,1920.0,3.0,43.0,44.0,46.0,12.0,14.0,26.0,72.0,545.0,2.0,26.87479853630066,2736.0,6.0,2.4808664321899414
4.28,2523.318359375,1077.0,451.0,12214.0,5.0,22.52396011352539,3121.0,4388439512.0,1920.0,3.0,43.0,44.0,46.0,12.0,14.0,26.0,72.0,545.0,2.0,26.87479853630066,2736.0,6.0,2.4808664321899414
4.3,1.1142826080322266,144.0,2.0,6661.0,1.0,22.52396011352539,3121.0,4388439512.0,1920.0,3.0,43.0,44.0,46.0,12.0,14.0,26.0,72.0,545.0,2.0,26.87479853630066,2736.0,6.0,2.4808664321899414
5.0,1.078089952468872,1077.0,451.0,12214.0,5.0,22.41387176513672,3121.0,4388439512.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.28,2523.318359375,1077.0,451.0,12214.0,5.0,22.41387176513672,3121.0,4388439512.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.3,1.126811981201172,144.0,2.0,6661.0,1.0,22.41387176513672,3121.0,4388439512.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.95,1.126811981201172,144.0,2.0,6661.0,1.0,22.41387176513672,3121.0,4388439512.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.96,1.126811981201172,144.0,2.0,6661.0,1.0,22.41387176513672,3121.0,3023615323.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.97,1.126811981201172,144.0,2.0,6661.0,1.0,22.41387176513672,3121.0,2598222070.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.98,1.126811981201172,144.0,2.0,6661.0,1.0,22.41387176513672,3121.0,3049469369.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
5.99,1.126811981201172,144.0,2.0,6661.0,1.0,22.41387176513672,3121.0,2688275134.0,1920.0,3.0,46.0,44.0,49.0,18.0,18.0,22.0,72.0,545.0,2.0,26.899290084838867,2736.0,6.0,2.4745333194732666
6.0,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,2688275134.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.01,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3510062159.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.02,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3113394960.5,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.03,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,2744520688.5,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.05,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3593185243.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.06,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3625170790.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.07,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3655919201.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.09,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,2916040704.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.1,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,5124110918.5,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.11,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3744980818.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.13,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,2972273922.5,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.14,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3032235219.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.16,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3058661456.5,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
6.18,0.9915798902511596,1077.0,451.0,12214.0,5.0,22.37626266479492,3121.0,3056131163.0,1920.0,3.0,43.0,44.0,49.0,14.0,15.0,27.0,72.0,545.0,2.0,26.799699664115906,2736.0,6.0,2.270786762237549
