Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.0466919839382172,39.92697048187256,0.04231076326686885,19.966451168060303,0.4674264118075371,-1.0,-1.0,-1.0,0.7430386394262314,-1.0,4.894094824790955,13.59355454146862,544930912.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.01732778549194,545000000.0,-1.0,18130857.5,229.69039916992188,1098350160.0,29731354.0,4293667.375,846164576.0,-1.0,-1.0,-1.0,111937192.0,17057270.0,1419621465.5703125,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.01,0.7745483560221536,15.367165958242756,0.04267894849181174,7.548822947910852,0.2582494914531708,-1.0,-1.0,-1.0,0.49336135387420654,-1.0,2.7892697198050365,0.2480359673500061,544931190.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.97775762421744,545000000.0,-1.0,7004965.5,103.98729596819196,674378971.5,14472447.110630581,1955981.2142857143,543816978.2857143,-1.0,-1.0,-1.0,42742294.85714286,7550889.11063058,752142789.2857143,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.02,0.7959040850400925,13.656201362609863,0.052395232371054576,8.765644788742065,0.15228599007241428,-1.0,-1.0,-1.0,0.3247538208961487,-1.0,3.878936529159546,0.11438484702791486,544984704.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.793342515826225,545000000.0,-1.0,7965547.125,90.61467361450195,1163632900.53125,12196360.572509766,2946975.25,991843792.0,-1.0,-1.0,-1.0,52825327.0,7134663.197509766,1147580453.7382812,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.03,0.47983903544289724,15.307692391531807,0.18819780009133474,7.319008963448661,0.24841478377181506,-1.0,-1.0,-1.0,0.27096747500555857,-1.0,1.9076330321175712,0.11277703940868378,544949046.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.49129121644156,545000000.0,-1.0,9565078.857142856,50.735399518694194,699887277.7142857,15495929.388671875,2503199.8571428573,532903862.85714287,-1.0,-1.0,-1.0,60128384.0,9004787.67438616,884144635.6026785,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.04,0.8266852420887777,29.987561907087052,0.0800740314381463,11.268428257533483,0.32219742025647846,-1.0,-1.0,-1.0,0.5441985811505999,-1.0,3.7106907027108327,0.175719576222556,544965129.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.47776188169207,545000000.0,-1.0,12312523.57142857,100.41121128627232,985397888.0,20952608.714285713,3594107.3571428573,776731648.0,-1.0,-1.0,-1.0,77613060.57142857,11819227.57142857,1258950458.6763394,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.05,1.2262565238135201,21.84461953171662,0.18791293459279196,14.549147197178431,0.2833128765757595,-1.0,-1.0,-1.0,0.4287402965128422,-1.0,2.800978660583496,0.8144562201840537,544910070.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.876547132219585,545000000.0,-1.0,12101165.32142857,195.61631992885046,998515593.1428572,20639735.01171875,23966047.92857143,761743200.0,-1.0,-1.0,-1.0,76629788.57142857,11643314.1640625,1257032137.4151785,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.06,0.6465486288070679,21.281981331961497,0.7240525313786098,10.904368809291295,0.28078012391259627,-1.0,-1.0,-1.0,0.41719973938805716,-1.0,2.8015943254743303,0.33876631941114155,544954176.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.936477797372,545000000.0,-1.0,11124891.42857143,87.97627476283482,905247408.0,19326979.55845424,3305516.0714285714,722670720.0,-1.0,-1.0,-1.0,71028371.42857143,10785779.272739956,1161216356.607143,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.07,0.7547086675961813,24.827919642130535,0.03963807706410683,13.20418612162272,0.3406141627347097,-1.0,-1.0,-1.0,0.486729234457016,-1.0,3.2640199661254883,0.20800565679868063,544941216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.80904903014501,545000000.0,-1.0,13332015.333333334,109.82634989420573,1061479797.3333334,22649912.549641926,3804804.8333333335,838820736.0,-1.0,-1.0,-1.0,84113464.0,12787161.216308594,1359622918.2760417,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.08,1.0754117369651794,23.87917709350586,0.12530423880421687,15.931527273995536,0.4425571582147053,-1.0,-1.0,-1.0,0.5430711507797241,-1.0,4.998511450631278,0.18981664947101048,544955236.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.122508593967986,545000000.0,-1.0,11944945.57142857,97.8541259765625,936638496.0,20304919.85714286,3422190.6741071427,753207604.5714285,-1.0,-1.0,-1.0,75472208.0,11458214.07142857,1206222530.1808035,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.09,0.871499590575695,23.641535997390747,0.09694828558713195,13.21009373664856,0.34334380459040403,-1.0,-1.0,-1.0,0.5014982149004936,-1.0,3.6067598462104797,0.15828630328178406,544940216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.06238104403019,545000000.0,-1.0,10844875.375,90.36085891723633,865749565.0,18544598.700683594,3239150.03125,684084084.0,-1.0,-1.0,-1.0,68966102.0,10439932.075683594,1107185153.0234375,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
0.1,0.7641303624425616,17.886780875069753,0.15951821394264695,12.019040516444615,0.30685993077765616,-1.0,-1.0,-1.0,0.44600307089941843,-1.0,2.8028648921421597,0.061349174806049886,544985325.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.19901718412127,545000000.0,-1.0,7051861.428571428,49.759752546037944,684542384.0,13949509.502092633,2171427.2723214286,554091344.0,-1.0,-1.0,-1.0,48360467.428571425,7293096.644949777,873386620.4174107,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,3032.0,1920.0,3.0,48.0,45.0,47.0,31.0,32.0,41.0,90.0,545.0,2.0,35.921671986579895,2736.0,4.0,1.0,2.5427207946777344
