Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.1688163110188075,20.299809558050974,0.20217710094792501,15.329527991158622,0.00132125604432075,-1.0,-1.0,-1.0,0.4725582706076758,-1.0,3.621579647064209,0.8258587845734188,545031952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.44324472546577,545000000.0,-1.0,10284371.107142856,186.50838361467635,38939452.0,2931.795166015625,23339310.64285714,742360484.5714285,-1.0,-1.0,-1.0,68208151.67857143,2931.795166015625,24121704.169921875,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.01,1.1688163110188075,20.299809558050974,0.20217710094792501,15.329527991158622,0.35874733115945545,-1.0,-1.0,-1.0,0.4725582706076758,-1.0,3.621579647064209,0.8258587845734188,544924827.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.590846572603496,545000000.0,-1.0,10284371.107142856,186.50838361467635,965475998.2857143,18784941.42731585,23339310.64285714,742360484.5714285,-1.0,-1.0,-1.0,68208151.67857143,10209821.552315848,1231801679.4107144,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.02,0.8893686964043549,29.72879137311663,0.2981439186623902,11.462698255266462,0.31103768944740295,-1.0,-1.0,-1.0,0.5445106199809483,-1.0,3.709921428135463,0.28690547602517263,544931529.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.64088841847011,545000000.0,-1.0,11175459.857142856,100.923583984375,1001894322.2857143,20438708.64285714,2268308.6428571427,800945590.8571428,-1.0,-1.0,-1.0,73417922.28571428,11107872.5,1287665590.0625,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.03,0.848081818648747,29.31062970842634,0.9011796675622463,15.40175655909947,0.46510239158357886,-1.0,-1.0,-1.0,0.5131444249834333,-1.0,4.376306806291852,3.649973524468286,544893632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.395139285496306,545000000.0,-1.0,10377351.42857143,183.35503278459822,975485994.8934152,19010630.57142857,22489155.75,747874715.4285715,-1.0,-1.0,-1.0,72592916.28571428,10318805.714285715,1239153049.997768,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.04,0.7705620356968471,19.157764434814453,0.3972849468035357,11.08870015825544,0.2689427251129278,-1.0,-1.0,-1.0,0.4228247744696481,-1.0,2.797241824013846,0.3115037168775286,544943707.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.098523122923716,545000000.0,-1.0,10068386.57142857,88.95864432198661,916642157.7142857,18638130.643136162,2071441.25,733004982.8571428,-1.0,-1.0,-1.0,67099797.71428572,10064348.928850446,1172328078.4308035,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.05,1.0585743870053972,25.748077665056503,0.08769790721791129,16.089670181274414,0.4221296395574297,-1.0,-1.0,-1.0,0.5719900301524571,-1.0,3.959442751748221,0.19246373432023184,544986285.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.80548899514334,545000000.0,-1.0,10520627.142857144,95.72524588448661,919541874.2857143,19489272.57142857,2099054.7991071427,737203181.7142857,-1.0,-1.0,-1.0,70665457.14285715,10553243.42857143,1162520991.325893,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.06,0.8170043570654733,19.62048775809152,0.022697678234960328,11.514827455793109,0.4182890842535666,-1.0,-1.0,-1.0,0.45057107721056255,-1.0,3.214313575199672,2.669250462736403,544912704.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.64792045525142,545000000.0,-1.0,8251564.857142857,149.84805733816964,690824203.4285715,16560425.429547992,1572303.9107142857,551379497.1428572,-1.0,-1.0,-1.0,62958793.14285714,8762900.572405133,881247758.09375,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.07,0.7407805068152291,18.44601058959961,0.44347091232027325,11.130151203700475,0.25538838900891797,-1.0,-1.0,-1.0,0.4019323928015573,-1.0,2.8703970909118652,0.33455691167286467,544953673.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.97702099595751,545000000.0,-1.0,8663826.714285715,92.57381330217633,899842550.8571428,15201497.102120535,23829028.60714286,700208237.7142857,-1.0,-1.0,-1.0,55656740.571428575,8275749.387834822,1124807934.6361606,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.08,10.768423080444336,37.413409096854075,0.10837917029857635,6.26056752886091,0.36516064405441284,-1.0,-1.0,-1.0,1.2011658208710807,-1.0,2.616901125226702,0.17039460369518825,544932288.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.00897882665907,545000000.0,-1.0,9277903.694893973,101.65699986049107,986484480.1428572,17345704.13950893,1366941.4285714286,825419593.1428572,-1.0,-1.0,-1.0,54981968.0,9470569.361328125,715981500.0714285,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
0.09,0.8781130995069232,15.52171380179269,0.08702957736594334,11.455422537667411,0.2764574643889708,-1.0,-1.0,-1.0,0.4049727065222604,-1.0,4.16632080078125,0.17834430507251195,544942317.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.338179741586956,545000000.0,-1.0,6996386.571428572,104.57433210100446,640972662.8571428,12248273.480608258,2098371.214285714,485793042.28571427,-1.0,-1.0,-1.0,49240226.28571428,6829690.266322545,828909451.9486607,1.0295825004577637,446.0,37.0,11694.0,6.0,22.49163055419922,2486.0,1920.0,3.0,56.0,56.0,62.0,37.0,48.0,57.0,90.0,545.0,2.0,35.056981444358826,1.0863815546035769,3196.0,1.0,3.0,2.491070508956909
