Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.1416705548763275,19.487257957458496,0.07065792940557,12.902521133422852,0.27491147071123123,-1.0,-1.0,-1.0,0.5215345323085785,-1.0,3.4272361993789673,0.1073572188615799,544981872.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.449193477630615,545000000.0,-1.0,12842853.0,92.03512573242188,1237782336.0,25732318.0,2889719.1875,1038365568.0,-1.0,-1.0,-1.0,92108000.0,13449727.5,1365686498.3730469,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.01,0.7325781329224507,27.607612291971844,0.029216805201334236,12.720978736877441,0.20391946223874888,-1.0,-1.0,-1.0,0.4565054972966512,-1.0,3.225907484690348,0.21712871889273325,544948448.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.3253875374794,545000000.0,-1.0,8061358.0,95.72542826334636,609881866.6666666,12576746.826009115,1677960.8333333333,464667720.0,-1.0,-1.0,-1.0,47722062.666666664,7342901.659342448,883383078.5286459,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.02,0.5235163718461989,23.245208195277623,0.021421872877648886,13.39632511138916,0.2662249321001582,-1.0,-1.0,-1.0,0.399828953402383,-1.0,2.8002422196524486,0.13369267327444895,544945488.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.60455387830734,545000000.0,-1.0,9139396.42857143,47.557948521205354,666712521.1428572,14886701.56138393,2143569.5,511443520.0,-1.0,-1.0,-1.0,57236586.28571428,8636792.70424107,844122742.6629465,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.03,0.8978570444243295,29.454484667096818,0.041663994241389404,13.241019566853842,0.29051962851857144,-1.0,-1.0,-1.0,0.547129077570779,-1.0,3.7410943848746165,0.17728846839496068,544985109.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.35194704929987,545000000.0,-1.0,12312911.285714285,102.051513671875,983920973.7142857,20996206.730050225,2635914.5,779883154.2857143,-1.0,-1.0,-1.0,78222200.0,11823462.730050223,1250664358.375,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.04,1.2016413560403245,31.000452041625977,0.22625056128682836,14.917194366455078,0.30797276752335684,-1.0,-1.0,-1.0,0.6559663244656154,-1.0,5.2739949226379395,0.061373889446258545,544956123.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.28672344344003,545000000.0,-1.0,12062414.857142856,99.39447021484375,959674509.7142857,20702643.714285713,2738935.214285714,755782582.8571428,-1.0,-1.0,-1.0,78273455.42857143,11634286.357142856,1203371395.2879465,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.05,0.92976461989539,28.347381591796875,0.11317739861884286,15.070432118007115,0.37746730433510883,-1.0,-1.0,-1.0,0.5488559688840594,-1.0,3.7993201528276717,0.1914082339831761,544927149.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.44364905357361,545000000.0,-1.0,12062451.0,97.7588631766183,974987600.0,20807860.52329799,2512040.9285714286,770868754.2857143,-1.0,-1.0,-1.0,77263042.28571428,11660986.951869419,1226143087.9598215,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.06,0.9170598132269723,28.892501831054688,0.017704849214559115,15.362512043544225,0.3992498792441828,-1.0,-1.0,-1.0,0.5500600848879132,-1.0,3.759707587105887,0.17255098479134695,544958226.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.20832940510341,545000000.0,-1.0,12536470.285714285,102.44608415876117,1006832214.8571428,21405093.79282924,2819363.3571428573,794766189.7142857,-1.0,-1.0,-1.0,80141480.0,12050917.221400669,1271426509.658482,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.07,0.8019189573824406,25.15462827682495,0.15467746726062614,13.219133377075195,0.3135040884371847,-1.0,-1.0,-1.0,0.4781211316585541,-1.0,3.280563771724701,0.1555093638598919,544957120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.78127047419548,545000000.0,-1.0,10632033.25,86.003173828125,864008366.0,18385578.604125977,2479677.53125,683386904.0,-1.0,-1.0,-1.0,68504401.0,10291357.229125977,1085828531.6054688,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.08,1.0535024801890056,18.099161465962727,0.1089289014538129,13.215991973876953,0.3068685332934062,-1.0,-1.0,-1.0,0.5154938399791718,-1.0,3.3959715366363525,0.07098191479841869,544988512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.589052518208824,545000000.0,-1.0,11003463.666666666,60.45263671875,1064011797.3333334,21918060.666666668,2345001.5833333335,895514880.0,-1.0,-1.0,-1.0,78244649.33333333,11464914.333333334,1252070828.1510417,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.09,0.7796143912710249,25.70464038848877,0.021714501432143138,11.940214276313782,0.3008043863810599,-1.0,-1.0,-1.0,0.473788246512413,-1.0,3.2797805666923523,0.16380523145198822,544937896.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.1840503513813,545000000.0,-1.0,10731386.125,85.40611267089844,885607992.5,18518985.378051758,2297277.34375,702197846.0,-1.0,-1.0,-1.0,68751762.0,10334902.128051758,1146638244.7636719,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.1,0.6564162479979652,25.243582589285715,0.8708830633051028,7.191453388759068,0.2024086040577718,-1.0,-1.0,-1.0,0.3961387021200998,-1.0,2.811408383505685,0.1719513280051095,544947629.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.19977389063154,545000000.0,-1.0,9808884.57142857,98.69339861188617,741516411.4285715,16227506.060407367,2243968.0,571064722.2857143,-1.0,-1.0,-1.0,61918297.14285714,9278473.631835938,962888230.6316965,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.11,0.8150321082877261,32.390231541224885,0.06477455236017701,12.733488627842494,0.49905884618471774,-1.0,-1.0,-1.0,0.5643702319690159,-1.0,3.282874175480434,0.1856097493852888,544956489.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.08753028937748,545000000.0,-1.0,10477930.42857143,90.80087716238839,661013865.1428572,18745301.460239954,1652998.46875,506091091.4285714,-1.0,-1.0,-1.0,59451997.14285714,10442309.174525669,738879069.84375,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.12,0.9703886687223401,26.53195571899414,0.0715112823194691,7.453429085867746,0.19073509637798575,-1.0,-1.0,-1.0,0.5147609540394374,-1.0,5.1498227800641745,0.17150109580584935,544961947.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.97788575717381,545000000.0,-1.0,8333501.285714285,102.26565115792411,634845278.8571428,12670291.714285715,2018425.71875,477706829.85714287,-1.0,-1.0,-1.0,55706939.428571425,7510846.785714285,878186062.7544643,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.13,0.8320593408175877,15.836002894810267,0.010180107517433987,9.74562018258231,0.2456505818824683,-1.0,-1.0,-1.0,0.3854181596211025,-1.0,4.269464560917446,0.15465588229043142,544968411.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.343340379851206,545000000.0,-1.0,8748947.92857143,35.24798366001674,1187873332.5714285,14706397.934849331,2377747.5714285714,1007572589.7142857,-1.0,-1.0,-1.0,58435968.0,8280541.720563616,1168172397.9620535,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.14,0.8948686106928757,29.558957508632115,1.501292931182044,13.28770078931536,0.5835018482591424,-1.0,-1.0,-1.0,0.5437115430831909,-1.0,3.809911387307303,0.1793395791734968,544956050.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.49693472044809,545000000.0,-1.0,11437754.142857144,97.65067400251117,922621771.4285715,19518980.792271204,2573699.0,726957778.8571428,-1.0,-1.0,-1.0,74313846.85714285,10983978.363699777,1156413545.013393,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.15,11.064289059756058,42.02473776681082,0.07638730367346266,11.404910223824638,0.39642539746793254,-1.0,-1.0,-1.0,1.9115262287003654,-1.0,3.706409113747733,0.18247464299201965,544951030.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.5213668516704,545000000.0,-1.0,12346032.693638394,102.28305925641742,990400012.1428572,21024615.737723213,2753543.1428571427,780581851.4285715,-1.0,-1.0,-1.0,78679778.28571428,11849452.122767856,1257723573.075893,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.16,0.8354902956634759,27.72073609488351,0.0253502529646669,11.473012379237584,0.33325675981385366,-1.0,-1.0,-1.0,0.5300339375223432,-1.0,3.978248255593436,0.06134875331606183,544947712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.24931853158133,545000000.0,-1.0,11706397.714285715,99.7114998953683,938331847.4285715,19940668.285714287,2626250.035714286,740958189.7142857,-1.0,-1.0,-1.0,74656892.57142857,11231784.285714285,1185706471.2299106,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.17,1.39849458138148,18.53300412495931,0.8476969924522564,17.698132197062176,0.34061560531457263,-1.0,-1.0,-1.0,0.5427218700448672,-1.0,4.087078293164571,0.07156600058078764,545005365.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.49427858988444,545000000.0,-1.0,10212393.041666666,50.153594970703125,985580720.0,20179535.510416668,2460977.7447916665,825617685.3333334,-1.0,-1.0,-1.0,71755092.63541667,10561783.736979166,1297402731.5572917,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
0.18,1.2440522065652269,32.04011099679129,0.06636899989098309,16.128949574061803,0.4904158086116825,-1.0,-1.0,-1.0,0.668933800288609,-1.0,5.951996326446533,0.06293526717594691,544937965.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.92939696993147,545000000.0,-1.0,11715597.214285715,91.8363778250558,966173874.2857143,20166641.85714286,2804421.651785714,768451890.2857143,-1.0,-1.0,-1.0,75636116.57142857,11291474.57142857,1238657740.8392856,1.0826539993286133,1140.0,448.0,12246.0,6.0,21.248985290527344,2644.0,1920.0,3.0,48.0,46.0,50.0,37.0,33.0,41.0,90.0,545.0,2.0,34.203892946243286,2736.0,1.0,23.0,2.506700038909912
