Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,29.917638778686523,20.082361221313477,0.872762283044202,1.0952908410690725,40.25524711608887,39.57146906852722,43.55123710632324,0.006943410029634825,11.73233699798584,13.15676736831665,41.048640966415405,10.964032456278801,47.87747001647949,27.122530043125153,0.49342013895511627,31.71183967590332,114.44688034057617,157.16448974609375,0.6965989619493484,0.1875975877046585,5.129340291023254,0.19727903604507446,544905072.0,1.7089362144470215,3.7643762081861496,72918585344.0,94225526784.0,6375449856.0,126406803456.0,1665540544.0,37.504791378974915,545000000.0,0.13020530343055725,12560655.5,85.2545166015625,896503995.4907227,19129549.0,2618197.4375,668176688.0,0.524851530790329,0.49421846866607666,1852343936.0,80360332.0,11496871.0,1119651988.4335938,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.01,34.16994530814035,22.638803482055664,0.872762283044202,0.9266324298722404,26.545331954956055,42.03154100690569,42.623539856501985,0.05608469773350015,11.577938761029925,15.019156864711217,43.442247663225444,11.845472063337054,52.93009512765067,4.212761878967285,0.4359939028508961,36.74437713623047,89.34350476946149,220.49581473214286,0.5489381125995091,0.2225635051727295,4.005764416285923,0.17618667227881296,544987328.0,1.9535023144313268,3.197651207447052,77145835227.42857,98257652589.71428,6878131529.142858,133152793746.28572,1721867538.2857144,41.20930242538452,545000000.0,0.15286819849695474,10705810.57142857,97.05231584821429,930543508.5714285,18115999.609095983,2665320.285714286,738268955.4285715,0.5947619165693011,0.43818122148513794,1714030500.5714285,73486829.71428572,10242385.46623884,1179505828.4464285,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.02,24.831702096121653,18.025440761021205,0.872762283044202,0.9149712502424207,27.407697677612305,33.577685015542166,35.69884293419974,0.04990576493686861,9.893521990094866,11.337493624006,34.829141071864534,9.50792493564742,41.060957772391184,16.081899540764944,0.313240932566779,27.532433101109095,90.49967956542969,133.72944859095983,0.5445081336157662,0.1744054811341422,4.287233693259103,0.17193253125463212,544946642.2857143,1.51107314654759,3.228512989623206,80427127369.14285,102445252608.0,7153820379.428572,138803572150.85715,1797221632.0,53.48128417560032,545000000.0,0.11599161369459969,11157350.42857143,98.07406180245536,950726185.1428572,18812164.85714286,2548169.1071428573,766157330.2857143,0.4487407037190029,0.43682786396571566,1781922011.4285715,75979749.71428572,10654103.57142857,1228023761.9308035,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.03,19.686359405517578,13.646973927815756,0.872762283044202,0.7223188877105713,10.345900217692057,25.48915735880534,27.81684939066569,0.05036824375080565,7.426001866658528,8.71624724070231,26.431259155273438,7.34123134613037,31.913773854573567,1.4195594787597656,0.21601380997647843,21.21082305908203,57.39775594075521,104.97098795572917,0.34292374054590863,0.13711493213971457,2.8972721099853516,0.07087799906730652,544969930.6666666,1.1503355503082275,2.4384212493896484,61111031125.333336,78151412394.66667,5398011562.666667,105584749226.66667,1377774378.6666667,58.24195317427317,545000000.0,0.09322101871172588,6499353.0,59.37801615397135,728125761.3333334,12835778.146484375,1384192.4583333333,595719381.3333334,0.3484923442204793,0.3271377384662628,1205971114.6666667,53986356.0,6695893.479817708,922269892.2786459,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.04,24.93354742867606,18.086144583565847,0.872762283044202,0.9200482717049974,27.420957837785995,33.6652775491987,37.04610906328474,0.03546658690902401,10.116514478410993,11.319178989955358,35.1030466897147,9.578137078455516,41.08851296561105,16.054344211305892,0.34882670800600735,27.46712875366211,89.34523664202008,133.09011840820312,0.5439488547188895,0.17637710911887033,4.013580458504813,0.17301346148763383,544941312.0,1.5124304294586182,3.1972851284912656,72649663634.28572,92885708214.85715,6494240329.142858,125586756169.14285,1612941897.142857,39.227544852665496,545000000.0,0.11619314977100917,10391861.0,98.0704825265067,889646118.2857143,17353111.398158483,2473525.0714285714,701361334.8571428,0.4523524216243199,0.4381652815001352,1644224548.5714285,70933878.85714285,9876975.112444196,1026792871.703125,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.05,15.392320905412946,13.113108498709542,0.2565324306488037,10.784271362370678,49.86808340890067,22.5260956798281,27.131703240530832,0.0757200298664559,6.923605162118163,7.6722981589181085,23.0297087260655,6.415678003004619,27.10788290841239,30.034974098205566,0.540148676472849,18.689987182617188,67.48130743844169,692.9190346854074,2.207512174333845,0.12503729122025625,187.7595742089408,0.24383059995515005,544961124.5714285,1.0745446341378349,2.087413284395422,49185313353.14286,62160301494.85714,4631296146.285714,84896759808.0,1074054140.7142856,38.05936387607029,545000000.0,0.17720257384436472,9677717.008370535,99.58229282924107,658167920.2857143,16426431.359375,1809390.6785714286,503770624.0,0.2969011068344116,0.27035003900527954,1492329910.5714285,60604204.571428575,9393789.303013394,825545076.6540178,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.06,20.52950159708659,12.541753133138021,0.3645459711551666,0.9116649636998773,21.05230172475179,26.8914737701416,30.657429933547974,0.06866651728220553,8.023990313212076,8.644538561503092,27.701349178949993,7.163658695916335,32.45754750569662,17.542453428109486,0.13805369691302374,21.22222073872884,93.41841634114583,168.3286336263021,0.40231025218963623,0.11745448410511015,4.374893506368001,0.13699224591255188,544957642.6666666,1.0985257228215535,3.484834219018618,49704923136.0,63023180458.666664,4161178282.6666665,85377690282.66667,1133223082.6666667,42.73838758468628,545000000.0,0.08551521599292755,6082731.375,50.94892374674479,558829837.578125,8069578.7223307295,1763613.125,421587669.3333333,0.3449672857920329,0.6224132378896078,835084490.6666666,41359779.666666664,5102379.1806640625,833042083.7552084,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.07,24.826778411865234,18.030364445277623,0.3645459711551666,0.9178746265492269,27.519594737461635,33.4947053364345,35.72042424338205,0.042806638936911286,9.907415117536273,11.301864351545062,34.746312958853586,9.48040681225913,40.989219665527344,16.153637375150407,0.3002732183252062,27.533680507114955,90.2981927054269,139.60711669921875,0.5412118264607021,0.17465875829969132,3.9600932938711986,0.11850914784840175,544933353.1428572,1.511275359562465,3.2547762308801924,74966162285.71428,95589175881.14285,6657312329.142858,129418067968.0,1678672310.857143,53.448913301740376,545000000.0,0.11612710782459804,10494232.857142856,95.82060023716518,905985976.5491072,17613973.285714287,2595084.5,716452900.5714285,0.44870454924447195,0.44968974590301514,1669892461.7142856,71684017.14285715,9993174.142857144,1153047809.1808035,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.08,32.52086312430246,24.514210292271205,0.67623741711889,1.0549730403082713,37.34316635131836,43.756250858306885,45.16488463538034,0.0489534777589142,12.439832959856306,15.115581512451172,44.90559107916696,12.552808429513659,53.74493299211774,17.683637857437134,0.4421802684664726,36.81131853376116,106.50125994001117,215.36946759905135,0.6733555282865252,0.23601698875427246,4.825551850455148,0.18297415971755981,544947163.4285715,2.0423611913408553,3.3637940117291043,76646622354.28572,97607052726.85715,6836095488.0,132286243986.28572,1710215259.4285715,42.00314087527139,545000000.0,0.15428381732531957,10855712.357142856,98.80794852120536,930823638.8571428,18264016.14285714,2726198.464285714,734615817.1428572,0.5961939266749791,0.4559620480452265,1725245750.857143,74357037.71428572,10345015.42857143,1170622212.3638394,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
0.09,24.826438358851842,18.030704498291016,0.67623741711889,0.9205889132406029,41.36628205435617,34.45304495947702,39.017704895564485,0.1075060086025457,9.981036049979073,11.334646224975586,35.42052561896188,9.528167126035052,41.086470467703684,30.342101165226527,0.5849704167672566,27.53421129499163,104.11412048339844,134.35717337472096,0.6629140760217395,0.17457045827593123,4.399169172559466,0.17304884110178267,544951542.8571428,1.5113489287240165,3.2590663049902235,77370799835.42857,98601613019.42857,6876848274.285714,133548450962.28572,1730581796.5714285,40.05190328189305,545000000.0,0.11595278978347778,10779649.0,97.53598022460938,931741742.8571428,18192173.32142857,2655430.5,738008320.0,0.4487330402646746,0.4381443517548697,1723713001.142857,74248691.42857143,10314706.25,1189826572.5111606,1.0608116388320925,1160.0,450.0,12242.0,5.0,20.843339920043945,2924.0,7020890479.0,1920.0,3.0,61.0,55.0,70.0,36.0,54.0,40.0,90.0,545.0,2.0,33.58241319656372,2092.0,1.0,2.4628140926361084
