Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,16.992748260498047,11.001263618469238,4.642903804779053,0.43911958020180464,42.51183032989502,25.99320614337921,23.35939908027649,0.0928000174462795,8.094649336300792,16.726933002471924,28.042880177497864,8.435728840529919,40.06862258911133,34.93137717247009,0.38176457956433296,25.988677978515625,104.62420845031738,87.00835990905762,0.6970956921577454,0.3370325341820717,5.084583640098572,0.18807944655418396,544975312.0,1.658482551574707,2.379963792860508,31314056672.0,37767818960.0,2808319884.0,53006284992.0,663268264.0,33.984343349933624,545000000.0,0.11722417920827866,9015323.625,73.04157257080078,1029107092.0,11306499.0625,1894198.68359375,831638397.0,0.3900184109807015,0.2770542502403259,1019904624.0,54286950.0,7433057.375,581904610.2265625,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.01,36.85578169141497,21.61995887756348,3.780321921621051,0.7985182016023569,39.27845736912319,42.60022463117327,39.337841170174734,0.3124271254138356,12.519784856853741,21.394072123936244,44.74707548958914,12.909778186253138,60.81687709263393,10.611694199698311,0.675041818193027,38.47041974748884,105.71226501464844,189.88871955871582,0.6958492142813546,0.35852557846478056,4.4350216048104425,0.17532931481088912,544945764.5714285,2.256481238773891,3.141448872429984,61076715520.0,88593932809.14285,6111654505.142858,111485334381.71428,1638934865.142857,41.61030520711626,545000000.0,0.19194158060210093,14162052.285714285,94.94977678571429,946695154.2857143,23829954.64285714,2714351.9129464286,728303761.7142857,0.7096435342516217,0.35148586545671734,2123340992.0,81964237.28571428,13489668.392857144,1168261151.9330356,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.02,35.44186060769217,22.723121915544784,3.945432390485491,0.7084077000617981,39.39071382795061,42.06011881147112,38.48212330681937,0.0209796681634283,11.67247314485056,22.01152174813407,44.01532472882952,12.876820019313268,59.707920619419646,11.720650945390974,0.5917997424091611,39.47252001081194,105.68165370396206,181.6829479762486,0.6989657708576748,0.367973906653268,4.4526881490434915,0.17985343507358006,544952649.1428572,2.3955887726375034,3.1417722531727383,66364083894.85714,96367503492.57143,6638980770.285714,121186813001.14285,1783953637.7142856,40.923718384334016,545000000.0,0.19183219543525148,15147960.42857143,99.96633911132812,1021672662.8571428,25667894.82142857,3143440.214285714,791331795.7142857,0.6956878389630999,0.3515315737043108,2286986057.142857,88147007.14285715,14475632.07142857,1265249130.6830356,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.03,25.6979250226702,17.15921756199428,3.945432390485491,0.7617024864469256,19.65992055620466,30.598389761788503,33.28273337227957,0.46950002014636993,11.094458716256279,10.76884514944894,31.818529401506698,8.979199273245674,40.43859645298549,2.4185470853533064,0.48139157465526033,24.24528775896345,70.21699959891183,134.3912135532924,0.4439239501953125,0.17936312300818308,2.47905056817191,0.06240909440176827,544981412.5714285,1.417776244027274,2.850231034415109,65599733760.0,95378781915.42857,6561851977.142858,119850972891.42857,1760153088.0,68.27295575823102,545000000.0,0.12625840732029503,11147015.857142856,52.31066022600447,928184767.6339285,21922068.57142857,2071504.0714285714,778909641.1428572,0.4903230496815273,0.35142081124441965,1962500827.4285715,65301777.14285714,11552699.42857143,1219196327.0357144,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.04,27.419100625174387,17.15788459777832,2.675379071916853,0.7618742132825511,32.10760498046875,32.389528683253694,34.12184190750122,0.2609963566064834,11.102024000670228,18.01734515598842,33.85316685267857,9.555513620376587,42.986015047345845,14.156841005597796,0.5559795924595424,29.67169734409877,85.31393214634487,136.66896506718226,0.545483410358429,0.31424169881003244,3.587529046194894,0.0608361107962472,544947373.7142857,1.8407602991376604,2.91291897211756,67132432420.57143,97276970523.42857,6686548006.857142,122457464539.42857,1800425653.7142856,54.30122406142099,545000000.0,0.15405387537819998,15424780.57142857,100.3496573311942,1028244635.4285715,25938988.0,3380080.1785714286,795275529.4285715,0.5570878045899528,0.3514241320746286,2312759734.857143,89266952.0,14674508.0,1281115354.377232,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.05,24.006023287773132,15.015260696411133,2.359366178512573,0.6075038923881948,34.610729932785034,30.735513925552368,31.83145499229431,0.02673182484795685,9.382587005151436,15.958556413650513,32.495442509651184,9.482773095369339,43.442243576049805,19.05775621533394,0.4808377120643854,25.97258234024048,92.4830904006958,121.70035791397095,0.6074628382921219,0.27382316440343857,3.8699491024017334,0.15490590780973434,544956936.0,1.611910879611969,2.748326141387224,59601784704.0,86408749952.0,5952534482.0,108758698240.0,1599176742.0,47.868270218372345,545000000.0,0.1340313758701086,13631585.21875,90.0771598815918,913808704.0,22982856.5,2465457.046875,708027064.25,0.48704006522893906,0.30749278515577316,2048072200.0,79003043.75,12987254.46875,1140700451.3242188,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.06,19.35086781638009,11.018701008387975,2.674425942557199,0.5086868506457124,35.210116795131135,23.905075890677317,24.061702455793107,0.3521706368108945,7.770669472536871,14.046850204467773,25.52172483716692,7.587364307471684,35.95634569440569,21.186511516571045,0.4610625846045358,20.088521684919083,81.26382337297711,92.68796648297992,0.5461525576455253,0.2599403645311083,3.474909782409668,0.1866770429270608,544948507.4285715,1.3103949683053153,2.069016937698637,44849385654.85714,70397292169.14285,4743685490.285714,84791715766.85715,1314689202.857143,51.05761585916792,545000000.0,0.11647104578358787,13467347.964285715,105.41086687360492,809901174.8571428,22020296.39285714,2462771.03125,609259158.8571428,0.4072249105998448,0.1929223452295576,1940925078.857143,75425216.42857143,12640442.75,840982031.4553572,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.07,29.30988529750279,13.961321353912354,4.702589579990932,0.5035147314359035,31.972782679966517,29.18990053449358,25.39816495350429,0.2756392295871462,7.524709215653794,17.279161725725448,30.19739614214216,8.575811726706368,45.353655678885325,11.789201532091413,0.7084330022335052,31.767299107142858,81.85840388706752,132.1691949026925,0.5488656418664115,0.28958087095192503,3.6324026925223216,0.17512192470686777,544955858.2857143,1.7758685520717077,2.2206224628857205,39074859392.0,55047419629.71429,4039965542.857143,70638533558.85715,1028223284.0,52.1631989138467,545000000.0,0.14270351401397158,9736501.285714285,98.60172380719867,629786532.5714285,15055881.714285715,2248058.2120535714,467253028.0,0.4979309822831835,0.2614906770842416,1317226898.2857144,56085393.85714286,8858481.42857143,881777100.4196428,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.08,19.738861901419504,10.578488213675362,2.6990898677280972,0.5264227576553823,31.750346320016043,25.317742892674037,25.827295780181885,0.007316010230819543,7.18120188532131,14.493637084960938,26.94970158168248,7.708028210060937,36.376930236816406,20.76592629296439,0.2796057973589216,22.597787584577286,83.6242926461356,94.27161107744489,0.5452324151992798,0.2441841959953308,3.7259907722473145,0.1405411192349025,544965558.8571428,1.3651799815041679,2.281387026820864,50575595410.28571,69491276946.28572,4671924299.428572,89993161252.57143,1268327112.5714285,50.77152746064322,545000000.0,0.11198019555636815,11628632.464285715,50.30550275530134,713668155.4285715,18453201.89285714,2217870.0535714286,528821020.0,0.4053808663572584,0.2484492233821324,1677643053.7142856,69768529.42857143,10736018.67857143,883337647.1919643,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
0.09,27.416434288024902,17.16031973702567,2.651672908238002,0.6941032425633499,39.59104020254953,35.17195456368582,35.40630510875157,0.017508233498249714,10.755184087902308,18.118762969970703,37.176672390529085,10.850559773189682,49.717441013881135,21.711130823407853,0.5160870610603264,29.721739632742747,105.70174189976284,139.2228295462472,0.6931773253849575,0.3133422093732016,4.454539775848389,0.1751085136617933,544980178.2857143,1.8442343303135462,3.140764683485031,66461412425.14286,96128162893.71428,6632856770.285714,121158347849.14285,1777349586.857143,40.290394578661235,545000000.0,0.15387994050979614,15138212.92857143,100.46978759765625,1016531378.2857143,25495632.32142857,3354183.9553571427,786771481.1428572,0.5571906438895634,0.35142703567232403,2271452585.142857,88167300.71428572,14411345.785714285,1269732916.892857,1.1436020135879517,1150.0,453.0,12264.0,7.0,21.174501419067383,2883.0,1920.0,3.0,48.0,43.0,51.0,27.0,57.0,23.0,90.0,545.0,2.0,33.61284136772156,3196.0,3.0,3.0,2.332718849182129
