Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,13.766759872436523,11.233240127563478,0.6028212138584682,0.507128597702831,32.5987491607666,20.737582206726074,23.82161784172058,0.0028852941468358,6.18197774887085,7.06040906906128,21.528319239616394,5.718340162187815,24.0121955871582,25.987804114818573,0.4228197233751416,16.440378189086914,70.1979751586914,77.67701721191406,0.4371084570884705,0.10066507756710052,3.205930709838867,0.20833250880241394,544974560.0,0.9284928441047668,1.9366979971528053,34612195328.0,43158065152.0,3173476608.0,59364704256.0,742760832.0,32.262708991765976,545000000.0,0.0627162903547287,7486511.25,71.56915283203125,458590400.0,10059491.072753906,1491316.6875,314724256.0,0.2624756693840027,0.2769015431404114,959068384.0,41794976.0,6473939.572753906,587068429.2734375,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.01,33.205313546316965,23.86101041521345,0.6028212138584682,1.306637185758778,30.67375237601144,44.31853716714041,46.53211266653879,0.1625190728477069,13.160789489746094,15.209097726004464,45.85139928545271,12.563826933503151,54.70658983503069,16.721981823444366,0.4436961497579302,36.76554816109793,111.07004220145089,212.64777483258928,0.5924619755574635,0.2347702043397086,4.18608215876988,0.1835366657802037,544965001.1428572,2.0182080609457835,3.7141422075884685,80881538779.42857,103125635657.14285,7183221613.714286,139627577344.0,1809983579.4285715,42.78514848436628,545000000.0,0.15506785256522043,12128491.107142856,100.50568062918526,978721421.9553572,20723587.26785714,2447050.90625,772346230.8571428,0.5974083457674298,0.46247142127582,1908751241.142857,78391108.51785715,11667290.339285715,1240167753.783482,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.02,33.56929724557059,22.816561017717635,1.280250413077218,0.9516295713505576,30.14263207571847,44.491092681884766,46.263526235307964,0.04980400590492144,12.523583548409599,15.082243238176618,45.678539412362234,12.245382934808731,55.11340114048549,16.315169947487966,0.3459464657519545,36.97993959699358,87.32099042619977,229.81466674804688,0.5528358223714999,0.21611184733254565,3.761153084891183,0.17514186246054514,544956022.8571428,1.9557881355285645,3.0388339843068803,80213897801.14285,102396137472.0,7132779776.0,138544744740.57144,1796527222.857143,43.145478282655986,545000000.0,0.15080988832882472,12014478.089285715,97.62893240792411,970503222.8571428,20612654.744698662,2837909.5,768035725.7142857,0.5883198465619769,0.4006578411374773,1897857901.7142856,77291773.71428572,11583843.74469866,1221955380.4375,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.03,24.908141544887,17.94900185721261,1.280250413077218,0.881291543532695,29.87080901009696,33.53899097442627,35.96747650418963,0.036414207400022304,9.74203736441476,11.341958727155413,34.78665958132063,9.485858787383352,40.95511954171317,16.187738009861537,0.39984889115606037,27.497148241315568,87.32410103934151,134.20643397739954,0.5439514943531581,0.17440797601427352,3.7833498546055386,0.17671999335289001,544949677.7142857,1.5066018104553223,3.0384579598903656,80193191936.0,102171253613.71428,7131188662.857142,138410005065.14285,1792534235.4285715,53.478783811841694,545000000.0,0.11612584335463386,12014020.0,100.67935180664062,947172624.0,20486076.285714287,2726800.3214285714,766939172.5714285,0.4488279478890555,0.40061380181993755,1885181568.0,77297049.14285715,11536946.714285715,1220007298.671875,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.04,24.907012394496373,17.950130462646484,1.280250413077218,0.8805743796484812,15.590062550136022,32.40090724400112,35.6587119783674,0.3330907332045691,10.142938341413226,11.41145842415946,33.61575099400112,9.395023618425641,40.9698486328125,1.8872944627489363,0.2894542887141662,27.4964234488351,71.41489955357143,134.21548025948658,0.4417279618127005,0.17428931593894958,3.15866334097726,0.0613507160118648,544970002.2857143,1.506565843309675,2.9910563060215543,82888121197.71428,105719697993.14285,7360530432.0,143108500918.85715,1856104411.4285715,53.55285368646894,545000000.0,0.11575127073696681,9635508.0,51.0469970703125,966604068.5714285,18999382.65122768,2401785.0714285714,790873929.1428572,0.4487957443509783,0.40064362968717304,1730027483.4285715,67561772.57142857,9944464.365513394,1255133048.8058035,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.05,17.03684561593192,11.534583500453405,1.280250413077218,14.85690537600645,39.5622318812779,22.489299297332764,24.86768783416067,0.032243953884712274,6.377116612025669,7.386407579694476,23.309906891414098,6.210511756794793,27.121846880231583,15.7352967943464,0.2261785922039832,18.10531452723912,65.07894679478237,95.65980747767857,3.1756727610315596,0.11693695187568665,2.8329712322780063,0.17252141663006373,544947904.0,0.9763542924608503,2.1075994159494127,57893002093.71429,74526380617.14285,5072405650.285714,100228598052.57143,1318579273.142857,36.115923694201875,545000000.0,0.08013437049729484,9585323.697806222,99.072021484375,728018145.7142857,15753375.844587054,2111351.214285714,562048713.1428572,0.29885331221989225,0.27517774275371004,1452201234.2857144,60948458.28571428,9034769.265066965,883654390.4084822,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.06,16.16538122722081,27.598921094621932,1.280250413077218,0.7936959274645362,32.552774156842915,28.131623336247035,27.977079800197057,0.07364128170801057,7.471526009695871,9.132932390485491,32.26272065298898,10.224126628467015,35.041992732456755,22.100863524845668,0.4480150716512331,25.57614244733538,82.14610508510044,82.70807756696429,0.5621093341282435,0.13234914200646536,3.351046630314418,0.17671037997518266,544960566.8571428,1.6705739157540458,2.7544976259980882,50857507986.28571,64489246134.85714,4900495881.142858,88002627803.42857,1086583625.142857,36.72330984047481,545000000.0,0.07738158319677624,10845418.857142856,95.87510899135044,694550212.5714285,18938906.026646204,1799088.482142857,541309893.4285715,0.29960293429238455,0.32744608180863516,1669940187.4285715,62525922.28571428,10673474.026646206,765810497.7075893,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.07,24.793460300990514,18.453983034406388,0.29351537568228586,1.0061146710067987,25.77577781677246,33.11390706471035,33.869114126477925,0.04134147900289721,9.210081236703056,9.564400264195033,34.7944016456604,9.496500051447324,40.29365866524832,16.849199788911,0.2884095600540085,27.068721771240234,97.66920035226005,154.3709008353097,0.5243160809789386,0.17009903703417098,5.260314464569092,0.18825941000665938,544940370.2857143,1.460000821522304,3.6333210340567996,59377441645.71429,75436156635.42857,5002023350.857142,102097543168.0,1354751350.857143,38.92217404501779,545000000.0,0.11915133680616107,8511148.142857144,102.51101248604911,1113650603.4285715,13441118.280831473,2386127.9285714286,924335776.0,0.45750132628849577,0.5630521007946558,1287039817.142857,59026611.428571425,7893066.4951171875,895818081.4419643,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.08,22.82929691672325,27.365451097488403,0.2301799466367811,1.0641879595350474,28.152045726776123,36.94465762376785,37.162683606147766,0.1510100980976858,10.099106431007385,14.166531324386597,39.21373641490936,11.857354341074824,45.53091526031494,16.96908476948738,0.39781725825741887,31.983447074890137,109.70024490356445,159.66390085220337,0.5843820720911026,0.28614848479628563,4.3144166469573975,0.1601317822933197,544966448.0,2.0275647938251495,4.223310250788927,70205101696.0,89869913600.0,6298485904.0,121438544128.0,1574448080.0,36.23513747751713,545000000.0,0.13696083426475525,10881318.125,89.0602798461914,857268362.5,18421829.64465332,2303723.6015625,677499276.0,0.5619177222251892,0.6534386202692986,1669969168.0,67945098.5,10397655.20715332,1143102338.6367188,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
0.09,25.361305781773158,17.405209132603236,0.1546084369931902,1.009141258629305,24.848854337419784,33.37309850965227,39.20628935950143,0.5473226963409356,10.81102534702846,11.30653817313058,34.51454945972988,9.274276480078697,41.15892791748047,15.983929072107587,0.43200836616701316,27.469309670584543,100.09511893136161,171.15003531319755,0.5095075113432748,0.16982157741274154,5.217533588409424,0.11116718394415719,544960118.8571428,1.4844185965401786,3.7248852806431905,76914953654.85715,97868164534.85715,6677698706.285714,132526735360.0,1739158528.0,40.48674418245043,545000000.0,0.11549779772758482,9728733.42857143,48.85048566545759,901070882.2857143,15471234.336774554,2365607.8928571427,716521453.7142857,0.4470885992050171,0.5604843837874276,1505366528.0,64283928.0,8916835.19391741,1206885013.6294644,1.109489679336548,1155.0,452.0,12245.0,6.0,20.56769180297852,2878.0,5553299061.0,1920.0,3.0,43.0,47.0,50.0,25.0,31.0,50.0,90.0,545.0,2.0,34.071943163871765,2736.0,22.0,2.495272636413574
