Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.9183134138584137,7.568724177777768,0.7522830769885331,13.056248188018799,0.0575659880414605,-1.0,-1.0,-1.0,0.27701033651828766,-1.0,1.723725438117981,5.355054646730423,544919648.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.65814924240112,545000000.0,-1.0,3850523.546875,222.4863739013672,473677248.0,7368836.3837890625,27163481.75,323864980.0,-1.0,-1.0,-1.0,26666236.0,3877004.6123046875,759391056.6328125,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.01,1.1682738746915544,19.95343235560826,0.0929716293300901,15.07618876865932,0.20810894135917937,-1.0,-1.0,-1.0,0.5567263790539333,-1.0,4.161762646266392,7.149415041719164,544875465.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.08732632228306,545000000.0,-1.0,11468640.42857143,247.55276925223214,981499081.1428572,20096973.714285713,2628424.1428571427,770301129.1428572,-1.0,-1.0,-1.0,78314696.57142857,11014207.07142857,1250089664.877232,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.02,1.169293795313154,19.989250311894075,0.06011191489441051,13.542667388916016,0.1876442262104579,-1.0,-1.0,-1.0,0.5597030605588641,-1.0,4.174056802477155,15.089069409029824,544865947.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.371224130902974,545000000.0,-1.0,12068396.285714285,263.2895769391741,1493359506.2857144,21106540.285714287,2323290.964285714,1252300544.0,-1.0,-1.0,-1.0,83397678.28571428,11579145.07142857,1344289730.6316965,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.03,1.2210597566195898,20.41028749729906,0.1846546511764505,14.725540161132812,0.1673412424113069,-1.0,-1.0,-1.0,0.500948795250484,-1.0,5.125059604644775,18.000908085278102,544852717.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.9746675491333,545000000.0,-1.0,11572733.42857143,302.55436052594865,1018080914.2857143,20208059.32142857,23364406.73214286,770580873.1428572,-1.0,-1.0,-1.0,79454942.85714285,11089685.92857143,1289003354.5892856,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.04,1.0784525722265244,17.068159341812134,0.027724794577807174,13.293457746505737,0.18033731915056705,-1.0,-1.0,-1.0,0.43800508603453636,-1.0,4.463172018527985,12.472085513174534,544912992.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.500887632369995,545000000.0,-1.0,10613426.3125,228.73595428466797,893706624.0,18571311.03125,2364731.859375,700366480.0,-1.0,-1.0,-1.0,71731309.5,10190368.6875,1136690988.4277344,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.05,0.8051828145980835,16.528038310153143,0.036335317417979233,11.33437374659947,0.1219974931861673,-1.0,-1.0,-1.0,0.36799854040145874,-1.0,4.262486321585519,14.717269088540759,544864283.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.41100597381592,545000000.0,-1.0,9314707.285714285,306.13983154296875,745936457.1428572,15768972.357142856,1829908.0,569299254.8571428,-1.0,-1.0,-1.0,62927456.0,8758439.285714285,923217620.90625,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.06,0.7163945606776646,20.15157209123884,0.1305061751710517,11.522612980433873,0.1904227605887822,-1.0,-1.0,-1.0,0.43071099690028597,-1.0,3.01920747756958,9.724910872323173,544867126.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.18412508283343,545000000.0,-1.0,11076388.42857143,204.85402134486608,882535680.0,19897526.57142857,25269633.07142857,676800822.8571428,-1.0,-1.0,-1.0,77148066.28571428,10915578.0,982120257.1227678,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.07,0.9321684922490802,14.215700319835118,0.024564675587628558,11.119843891688756,0.07220106199383733,-1.0,-1.0,-1.0,0.35133274112428936,-1.0,4.022122383117676,23.758255422115326,544911232.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.28815964290074,545000000.0,-1.0,7003231.285714285,198.550053187779,658350994.2857143,11126884.642857144,1530894.6964285714,506320850.28571427,-1.0,-1.0,-1.0,46304100.0,6216808.607142857,914127855.2991072,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.08,1.0599863358906336,10.74375970023019,0.018009602890482958,11.264823641095843,0.1319220463878342,-1.0,-1.0,-1.0,0.37819666947637287,-1.0,4.0626301765441895,8.432417375700814,544946651.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.22800745282855,545000000.0,-1.0,6667161.464285715,203.60872105189733,658469266.2857143,13096075.75,1297453.642857143,523296594.28571427,-1.0,-1.0,-1.0,47288657.14285714,6912658.428571428,930180937.625,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
0.09,1.2239972182682581,20.37664031982422,0.2961792358463364,15.191441672188896,0.19760755343096598,-1.0,-1.0,-1.0,0.4964835686343057,-1.0,5.014709540775844,24.856170381818497,544804086.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.44542421613421,545000000.0,-1.0,12224770.17857143,314.8512529645647,1032295936.0,21445981.5,2668201.464285714,806889371.4285715,-1.0,-1.0,-1.0,83178965.14285715,11762181.44642857,1304090395.845982,1.0976357460021973,1209.0,403.0,12117.0,6.0,26.04655647277832,2989.0,1920.0,3.0,58.0,57.0,61.0,43.0,48.0,36.0,90.0,545.0,2.0,34.575074911117554,3196.0,19.0,2.506098508834839
