Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.778839077268328,18.324157442365372,0.030809429075036716,11.798521041870117,0.23309622492109025,-1.0,-1.0,-1.0,0.4443116528647287,-1.0,3.299070676167806,5.937979976336162,545025749.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,6899673.0,125.73183949788411,696201984.0,13041583.42857143,1738394.5833333333,554763413.3333334,-1.0,-1.0,-1.0,53979338.666666664,7042835.857142857,145856.671875,1.0798838138580322,121.0,2.0,6330.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.01,0.778839077268328,18.324157442365372,0.030809429075036716,11.798521041870117,0.23309622492109025,-1.0,-1.0,-1.0,0.4443116528647287,-1.0,3.299070676167806,5.937979976336162,544947492.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.80718353816441,545000000.0,-1.0,6899673.0,125.73183949788411,696201984.0,13041583.42857143,1738394.5833333333,554763413.3333334,-1.0,-1.0,-1.0,53979338.666666664,7042835.857142857,831351578.8385416,1.0798838138580322,121.0,2.0,6330.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.02,0.8206039071083069,17.84505844116211,0.019640295500201816,11.390710013253349,0.23169514377202308,-1.0,-1.0,-1.0,0.441076537328107,-1.0,2.434376895427704,6.723190277814865,544870985.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.17628942217146,545000000.0,-1.0,11061627.6015625,180.6589584350586,873747143.5,20132881.821707588,2310987.9375,693636096.0,-1.0,-1.0,-1.0,63815454.0,10975255.250279019,1130751432.6484375,1.0798838138580322,121.0,2.0,6330.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.03,1.0142903668539864,18.664563042776926,0.13231989042833445,15.403877530779157,0.2139650553997074,-1.0,-1.0,-1.0,0.43900837123926195,-1.0,2.875046048845564,5.656943653311048,544856978.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.965218561036245,545000000.0,-1.0,11483986.92857143,317.7205723353795,1039721252.0,20961211.647600446,2811931.5915178573,821138656.0,-1.0,-1.0,-1.0,76574568.0,11424686.79045759,1332847996.0357144,1.0798838138580322,121.0,2.0,6330.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.04,1.2845670666013445,19.660617000290326,0.10251608291374784,13.53397342136928,0.3331429090883051,-1.0,-1.0,-1.0,0.5487976329667228,-1.0,5.0056281089782715,9.291863058294568,544881289.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.2935060773577,545000000.0,-1.0,9922365.07142857,194.97340611049108,1377241211.4285715,17916418.64285714,2439685.3928571427,1168308036.5714285,-1.0,-1.0,-1.0,66617501.71428572,9780631.92857143,1269870265.2857144,1.0798838138580322,121.0,2.0,6330.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.05,1.235904574394226,19.788680297987803,0.053412809169718155,15.058011191231865,0.4218603883470808,-1.0,-1.0,-1.0,0.552742234298161,-1.0,5.109331539699009,7.781780915600912,544940928.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.90060029711042,545000000.0,-1.0,10479011.42857143,196.7018781389509,962323062.8571428,19133620.285714287,2384390.5,765937403.4285715,-1.0,-1.0,-1.0,69342352.0,10410861.42857143,1254448092.9441965,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.06,1.2699677177837916,20.83467858923333,0.22953598094838007,11.102416174752372,0.23422727614109004,-1.0,-1.0,-1.0,0.5324979679925101,-1.0,5.066514900752476,11.455148075308118,544838125.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.7136664390564,545000000.0,-1.0,10381327.42857143,335.7616620744978,1010538452.5714285,18828987.214285713,46597797.98214286,741738969.1428572,-1.0,-1.0,-1.0,72385160.0,10285748.785714285,1275133168.2232144,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.07,0.3258699417114258,9.951986694335938,0.03457731902599334,5.201706314086914,0.11818523406982422,-1.0,-1.0,-1.0,0.19615658521652224,-1.0,1.3396052360534667,5.8877216339111325,544892633.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.30589504241944,545000000.0,-1.0,5566498.4,132.3088623046875,471726519.2,9900076.8,1236294.0,369842432.0,-1.0,-1.0,-1.0,36568051.2,5459526.4,590628396.459375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.08,0.7825764417648315,18.425460270472936,0.23038323968648913,11.285046441214424,0.19328459671565465,-1.0,-1.0,-1.0,0.4278918504714966,-1.0,2.89554500579834,15.102471096175057,544925376.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.62737928118024,545000000.0,-1.0,9592012.857142856,176.51085117885046,859672886.8571428,17371837.714285713,2378902.8928571427,684204013.7142857,-1.0,-1.0,-1.0,64040165.71428572,9490583.0,1113494187.4263394,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.09,0.7913008757999965,17.95410074506487,0.016071466462952728,11.414098194667272,0.21816481011254446,-1.0,-1.0,-1.0,0.43473927463803974,-1.0,2.266262928644816,0.23680893580118814,544920786.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.4811623437064,545000000.0,-1.0,10430801.142857144,54.54979451497395,614895082.6666666,19213416.57142857,1471475.5833333333,506354176.0,-1.0,-1.0,-1.0,39205745.333333336,10489754.142857144,823685787.4609375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.1,0.9128388677324567,13.936809539794922,0.018686945749712813,11.098424366542272,0.17537851525204523,-1.0,-1.0,-1.0,0.3700390713555472,-1.0,3.9070448194231306,6.220546756471906,544935186.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.99358374731881,545000000.0,-1.0,6375385.285714285,204.82110595703125,684828086.8571428,10783105.07142857,1710413.982142857,524949627.4285714,-1.0,-1.0,-1.0,53714298.28571428,6002629.535714285,875945220.0245535,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.11,1.0124492304665702,11.467758178710938,0.1683926922934396,11.700826644897461,0.15238680796963827,-1.0,-1.0,-1.0,0.4042415874344962,-1.0,4.123913645744324,7.823004476726055,544931620.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.2926059109824,545000000.0,-1.0,6535237.071428572,171.34761810302734,828433752.0,12866744.142857144,1995243.1875,656925844.0,-1.0,-1.0,-1.0,60086385.0,6789121.321428572,1073938579.4296875,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.12,1.1967908314296178,19.566714695521764,0.032298129584108055,15.397336414882115,0.27175835626465933,-1.0,-1.0,-1.0,0.5092516243457794,-1.0,4.515323162078857,9.172571573938642,544890112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.32787139075143,545000000.0,-1.0,11105715.07142857,208.44981166294642,1009079104.0,20251521.89285714,2337935.5714285714,800304329.1428572,-1.0,-1.0,-1.0,73905759.14285715,11028980.67857143,1309189906.4732144,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
0.13,1.2403832503727503,19.611034017588413,0.02860955022541537,15.154190335954938,0.2908014271940504,-1.0,-1.0,-1.0,0.5138687704290662,-1.0,4.900339535304478,18.870876993451798,544825243.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.52859020233154,545000000.0,-1.0,10990204.57142857,359.6322108677455,997845449.1428572,20017262.85714286,2504427.8214285714,786644617.1428572,-1.0,-1.0,-1.0,72540645.71428572,10921070.410714285,1285000117.59375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2381.0,5980371016.0,1651.0,3.0,44.0,45.0,44.0,48.0,39.0,25.0,90.0,456.0,2.0,36.57424449920654,2736.0,5.0,2.505614995956421
