Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.6201332821510732,31.548159122467037,0.001248745014891025,6.282334804534912,0.25571686029434204,-1.0,-1.0,-1.0,0.4373984783887863,-1.0,3.290240526199341,0.19457335770130157,544990432.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.60018861293793,545000000.0,-1.0,7905937.0,70.70260620117188,527658704.0,10939748.5,1950331.5625,374273312.0,-1.0,-1.0,-1.0,46295316.0,6924170.25,648197743.5234375,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.01,0.8535569139889309,28.637535640171595,0.0283693562128714,15.21973718915667,0.4666254710006927,-1.0,-1.0,-1.0,0.5625561731202262,-1.0,3.726339408329555,0.1735653919833047,544944731.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.987300753593445,545000000.0,-1.0,12723046.285714285,103.75906808035714,1023273513.1428572,21831954.77511161,3488861.9821428573,810799058.2857143,-1.0,-1.0,-1.0,80252490.28571428,12261619.91796875,1303162167.919643,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.02,0.8523336393492562,28.874602454049246,0.03767229250765269,14.823306219918388,0.4829682112405343,-1.0,-1.0,-1.0,0.5570132647241864,-1.0,3.7494092668805803,0.17696632231984818,544961782.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.513043131147114,545000000.0,-1.0,11593624.0,93.57721819196429,955648356.5714285,20398958.949497767,3079384.214285714,756998491.4285715,-1.0,-1.0,-1.0,75114966.85714285,11338538.09235491,1198413148.857143,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.03,0.9321693275123835,29.504011426653182,0.14773047116718122,11.264471054077148,0.3441743850708008,-1.0,-1.0,-1.0,0.5396335295268467,-1.0,3.749473435538156,0.12640334027154104,545000237.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.48891792978559,545000000.0,-1.0,11577663.714285715,97.90629359654018,891459450.5357143,19457223.57142857,3105710.1428571427,720654317.7142857,-1.0,-1.0,-1.0,72590395.42857143,11029565.857142856,1153596173.1450894,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.04,1.3157855357442583,17.96853310721261,0.10338885616511105,16.188365936279297,0.49179295264184475,-1.0,-1.0,-1.0,0.5640741160937718,-1.0,5.041852610451834,0.06084158590861728,544980278.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.897490927151274,545000000.0,-1.0,9821937.285714285,54.41312953404019,956487136.0,19473047.31263951,2677484.3303571427,780516187.4285715,-1.0,-1.0,-1.0,67293681.14285715,10186499.098353794,1227072205.1450894,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.05,1.0024343481553453,27.983748844691686,0.3406178600021771,11.409262793404716,0.4487241192587784,-1.0,-1.0,-1.0,0.507062418120248,-1.0,4.841956274850028,0.18737985832350595,545093184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.214602657726836,545000000.0,-1.0,9888117.92857143,99.24285888671875,708550072.8571428,16345744.31891741,2886144.535714286,551431177.1428572,-1.0,-1.0,-1.0,59823343.428571425,9364326.81891741,878882512.6629465,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.06,1.1102539158891886,27.510639905929562,0.3512199774268083,12.309218406677246,0.5446493140188977,-1.0,-1.0,-1.0,0.5674756839871407,-1.0,5.181044161319733,0.16139140352606773,544871584.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.177471816539764,545000000.0,-1.0,10603944.1875,89.46128463745117,1227199140.0,18062913.15637207,2757082.703125,1033933928.0,-1.0,-1.0,-1.0,67111163.5,10187726.96887207,1107549751.8574219,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.07,0.7230857788984265,31.601811817714147,0.08305804684122058,11.838378633771624,0.43666030187159777,-1.0,-1.0,-1.0,0.5640814815248761,-1.0,3.522622994014195,0.1892856912953513,544975744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.26945727212088,545000000.0,-1.0,11803223.42857143,104.01974487304688,831963154.2857143,20602331.79520089,3159048.5,648935570.2857143,-1.0,-1.0,-1.0,71262748.57142857,11618565.795200894,927201034.3616072,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.08,1.1125493994248765,24.1429260798863,0.05842037388356402,10.998733248029437,0.26086809379713877,-1.0,-1.0,-1.0,0.48974898883274626,-1.0,5.082752500261579,0.17304995230266026,544944128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.693139110292705,545000000.0,-1.0,8137624.857142857,93.34119088309151,774161782.8571428,12811706.857142856,2323969.8214285714,615964653.7142857,-1.0,-1.0,-1.0,52879168.571428575,7364435.25,1046395902.359375,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
0.09,1.1807080685560192,25.145225524902344,0.29850596032753984,11.029752458844866,0.2904873107160841,-1.0,-1.0,-1.0,0.5012845737593514,-1.0,4.714823177882603,0.12324389389583043,545201984.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.87308917726789,545000000.0,-1.0,9250193.57142857,45.717333112444194,672642633.1428572,15243906.142857144,2290092.3571428573,514279323.4285714,-1.0,-1.0,-1.0,58394305.14285714,8779564.42857143,922011973.0825893,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2937.0,1920.0,3.0,53.0,48.0,50.0,35.0,33.0,26.0,90.0,545.0,2.0,34.33974087238312,2736.0,1.0,1.0,2.5031073093414307
