Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.002412149449810375,11.74234390258789,0.0066839144565165,9.3853816986084,0.3772127330303192,-1.0,-1.0,-1.0,0.19848130643367767,-1.0,1.4101405143737793,0.2550962269306183,544971952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.97646850347519,545000000.0,-1.0,7349845.0,70.91569519042969,137746770.3569336,7362326.0,1107419.5,12308696.0,-1.0,-1.0,-1.0,32913962.0,5835227.5,119195372.67382812,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.01,0.5833503222092986,25.568241755167644,0.0651945041803022,18.56674861907959,0.8318595687548319,-1.0,-1.0,-1.0,0.6652500033378601,-1.0,3.2939394116401672,0.2006589968999227,544931061.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.17283924420675,545000000.0,-1.0,15398607.333333334,90.19747416178386,1050487648.0,26945612.833333332,2623632.15625,827649501.3333334,-1.0,-1.0,-1.0,83016568.33333333,15194520.0,1332450501.5598958,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.02,0.6747625254626785,29.129596710205078,0.033029953184138414,22.005476815359934,1.269911683031491,-1.0,-1.0,-1.0,0.7041623336928231,-1.0,3.9066458429609026,0.1788086380277361,544948187.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.720408882413594,545000000.0,-1.0,15950232.857142856,94.70171247209821,1032999072.0,26945024.14285714,3062685.953125,802773689.0,-1.0,-1.0,-1.0,86170642.57142857,15420147.42857143,1301325201.0089285,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.03,1.290166085852044,23.391318729945592,0.05899557065484777,19.691544669015066,0.8585839654718127,-1.0,-1.0,-1.0,0.6776910679680961,-1.0,6.611278772354126,0.17353194952011108,544948681.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.2928991998945,545000000.0,-1.0,14674626.357142856,89.92765372140067,971448411.4285715,25127495.785714287,3005014.8883928573,759836336.0,-1.0,-1.0,-1.0,81147390.85714285,14298769.42857143,1221614100.924107,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.04,0.6719162150153092,29.81479971749442,0.047906779318249625,16.021819795880997,0.9181540470038142,-1.0,-1.0,-1.0,0.6945607832499913,-1.0,3.814308796610151,0.18245508415358408,544969526.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.66922630582537,545000000.0,-1.0,16476754.857142856,94.19275774274554,1040796288.0,27566077.285714287,3093414.613839286,801064331.4285715,-1.0,-1.0,-1.0,88384821.71428572,15865752.0,1306344188.8839285,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.05,0.5750976018607616,25.708555221557617,0.06811491943274933,12.461869557698568,0.4457353999217351,-1.0,-1.0,-1.0,0.48634110887845355,-1.0,2.9695964654286704,0.21840067704518637,544977258.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.53429349263509,545000000.0,-1.0,14279138.333333334,95.85743459065755,984421973.3333334,24974846.666666668,3048745.9166666665,807058869.3333334,-1.0,-1.0,-1.0,81315162.66666667,13805723.666666666,1248988774.4817708,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.06,0.6892539346590638,26.164177417755127,0.07765110337641087,16.951442003250122,0.7457306925207376,-1.0,-1.0,-1.0,0.6131656914949417,-1.0,3.320027083158493,0.17119361460208893,544928936.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.873367220163345,545000000.0,-1.0,14667258.875,88.11334991455078,922053488.0,24597867.5,2533156.26171875,705790217.5,-1.0,-1.0,-1.0,78550782.0,14144441.5,1142396454.3496094,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.07,0.6476218546075481,21.28684561593192,0.07902341016701286,16.24387468610491,0.7560985258647374,-1.0,-1.0,-1.0,0.6144864218575614,-1.0,2.644531045641218,0.061363458633422845,544981065.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.070526531764436,545000000.0,-1.0,12123724.142857144,53.222159249441965,772907478.8571428,23948668.14285714,1976794.7879464286,604407118.8571428,-1.0,-1.0,-1.0,63838231.71428572,13031542.142857144,973348384.4107143,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.08,0.588235464479242,26.999925340924943,0.017929171478109674,16.08145250592913,0.7140579649380275,-1.0,-1.0,-1.0,0.5397134338106427,-1.0,3.555959020342146,0.1777691330228533,544954240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.34769252368382,545000000.0,-1.0,13737720.714285715,93.68535505022321,827531035.4285715,22024980.57142857,2536034.214285714,634408559.4285715,-1.0,-1.0,-1.0,68617892.57142857,12945943.142857144,904500684.4642857,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.09,0.41302672560725895,21.087560381208146,0.05439575631836693,15.663562229701451,0.732343560882977,-1.0,-1.0,-1.0,0.5443024379866463,-1.0,3.1850829465048656,0.17618748545646667,544937920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.190720966884065,545000000.0,-1.0,11815470.714285715,98.07834734235492,822885910.8571428,18059642.14285714,2349615.0446428573,632552974.8571428,-1.0,-1.0,-1.0,64182255.71428572,10819766.285714285,1158959050.5691965,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.1,0.7809838482311794,23.177148001534597,0.011981680477869542,15.578146253313337,1.6288289512906755,-1.0,-1.0,-1.0,0.5619065506117684,-1.0,2.70357112799372,0.1258389949798584,544991140.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.76099296978542,545000000.0,-1.0,12581287.57142857,34.408726283482146,654157720.0714285,21249003.714285713,1695136.161830357,483337010.85714287,-1.0,-1.0,-1.0,63470809.60714286,12337039.57142857,791305535.2566965,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.11,0.7379970637017063,30.16430718558175,0.058785545952559914,15.925184522356306,1.2011199848992484,-1.0,-1.0,-1.0,0.689833266394479,-1.0,3.7218271664210727,0.11326178482600621,544944877.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.89462733268738,545000000.0,-1.0,16278657.285714285,94.59961809430804,1035202457.1428572,27546637.714285713,3147445.941964286,805396547.4285715,-1.0,-1.0,-1.0,86328913.42857143,15784377.0,1310990306.314732,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.12,0.6541771162301302,32.5496450151716,0.1007763585740966,15.970845358712333,0.9933107495307922,-1.0,-1.0,-1.0,0.8387757795197623,-1.0,4.868031876427787,0.17409746135984147,544970112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.681903089795792,545000000.0,-1.0,16279254.07142857,99.34748186383929,1022306233.1428572,27359063.285714287,3152438.21875,790171770.2857143,-1.0,-1.0,-1.0,86916129.14285715,15727439.0,1288216955.3683035,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.13,1.0516929498740606,25.492586272103445,0.07994396039949993,19.780262810843332,0.841056866305215,-1.0,-1.0,-1.0,0.725806644984654,-1.0,4.3630067961556565,0.17777352247919356,544941046.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.70033700125558,545000000.0,-1.0,15666468.857142856,93.68731253487724,995147917.7142857,26744621.42857143,2701409.8303571427,771137792.0,-1.0,-1.0,-1.0,85137337.14285715,15262038.0,1244659661.359375,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.14,0.7574690761310714,29.92971420288086,0.030411024245300428,19.277983256748744,0.8197862101452691,-1.0,-1.0,-1.0,0.6998682703290667,-1.0,3.783615384783064,0.1751047670841217,544959716.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.640982253210886,545000000.0,-1.0,16899830.85714286,101.24982125418526,1061151364.5714285,28456294.0,2854507.9040178573,822152929.1428572,-1.0,-1.0,-1.0,90545470.85714285,16321522.142857144,1329000206.200893,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
0.15,0.7561412466069063,24.33796564737956,0.05176833225414155,12.314531326293945,0.5802069008350372,-1.0,-1.0,-1.0,0.5171064138412476,-1.0,2.791156450907389,0.07157130539417267,545012810.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.6418883005778,545000000.0,-1.0,10542054.833333334,39.9620361328125,843682922.6666666,20738066.333333332,1630559.625,708792821.3333334,-1.0,-1.0,-1.0,60561264.0,10916167.333333334,1097785053.109375,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2967.0,1920.0,3.0,57.0,57.0,60.0,39.0,40.0,43.0,90.0,545.0,2.0,35.31738817691803,3196.0,1.0,2.3483290672302246
