Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.03,63.53695297241211,36.10243606567383,0.4928404092788696,1.2450505495071411,32.34931945800781,83.30024719238281,0.5596235990524292,22.278470993041992,24.94458770751953,79.74520874023438,21.093544006347656,95.1578140258789,4.842183589935303,0.3140574097633362,-1.0,164.97488403320312,322.57598876953125,1.0390232801437378,0.33275306224823,7.086421012878418,0.11432137659617833,545203200.0,3.1817879676818848,7.060845851898193,136777154560.0,-1.0,11366135808.0,-1.0,3099214848.0,23.600662231445312,545000000.0,0.2593190371990204,14593900.0,50.669791085379465,1383386240.0,28725522.0,2177849.0,1149616640.0,1.0566349029541016,1.0150315761566162,2608647168.0,107454256.0,15163403.0,2017201920.0,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.03,63.53695297241211,36.10243606567383,0.4928404092788696,1.2450505495071411,32.34931945800781,83.30024719238281,0.5596235990524292,22.278470993041992,24.94458770751953,79.74520874023438,21.093544006347656,95.1578140258789,4.842183589935303,0.3140574097633362,-1.0,164.97488403320312,322.57598876953125,1.0390232801437378,0.33275306224823,7.086421012878418,0.11432137659617833,545203200.0,3.1817879676818848,7.060845851898193,136777154560.0,-1.0,11366135808.0,-1.0,3099214848.0,23.600662231445312,545000000.0,0.2593190371990204,14593900.0,50.669791085379465,1383386240.0,28725522.0,2177849.0,1149616640.0,1.0566349029541016,1.0150315761566162,2608647168.0,107454256.0,15163403.0,2017201920.0,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.04,25.640451158796036,16.823946271623885,0.5302933624812535,0.8283205458096096,10.991285051618304,36.174167088099885,0.030524171888828253,9.978414808000837,11.1342408316476,33.82491193498884,9.169153485979352,95.1578140258789,4.842183589935303,0.23820846421378,-1.0,85.10643005371094,184.30840192522322,0.33422396012714933,0.15635268603052413,2.6114013535635814,0.11432137659617833,544979675.4285715,1.4434153693062919,3.785230909075056,69856594212.57143,-1.0,6033930386.285714,-1.0,1584090678.857143,68.4146033695766,545000000.0,0.11345798202923366,7540313.785714285,50.669791085379465,754923236.5714285,14398279.732142856,1824411.0625,633195716.5714285,0.4426178591591971,0.6077247858047485,1311476054.857143,51826072.071428575,7511186.848214285,1117858901.3549106,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.05,15.817339215959823,12.75408935546875,0.5302933624812535,0.5236505099705288,9.960199083600726,24.03684561593192,0.07577275571280291,7.095492226736886,8.03123392377581,22.663872855050222,6.443698610578265,95.1578140258789,4.842183589935303,0.11072606061186109,-1.0,47.21558053152902,89.18185860770089,0.29308014256613596,0.11957107697214399,1.8875212669372559,0.11432137659617833,544986989.7142857,1.0522751808166504,2.0217246328081404,47322258285.71429,-1.0,4317290203.428572,-1.0,1022651062.8571428,78.75156375340053,545000000.0,0.07706121887479508,5166645.142857143,50.669791085379465,526801419.90178573,10219051.714285715,1111676.107142857,446939922.28571427,0.298859919820513,0.2913120559283665,910449078.8571428,35133667.428571425,5295530.428571428,751908584.8973215,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.06,16.625809260777064,11.945619310651507,0.5302933624812535,0.3979682411466326,10.38281740461077,24.314168657575333,0.01176538770752293,6.791918345860073,7.8563077109200625,22.643075125558035,6.326103755405971,95.1578140258789,4.842183589935303,0.1571842559746333,-1.0,48.349761962890625,90.600830078125,0.2958148547581264,0.10852954643113273,1.8856703894478934,0.11432137659617833,545016813.7142857,1.0047521250588554,2.0327000617980957,56876910884.57143,-1.0,5037408548.571428,-1.0,1277639094.857143,78.45637130737305,545000000.0,0.07284423708915709,6636995.428571428,50.669791085379465,610370265.2232143,13049860.857142856,1573080.2142857143,513778614.85714287,0.2994789906910488,0.27161647592272076,1212862976.0,45901672.0,6875868.0,862616469.4464285,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.07,24.86165346418108,17.995489392961776,0.5302933624812535,0.811300295538136,29.95702580043248,36.966894558497835,0.6167602471427277,10.66781234741211,11.369258335658483,34.482859066554475,9.409086006028312,95.1578140258789,4.842183589935303,0.27629798650741577,-1.0,87.3441914149693,134.5579572405134,0.5435481667518617,0.16916538136346,3.7292536326817105,0.11432137659617833,544967058.2857143,1.5091192381722587,3.0418837666511536,79705159387.42857,-1.0,7078283556.571428,-1.0,1784646729.142857,54.29834147862026,545000000.0,0.11432581288473945,12118291.857142856,50.669791085379465,941968626.2857143,20567948.85714286,2516893.4285714286,740406601.1428572,0.44855291502816336,0.4020497032574245,1893594514.2857144,77053488.0,11604290.285714285,1248292061.7075894,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.08,21.769107341766357,15.730892658233643,0.5302933624812535,0.6701838821172714,13.514740943908691,30.592482566833496,0.28334157168865204,8.945854425430298,9.994033575057983,29.305529594421387,8.194867849349976,95.1578140258789,4.842183589935303,0.20920100435614586,-1.0,64.3295783996582,123.47532081604004,0.38003318011760706,0.14801805838942528,2.53545218706131,0.05369731783866882,544968688.0,1.3201722204685211,2.7545894384384155,73850363904.0,-1.0,6568950784.0,-1.0,1650170720.0,59.37090723216534,545000000.0,0.10041690990328789,8695926.625,48.4007568359375,821236742.90625,17210552.5,1604224.25,686923664.0,0.3927210718393326,0.3867941275238991,1558703296.0,61172663.0,8992332.0,1130330536.0859375,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.09,24.876651763916016,17.98049109322684,0.5302933624812535,0.809257047516959,15.666413988385882,36.272499084472656,0.005410941849861801,10.24902834211077,11.456814357212611,33.88395690917969,9.47666004725865,95.1578140258789,4.842183589935303,0.1846436219555991,-1.0,71.4490465436663,134.5738045828683,0.44124577726636616,0.1690842126096998,2.910681792667934,0.05369731783866882,545018697.1428572,1.5087638582502092,2.994448321206229,79036270884.57143,-1.0,7030365330.285714,-1.0,1766007259.4285715,67.77234377179828,545000000.0,0.11496685658182416,9185620.857142856,48.4007568359375,875132328.748326,18114199.42857143,1993774.0714285714,734546505.1428572,0.44876459666660856,0.40203259672437397,1645881856.0,64586242.28571428,9464024.42857143,1208361886.0825894,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.1,24.800478799002512,18.076882226126536,0.14710101059504918,0.9050637398447309,11.298900604248047,36.36609540666853,0.3018099474055426,10.612547738211495,11.48675182887486,33.51005554199219,9.375078746250697,95.1578140258789,4.842183589935303,0.20399161321776252,-1.0,81.49634660993304,163.42628696986608,0.4113545758383615,0.16951442190579005,3.9101268904549733,0.05369731783866882,545006957.7142857,1.510364191872733,3.568272590637207,79388569014.85715,-1.0,7080497590.857142,-1.0,1769728256.0,67.93933977399554,545000000.0,0.11439401975699834,9408789.285714285,48.4007568359375,879498016.8035715,18597607.714285713,2227856.75,737741787.4285715,0.4507556813103812,0.5328636850629535,1685771172.5714285,65295853.71428572,9718733.214285715,1213159726.4486606,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
0.11,39.79840596516927,26.04005177815755,2.0523921251296997,0.9703044792016348,18.697885513305664,53.11362838745117,0.6170756767193476,16.323734919230144,17.98624897003174,51.39416631062826,13.916348139444986,95.1578140258789,4.842183589935303,0.2558595168714722,-1.0,83.38387552897136,273.54620869954425,0.5305526924009124,0.2559059162934621,3.3510746161142984,0.05369731783866882,544975509.3333334,2.3382068872451782,3.494395891825358,83374171818.66667,-1.0,7423725568.0,-1.0,1862181333.3333333,52.33124224344889,545000000.0,0.17764739195505777,9687657.0625,48.4007568359375,923501333.3333334,19121707.338541668,2069180.0345052083,775879557.3333334,0.6794973313808441,0.46902197599411005,1737693824.0,67326016.0,9991745.338541666,1287011387.7083333,0.3070626556873321,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,56.0,52.0,56.0,55.0,27.0,28.0,90.0,545.0,2.0,25.33968985080719,0.6797651052474976,3196.0,2.0,75.0,2.490410089492798
