Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,0.21821701526641846,10.574851036071777,0.13979847729206085,6.81804370880127,0.13747504353523254,-1.0,-1.0,-1.0,0.25592565536499023,-1.0,1.5686050653457642,0.1936713308095932,544995584.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.95140838623047,545000000.0,-1.0,4802104.5,87.6904525756836,490241536.0,9519500.0,1773451.75,416295328.0,-1.0,-1.0,-1.0,30844590.0,4915927.0,590778857.8984375,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.01,1.5676174561182659,28.233590443929035,0.012407828432818234,12.233776092529297,0.38480615864197415,-1.0,-1.0,-1.0,0.4834810048341751,-1.0,3.271916230519613,0.1297179659207662,544998624.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.37720489501953,545000000.0,-1.0,7852397.916666667,37.98850758870443,679063800.0,14155822.0546875,2443565.875,533932730.6666667,-1.0,-1.0,-1.0,52074140.666666664,7771805.852213542,964396973.1953125,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.02,1.3053782497133528,30.851144790649414,0.07359451188572812,14.817928041730609,0.44615629581468447,-1.0,-1.0,-1.0,0.6340154579707554,-1.0,5.585923603602818,0.17829740473202296,544950217.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.83813044003078,545000000.0,-1.0,11047321.285714285,99.85739135742188,965109636.5714285,20221769.85714286,3438759.6071428573,775732827.4285715,-1.0,-1.0,-1.0,72039540.57142857,10993880.82142857,1290860869.966518,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.03,0.8671949729323387,12.161806106567383,0.06354912428651004,9.17923092842102,0.4434909272240475,-1.0,-1.0,-1.0,0.3671267703175545,-1.0,3.4151145219802856,0.05368680879473686,544976152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.739329531788826,545000000.0,-1.0,6510650.5,47.13645935058594,596737312.0,12858196.733642578,1972921.3515625,489554974.0,-1.0,-1.0,-1.0,43545695.0,6731109.483642578,799842147.9785156,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.04,0.3542267935616629,18.071707316807338,0.0010263087627078713,3.6067098890032088,0.3420721448824874,-1.0,-1.0,-1.0,0.25011411734989714,-1.0,1.8539057459150041,0.1336966667856489,544937097.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.35347843170166,545000000.0,-1.0,3766594.1428571427,47.96043178013393,317762635.4285714,5853356.098353795,1306409.0,226357376.0,-1.0,-1.0,-1.0,23281589.14285714,3472425.9554966516,409316445.46875,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.05,1.3423992225102015,32.1087714603969,0.12501182254137735,14.894332340785436,0.518329782145364,-1.0,-1.0,-1.0,0.6700509446007865,-1.0,5.79262774331229,0.17463945065225875,544960868.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.13739889008658,545000000.0,-1.0,11332606.214285715,107.62220982142857,995998994.2857143,20656648.714285713,3711034.964285714,788440996.5714285,-1.0,-1.0,-1.0,74079134.85714285,11257283.07142857,1320472534.654018,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.06,0.9731171354651451,13.926649570465088,0.07181964628398416,12.952698707580566,0.34599638474173844,-1.0,-1.0,-1.0,0.4016106294002384,-1.0,2.4715933799743652,0.053681839257478714,544992936.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.414300203323364,545000000.0,-1.0,8559344.328125,46.452213287353516,817506020.0,16923370.589111328,2846153.08984375,684313200.0,-1.0,-1.0,-1.0,58353925.0,8860165.589111328,1107927015.7578125,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.07,0.12829028708594184,20.329905918666295,0.09474041632243566,3.8273075648716515,0.16311715330396379,-1.0,-1.0,-1.0,0.2490813902446202,-1.0,1.7447107860020228,0.17307250840323313,544939428.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.2138056414468,545000000.0,-1.0,4309646.285714285,103.95760236467633,346699193.7419085,6850421.142857143,1352673.3214285714,250294619.42857143,-1.0,-1.0,-1.0,24530371.42857143,3980057.714285714,429610315.88839287,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.08,0.8721496909856796,21.10790181159973,0.01402872102335095,9.647380828857422,0.29074949491769075,-1.0,-1.0,-1.0,0.36240029090549797,-1.0,2.4633864760398865,0.09867924451828003,544966856.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.863942980766296,545000000.0,-1.0,7171402.3125,45.615234375,593070768.0,12621417.006713867,1710777.466796875,454790892.0,-1.0,-1.0,-1.0,47276291.5,7028422.881713867,773881959.8007812,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
0.09,1.2762094140052795,31.059667314801896,0.10355016427846356,14.763002395629883,0.5869354068168572,-1.0,-1.0,-1.0,0.6413105470793588,-1.0,5.649568693978446,0.14996314900262014,544975040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.51949804169791,545000000.0,-1.0,10485414.0,97.15432303292411,942195125.7142857,19173021.089006696,3244226.5714285714,751823040.0,-1.0,-1.0,-1.0,68506937.71428572,10412728.624720981,1259711882.921875,1.021275281906128,388.0,40.0,11679.0,6.0,22.995359420776367,2251.0,2361.0,3.0,51.0,44.0,52.0,20.0,18.0,33.0,72.0,545.0,2.0,27.07158625125885,3196.0,1.0,2.5033769607543945
