Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.04,28.84034538269043,21.15965461730957,0.04992501437664032,0.5208892822265625,38.64649200439453,47.90130138397217,22.403295993804935,0.03016765043139455,6.43959903717041,12.028676986694336,50.84893035888672,15.961806774139404,91.36525344848633,8.634745359420776,0.4533778503537178,45.28550720214844,114.72856903076172,517.0000915527344,1.2001378238201141,0.18954579532146454,3.582096964120865,0.39250311255455017,544973376.0,2.545275926589966,2.2816131114959717,40696459312.0,69584707584.0,4814591010.0,80303403104.0,1347312073.75,8.253903269767761,545000000.0,0.12823998928070066,9722233.685546875,130.2860870361328,801640980.0,10002615.10546875,3485413.5,561093184.0,0.5222656726837158,0.4567987620830536,1232181331.0,48480905.263671875,7471540.185546875,1048640996.0,1.0533292293548584,973.0,360.0,12076.0,6.0,26.60757064819336,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.04,28.84034538269043,21.15965461730957,0.04992501437664032,0.5208892822265625,38.64649200439453,47.90130138397217,22.403295993804935,0.03016765043139455,6.43959903717041,12.028676986694336,50.84893035888672,15.961806774139404,91.36525344848633,8.634745359420776,0.4533778503537178,45.28550720214844,114.72856903076172,517.0000915527344,1.2001378238201141,0.18954579532146454,3.582096964120865,0.39250311255455017,544973376.0,2.545275926589966,2.2816131114959717,40696459312.0,69584707584.0,4814591010.0,80303403104.0,1347312073.75,8.253903269767761,545000000.0,0.12823998928070066,9722233.685546875,130.2860870361328,801640980.0,10002615.10546875,3485413.5,561093184.0,0.5222656726837158,0.4567987620830536,1232181331.0,48480905.263671875,7471540.185546875,1048640996.0,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.05,28.84034538269043,21.15965461730957,0.04992501437664032,0.5208892822265625,38.64649200439453,47.90130138397217,22.403295993804935,0.03016765043139455,6.43959903717041,12.028676986694336,50.84893035888672,15.961806774139404,91.36525344848633,8.634745359420776,0.4533778503537178,45.28550720214844,114.72856903076172,517.0000915527344,1.2001378238201141,0.18954579532146454,3.582096964120865,0.39250311255455017,544973376.0,2.545275926589966,2.2816131114959717,40696459312.0,69584707584.0,4814591010.0,80303403104.0,1347312073.75,8.253903269767761,545000000.0,0.12823998928070066,9722233.685546875,130.2860870361328,801640980.0,10002615.10546875,3485413.5,561093184.0,0.5222656726837158,0.4567987620830536,1232181331.0,48480905.263671875,7471540.185546875,1048640996.0,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.06,17.01909395626613,25.8380492074149,0.04992501437664032,0.4615027053015573,13.242418561662946,28.279061453683035,29.88062286376953,0.05002861842513082,6.933732918330601,9.599214281354632,29.209527151925222,6.137438139745167,41.201668875558035,1.6554738410881586,0.29727491310664583,22.104082924979075,47.09930174691336,161.65240914481026,0.5802677358899798,0.11994556364204202,5.140916347503662,0.08497437408992223,544974555.4285715,0.9461981268333537,1.8431880814688546,51190504886.85714,73307885129.14285,4816371444.714286,92660819968.0,1427163739.4285715,65.08963707515171,545000000.0,0.0793326012790203,8411530.32142857,51.34513636997767,688538050.2857143,16355633.589285715,2068904.5357142857,558470522.8571428,0.43912806681224276,0.22325995138713292,1426951712.0,59633450.28571428,8912450.892857144,902915774.4285715,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.07,8.446265935897827,20.12516294206892,0.04992501437664032,0.22919038363865443,10.135713849748884,16.499744415283203,8.252020835876465,0.00966496978487287,2.375266373157501,4.761293547494071,17.02138410295759,3.0152879783085416,26.71166447230748,1.8597638862473622,0.12095927447080612,12.535742623465401,21.46360628945487,121.33306884765625,0.41166515009743826,0.05664567383272307,4.167900971003941,0.11481847081865583,544983104.0,0.45592318368809565,0.5869556154523577,10625796388.571428,14532154660.571428,860814969.1428572,18752688128.0,352147492.5714286,74.9303960118975,545000000.0,0.03897488436528614,2908704.3928571427,22.964693341936385,383832787.51785713,4020047.660714286,780268.5357142857,297838247.4285714,0.2773443375314985,0.07158905267715454,352508100.5714286,23351020.57142857,2814491.1785714286,224085776.66517857,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.08,29.47578465938568,53.866917292277016,0.04992501437664032,2.2489619900782905,22.672591884930927,44.57735729217529,41.75141970316569,0.0488135310685417,10.467044611771902,15.22747834523519,46.0508242448171,10.652464161316553,79.07684071858723,4.256491641203563,0.4684776936968167,34.208746472994484,98.74939886728923,7631.033432006836,1.3445496062437694,0.20289825617025292,7.912575642267863,0.33525962630907696,544882090.6666666,1.6379397160684068,3.75555682182312,69553121877.33333,101664747520.0,6732177485.666667,127117676544.0,2182029706.6666665,28.710325320561726,545000000.0,0.15582283167168495,13254550.498046875,199.76447550455728,1029858714.6666666,23765693.786458332,3474844.0390625,792956171.3333334,0.8391319314638773,0.5812214662631353,2104989902.3333333,87299124.70572917,13429005.145833334,1325505450.2395833,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.09,21.927198791503905,18.37123794555664,0.10286104679107666,0.5317507028579712,21.44821090698242,28.580964660644533,27.609292602539064,0.14779312312602996,8.303429794311523,9.89576416015625,29.8929931640625,8.809559631347657,36.983273315429685,3.0167259216308593,0.37457207441329954,23.375638580322267,62.51872253417969,110.69045715332031,0.41684298515319823,0.1751903772354126,2.383902072906494,0.27823017835617064,544964467.2,1.3978792190551759,2.384378433227539,58154015129.6,88687190016.0,6096516403.2,108594128486.4,1653646387.2,68.06685543060303,545000000.0,0.10965216755867005,12853485.4,101.97232360839844,866197977.6,22596282.4,3033148.3,702639078.4,0.425404691696167,0.30261280536651614,2018740121.6,72581374.4,12609576.2,1118464259.7875,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.1,7.877747433526175,35.132171630859375,0.10286104679107666,1.0240778284413474,9.086438417434694,18.56820569719587,16.48925835745675,0.06288607205663409,2.911328835146768,6.039697102137974,19.233795983450754,3.2901097536087036,41.33256312779018,1.52458028282438,0.08268722545887741,15.439372505460467,28.08210563659668,5399.450807843889,0.8360400370189122,0.07073013883616242,4.191846030099051,0.263227071080889,544913280.0,0.555590369073408,0.7733582769121442,24425212781.714287,27593537828.57143,1923325195.142857,40145309549.71429,710698130.2857143,61.106350319726126,545000000.0,0.05958642770669288,6214726.779575893,134.3890119280134,351670324.5714286,12267341.582589285,1096593.075892857,234941371.42857143,0.42075092451913015,0.07193934917449951,960965884.7857143,37767562.22991072,6638063.850446428,395569559.2433036,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.11,20.644627610842388,45.91153526306152,0.17480931679407752,2.7450475096702576,14.099337895711264,32.62808799743652,33.40329885482788,0.015897449377613736,7.450649857521057,10.687417348225912,33.534053564071655,7.039466142654419,63.96244684855143,2.704220493634542,0.5144246636579434,23.181479295094807,68.39463090896606,6425.073994954427,1.1593268811702728,0.12425262449930109,8.514079789320627,10.662534226973852,544951701.3333334,1.0060973555470507,2.6057776610056558,42366332074.666664,68202280277.333336,4224602642.3333335,80692072064.0,1567434869.3333333,42.41601530710856,545000000.0,0.10810307855717834,5501338.723307292,116.81197102864583,675145943.5520834,8208987.0859375,2249236.8619791665,512994663.3333333,0.6652650435765584,0.4094683329264323,863632714.25,58084824.8828125,5401795.65625,880310738.3958334,1.0797425508499146,100.0,2.0,6674.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
0.12,25.058288727487838,32.084568568638396,0.17480931679407752,1.9154040600572313,32.23474024449076,41.44057750701904,37.99195384979248,0.15751728376822677,8.486935785838536,10.295263860906873,43.71079771859305,11.43850599016462,67.3716550554548,18.34263036932264,0.4031574239156076,31.65216636657715,97.31439740317208,400.15283639090404,1.2253902554512024,0.17195371698055947,6.7870432777064185,1.6273449531623296,544853696.0,1.6688576681273324,3.3146702221461704,63647256740.57143,94106571190.85715,6281454912.0,116982000630.85715,2006360573.7142856,25.34799793788365,545000000.0,0.1261559032968112,13121994.84375,284.69608415876115,1016908305.1481584,22687524.393973213,22315623.32142857,752940274.2857143,0.585442875112806,0.38456350564956665,2013438918.7857144,83818288.01897322,13003762.716517856,1279373194.859375,1.0797425508499146,100.0,2.0,6674.0,1.0,21.32433319091797,2948.0,1920.0,3.0,59.0,56.0,61.0,39.0,41.0,28.0,72.0,545.0,2.0,27.09663212299347,3196.0,2.0,1.0,2.5018632411956787
