Time (s),% Linear Filtered,% Nearest Filtered,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,62.30677795410156,37.76510620117188,16.398286819458008,25.94539451599121,93.92805480957033,6.071944713592529,0.6659433245658875,0.6028532981872559,106841178112.0,1318558592.0,1.1723605394363403,1456420096.0,8742138.0,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.01,62.30677795410156,37.76510620117188,16.398286819458008,25.94539451599121,93.92805480957033,6.071944713592529,0.6659433245658875,0.6028532981872559,106841178112.0,1318558592.0,1.1723605394363403,1456420096.0,8742138.0,1.0825239419937134,1058.0,459.0,12288.0,6.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.04,62.30677795410156,37.76510620117188,16.398286819458008,25.94539451599121,93.92805480957033,6.071944713592529,0.6659433245658875,0.6028532981872559,106841178112.0,1318558592.0,1.1723605394363403,1456420096.0,8742138.0,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.24,62.30677795410156,37.76510620117188,16.398286819458008,25.94539451599121,93.92805480957033,6.071944713592529,0.6659433245658875,0.6028532981872559,106841178112.0,1318558592.0,1.1723605394363403,1456420096.0,8742138.0,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.34,62.8029670715332,37.124122619628906,15.947388648986816,26.41268348693848,94.10408782958984,5.895909786224365,0.6201385259628296,0.6162883043289185,105045213184.0,1297569536.0,1.1737220287322998,1375265280.0,8280084.5,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.44,62.56364440917969,37.43635559082031,15.190834045410156,25.86302375793457,93.67752838134766,6.322471618652344,0.6075338125228882,0.6233832240104675,99036127232.0,1223142528.0,1.1734066009521484,1355000192.0,8241852.5,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.54,62.60272216796875,37.39727783203125,15.734527587890623,26.50756454467773,93.8962173461914,6.10378360748291,0.5799342393875122,0.6018891334533691,99079839744.0,1222950016.0,1.1736135482788086,1333856000.0,8047761.5,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.64,62.27208709716797,37.72791290283203,16.175289154052734,25.87592887878418,93.9585418701172,6.041454315185547,0.6239436864852905,0.5964916944503784,103067926528.0,1272839424.0,1.1691879034042358,1381102848.0,8329942.5,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.74,62.8891830444336,37.110816955566406,16.12908172607422,26.53003692626953,94.0404815673828,5.959517002105713,0.5959303975105286,0.6325414180755615,109221740544.0,1348215040.0,1.1777669191360474,1454523392.0,8714144.0,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.84,62.57462692260742,37.42537307739258,15.508380889892578,25.861854553222656,93.6751708984375,6.324830532073975,0.5790505409240723,0.6422442197799683,99061432320.0,1223485568.0,1.1735479831695557,1355291136.0,8242958.0,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
0.94,62.61079406738281,37.38920593261719,15.401559829711914,26.60250473022461,93.90354919433594,6.09645414352417,0.630588173866272,0.6155012845993042,99095896064.0,1223138048.0,1.173739314079285,1333834368.0,8048077.0,1.0815865993499756,103.0,2.0,6691.0,1.0,22.33030128479004,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
1.0,62.61079406738281,37.38920593261719,15.401559829711914,26.60250473022461,93.90354919433594,6.09645414352417,0.630588173866272,0.6155012845993042,99095896064.0,1223138048.0,1.173739314079285,1333834368.0,8048077.0,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2873.0,3043409817.0,1920.0,3.0,50.0,45.0,48.0,25.0,29.0,16.0,72.0,545.0,2.0,27.24970281124115,3196.0,2.0,1.0,2.5179011821746826
1.01,62.61079406738281,37.38920593261719,15.401559829711914,26.60250473022461,93.90354919433594,6.09645414352417,0.630588173866272,0.6155012845993042,99095896064.0,1223138048.0,1.173739314079285,1333834368.0,8048077.0,1.044113278388977,1058.0,459.0,12288.0,6.0,22.29461097717285,2873.0,3043409817.0,1920.0,3.0,56.0,54.0,65.0,27.0,28.0,30.0,72.0,545.0,2.0,27.267497777938843,3196.0,2.0,1.0,2.519300699234009
