Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.2,22.35022735595703,25.037477493286133,1.0801796913146973,0.7308092713356018,-1.0,1606322048.0,-1.0,-1.0,10957912.0,1.6144723892211914,1074.0,453.0,12221.0,7.0,18.158992767333984,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,74.0,2.210801839828491
0.2,22.35022735595703,25.037477493286133,1.0801796913146973,0.7308092713356018,-1.0,1606322048.0,-1.0,-1.0,10957912.0,1.6144723892211914,1074.0,453.0,12221.0,7.0,18.158992767333984,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,74.0,2.210801839828491
0.3,23.98502349853516,24.474584579467773,1.1417001485824585,0.6694760918617249,-1.0,1627435264.0,-1.0,-1.0,11541688.0,1.6144723892211914,1074.0,453.0,12221.0,7.0,18.158992767333984,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,74.0,2.210801839828491
0.4,24.798858642578125,24.4107666015625,1.0345298051834106,18.352310180664062,-1.0,1589304576.0,-1.0,-1.0,11334033.0,1.6144723892211914,1074.0,453.0,12221.0,7.0,18.158992767333984,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,74.0,2.210801839828491
0.5,24.563920974731445,24.48900604248047,0.7629600763320923,19.90754127502441,-1.0,1580679552.0,-1.0,-1.0,11523713.0,1.6144723892211914,1074.0,453.0,12221.0,7.0,18.158992767333984,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,74.0,2.210801839828491
0.56,24.563920974731445,24.48900604248047,0.7629600763320923,19.90754127502441,-1.0,1580679552.0,-1.0,-1.0,11523713.0,0.1301130056381225,274.0,48.0,7872.0,1.0,20.624940872192383,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,1.0,2.210801839828491
0.6,21.694978713989254,23.564922332763672,0.7772274017333984,3.73257064819336,-1.0,1668781312.0,-1.0,-1.0,11939321.0,0.1301130056381225,274.0,48.0,7872.0,1.0,20.624940872192383,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,1.0,2.210801839828491
0.7,22.64823341369629,23.54138565063477,0.833906888961792,2.092573881149292,-1.0,1661522688.0,-1.0,-1.0,11467696.0,0.1301130056381225,274.0,48.0,7872.0,1.0,20.624940872192383,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,1.0,2.210801839828491
0.79,22.64823341369629,23.54138565063477,0.833906888961792,2.092573881149292,-1.0,1661522688.0,-1.0,-1.0,11467696.0,0.379638135433197,107.0,2.0,6330.0,1.0,20.624940872192383,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,1.0,2.210801839828491
0.8,22.6855583190918,22.78872299194336,0.822502076625824,0.7057234644889832,-1.0,1692562432.0,-1.0,-1.0,11503840.0,0.379638135433197,107.0,2.0,6330.0,1.0,20.624940872192383,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,1.0,2.210801839828491
0.9,23.16669464111328,23.504358291625977,0.7808279991149902,0.7275403738021851,-1.0,1652194432.0,-1.0,-1.0,11449078.0,0.379638135433197,107.0,2.0,6330.0,1.0,20.624940872192383,2952.0,3786570575.0,1920.0,3.0,51.0,53.0,53.0,36.0,38.0,34.0,90.0,545.0,2.0,24.075064063072205,0.6167066097259521,3196.0,1.0,2.210801839828491
1.0,21.19673728942871,23.38016891479492,0.7661464214324951,8.757566452026367,-1.0,1688605184.0,-1.0,-1.0,11705605.0,1.4644546508789062,1074.0,453.0,12221.0,7.0,17.374940872192383,2952.0,3786570575.0,1920.0,3.0,58.0,54.0,60.0,43.0,52.0,47.0,90.0,545.0,2.0,23.614245653152462,0.6167066097259521,3196.0,78.0,2.186772346496582
1.11,23.922990798950195,23.58013916015625,0.9051241874694824,0.5972925424575806,-1.0,1620933504.0,-1.0,-1.0,11633889.0,1.4644546508789062,1074.0,453.0,12221.0,7.0,17.374940872192383,2952.0,3786570575.0,1920.0,3.0,58.0,54.0,60.0,43.0,52.0,47.0,90.0,545.0,2.0,23.614245653152462,0.6167066097259521,3196.0,78.0,2.186772346496582
1.21,24.25845718383789,23.965206146240234,0.9241414666175842,0.6365658640861511,-1.0,1647368576.0,-1.0,-1.0,11415413.0,1.4644546508789062,1074.0,453.0,12221.0,7.0,17.374940872192383,2952.0,3786570575.0,1920.0,3.0,58.0,54.0,60.0,43.0,52.0,47.0,90.0,545.0,2.0,23.614245653152462,0.6167066097259521,3196.0,78.0,2.186772346496582
1.31,24.089061737060547,24.15648651123047,0.9131986498832704,0.606566309928894,-1.0,1603695616.0,-1.0,-1.0,11380216.0,1.4644546508789062,1074.0,453.0,12221.0,7.0,17.374940872192383,2952.0,3786570575.0,1920.0,3.0,58.0,54.0,60.0,43.0,52.0,47.0,90.0,545.0,2.0,23.614245653152462,0.6167066097259521,3196.0,78.0,2.186772346496582
1.41,22.34628295898437,23.40154457092285,0.8378435373306274,22.104158401489254,-1.0,1606393472.0,-1.0,-1.0,11587841.0,1.4644546508789062,1074.0,453.0,12221.0,7.0,17.374940872192383,2952.0,3786570575.0,1920.0,3.0,58.0,54.0,60.0,43.0,52.0,47.0,90.0,545.0,2.0,23.614245653152462,0.6167066097259521,3196.0,78.0,2.186772346496582
1.51,23.852222442626957,23.727405548095703,0.8120432496070862,0.6146887540817261,-1.0,1606591872.0,-1.0,-1.0,11388952.0,1.4644546508789062,1074.0,453.0,12221.0,7.0,17.374940872192383,2952.0,3786570575.0,1920.0,3.0,58.0,54.0,60.0,43.0,52.0,47.0,90.0,545.0,2.0,23.614245653152462,0.6167066097259521,3196.0,78.0,2.186772346496582
