Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.28,22.663715362548828,24.552907943725582,5.9167070388793945,0.7717525362968445,0.621168315410614,104308899840.0,1617414784.0,-1.0,1663986176.0,10678268.0,1.4027063846588137,999.0,405.0,12091.0,7.0,19.93268585205078,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,74.0,2.295909881591797
0.28,22.663715362548828,24.552907943725582,5.9167070388793945,0.7717525362968445,0.621168315410614,104308899840.0,1617414784.0,-1.0,1663986176.0,10678268.0,1.4027063846588137,999.0,405.0,12091.0,7.0,19.93268585205078,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,74.0,2.295909881591797
0.38,23.047687530517575,24.20179557800293,6.006785869598389,0.8514912724494934,16.662904739379883,106890461184.0,1660323712.0,-1.0,1740477568.0,11185848.0,1.4027063846588137,999.0,405.0,12091.0,7.0,19.93268585205078,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,74.0,2.295909881591797
0.49,22.82573509216309,24.26599502563477,5.823626518249512,0.7467614412307739,0.6392912268638611,106198409216.0,1652855552.0,-1.0,1669356288.0,10696128.0,1.4027063846588137,999.0,405.0,12091.0,7.0,19.93268585205078,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,74.0,2.295909881591797
0.54,22.82573509216309,24.26599502563477,5.823626518249512,0.7467614412307739,0.6392912268638611,106198409216.0,1652855552.0,-1.0,1669356288.0,10696128.0,1.4027063846588137,270.0,48.0,7872.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
0.59,21.39297866821289,24.81917762756348,6.108208179473877,0.7174092531204224,0.607354462146759,104576917504.0,1621609472.0,-1.0,1689741440.0,10900207.0,1.4027063846588137,270.0,48.0,7872.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
0.69,22.86219024658203,24.380949020385746,5.950648784637451,0.7499638199806213,0.6913323998451233,105790988288.0,1636993536.0,-1.0,1702990080.0,10904797.0,1.4027063846588137,270.0,48.0,7872.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
0.77,22.86219024658203,24.380949020385746,5.950648784637451,0.7499638199806213,0.6913323998451233,105790988288.0,1636993536.0,-1.0,1702990080.0,10904797.0,0.2241488695144653,105.0,2.0,6330.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
0.79,22.748868942260746,24.76554298400879,5.804747104644775,0.7255941033363342,0.6204608082771301,106767187968.0,1648516736.0,-1.0,1665980160.0,10683189.0,0.2241488695144653,105.0,2.0,6330.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
0.89,23.00357818603516,24.23990249633789,5.91016149520874,0.891706645488739,0.5992017388343811,104664473600.0,1624076288.0,-1.0,1668615168.0,10705444.0,0.2241488695144653,105.0,2.0,6330.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
