Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,30.372611045837402,19.62738800048828,0.3342409815107073,1.1867723166942596,19.112231254577637,37.89082717895508,0.03066578973084685,10.769025325775146,12.612339496612549,39.287052154541016,10.79997968673706,0.2659446429461241,31.423787117004395,82.79705429077148,156.6341552734375,0.5139474868774414,0.19409134984016416,3.4191046953201294,0.10738537460565567,544994640.0,-1.0,3.3833959102630615,98575323136.0,127358898176.0,-1.0,-1.0,2256972224.0,36.97221219539642,545000000.0,0.13918545097112656,11931801.5,88.21907806396484,1118279756.125,23561394.057861328,2809623.5,927717760.0,0.5234960615634918,0.4214487373828888,2126039104.0,83930612.0,12284167.057861328,1458596206.5566406,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.01,7.7229156494140625,6.562798636300223,0.3342409815107073,0.21465189116341726,4.501376288277762,10.975933619907924,0.0008235830547554142,3.6055417742047995,4.181137357439313,11.401529584612165,3.2686386108398433,0.06929862924984523,9.463182721819196,24.143212454659597,44.80767386300223,0.14764261245727536,0.058341596807752326,0.9590108735220773,0.10738537460565567,545029869.7142857,-1.0,1.0588263784136092,21606697252.57143,26779814180.57143,-1.0,-1.0,459379126.85714287,89.34550258091518,545000000.0,0.0354319257395608,2198560.8571428573,88.21907806396484,227925888.0,4330469.142857143,310915.4285714286,194589531.42857143,0.14986029693058558,0.1594116176877703,400850066.28571427,15253512.0,2272208.8571428573,347831795.5379464,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.02,33.46527535574777,24.372570037841797,0.3342409815107073,1.1829966817583357,20.560677664620535,42.62741960797991,0.05601283502099767,12.902491160801478,15.11708586556571,44.6407470703125,12.564390454973493,0.3136870861053467,36.38888931274414,96.70942905970982,166.7258289882115,0.5875671931675502,0.24414099965776717,3.9891107422964915,0.10738537460565567,545010505.1428572,-1.0,4.0890045166015625,80514875977.14285,102947935963.42857,-1.0,-1.0,1809455049.142857,55.66124085017613,545000000.0,0.15957526224000113,9275053.857142856,88.21907806396484,890583158.8571428,18272444.57142857,1997535.892857143,747363670.8571428,0.6119548422949654,0.5646179914474487,1663904402.2857144,65298796.571428575,9545070.714285715,1209989974.4754465,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.03,29.715479532877605,20.29476038614909,0.25265753269195557,1.0464441378911336,17.864820798238117,38.031272888183594,0.03587355309476452,11.65282154083252,13.180784543355307,39.48973083496094,10.948203086853027,0.33461391429106396,31.747488657633465,83.42083231608073,158.71918233235678,0.5077506800492605,0.19436822334925333,3.407977819442749,0.10738537460565567,545021322.6666666,-1.0,3.4929568767547607,87888019456.0,112378336597.33333,-1.0,-1.0,1975066282.6666667,62.149453481038414,545000000.0,0.13478489220142362,10247496.833333334,88.21907806396484,977588074.6666666,20249758.0,2234847.2291666665,818304213.3333334,0.5241941809654236,0.46710700790087384,1840110506.6666667,72162124.0,10571146.166666666,1317324018.8958333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.04,29.715479532877605,20.29476038614909,0.25265753269195557,0.0025716857718569856,14.285199846540177,0.9043480328151158,1.1150086980446109e-05,11.65282154083252,13.180784543355307,0.928819111415318,0.021657624414988915,0.04451114790780203,31.747488657633465,15.896064758300783,158.71918233235678,0.10228108508246285,0.19436822334925333,0.8597577639988491,0.10738537460565567,545020242.2857143,-1.0,0.04744184868676321,87888019456.0,112378336597.33333,-1.0,-1.0,1975066282.6666667,86.03361306871686,545000000.0,0.13478489220142362,2726464.0,49.08125959123884,58023012.368303575,2155158.1428571427,678499.3571428572,818304213.3333334,0.5241941809654236,0.46710700790087384,217858761.14285713,11748090.285714285,1952059.857142857,32505485.94419643,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.05,25.12196840558733,17.73517390659877,0.25265753269195557,0.8931676319667271,15.41630472455706,32.60571616036551,0.043776119260915666,9.716269356863839,11.475197110857282,33.82982635498047,9.425157819475446,0.2610459838594709,27.44535936628069,71.514406476702,134.30480085100447,0.44160033975328716,0.16941245538847788,3.1341147082192555,0.10738537460565567,544920886.8571428,-1.0,2.99506105695452,76960572562.28572,98177744896.0,-1.0,-1.0,1723835757.7142856,67.32881137302944,545000000.0,0.11501786751406531,8872056.0,47.57114519391741,853655771.4285715,17499577.714285713,1854249.357142857,713504164.5714285,0.4500866617475237,0.39993241855076384,1593320265.142857,62515419.428571425,9147969.714285715,1161266214.4285715,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.06,25.111202239990234,17.745941162109375,0.25265753269195557,0.8997212307793754,15.402465275355748,32.50804247174944,0.2675159983336925,10.299988065447126,11.460798263549805,33.731763567243306,9.398445401872907,0.3191542199679783,27.4418454851423,71.55219377790179,134.07799421037947,0.4412625346864973,0.17011761665344238,2.8752573558262418,0.10738537460565567,545017782.8571428,-1.0,2.9965831892830983,75685099227.42857,96580859611.42857,-1.0,-1.0,1696666916.5714285,68.05605506896973,545000000.0,0.1148362840924944,8746050.0,47.57114519391741,839000767.7421875,17247115.14285714,1995403.517857143,703118848.0,0.4504431826727731,0.40015123571668354,1569732096.0,60725235.428571425,9011340.42857143,1139422210.1004465,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.07,23.573638916015625,19.84096200125558,0.3674845014299665,0.8789873463766915,16.277354376656668,32.15746307373047,0.11707487063748494,10.130795070103236,11.428129196166992,33.69840676443918,9.875971930367607,0.30985303436006817,27.272420610700333,71.15563310895648,118.3148433140346,0.45960305418287006,0.19081578935895646,2.9089405877249583,0.10738537460565567,545038409.1428572,-1.0,2.9637272698538646,66895018861.71429,86342600996.57143,-1.0,-1.0,1499662756.5714285,66.70597975594657,545000000.0,0.11726728507450648,8563143.57142857,47.57114519391741,761876644.5714285,17452827.14285714,1926962.875,644469129.1428572,0.456743700163705,0.3887863414628165,1585034898.2857144,61394769.14285714,9119448.0,901693537.8314732,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.08,10.048661368233818,3.87661497933524,0.5685343401772636,0.3881163264491728,14.285199846540177,12.120058536529541,0.0007154545954628,3.3073607853480746,3.7867625100272044,12.230890546526227,2.6226459358419687,0.23995659862911062,9.43791743687221,28.633071899414062,95.75466482979911,0.10511349833437374,0.042396166494914456,0.8605799674987793,0.1122377599988665,544934976.0,-1.0,0.3181639185973576,8353703643.428572,9731657728.0,-1.0,-1.0,187206253.7142857,62.55776858329773,545000000.0,0.03746384382247924,3182501.4821428573,52.462742396763396,135140192.0,2316135.011579241,756127.5245535715,56932068.571428575,0.14367335183279856,0.3887863414628165,233368558.64285713,12557482.285714285,2091806.0456194195,256363145.984375,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
0.09,29.312840779622395,20.687159220377605,0.5685343401772636,1.0455382068951924,17.99112542470296,37.8042360941569,0.04463497300942735,11.512093861897787,13.299378395080566,39.222574869791664,10.928678830464682,0.34070636828740436,32.021388371785484,83.4263407389323,156.70233154296875,0.5151089231173197,0.19820468127727509,3.3480018774668374,0.07217315832773843,544987584.0,-1.0,3.493786891301473,87982172842.66667,112204873728.0,-1.0,-1.0,1969926314.6666667,61.784196535746254,545000000.0,0.13398399700721103,10146107.666666666,57.263519287109375,978297792.0,20016989.666666668,1746745.0,818810048.0,0.5251897573471069,0.4665094017982483,1819765418.6666667,69982042.66666667,10457898.166666666,1322309299.2096355,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2369.0,4187028084.0,1920.0,3.0,55.0,52.0,58.0,43.0,51.0,27.0,72.0,545.0,2.0,20.991520583629608,3196.0,1.0,48.0,2.4931273460388184
