Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.2643973231315613,7.630141735076904,0.00331990467384455,10.022612571716309,0.2760086487978696,-1.0,-1.0,-1.0,0.31177904084324837,-1.0,2.5364162921905518,0.11324724129268102,545008496.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.7813982963562,545000000.0,-1.0,4201653.0,49.312452043805806,1002182880.0,7491443.484375,559195.3203125,916038592.0,-1.0,-1.0,-1.0,26716339.0625,3940962.4453125,911332958.6015625,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.01,1.2400624752044678,17.504656110491073,0.05154988954641987,14.876389639718193,0.462655280317579,-1.0,-1.0,-1.0,0.5664313691002982,-1.0,5.134503568921771,0.11324724129268102,545011401.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.55702291216169,545000000.0,-1.0,9539555.642857144,49.312452043805806,893440274.2857143,18892719.285714287,1903148.4107142857,748840585.1428572,-1.0,-1.0,-1.0,65935027.428571425,9874509.285714285,1207785306.0401785,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.02,0.31353517941066195,5.881468636648996,0.09926505599703107,3.5878968920026506,0.10167080163955688,-1.0,-1.0,-1.0,0.15274102347237722,-1.0,1.0023399761744909,0.11324724129268102,544985773.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.87154415675572,545000000.0,-1.0,2806995.4285714286,49.312452043805806,253075803.42857143,5837841.142857143,486100.0,211872073.14285713,-1.0,-1.0,-1.0,21057581.714285713,3001203.1428571427,206190914.5513393,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.03,0.9735721879239592,25.488545281546457,0.1727811004966497,10.994228090558734,0.3544622515993459,-1.0,-1.0,-1.0,0.7329262665339878,-1.0,5.055307728903634,0.11324724129268102,544993929.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.09338130269732,545000000.0,-1.0,9624327.029017856,49.312452043805806,734228272.0,15438495.60044643,2007241.375,564912777.1428572,-1.0,-1.0,-1.0,59198027.428571425,8954500.386160715,1095316418.611607,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.04,1.3802989550999232,16.40956606183733,0.03571548934892881,15.042945316859655,0.42744305543601513,-1.0,-1.0,-1.0,0.5131032892635891,-1.0,5.0638909339904785,0.06134294186319623,544971968.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.876914978027344,545000000.0,-1.0,9788842.035714285,52.254852294921875,934127259.4285715,19332251.64285714,2236185.2321428573,781383826.2857143,-1.0,-1.0,-1.0,68687276.85714285,10112975.107142856,1272661688.982143,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.05,0.5940913813454765,11.180065155029297,0.3316826820373535,7.061273847307477,0.12365020172936576,-1.0,-1.0,-1.0,0.29376544271196636,-1.0,1.9548274448939733,0.06134294186319623,545002633.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.7588530949184,545000000.0,-1.0,6201280.285714285,52.254852294921875,577781906.2857143,12230886.857142856,1290292.2857142857,482371766.85714287,-1.0,-1.0,-1.0,43870616.0,6385688.0,761931128.2299107,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.06,0.3394358952840169,5.05868943532308,0.0031684404239058334,4.702472686767578,0.1473994255065918,-1.0,-1.0,-1.0,0.1722071369489034,-1.0,1.1362525622049968,0.06134294186319623,545028672.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.50799910227458,545000000.0,-1.0,2632215.3333333335,52.254852294921875,275561770.6666667,5185229.0,435320.8333333333,233556992.0,-1.0,-1.0,-1.0,18541716.0,2719717.5,414270341.0286458,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.07,0.8876514945711408,15.51540892464774,0.13954753428697586,11.168004989624023,0.2518668217318399,-1.0,-1.0,-1.0,0.44110439504895893,-1.0,2.9091176986694336,0.06134294186319623,544983012.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.88838114057269,545000000.0,-1.0,8746883.42857143,52.254852294921875,834942043.4285715,17247341.14285714,1866143.7142857143,700310272.0,-1.0,-1.0,-1.0,61234310.85714286,9013459.0,1144795515.5691965,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.08,1.3076204801244395,30.28860146658761,0.027193065200533172,15.02632577078683,0.321473122574389,-1.0,-1.0,-1.0,0.5845839977264404,-1.0,4.196352073124477,0.1730686468737466,544948004.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.25844989504133,545000000.0,-1.0,11078788.92857143,89.88914271763393,908378521.373326,19160989.55357143,2393116.7991071427,719215259.4285715,-1.0,-1.0,-1.0,72384822.0,10684732.42857143,1211876116.6964285,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
0.09,0.24537532670157297,6.042227063860213,0.04234051278659275,3.4936245509556363,0.07567768437521798,-1.0,-1.0,-1.0,0.159126843724932,-1.0,875.4087996482849,0.1730686468737466,545129426.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.55787931169782,545000000.0,-1.0,3830938.5714285714,89.88914271763393,308333902.4285714,8280494.519112723,739385.0,245289362.2857143,-1.0,-1.0,-1.0,33764700.571428575,4269129.947684152,381625566.97321427,2.3752663135528564,369.0,63.0,11734.0,2.0,29.964378356933597,2462.0,1920.0,3.0,56.0,55.0,56.0,23.0,66.0,37.0,72.0,545.0,2.0,16.004599630832672,2736.0,45.0,1.8526338338851929
