Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.0359332263469696,16.988526821136475,0.2196914628148079,13.119369506835938,0.27925585210323334,-1.0,-1.0,-1.0,0.5008763372898102,-1.0,3.378973364830017,0.10733907669782637,544975952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.46488952636719,545000000.0,-1.0,9522057.75,48.79933166503906,922678464.0,18697782.5,2150066.4375,772974720.0,-1.0,-1.0,-1.0,65873264.0,9782570.25,1295572615.3359375,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.01,0.9695523977279662,20.1308536529541,0.15665184706449506,13.230457782745361,0.41349250078201294,-1.0,-1.0,-1.0,0.5213045477867126,-1.0,3.248260259628296,0.10733907669782637,545015952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.400606632232666,545000000.0,-1.0,8922281.125,48.79933166503906,803801296.0,17951178.75,2234019.875,673836880.0,-1.0,-1.0,-1.0,62865815.0,9416978.5,893712873.8847656,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.02,0.31062344142368864,4.0458109719412665,0.003104109583156443,3.7182870592389787,0.05714095490319388,-1.0,-1.0,-1.0,0.1406460234097072,-1.0,0.9741693905421666,0.10733907669782637,544993389.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.2799573625837,545000000.0,-1.0,2147711.4285714286,48.79933166503906,220108745.14285713,4028952.8571428573,410666.60714285716,184375040.0,-1.0,-1.0,-1.0,14418960.0,2114469.5714285714,421544347.13839287,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.03,0.9754856824874878,19.636242866516113,0.4050984531641006,8.555363337198893,0.1718218798438708,-1.0,-1.0,-1.0,0.5087944666544596,-1.0,3.312230189641317,0.10733907669782637,544986442.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.492085655530296,545000000.0,-1.0,9921167.166666666,48.79933166503906,977777853.3333334,19540951.0,2435498.9635416665,831184782.8333334,-1.0,-1.0,-1.0,70084056.66666667,10218617.5,1366255475.40625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.04,0.8644684220531157,29.89309229169573,0.4411955527695162,9.762376512799944,0.3724486657551357,-1.0,-1.0,-1.0,0.5441081523895264,-1.0,3.6985045841761996,0.17224921498979842,544958528.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.29811484473092,545000000.0,-1.0,11469924.42857143,96.15521240234375,1344247582.4285715,19679906.708426338,3015866.25,1135673124.5714285,-1.0,-1.0,-1.0,72323878.85714285,11049268.136997769,1243257531.9732144,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.05,0.3220728039741516,6.6986338297526045,0.01530320569872855,4.321094195048015,0.10956758260726929,-1.0,-1.0,-1.0,0.1700977087020874,-1.0,1.0863360563913982,0.17224921498979842,544946933.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.70650895436604,545000000.0,-1.0,2999608.0,96.15521240234375,307106560.0,5945252.0,761338.25,259377578.66666666,-1.0,-1.0,-1.0,19953984.0,3061358.6666666665,408478013.6380208,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.06,0.574051022529602,9.865966251918248,0.3688490034214088,7.5495501926967075,0.17731377056666783,-1.0,-1.0,-1.0,0.2956754309790475,-1.0,1.9344094140189034,0.17224921498979842,545050825.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.66006115504673,545000000.0,-1.0,6380826.285714285,96.15521240234375,590020333.7142857,12550598.57142857,1448133.0,492900973.71428573,-1.0,-1.0,-1.0,44767502.85714286,6605934.142857143,827314806.2254465,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.07,0.9755574862162272,18.693338394165043,1.2787620111679037,13.008042017618815,0.28099094331264496,-1.0,-1.0,-1.0,0.5190053383509318,-1.0,3.3684966564178467,0.17224921498979842,545027712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.254947662353516,545000000.0,-1.0,9105954.333333334,96.15521240234375,872563448.1458334,17957146.387695312,2071034.875,730367104.0,-1.0,-1.0,-1.0,63353784.0,9386728.054361979,1219896818.6171875,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.08,0.8583417287362474,29.900630133492605,0.057135967072099426,11.318243844168526,0.3598166038947446,-1.0,-1.0,-1.0,0.5439259835651943,-1.0,3.700732094900949,0.17199919479233877,544799323.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.47550870691027,545000000.0,-1.0,10530681.142857144,88.33315604073661,855114843.4285715,18260280.130998883,2582574.214285714,676627510.8571428,-1.0,-1.0,-1.0,66714298.85714286,10187108.559570312,1138508681.205357,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.09,0.23113249029432023,7.376978193010602,0.029535327638898573,3.7132682800292973,0.15724102088383266,-1.0,-1.0,-1.0,0.16709949289049425,-1.0,0.7518809182303292,0.17199919479233877,545320013.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.3474509375436,545000000.0,-1.0,2160634.1428571427,88.33315604073661,85231990.85714285,4868533.714285715,475743.3214285714,59371478.85714286,-1.0,-1.0,-1.0,13301525.714285715,2527286.0,598096.0290178572,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.1,1.3217642307281494,11.297608057657877,0.45502962777391076,13.097498575846354,0.182301793868343,-1.0,-1.0,-1.0,0.4170103520154953,-1.0,5.130618731180827,0.17199919479233877,544998570.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.731595039367676,545000000.0,-1.0,7633562.75,88.33315604073661,861276490.6666666,14366780.833333334,1682134.3854166667,735175914.6666666,-1.0,-1.0,-1.0,55168230.333333336,7531761.333333333,1319742004.1015625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.11,0.8492286375590733,15.609237943376813,0.38240702609930727,11.335761751447405,0.2755774216992514,-1.0,-1.0,-1.0,0.4414539166859218,-1.0,2.8687937600272044,0.17199919479233877,544990262.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.10304641723633,545000000.0,-1.0,8900599.857142856,88.33315604073661,852390308.5714285,17550623.714285713,1931819.857142857,715196397.7142857,-1.0,-1.0,-1.0,61460612.571428575,9172107.857142856,1176013032.1986606,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.12,0.5003482792526484,28.017488752092635,0.1032058675004269,8.592826843261719,0.4001237489283085,-1.0,-1.0,-1.0,0.4177342142377581,-1.0,2.3372782298496793,0.17987133349691117,544937755.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.02387121745518,545000000.0,-1.0,8902467.42857143,101.77583966936383,454147072.0,14934766.937081473,1434447.15625,322614752.0,-1.0,-1.0,-1.0,47049872.0,8619274.508510044,413830944.2433036,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.13,0.6601341111319405,3.367720195225307,0.3197577777983887,7.6091221400669635,0.05517268939209836,-1.0,-1.0,-1.0,0.1779124332325799,-1.0,1.7285686901637487,0.17987133349691117,544997449.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.78355707441058,545000000.0,-1.0,2530002.8571428573,101.77583966936383,388058450.28571427,4407903.910714285,1138008.330357143,334618322.28571427,-1.0,-1.0,-1.0,22006950.48214286,2326368.401785714,679788176.8705357,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.14,1.1641973733901978,22.2448299407959,0.8215163141489029,15.856213760375976,0.886599212884903,-1.0,-1.0,-1.0,0.6212088823318481,-1.0,4.075589275360107,0.17987133349691117,545270796.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.32716331481934,545000000.0,-1.0,10108804.4,101.77583966936383,920170521.6,20315018.8,2254047.95,770768640.0,-1.0,-1.0,-1.0,69194662.4,10582356.0,1169865255.228125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.15,0.8521345002310616,15.611133847917829,0.3960081570382629,11.30622318812779,0.32101368052618845,-1.0,-1.0,-1.0,0.44140899181365967,-1.0,2.8628101348876953,0.17987133349691117,544798189.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.1180305480957,545000000.0,-1.0,8406065.0,101.77583966936383,804937051.4285715,16575993.42857143,2019255.9642857143,675917458.2857143,-1.0,-1.0,-1.0,58029690.28571428,8661983.0,1109887292.5111606,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
0.16,0.3095815870910883,19.96950313023158,0.0795210770198277,3.682255063738142,0.08924021465437751,-1.0,-1.0,-1.0,0.2482956051826477,-1.0,1.7897632462637765,0.17356765695980617,544966198.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.14181498118809,545000000.0,-1.0,4951922.285714285,89.05095999581474,335427154.28571427,7263919.142857143,1231040.4642857143,243086884.57142857,-1.0,-1.0,-1.0,27915757.714285713,4404201.857142857,406756149.4308036,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2943.0,1920.0,3.0,64.0,62.0,67.0,34.0,56.0,48.0,72.0,545.0,2.0,21.002285182476044,3196.0,2.0,49.0,2.4831793308258057
