Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.06,29.052467981974285,20.947532018025715,0.42047888892037527,0.8478007713953654,25.14184506734212,34.85538101196289,39.881551106770836,0.08041744927565257,13.595061937967936,11.976129531860352,36.152923583984375,10.786197344462076,0.617283304532369,24.30067189534505,72.59776560465495,156.35138956705728,0.5160143971443176,0.19781704246997833,2.703957478205363,0.18772780469485692,544980650.6666666,1.5416577657063801,-1.0,61412839424.0,106002134357.33333,7155570346.666667,121569479338.66667,2053303125.3333333,64.20392068227132,545000000.0,0.13283040622870126,13533374.666666666,93.69853864397321,1036596160.0,26647826.0,1675461.9583333333,866460693.3333334,0.5221850275993347,0.36267627278963727,-1.0,76524526.66666667,13976917.333333334,1397352321.34375,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.06,29.052467981974285,20.947532018025715,0.42047888892037527,0.8478007713953654,25.14184506734212,34.85538101196289,39.881551106770836,0.08041744927565257,13.595061937967936,11.976129531860352,36.152923583984375,10.786197344462076,0.617283304532369,24.30067189534505,72.59776560465495,156.35138956705728,0.5160143971443176,0.19781704246997833,2.703957478205363,0.18772780469485692,544980650.6666666,1.5416577657063801,-1.0,61412839424.0,106002134357.33333,7155570346.666667,121569479338.66667,2053303125.3333333,64.20392068227132,545000000.0,0.13283040622870126,13533374.666666666,93.69853864397321,1036596160.0,26647826.0,1675461.9583333333,866460693.3333334,0.5221850275993347,0.36267627278963727,-1.0,76524526.66666667,13976917.333333334,1397352321.34375,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.07,8.11731665475028,6.168397630964007,0.42047888892037527,0.3075665935341801,21.621843065534318,14.549302101135254,13.90788037436349,0.05986576846667698,3.6912629263741628,3.1340233939034596,15.491836615971156,4.593748814293316,0.3806552058085799,12.847070966448102,46.248949323381694,104.0126473563058,0.5104183895247323,0.062142699956893914,1.7267127803393774,0.18772780469485692,544966893.7142857,0.7298802988869804,-1.0,14479373933.714285,24820056064.0,1736241414.0,28625643968.0,480036129.5714286,61.43679678440094,545000000.0,0.041425870997565124,5957579.333147322,93.69853864397321,321891474.28571427,8570532.421875,1606106.142857143,220243035.42857143,0.14913921696799143,0.10209494829177856,-1.0,29882525.68861607,5269823.349330357,303806729.25223213,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.08,16.79081998552595,11.780608585902623,0.42047888892037527,0.421355060168675,14.209883553641182,19.978092738560267,21.762796674455917,0.0029160091653466147,7.261242730276925,7.0964862278529575,20.72006116594587,6.145932878766741,0.4311561073575701,13.874144417898995,42.04260035923549,90.48709542410714,0.29622788088662283,0.1063256561756134,1.565577438899449,0.18772780469485692,544990006.8571428,0.8719431332179478,-1.0,34893215451.42857,60313616384.0,3984695149.714286,69034718939.42857,1168502820.5714285,79.5210189819336,545000000.0,0.07240051456860132,7640456.571428572,93.69853864397321,569344071.9137834,15011890.857142856,1063645.892857143,473567561.14285713,0.2970175232206072,0.20856394938060216,-1.0,44459685.71428572,7925379.428571428,833869751.3861607,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.09,25.90958830288478,31.657001495361328,0.42047888892037527,1.078133191381182,24.033785683768137,37.53514589582171,41.60513033185686,0.2824257665446826,13.430653844560895,15.071758542742048,39.90829358782087,12.794659750802177,0.6242035904100963,29.797943115234375,92.90526580810547,178.5653738294329,0.5638777613639832,0.31702870982033865,4.517775739942278,0.18772780469485692,545009051.4285715,2.126781702041626,-1.0,53602300050.28571,92559394523.42857,6241647067.428572,106123643757.71428,1794553977.142857,56.96840926579067,545000000.0,0.15259744226932523,11612563.214285715,93.69853864397321,903495282.2857143,22828018.14285714,1684602.549107143,754826144.0,0.6526311976569039,0.5578297802380153,-1.0,66288476.571428575,11973671.0,1224479469.6941965,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.1,25.102484021868026,18.125492095947266,0.2731868880135672,0.9298924718584333,16.651509966169083,29.262523106166295,32.82840183803013,0.04244100488722323,10.31033079964774,9.567425046648298,30.684468950544083,9.150858742850167,0.3588898565087999,20.823511396135604,74.46802847726005,146.73443494524275,0.4125455788203648,0.17311795694487436,4.032208510807583,0.18772780469485692,544990116.5714285,1.3035270145961217,-1.0,40422572032.0,70004214637.71428,4581390006.857142,80006069686.85715,1360479442.2857144,67.42972578321185,545000000.0,0.12034395337104797,9004947.07142857,93.69853864397321,687870683.4285715,17727855.14285714,1408879.357142857,572188320.0,0.4573960133961269,0.4893547168799809,-1.0,52522720.0,9289748.285714285,886739908.1741072,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.11,7.650025503976004,6.635688781738281,0.2731868880135672,0.19109482610864298,21.222070966448104,14.802970681871686,13.733108111790248,0.0030583369412592286,4.13157708304269,3.9739276341029575,15.782898698534284,4.76121874153614,0.49942720641515087,12.896430969238281,46.629895891462056,103.81455775669643,0.5119063428470066,0.05843168497085571,1.6739800402096339,0.19137144088745117,544970258.2857143,0.7520151308604649,-1.0,14892471369.142857,25326520612.57143,1856091273.7142856,29411822509.714287,487927651.0,62.049127391406465,545000000.0,0.03477575097765241,5770233.83203125,47.68030221121652,306311204.5714286,8231200.864955357,1174579.8214285714,206416822.85714287,0.14864107540675572,0.1194527234349932,-1.0,27892646.754464287,5128880.073660715,407814559.28348213,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.12,25.058021000453405,18.0447632925851,0.43930074146815706,0.7277436767305646,21.716854640415736,29.730999537876674,32.87488271508898,0.16807798562305315,11.212252369948796,10.326320103236608,31.019027709960938,9.26073864528111,0.4476792226944651,20.74357114519392,62.207166399274556,130.34941973005022,0.44529695170266287,0.17823473470551626,2.3326001167297363,0.061340072325297756,544969563.4285715,1.3252741268702917,-1.0,48294670921.14286,83515099428.57143,5658709577.142858,95710932406.85715,1611988560.5714285,60.67878014700754,545000000.0,0.1737861441714423,10745126.285714285,49.953687395368306,822395482.2857143,21244848.396344867,1510151.5357142857,684941750.8571428,0.45969910281045095,0.3107331820896694,-1.0,61115481.14285714,11137351.824916294,1101520282.767857,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.13,24.906143733433314,17.950999123709543,0.43930074146815706,0.728621346609933,21.552423204694474,29.93050057547433,34.13002668108259,0.05701495707035063,11.599723270961217,10.316050120762416,31.044815063476562,9.26259776524135,0.4717867544719151,20.830326080322266,62.2354736328125,133.99436732700892,0.44231176376342773,0.1695813068321773,2.497053827558245,0.061340072325297756,545005165.7142857,1.321514368057251,-1.0,52845598427.42857,91198547090.28572,6175382674.285714,104620254354.28572,1765775542.857143,69.31890978131976,545000000.0,0.11422945984772273,11640505.42857143,49.953687395368306,894816402.2857143,22923093.14285714,1619251.5357142857,747257380.5714285,0.44772686277117046,0.3108604465212141,-1.0,66846795.428571425,12019823.142857144,1207563548.1473215,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
0.14,14.59885025024414,14.516644069126674,0.43930074146815706,0.4691051244735718,16.284687042236328,19.20030975341797,21.246761866978236,0.16143617459705897,7.293688637869699,7.188644136701312,20.36932918003627,6.6016338893345425,0.30112489632197786,14.587080819266182,40.36953517368862,60.335597446986604,0.30874454975128174,0.14017022933278764,1.3777306420462472,0.061340072325297756,544994989.7142857,1.0065475872584753,-1.0,24689439890.285713,41905982317.71429,3035018971.428571,48677451483.42857,773338048.0,77.71687916346959,545000000.0,0.08216287834303719,7686393.428571428,49.953687395368306,463979200.0,15725801.714285715,1004127.1428571428,385372333.71428573,0.3090264456612723,0.1745641827583313,-1.0,40265481.14285714,8223827.428571428,477218525.21428573,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2268.0,2361.0,3.0,54.0,50.0,54.0,32.0,52.0,50.0,72.0,545.0,2.0,19.243447482585907,2736.0,53.0,2.2193491458892822
