Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.5185589790344239,7.471615791320801,0.001860870630480325,7.003332138061523,0.2425113320350647,-1.0,-1.0,-1.0,0.258253276348114,-1.0,1.6983429193496704,0.18304273911884852,545013440.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.27691602706909,545000000.0,-1.0,3916064.0,102.96520560128349,414400960.0,7715159.0,864612.1875,350430624.0,-1.0,-1.0,-1.0,27481534.0,4045345.5,619076744.796875,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.01,1.3450775665364094,30.872298104422434,0.08566004440321452,15.067349297659737,0.45506277893270763,-1.0,-1.0,-1.0,0.62273799095835,-1.0,5.803100654057094,0.18304273911884852,544952521.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.075238670621598,545000000.0,-1.0,12458488.285714285,102.96520560128349,969459395.8571428,21125901.8265904,2984748.25,759461714.2857143,-1.0,-1.0,-1.0,78362650.28571428,11942124.398018973,1273284413.1361606,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.02,0.3005193642207554,5.7021620614188055,0.03580290079116821,3.8188569205147886,0.07577805008207049,-1.0,-1.0,-1.0,0.14562603405543736,-1.0,0.9546654564993722,0.18304273911884852,544980946.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.43283081054688,545000000.0,-1.0,2925482.8571428573,102.96520560128349,299290715.4285714,5801837.714285715,646343.5,251999908.57142857,-1.0,-1.0,-1.0,19928925.714285713,2982185.1428571427,396159648.24776787,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.03,0.8479874730110168,9.09886360168457,0.0031641926616430126,9.74296760559082,0.22291111666709187,-1.0,-1.0,-1.0,0.2758902834029868,-1.0,1.688199758529663,0.18304273911884852,544991080.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.03576874732971,545000000.0,-1.0,5755067.203125,102.96520560128349,531285760.0,11270615.51196289,1348205.65234375,443819948.0,-1.0,-1.0,-1.0,40090223.0,5942483.761962891,738208016.8398438,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.04,1.0456131047879655,34.03907140096029,0.03729644107321895,17.773928960164387,0.45884478588898975,-1.0,-1.0,-1.0,0.6333600878715515,-1.0,4.360908667246501,0.14863082766532898,544984373.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.41583832105001,545000000.0,-1.0,13984890.5,57.1448974609375,1082357638.430664,23884163.0,2861063.2083333335,849795733.3333334,-1.0,-1.0,-1.0,88988996.0,13454603.833333334,1408100352.2578125,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.05,10.905491539410182,19.03216552734375,0.24254744393484937,7.367568697248187,0.1599284229534013,-1.0,-1.0,-1.0,1.0616840635027205,-1.0,3.223836285727365,0.061334328992026184,544960036.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.24507214341845,545000000.0,-1.0,7360460.597377232,51.491646902901785,677356379.3571428,14522860.508091519,1636614.9285714286,563343177.1428572,-1.0,-1.0,-1.0,51281716.571428575,7595798.062779018,898640434.09375,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.06,0.2593700885772705,3.7414817810058594,0.0005813582683913375,3.4963493347167964,0.2239760458469391,-1.0,-1.0,-1.0,0.7500807046890259,-1.0,4.172304809093475,0.061334328992026184,545014952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.04633343219757,545000000.0,-1.0,1886755.1484375,51.491646902901785,192413811.15625,4544735.9375,399868.1875,162133888.0,-1.0,-1.0,-1.0,22802382.0,2249104.21875,286629158.3769531,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.07,0.9568384680896997,30.255440303257533,0.07317334865885118,15.554239545549665,0.3903050067435418,-1.0,-1.0,-1.0,0.5362758052402309,-1.0,3.264939103807722,0.11117584364754814,544955209.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.93870566572462,545000000.0,-1.0,12733056.035714285,52.69050816127233,1004868974.8571428,20698654.129324775,2948875.308035714,790660653.7142857,-1.0,-1.0,-1.0,69903089.71428572,11866866.272181919,1329062645.2924106,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.08,0.9398105357374463,16.037093571254186,0.06614991317370104,15.074696132114955,0.27398170357836144,-1.0,-1.0,-1.0,0.4591979448284422,-1.0,2.91241032736642,0.061366673026766086,544982180.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.869485582624165,545000000.0,-1.0,9346068.25,50.23547799246652,895243497.1428572,18398598.777064733,2306453.2410714286,747932050.2857143,-1.0,-1.0,-1.0,65425104.0,9629368.63420759,1234323616.095982,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
0.09,0.5017240047454834,9.952088356018066,0.013176224310882374,6.472792148590088,0.15700176358222961,-1.0,-1.0,-1.0,0.2590015232563019,-1.0,1.6446958184242249,0.061366673026766086,545007912.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.03338193893433,545000000.0,-1.0,6407573.5,50.23547799246652,592603920.0,12741788.5,1585729.625,496499712.0,-1.0,-1.0,-1.0,44106427.0,6659752.25,690552074.3398438,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,6.0,50.0,48.0,50.0,16.0,33.0,63.0,72.0,545.0,2.0,21.83755189180374,0.4914901554584503,3196.0,4.0,48.0,2.493755578994751
