Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.04,23.228248596191406,23.53180503845215,6.214536190032959,0.8568454384803772,0.619985818862915,-1.0,1358552576.0,-1.0,-1.0,9429756.0,0.3568053245544433,103.0,2.0,6313.0,1.0,26.16046524047852,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.04,23.228248596191406,23.53180503845215,6.214536190032959,0.8568454384803772,0.619985818862915,-1.0,1358552576.0,-1.0,-1.0,9429756.0,1.120812177658081,1103.0,491.0,12267.0,7.0,26.16046524047852,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.4,23.228248596191406,23.53180503845215,6.214536190032959,0.8568454384803772,0.619985818862915,-1.0,1358552576.0,-1.0,-1.0,9429756.0,1.120812177658081,1103.0,491.0,12267.0,7.0,26.16046524047852,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.5,21.765893936157227,23.958892822265625,6.535624980926514,0.8408663272857666,0.6475768685340881,-1.0,1235229056.0,-1.0,-1.0,8819607.0,1.120812177658081,1103.0,491.0,12267.0,7.0,26.16046524047852,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.6,22.094240188598636,24.08984375,6.26804780960083,0.8065099120140076,0.5783625245094299,-1.0,1238590592.0,-1.0,-1.0,8648586.0,1.120812177658081,1103.0,491.0,12267.0,7.0,26.16046524047852,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.7,23.44394302368164,23.49518203735352,6.426181793212891,0.7715292572975159,0.6146823763847351,-1.0,1239630336.0,-1.0,-1.0,8877971.0,1.120812177658081,1103.0,491.0,12267.0,7.0,26.16046524047852,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.74,23.44394302368164,23.49518203735352,6.426181793212891,0.7715292572975159,0.6146823763847351,-1.0,1239630336.0,-1.0,-1.0,8877971.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.8,22.20098114013672,23.880046844482425,6.740995407104492,0.5706415772438049,0.6299806237220764,-1.0,1370102912.0,-1.0,-1.0,9933877.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
0.91,23.44618225097656,23.53423118591309,6.614761352539063,0.6354004740715027,0.6091962456703186,-1.0,1286000768.0,-1.0,-1.0,9339900.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
1.0,23.44618225097656,23.53423118591309,6.614761352539063,0.6354004740715027,0.6091962456703186,-1.0,1286000768.0,-1.0,-1.0,9339900.0,0.3835417032241821,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
1.01,21.96183586120605,23.775644302368164,6.954041957855225,0.6090871095657349,0.658362627029419,-1.0,1239672704.0,-1.0,-1.0,9281462.0,0.3835417032241821,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,43.0,41.0,51.0,40.0,39.0,40.0,72.0,545.0,2.0,19.80193108320236,3196.0,1.0,48.0,2.2620959281921387
1.04,21.96183586120605,23.775644302368164,6.954041957855225,0.6090871095657349,0.658362627029419,-1.0,1239672704.0,-1.0,-1.0,9281462.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.11,23.383106231689453,23.22516250610352,6.653588771820068,0.6776032447814941,0.5820295214653015,-1.0,1240483840.0,-1.0,-1.0,9030649.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.21,23.56863784790039,23.972835540771484,6.755053520202637,0.6814271211624146,0.7064281702041626,-1.0,1319784448.0,-1.0,-1.0,9885131.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.31,22.46209526062012,23.151559829711918,6.74985933303833,0.6530010104179382,0.606138288974762,-1.0,1336764288.0,-1.0,-1.0,9637137.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.41,23.284149169921875,23.90430450439453,6.661584377288818,0.7105223536491394,0.633034884929657,-1.0,1239812864.0,-1.0,-1.0,9029411.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.51,22.23311233520508,23.32308578491211,6.9566569328308105,0.6785256266593933,0.7189300060272217,-1.0,1241246080.0,-1.0,-1.0,9287583.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.61,23.344072341918945,23.82413673400879,6.727489948272705,0.673050045967102,0.5749806761741638,-1.0,1260406144.0,-1.0,-1.0,9378971.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.71,24.322723388671875,22.77484703063965,6.561102867126465,0.7457946538925171,0.663296103477478,-1.0,1353318912.0,-1.0,-1.0,9859562.0,1.010120868682861,1103.0,491.0,12267.0,7.0,24.024229049682617,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.75,24.322723388671875,22.77484703063965,6.561102867126465,0.7457946538925171,0.663296103477478,-1.0,1353318912.0,-1.0,-1.0,9859562.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.81,22.92803382873535,22.93610382080078,6.733134746551514,0.5913094282150269,0.6654680371284485,-1.0,1278588416.0,-1.0,-1.0,9308762.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
1.91,23.605243682861328,23.286521911621094,6.636730670928955,0.6571246385574341,0.6192747950553894,-1.0,1238335232.0,-1.0,-1.0,9022371.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
2.0,23.605243682861328,23.286521911621094,6.636730670928955,0.6571246385574341,0.6192747950553894,-1.0,1238335232.0,-1.0,-1.0,9022371.0,0.3892955183982849,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
2.01,22.17977333068848,23.468233108520508,6.917631149291992,0.6199944615364075,0.675229549407959,-1.0,1238247424.0,-1.0,-1.0,9278091.0,0.3892955183982849,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,46.0,48.0,56.0,36.0,50.0,47.0,72.0,545.0,2.0,19.376549124717712,3196.0,1.0,48.0,2.2151026725769043
2.04,22.17977333068848,23.468233108520508,6.917631149291992,0.6199944615364075,0.675229549407959,-1.0,1238247424.0,-1.0,-1.0,9278091.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.11,24.07670211791992,22.95431900024414,6.562968730926514,0.7071112990379333,0.6092111468315125,-1.0,1368484480.0,-1.0,-1.0,9923498.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.21,23.44190788269043,23.742956161499023,6.59948205947876,0.7164084315299988,0.6119365096092224,-1.0,1284684928.0,-1.0,-1.0,9339562.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.31,21.9345645904541,22.96039390563965,6.976003646850586,0.6124788522720337,0.6324325799942017,-1.0,1239660288.0,-1.0,-1.0,9285616.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.41,22.933151245117188,23.680736541748047,6.669692039489746,0.7647342681884766,0.6192751526832581,-1.0,1238389376.0,-1.0,-1.0,9029229.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.51,22.137584686279297,22.89461898803711,6.9417500495910645,0.6964486837387085,0.6128605604171753,-1.0,1292563072.0,-1.0,-1.0,9646229.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.61,23.645246505737305,23.512393951416016,6.612079620361328,0.6517466902732849,0.617423951625824,-1.0,1359708032.0,-1.0,-1.0,9868813.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.71,22.904266357421875,22.89258575439453,6.98828125,0.6031656861305237,0.6480975151062012,-1.0,1238778624.0,-1.0,-1.0,9281185.0,1.1592707633972168,1103.0,491.0,12267.0,7.0,23.33341789245605,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.74,22.904266357421875,22.89258575439453,6.98828125,0.6031656861305237,0.6480975151062012,-1.0,1238778624.0,-1.0,-1.0,9281185.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.81,22.500490188598636,23.39144897460937,6.660552501678467,0.6183640360832214,0.6385478973388672,-1.0,1237938048.0,-1.0,-1.0,9031417.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
2.91,23.008563995361328,22.95063591003418,6.814970016479492,0.5953472256660461,0.6284586191177368,-1.0,1238196864.0,-1.0,-1.0,9321695.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
3.0,23.008563995361328,22.95063591003418,6.814970016479492,0.5953472256660461,0.6284586191177368,-1.0,1238196864.0,-1.0,-1.0,9321695.0,0.3892325162887573,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
3.01,22.14996719360352,23.28943252563477,6.786893844604492,0.5833609700202942,0.6342587471008301,-1.0,1367869952.0,-1.0,-1.0,9891772.0,0.3892325162887573,103.0,2.0,6313.0,1.0,22.742305755615234,2966.0,5388729272.0,1920.0,3.0,47.0,45.0,53.0,39.0,38.0,31.0,72.0,545.0,2.0,19.103169441223145,3196.0,1.0,48.0,2.2036826610565186
3.04,22.14996719360352,23.28943252563477,6.786893844604492,0.5833609700202942,0.6342587471008301,-1.0,1367869952.0,-1.0,-1.0,9891772.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
3.11,23.794124603271484,23.24419212341309,6.638941287994385,0.615079939365387,0.64314866065979,-1.0,1283752960.0,-1.0,-1.0,9335006.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
3.21,21.607290267944336,23.630878448486328,7.009042739868164,0.6114584803581238,0.6458775401115417,-1.0,1237186560.0,-1.0,-1.0,9276766.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
3.32,23.2205753326416,23.628692626953125,6.667615413665772,0.6992043852806091,0.6209299564361572,-1.0,1236863232.0,-1.0,-1.0,9024066.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
3.42,23.41105842590332,23.126575469970703,6.791675090789795,0.6780259013175964,0.6559834480285645,-1.0,1323759616.0,-1.0,-1.0,9890979.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
3.52,23.396764755249023,23.850587844848636,6.499672889709473,0.6157519817352295,0.632108211517334,-1.0,1325930240.0,-1.0,-1.0,9365626.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
3.62,22.92316246032715,23.04045295715332,6.678663730621338,0.5855233073234558,17.76214599609375,-1.0,1237729024.0,-1.0,-1.0,9030214.0,1.1543530225753784,1103.0,491.0,12267.0,7.0,22.38395500183105,2966.0,5388729272.0,1920.0,3.0,48.0,48.0,53.0,30.0,48.0,25.0,72.0,545.0,2.0,19.034650921821594,3196.0,1.0,48.0,2.187106132507324
