Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.8633695542812347,15.130643844604492,0.07512251287698746,10.82020902633667,0.2972326874732971,-1.0,-1.0,-1.0,0.42055752873420715,-1.0,6.109831094741821,0.13843160016196115,544996288.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.223631620407104,545000000.0,-1.0,6761739.5,51.478118896484375,559638208.0,13393731.875,643720.3125,464118176.0,-1.0,-1.0,-1.0,41645186.0,6936534.125,703775159.0566406,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.01,13.846755152302128,25.747574942452566,0.027462266917739585,7.652687345232282,0.2761560295309339,-1.0,-1.0,-1.0,0.6498668108667646,-1.0,2.7436694971152713,0.13843160016196115,544983542.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.161292552948,545000000.0,-1.0,10255200.671875,51.478118896484375,704606641.1428572,16793673.175223213,2153321.4285714286,542718171.4285715,-1.0,-1.0,-1.0,60948937.52790178,9713267.84263393,931218006.5580357,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.02,1.4894470870494843,19.8313843863351,0.11743963323533534,14.049691064017159,0.3102120192987578,-1.0,-1.0,-1.0,0.528854753289904,-1.0,5.589940752301898,0.0613681674003601,544977728.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.52555547441755,545000000.0,-1.0,10135162.57142857,51.859654017857146,875302235.4285715,19977431.85714286,1664887.107142857,734432173.7142857,-1.0,-1.0,-1.0,64456816.571428575,10461807.857142856,1183397693.205357,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.03,0.7051267623901367,19.679757254464285,0.09299944261355057,10.118198939732142,0.26552879384585787,-1.0,-1.0,-1.0,0.45326413427080425,-1.0,2.540520804268973,0.0613681674003601,544986038.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.72075162615094,545000000.0,-1.0,9937321.0,51.859654017857146,732542546.2857143,20154750.0,1199951.267857143,601425490.2857143,-1.0,-1.0,-1.0,63508442.28571428,10559808.857142856,863927817.7410715,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.04,0.33251485973596573,6.721776008605957,0.08037230710033326,6.868616342544556,0.10605260357260704,-1.0,-1.0,-1.0,0.20748736709356308,-1.0,2.177200198173523,0.0613681674003601,545007936.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.70964646339417,545000000.0,-1.0,3603932.375,51.859654017857146,375815136.0,7143063.0625,674449.984375,325904064.0,-1.0,-1.0,-1.0,23103282.25,3695643.25,486890535.4277344,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.05,16.337406656394403,29.83815924326579,0.04341554269194601,12.089549700419107,0.5413044068651894,-1.0,-1.0,-1.0,0.7576993222658833,-1.0,3.367859606941541,0.13641321659088135,544948586.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.97507280111313,545000000.0,-1.0,10327897.329427084,50.14102172851562,686034498.6666666,16428937.151855469,1952368.34765625,520558045.3333333,-1.0,-1.0,-1.0,55846760.44140625,9504154.970865885,1027457880.109375,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.06,10.865619267736163,30.675401960100448,0.04255289005647811,10.588748386928014,0.30494434918676105,-1.0,-1.0,-1.0,1.809486678668431,-1.0,2.6843650681631908,0.06134916629110063,544982052.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.40360238722393,545000000.0,-1.0,11068644.867117746,53.806832449776785,953019208.4285715,21810055.93080357,1853047.0714285714,798612425.1428572,-1.0,-1.0,-1.0,71370762.28571428,11430485.829799106,1283720090.5825894,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.07,0.5329712778329849,11.966104507446289,0.06731226481497286,5.586721420288086,0.23957953229546547,-1.0,-1.0,-1.0,0.25775474309921265,-1.0,1.5408437252044678,0.06134916629110063,545003424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.03030347824097,545000000.0,-1.0,7583972.25,53.806832449776785,619102624.0,14939261.0,1071614.53125,515123952.0,-1.0,-1.0,-1.0,48392686.0,7825680.0,787812550.8789062,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.08,0.054781453950064514,4.800144195556641,0.004048704036644515,4.399062292916434,0.052647796060357764,-1.0,-1.0,-1.0,0.1614108138850757,-1.0,0.921848978315081,0.06134916629110063,544996516.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.12950243268695,545000000.0,-1.0,2328339.2946428573,53.806832449776785,236412003.85714287,4588555.337053572,606331.1428571428,204000438.85714287,-1.0,-1.0,-1.0,15511416.0,2405596.765625,371437192.17633927,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
0.09,0.7814116428295771,22.14942804972331,0.4783965046905602,16.86300818125407,0.36411855400850374,-1.0,-1.0,-1.0,0.5369727914221585,-1.0,3.112853447596232,0.06134916629110063,545041429.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.859880447387695,545000000.0,-1.0,12949809.6875,53.806832449776785,1107897749.3333333,25577948.53141276,2538997.6223958335,930691888.0,-1.0,-1.0,-1.0,83341198.66666667,13401939.53141276,1474659051.46875,0.3741004765033722,103.0,2.0,6330.0,1.0,22.472557067871094,3052.0,5264585237.0,1920.0,3.0,53.0,52.0,57.0,18.0,50.0,44.0,72.0,545.0,2.0,19.492775201797485,3196.0,48.0,2.269051074981689
