Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.7187887784093618,38.439208030700684,0.17105647374410177,21.072999954223633,0.5686481446027756,-1.0,-1.0,-1.0,0.8167547285556793,-1.0,3.795517146587372,0.1524510681629181,545013008.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.795759201049805,545000000.0,-1.0,14850524.75,65.62397766113281,1072027428.0,30043442.5,3079878.125,897948304.0,-1.0,-1.0,-1.0,84224527.0,15731022.75,1434682870.96875,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.01,0.4839381149836949,38.439208030700684,0.0010448428802192144,3.0220467703683034,0.1521913664681571,-1.0,-1.0,-1.0,0.0949663519859314,-1.0,1.639869553702218,0.1524510681629181,545003364.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.92998232160296,545000000.0,-1.0,856564.3571428572,65.62397766113281,252135259.42857143,1068001.357142857,252934.0,224651995.42857143,-1.0,-1.0,-1.0,6536347.428571428,569413.5357142857,378960735.98883927,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.02,0.9695192224213055,20.730086735316686,0.09300645560558352,13.844017710004534,0.5297819823026658,-1.0,-1.0,-1.0,0.5331689545086452,-1.0,4.013407639094761,0.1524510681629181,544975104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.264359610421316,545000000.0,-1.0,10371921.42857143,65.62397766113281,1309586102.857143,20487153.85714286,1783879.9375,1160351744.0,-1.0,-1.0,-1.0,60033590.0,10735146.142857144,1259150374.5625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.03,0.6475941787163416,21.298760732014973,0.0350363298008839,12.996942520141602,0.392740065852801,-1.0,-1.0,-1.0,0.49951647718747455,-1.0,2.859898090362549,0.1524510681629181,545000970.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.51114877065023,545000000.0,-1.0,10743124.0,65.62397766113281,972677084.7519531,21170798.333333332,2254782.25,829527680.0,-1.0,-1.0,-1.0,63774582.0,11086506.666666666,1345267276.5690105,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.04,0.029172035244603933,16.164693519473076,0.008887041360139817,10.353545506795248,0.71441022058328,-1.0,-1.0,-1.0,0.456615686416626,-1.0,3.2035924990971885,0.198859636982282,544945461.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.51905326048533,545000000.0,-1.0,9198456.0,113.43760681152344,432188170.6666667,11410463.666666666,1897136.4140625,285615680.6666667,-1.0,-1.0,-1.0,55337814.666666664,7520763.0,499018442.359375,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.05,0.8253643214702606,11.817715644836426,0.010506656020879713,8.648530960083008,0.29609841853380203,-1.0,-1.0,-1.0,0.2705971320392564,-1.0,1.3784711360931396,0.198859636982282,544973952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.31239700317383,545000000.0,-1.0,5748544.359375,113.43760681152344,484723444.0,11271810.354125977,829293.26953125,411719148.0,-1.0,-1.0,-1.0,32774076.0,5932354.854125977,684636350.6796875,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.06,0.6568757326209119,17.14877564566476,0.03367565665394067,11.490614754813057,0.34804429060646463,-1.0,-1.0,-1.0,0.45395409209387644,-1.0,2.693376132420131,0.198859636982282,544991945.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.28397587367466,545000000.0,-1.0,9115922.642857144,113.43760681152344,868500756.5714285,18007627.1484375,2110027.863839286,744384879.2857143,-1.0,-1.0,-1.0,57177965.71428572,9414552.862723215,1193181061.4107144,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.07,0.3845190405845642,15.989121845790319,0.0892985119883503,11.238906042916435,0.28105758556297844,-1.0,-1.0,-1.0,0.4444211721420288,-1.0,2.810619286128453,0.198859636982282,545003629.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.97203639575413,545000000.0,-1.0,9014649.142857144,113.43760681152344,875539815.4017857,17782453.14285714,1832826.375,752315520.0,-1.0,-1.0,-1.0,57537913.14285714,9293923.714285715,1212319987.799107,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.08,0.02753145806491373,8.290867902338505,0.039789903842444914,9.360361916678292,0.7992394311087472,-1.0,-1.0,-1.0,0.39289480447769165,-1.0,5.431848423821585,0.17411147270883834,544966354.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.05410187585013,545000000.0,-1.0,7109178.214285715,99.12418474469867,443503707.4285714,7588821.785714285,837589.0,317466652.5714286,-1.0,-1.0,-1.0,43171266.0,5661764.071428572,478199692.63839287,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.09,0.3627402441842215,13.18247822352818,0.0024597617531461288,7.511757441929409,0.2550022857529776,-1.0,-1.0,-1.0,0.29568117005484446,-1.0,1.5624546323503767,0.17411147270883834,544981156.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.98762621198382,545000000.0,-1.0,6716593.428571428,99.12418474469867,557235382.8571428,13212330.285714285,1007267.7857142857,473603273.14285713,-1.0,-1.0,-1.0,38094795.428571425,6951073.428571428,793840206.9486607,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
0.1,0.36866635935647146,12.183629172188896,0.0140351236664823,11.261587960379464,0.48222986289433073,-1.0,-1.0,-1.0,0.4439781733921596,-1.0,5.5821219852992465,0.17411147270883834,544999881.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.78970772879464,545000000.0,-1.0,6958412.285714285,99.12418474469867,911494601.1428572,13696254.57142857,980443.2299107143,801631616.0,-1.0,-1.0,-1.0,50751782.85714286,7200570.25,1221114156.28125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3104.0,1920.0,3.0,55.0,50.0,56.0,21.0,75.0,29.0,72.0,545.0,2.0,20.111605525016785,2736.0,2.0,48.0,2.1271719932556152
