Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.1984150409698486,16.512877941131592,0.004900124156847575,12.56941032409668,0.3066146969795227,-1.0,-1.0,-1.0,0.5113610327243805,-1.0,3.4381757974624634,0.1494759406362261,545098944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.55509042739868,545000000.0,-1.0,10097632.5,97.34020560128349,977254432.0,19522519.0,2566931.125,814231360.0,-1.0,-1.0,-1.0,70403224.0,10286081.75,1550629543.2578125,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.01,11.035947799682617,33.214753832135884,0.06812228515212024,7.576766695295062,0.25189672410488123,-1.0,-1.0,-1.0,2.09105407340186,-1.0,189.2015723500933,0.1494759406362261,544932818.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.60957395178931,545000000.0,-1.0,8365677.621861049,97.34020560128349,684211399.7142857,15056982.53404018,2569217.6785714286,532113499.4285714,-1.0,-1.0,-1.0,53348592.571428575,8261476.551339285,882918895.3258928,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.02,0.40224651495615643,21.216243108113606,0.0015616309829056168,4.266604105631511,0.23898168901602426,-1.0,-1.0,-1.0,0.2918676833311717,-1.0,2.147066036860148,0.10462835431098938,544963082.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.305481712023415,545000000.0,-1.0,3283559.5,51.252482096354164,256482251.79166666,4794202.25,955875.3333333334,173062090.66666666,-1.0,-1.0,-1.0,19359300.0,2945659.556315104,323117566.9036458,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.03,0.8391000479459763,24.230481028556824,0.08828049682779235,9.847458600997925,0.32944504148326814,-1.0,-1.0,-1.0,0.4650662764906883,-1.0,3.433136522769928,0.1307797022163868,544970336.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.05103258788586,545000000.0,-1.0,9546582.75,89.00429153442383,841557996.0351562,17370095.77709961,2963947.125,667217424.0,-1.0,-1.0,-1.0,62081278.0,9470411.77709961,1121895715.9785156,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.04,0.8266828060150146,15.587210791451591,0.12588378361293245,11.27813366481236,0.25560728141239714,-1.0,-1.0,-1.0,0.44199187414986746,-1.0,2.8317204884120395,0.06124021325792584,544955181.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.50116048540387,545000000.0,-1.0,9559387.142857144,52.22500174386162,918825133.3060826,18845682.57142857,2689794.3571428573,770287597.7142857,-1.0,-1.0,-1.0,65293232.0,9866418.0,1259779895.8035715,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.05,0.15051589693341935,20.295033591134207,0.04118932996477399,3.93398666381836,0.4394734138955495,-1.0,-1.0,-1.0,0.24885458605630056,-1.0,1.7422563689095634,0.14996629527636937,544945737.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.514701281275066,545000000.0,-1.0,4352224.571428572,104.48637172154018,352231006.85714287,6947430.585518973,1442294.2142857143,254560109.7142857,-1.0,-1.0,-1.0,24732647.42857143,4025662.5855189734,437486650.01339287,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.06,1.0788203179836273,21.471590995788574,0.003755256737349525,9.563212871551514,0.5146772007574327,-1.0,-1.0,-1.0,0.38250575959682465,-1.0,2.7799428403377533,0.09819480031728745,544963072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.403081119060516,545000000.0,-1.0,7462226.40625,43.86125183105469,623603726.0,13268867.925292969,2013174.328125,482463968.0,-1.0,-1.0,-1.0,49448137.265625,7356027.202636719,825955196.3945312,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.07,1.4147484132221766,31.059933526175364,0.09266315507037297,15.043052400861468,0.4760257842551385,-1.0,-1.0,-1.0,0.6359538095338004,-1.0,5.767374583653042,0.17512387888772146,544980160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.58751933915274,545000000.0,-1.0,11120555.67857143,102.6981201171875,969715001.1428572,20379966.17857143,2930073.25,781879076.5714285,-1.0,-1.0,-1.0,72973043.42857143,11076485.892857144,1293345716.533482,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.08,0.9588684695107597,14.351924351283483,0.19617614788668497,7.566844395228794,0.21086807562304394,-1.0,-1.0,-1.0,0.4097757765225002,-1.0,4.155500548226493,0.06135723420551844,544972160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.09463603155954,545000000.0,-1.0,7017328.642857143,55.52117483956473,630833521.1428572,13833961.039899554,2302652.9285714286,513111625.14285713,-1.0,-1.0,-1.0,47333868.571428575,7244854.039899553,842015464.8191965,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.09,0.4319208860397339,22.330663204193115,0.13775176974013448,5.6834588050842285,0.3966973439673893,-1.0,-1.0,-1.0,0.3652127534151077,-1.0,2.3094452619552612,0.15966901183128357,544933240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.35293525457382,545000000.0,-1.0,5112728.25,90.00075149536133,698505545.0,9177380.861083984,1151930.59375,586243832.0,-1.0,-1.0,-1.0,31699532.5,5175298.923583984,366628917.91796875,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
