Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,28.351015090942383,21.94777011871338,0.6164032476288932,1.2227126359939575,20.158093452453613,37.62786865234375,40.06581115722656,0.023105468135327073,11.21885347366333,13.11971378326416,39.25090026855469,11.344617366790771,47.080535888671875,2.9194631576538086,0.3601716533303261,31.564796447753906,82.4077377319336,134.9652099609375,0.535166472196579,0.21032046526670456,3.308862805366516,0.1073954775929451,544993760.0,1.7865700125694275,3.3646950721740723,81788444672.0,106565603328.0,7624473856.0,142695718912.0,1835611584.0,61.013527393341064,545000000.0,0.1399357169866562,11946311.5,89.3388900756836,998757440.0,24688013.0,2427160.625,827197184.0,0.5288989543914795,0.41510094702243805,2215971968.0,84773492.0,12873504.0,1109241467.3828125,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.01,26.31327165876116,16.155107225690568,0.6164032476288932,0.6412631454212325,22.3894168308803,31.00920213971819,26.921344552721298,0.5023126260743344,7.78438629422869,11.31501225062779,31.88565172467913,8.465459823608398,39.65249851771763,3.2046453952789307,0.19150659521775584,27.70886175973075,63.588883536202566,190.37813023158483,0.3850751348904201,0.15570382135254995,2.8607449531555176,0.17255893349647522,544933385.1428572,1.4427055290767126,2.0798453177724565,59168474843.42857,74317980818.28572,5045342208.0,101372812141.71428,1325582994.2857144,51.57041800022125,545000000.0,0.11267151577132088,8234704.285714285,96.85845947265625,673160338.2857143,12397768.759068081,1578102.4464285714,517883734.85714287,0.44221174716949463,0.29057116167885916,1143095460.5714285,49053339.428571425,7285536.187639509,1055127267.0647322,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.02,17.058685302734375,11.476816994803292,0.4112189156668527,0.7426883075386286,32.032771246773855,24.387990270342147,28.196387699672155,0.48198788293770384,7.114015579223633,7.675158636910575,25.219491754259383,6.707691045744078,27.313799176897323,29.829058817454747,0.4758790010320289,18.203902108328684,79.65608869280133,92.58345249720982,0.5424511092049735,0.10543220809527806,3.513885634286063,0.17308742659432547,544960009.1428572,0.9805782181876046,2.5718148265566145,55581734619.42857,71244342418.28572,4920803474.285714,96124707986.28572,1251317357.7142856,37.14191693919046,545000000.0,0.07227091704096111,11187643.857142856,99.08619035993304,670757474.2857143,18913626.374023438,1867038.125,501620038.5714286,0.2990624393735613,0.2713174394198826,1639310811.4285715,68091942.85714285,10763424.088309152,893867597.0647322,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.03,25.054730006626674,17.799440111432755,0.011732404785496841,1.084554962547762,24.630028315952845,33.692074162619456,37.901070526668,0.1547840154858672,10.518139702933174,11.423231669834681,34.94692611694336,9.515467539429665,41.209571838378906,15.933285100119454,0.29118645191192627,27.43255124773298,105.30410875592914,177.1520254952567,0.5377327799797058,0.16719114354678563,4.273441995893206,0.11123381342206683,544978084.5714285,1.4981146199362618,4.1308901224817545,79701290422.85715,101840357668.57143,7061825536.0,137683292745.14285,1789864228.5714285,54.318647623062134,545000000.0,0.11417342509542192,9953837.42857143,49.399488176618306,919839048.5097656,16400625.42857143,2173184.9821428573,734472246.8571428,0.44895165307181223,0.7014244198799133,1641766308.5714285,65198589.71428572,9379911.0,1280344282.674107,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.04,32.11516407557896,26.16263852800642,0.3394101687840053,1.0758600405284338,25.369593620300293,41.412502833775115,38.39563880647932,0.028743740171194056,10.356716428484235,15.697361809866768,43.58006286621094,12.627888815743583,52.355808803013396,4.787046807152884,0.34116383442389114,36.23536191667829,94.11963762555804,165.92917851039343,0.5608661259923663,0.2660480099064963,3.9958061490740096,0.17671604241643632,544930834.2857143,2.1211249147142683,3.7001682690211704,78955801161.14285,100906110976.0,7007206144.0,136416062902.85715,1771805060.5714285,39.59716022014618,545000000.0,0.15738533862999507,11931015.142857144,100.14592633928571,930561341.7142857,20296587.125976562,2174336.2321428573,729109083.4285715,0.6204285110746112,0.5142932747091565,1867210386.2857144,76073472.0,11443049.554547992,1267725672.138393,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.05,43.66053009033203,21.5628036459287,4.698621114095052,1.053952301852405,34.443400382995605,45.21259880065918,44.042142152786255,0.9949986139933268,12.803071101506552,16.60593827565511,46.17921257019043,12.030407746632894,57.49519411722819,9.171473066012064,0.5043604980067661,43.213461558024086,102.25661849975586,284.1033452351888,0.6359910269578298,0.2357243299484253,4.476216554641724,0.20247545341650644,545090432.0,2.1360038916269937,3.558160573244095,81392745301.33333,103932864512.0,7206683488.0,140565856597.33334,1827204309.3333333,30.580936829249065,545000000.0,0.17817186315854386,12187133.666666666,99.6925048828125,957847184.0,20678569.26953125,2222231.2708333335,749240461.3333334,0.6751949489116669,0.46674654881159466,1905010005.3333333,78571386.66666667,11664133.26953125,1314120314.2604167,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.06,43.66053009033203,21.5628036459287,4.698621114095052,1.053952301852405,34.443400382995605,45.21259880065918,44.042142152786255,0.9949986139933268,12.803071101506552,16.60593827565511,46.17921257019043,12.030407746632894,57.49519411722819,9.171473066012064,0.5043604980067661,43.213461558024086,102.25661849975586,284.1033452351888,0.6359910269578298,0.2357243299484253,4.476216554641724,0.20247545341650644,544723008.0,2.1360038916269937,3.558160573244095,81392745301.33333,103932864512.0,7206683488.0,140565856597.33334,1827204309.3333333,100.0,545000000.0,0.17817186315854386,12187133.666666666,99.6925048828125,957847184.0,20678569.26953125,2222231.2708333335,749240461.3333334,0.6751949489116669,0.46674654881159466,1905010005.3333333,78571386.66666667,11664133.26953125,148055.296875,1.0910018682479858,122.0,2.0,6313.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.07,59.24940872192383,41.215527852376304,0.2700321674346924,2.1002747217814126,42.06013870239258,75.45697275797527,70.79916636149089,0.09767434063057102,20.468638737996418,24.84299087524414,78.62393188476562,21.919392267862957,94.70061747233073,5.299380620320638,0.5655112067858378,63.325767517089844,162.8789316813151,302.5736338297526,1.019997278849284,0.3978287875652313,6.837709108988444,0.34682976206143695,545004757.3333334,3.458043018976847,6.5143968264261884,98081209002.66667,125369382229.33333,8714034005.333334,169479932586.66666,2201171114.6666665,21.517561594645183,545000000.0,0.27693796157836914,12454843.333333334,88.05261739095052,1264515840.0,23557317.333333332,2154807.0416666665,1058685760.0,1.0558844804763794,0.8480391105016073,2143686186.6666667,85616244.0,12588604.0,1533318741.3333333,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.08,59.24940872192383,41.215527852376304,0.2700321674346924,0.006000600134332967,33.332132975260414,2.0960683822631836,1.7305598258972168,2.601406837735946e-05,20.468638737996418,24.84299087524414,2.1527865727742515,0.050197333097457865,94.70061747233073,33.333333333333336,0.1257520020008087,63.325767517089844,37.09081776936849,302.5736338297526,0.23865586519241333,0.3978287875652313,2.006101449330648,0.29131829738616943,544938922.6666666,3.458043018976847,0.11069764693578082,98081209002.66667,125369382229.33333,8714034005.333334,169479932586.66666,2201171114.6666665,67.41220378875732,545000000.0,0.27693796157836914,4229662.0,76.1415303548177,89747104.0,3343374.3333333335,1052580.5,1058685760.0,1.0558844804763794,0.8480391105016073,337972138.6666667,18225236.0,3028301.0,50000697.458333336,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
0.09,49.18211809794108,34.639896392822266,0.29011950579782325,1.5547404487927754,35.53772163391113,62.41711552937826,60.10903294881185,0.18511756462976334,16.67719570795695,21.39288902282715,65.08036041259766,18.201247215270996,78.55126317342122,4.782070120175679,0.45370960732301074,52.85742378234863,136.31145222981772,254.6858139038086,0.8472330470879873,0.3321502804756164,5.638015190760295,0.39892950157324475,544916842.6666666,2.8851184447606406,5.439383665720622,105989748053.33333,135789084672.0,9411552085.333334,183295841621.33334,2371163221.3333335,33.74973249435425,545000000.0,0.22841423749923706,14381865.5,93.19196065266927,1213569557.3333333,27895802.333333332,2404253.5625,993003242.6666666,0.8803045749664307,0.7182213167349497,2488175914.6666665,97484614.0,14776600.833333334,1564254675.1901042,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,7219520695.0,1920.0,3.0,49.0,42.0,50.0,31.0,25.0,52.0,90.0,545.0,2.0,34.19440984725952,3196.0,3.0,2.5037076473236084
