Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.3852490186691284,33.621554374694824,0.16796505823731422,19.642381191253662,0.6008546203374863,-1.0,-1.0,-1.0,0.7435219883918762,-1.0,4.976549506187439,13.55431005358696,544883536.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.56910467147827,545000000.0,-1.0,17207327.75,222.97510528564453,1456747424.0,31427553.5,3746272.0625,1189669856.0,-1.0,-1.0,-1.0,114368430.0,17108981.5,1925959781.4335938,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.01,11.121285421507698,26.824159878705228,0.041610206477344015,7.027087075369699,0.18671328827206574,-1.0,-1.0,-1.0,2.028763702937535,-1.0,4.263729299817767,0.36084273031779696,544934043.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.90394575255258,545000000.0,-1.0,6764954.477608817,149.4251665387835,662561052.5714285,13367553.824776785,1611172.7857142857,521405238.85714287,-1.0,-1.0,-1.0,47318691.428571425,6998417.178571428,956068517.7678572,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.02,0.4407937015805925,14.49488776070731,0.21587244953427995,7.869871139526367,0.26323268968345864,-1.0,-1.0,-1.0,0.2850016014916556,-1.0,1.7428011894226074,0.8088641336985997,544923072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.64099533217294,545000000.0,-1.0,10189299.714285715,155.0343279157366,771401227.4285715,19045345.36481585,24294126.5,566175963.4285715,-1.0,-1.0,-1.0,62097780.571428575,10382805.079101562,896904604.9397322,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.03,0.7209033455167498,20.073828833443777,0.01893314127145067,11.214257104056221,0.25626891798206736,-1.0,-1.0,-1.0,0.4160257066999163,-1.0,3.228032044001988,3.1752821547644485,544900114.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.657343813351225,545000000.0,-1.0,6941625.857142857,204.61451067243303,630876816.0,12030926.976841519,2004609.357142857,477549412.5714286,-1.0,-1.0,-1.0,47959046.85714286,6736888.262555803,888460570.0111607,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.04,9.557990610599518,27.125552654266357,0.0476837223395705,9.781747579574585,0.26524796965532005,-1.0,-1.0,-1.0,1.04624193161726,-1.0,2.9191916584968567,8.02839957177639,544920136.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.784276098012924,545000000.0,-1.0,7703443.196899414,181.83362579345703,767178443.3125,13206959.17956543,1529461.890625,607234400.0,-1.0,-1.0,-1.0,51366141.0,7312263.993286133,1168262363.2539062,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.05,0.7915331465857369,19.209915706089564,0.10801755470622862,11.34315654209682,0.34845485714530305,-1.0,-1.0,-1.0,0.42489296197891235,-1.0,3.0117503574916293,0.43403526714869906,544901339.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.4791191135134,545000000.0,-1.0,10582376.0,153.92014857700892,966356868.5714285,19195514.98716518,24584407.785714287,733056182.8571428,-1.0,-1.0,-1.0,70760627.42857143,10475572.415736606,1313139758.3794644,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.06,0.9282741035733905,19.518042956079757,0.08558599318244627,14.897369384765625,0.3019360192120075,-1.0,-1.0,-1.0,0.4398434002484594,-1.0,2.841940062386649,9.248191160815102,544895414.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.3970548084804,545000000.0,-1.0,11129182.169642856,202.7583748953683,984366349.7142857,20325479.851004463,2727109.433035714,775237997.7142857,-1.0,-1.0,-1.0,73551821.71428572,11059910.806361606,1351099860.3482144,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.07,1.1019230059215002,20.15234299642699,0.5460087954998016,15.262321199689593,0.38373081971492085,-1.0,-1.0,-1.0,0.4704855978488922,-1.0,3.0834826741899763,0.8701739055769784,544923273.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.138857637132915,545000000.0,-1.0,10861974.285714285,199.77222551618303,987409785.5357143,19828327.582728796,22946790.14285714,754313289.1428572,-1.0,-1.0,-1.0,71996143.58035715,10794903.493443081,1338465944.9017856,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.08,0.8304767198860645,24.267342567443848,0.0757223628461361,13.453408479690552,0.2908553257584572,-1.0,-1.0,-1.0,0.48217732459306717,-1.0,3.2329062819480896,0.8240723311901093,544907080.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.834851145744324,545000000.0,-1.0,9540551.75,174.5201416015625,866168641.375,17523533.0625,19624952.96875,664186880.0,-1.0,-1.0,-1.0,62895485.0,9518447.9375,1176204946.8945312,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
0.09,0.8918722697666714,19.49164433990206,0.14674552945819283,13.895302636282784,0.300001734867692,-1.0,-1.0,-1.0,0.44207450641053064,-1.0,2.84326171875,8.923734860760826,544891812.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.44763020106724,545000000.0,-1.0,10613291.767857144,191.81134033203125,934262875.4285715,19362429.13113839,2332131.6785714286,735335526.2857143,-1.0,-1.0,-1.0,70183390.85714285,10545974.99720982,1285494772.5089285,1.0735551118850708,120.0,2.0,6330.0,1.0,32.87753677368164,2104.0,2361.0,3.0,51.0,47.0,49.0,27.0,42.0,57.0,90.0,545.0,2.0,36.12166047096253,3196.0,2.0,2.5301408767700195
