Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.265154480934143,20.700123169592448,0.03983526084838166,15.117597034999303,0.00097980082500725,-1.0,-1.0,-1.0,0.5003149339130947,-1.0,4.813488892146519,9.658324922834124,545041936.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.44020274281502,545000000.0,-1.0,10660421.92857143,202.2418256487165,55496820.0,3053.00341796875,2731979.8035714286,737686701.7142857,-1.0,-1.0,-1.0,70404115.71428572,3053.00341796875,32401688.23046875,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.01,1.265154480934143,20.700123169592448,0.03983526084838166,15.117597034999303,0.3102781953556197,-1.0,-1.0,-1.0,0.5003149339130947,-1.0,4.813488892146519,9.658324922834124,544895158.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.801529611860005,545000000.0,-1.0,10660421.92857143,202.2418256487165,937899181.7142857,19343697.035714287,2731979.8035714286,737686701.7142857,-1.0,-1.0,-1.0,70404115.71428572,10570192.410714285,1279200632.859375,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.02,1.1346098525183541,20.515441453882627,0.010758739962641642,15.074218205043248,0.27878391104085104,-1.0,-1.0,-1.0,0.48846043007714407,-1.0,4.478811536516462,7.5988079224314005,544930907.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.60220405033657,545000000.0,-1.0,11028802.107142856,203.57869611467635,967414866.2857143,20101234.64285714,2853873.8214285714,764648512.0,-1.0,-1.0,-1.0,71621930.57142857,10962400.69642857,1317683105.9776785,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.03,10.947860394205366,31.616800580705917,0.4461702534130642,11.077722004481725,0.2945909489478384,-1.0,-1.0,-1.0,2.0170208811759953,-1.0,3.0206816537039622,9.502307287284307,544881252.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.55395793914795,545000000.0,-1.0,10295803.523646763,194.94332013811385,911268955.4285715,18703301.33091518,2838243.3214285714,718570404.5714285,-1.0,-1.0,-1.0,68464355.42857143,10206774.609933035,1242784524.5066965,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.04,1.1279514857700892,24.94566753932408,0.145174629720194,11.256378718784877,0.30212638846465517,-1.0,-1.0,-1.0,0.5013201832771301,-1.0,4.446757940309388,0.6309245143617902,544901293.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.75707267011915,545000000.0,-1.0,10606546.357142856,203.65581403459822,961102562.6785715,19548012.85714286,24696565.5625,735099830.8571428,-1.0,-1.0,-1.0,70489736.4375,10614301.107142856,1291325188.9642856,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.05,1.1469076701572962,21.928147377712385,0.026831384748220413,15.1868223462786,0.4351443882499422,-1.0,-1.0,-1.0,0.5240739583969116,-1.0,4.693394933428083,8.9711520586695,547706486.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.371759687151226,545000000.0,-1.0,9699628.642857144,187.9524666922433,798307748.5714285,17802695.964285713,2747385.839285714,625222107.4285715,-1.0,-1.0,-1.0,62749130.28571428,9726186.214285715,1045544066.8236607,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.06,11.020407250949315,31.412059238978795,0.022252857685089087,9.408272606985909,0.3084028831550053,-1.0,-1.0,-1.0,1.2163350241524833,-1.0,3.236105305807931,7.88989349773952,542243922.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.6325478213174,545000000.0,-1.0,10166655.369280133,194.97024972098214,1302097939.4285715,18499852.984375,2762696.0,1121402203.4285715,-1.0,-1.0,-1.0,66838701.71428572,10083539.50641741,1238329645.3236606,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.07,0.6045786738395691,14.682610193888346,0.09365689506133396,8.40305201212565,0.2727377882692963,-1.0,-1.0,-1.0,0.36495159069697064,-1.0,2.1342504024505615,0.22019712130228677,544958762.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.85375918944677,545000000.0,-1.0,7816922.166666667,57.84526570638021,702856269.3333334,15977561.983561197,2340213.25,550781333.3333334,-1.0,-1.0,-1.0,55957161.333333336,8359500.983561198,758501918.9088541,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.08,0.9216733319418771,14.521098433860711,0.14174949058464595,11.336457116263253,0.2113592763032232,-1.0,-1.0,-1.0,0.3457035550049373,-1.0,3.736353329249791,8.300731931413923,544934912.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.3804988861084,545000000.0,-1.0,6020126.142857143,174.14571707589286,595517760.0,10172183.67857143,1743635.4285714286,470007890.28571427,-1.0,-1.0,-1.0,36317994.571428575,5628463.821428572,940298629.2991072,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.09,0.7079546792166573,20.65127454485212,0.010393386839755927,11.555177143641881,0.3081743243549551,-1.0,-1.0,-1.0,0.4407310741288321,-1.0,2.679436683654785,5.505213669368199,544918299.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.208760261535645,545000000.0,-1.0,9307331.42857143,158.88718959263392,720830304.0,17645493.9859096,2365846.464285714,559587986.2857143,-1.0,-1.0,-1.0,60425161.14285714,9567361.414481027,845273916.7901785,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
