Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,1.6465372741222382,27.38634157180786,0.1199133074842393,19.560320377349854,0.7055117338895798,-1.0,-1.0,-1.0,0.7903201878070831,-1.0,5.124258875846863,0.10737132281064987,544992096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.59272289276123,545000000.0,-1.0,15459326.25,72.41129302978516,1429910176.0,31212412.5,2960090.6875,1185432736.0,-1.0,-1.0,-1.0,111872680.0,16354688.5,1794317784.625,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.01,0.6738051814692361,25.610164097377233,0.04321324319711752,10.974493844168526,0.23418776265212465,-1.0,-1.0,-1.0,0.40958211930202587,-1.0,2.8242321014404297,0.1720187110560281,544930322.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.52922849995749,545000000.0,-1.0,8828032.94642857,100.60400390625,739617045.1428572,15776095.055245535,1980897.482142857,575160982.8571428,-1.0,-1.0,-1.0,58675614.28571428,8658983.983816965,950147368.375,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.02,0.6924335812883717,22.494652884347097,0.04272114146234733,11.647460120064872,0.3164348974158721,-1.0,-1.0,-1.0,0.3842639923095703,-1.0,2.806917258671352,0.1768366609300886,544951661.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.11998707907541,545000000.0,-1.0,6867036.714285715,101.71178327287946,640625883.4285715,11539627.15736607,1354369.5714285714,493167627.4285714,-1.0,-1.0,-1.0,43098763.428571425,6428559.014508928,1021063204.2366072,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.03,0.8044815063476562,31.77636664254325,0.13693186055336676,12.521903174264091,0.5014045988874776,-1.0,-1.0,-1.0,0.5588809847831726,-1.0,3.4748712267194475,0.17298745683261327,545009234.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.053776025772095,545000000.0,-1.0,9838822.07142857,90.42209734235492,685563353.1428572,18493719.508091517,1727861.3526785714,525715364.5714286,-1.0,-1.0,-1.0,62825658.28571428,10029258.07952009,896490233.2745535,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.04,0.9476720946175712,24.822743552071707,0.3004030669108033,11.294940948486328,0.4084928333094077,-1.0,-1.0,-1.0,0.5273767283984593,-1.0,4.718125479561942,0.1106740917478289,544929792.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.38663702351706,545000000.0,-1.0,8656137.42857143,48.95336478097098,917417606.8571428,15045954.19391741,2394872.714285714,736707584.0,-1.0,-1.0,-1.0,60489098.85714286,8318461.551060268,1294719355.46875,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.05,1.3180090870176042,30.613262176513672,0.2505719448838915,15.044181006295341,0.467309362521129,-1.0,-1.0,-1.0,0.6322065762111119,-1.0,5.944765431540353,0.17253270745277405,544954102.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.909623656954086,545000000.0,-1.0,10553652.5,92.82797241210938,920350176.0,19000515.456752233,2290777.6071428573,725395026.2857143,-1.0,-1.0,-1.0,69412333.14285715,10394842.528180804,1285489234.2299106,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.06,1.1471596956253052,27.247970581054688,0.05158176060649565,13.203371286392212,0.3658617381006479,-1.0,-1.0,-1.0,0.5782506093382835,-1.0,5.216306567192078,0.16468793898820877,544949728.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.436092257499695,545000000.0,-1.0,9604780.875,87.00880432128906,839016508.0,17486153.1875,1884318.515625,663823496.0,-1.0,-1.0,-1.0,63434442.0,9526451.6875,1143655874.9140625,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.07,1.285158429827009,31.085787636893137,0.32802616778228966,15.099148069109235,0.4756825474490012,-1.0,-1.0,-1.0,0.6569098574774606,-1.0,5.882616792406354,0.18352450217519486,544943744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.455913594790868,545000000.0,-1.0,10851783.642857144,101.64712088448661,950963210.2857143,19685408.594308037,2580012.214285714,751845101.7142857,-1.0,-1.0,-1.0,71573748.0,10739140.844308035,1304866278.8638394,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.08,1.265949283327375,31.43492180960519,0.2914100980519184,15.161030905587333,0.3933849281498364,-1.0,-1.0,-1.0,0.6662958349500384,-1.0,5.997440474373954,0.1877230703830719,544963684.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.25508666038513,545000000.0,-1.0,10933924.857142856,100.97544206891742,956375085.7142857,19859784.57142857,2400220.8928571427,755494765.7142857,-1.0,-1.0,-1.0,72378450.28571428,10831475.857142856,1307472699.6450894,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
0.09,1.2418057748249598,18.077998297555105,0.08177941585225716,15.590745653424944,0.4974669175488608,-1.0,-1.0,-1.0,0.5946903313909259,-1.0,4.2329421043396,0.061352823461805074,544968073.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.21985135759626,545000000.0,-1.0,9856617.714285715,53.5337873186384,922067484.1263951,19445618.0,2188039.1071428573,770949572.5714285,-1.0,-1.0,-1.0,67493192.0,10173559.42857143,1295843324.955357,0.6652043908834457,208.0,24.0,7070.0,1.0,11.417983055114744,2900.0,1920.0,3.0,51.0,49.0,59.0,42.0,49.0,41.0,90.0,545.0,2.0,34.76024866104126,3196.0,1.5,2.499107837677002
