Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,13.2970027923584,11.702997207641602,0.7480410646115031,0.21271222829818723,33.16678047180176,20.93063247203827,24.021004557609558,0.00164689461234955,6.401479244232178,7.496519088745117,21.721609234809875,5.795995745807886,24.00790786743164,25.992091715335846,0.21802498004399237,16.663999557495117,69.9036808013916,79.11479187011719,0.43776290118694305,0.10166680067777632,3.1584270000457764,0.1955072581768036,545013792.0,0.9566868543624878,1.937529630959034,32265007104.0,39783313408.0,2994334976.0,55150997504.0,680700864.0,32.498617857694626,545000000.0,0.06107162684202193,5161989.375,67.29286193847656,405091870.0,7972134.0302734375,1272043.15625,285854272.0,0.26199474930763245,0.28156930208206177,748453664.0,30619078.0,4746457.5302734375,583560251.2851562,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.01,34.51619938441685,22.34922845023019,0.7480410646115031,0.8205145828958068,28.120574133736746,42.57181767054966,40.542573656354634,0.06464992685193592,11.19927488054548,15.127542495727539,43.9362782069615,11.910654067993164,53.84679194859096,3.296064955847604,0.39245143299922347,36.83125741141183,87.17992074148995,225.89737374441964,0.5373885035514832,0.21371276463781083,3.801154545375279,0.17249735764094762,544930697.1428572,1.9483906541551863,3.0352536014148166,75871127259.42857,96546605348.57143,6762135186.285714,130906563730.28572,1691568420.5714285,40.749258518218994,545000000.0,0.14975993973868235,10188531.0,100.00301252092633,898373325.7142857,18497556.767578125,2213123.6071428573,709588822.8571428,0.5940943530627659,0.40039269413266865,1690331072.0,69031468.0,10083884.910435269,1217246187.8705356,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.02,24.834125518798828,18.02301733834403,0.7480410646115031,0.7801633902958461,30.02865709577288,33.64106798171997,35.75998837607248,0.04898244927504231,9.836461203438896,11.62607192993164,34.88861996786935,9.510659285954066,40.957463945661274,16.18539265223912,0.3346687853336334,27.537977491106307,87.21496146065849,134.72415597098214,0.5445684109415326,0.16931840351649693,3.81330292565482,0.14994452255112783,544968429.7142857,1.5115007672991072,3.040063534464155,78246363136.0,99520053248.0,6971048374.857142,134977440036.57143,1744697892.5714285,53.59758952685765,545000000.0,0.11517104719366346,10318247.142857144,94.9466552734375,914441557.4997209,18918961.14285714,2139030.1071428573,729288374.8571428,0.4487856796809605,0.40200207914624897,1728694765.7142856,70401884.57142857,10265455.0,1253529982.9151785,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.03,33.848567962646484,26.74202619280134,1.2136719567435128,1.1371333513941084,20.99799292428153,42.91498020717076,43.6871281351362,0.07100065132336955,11.775879451206752,15.399164744785853,46.629180908203125,13.321532113211495,53.88719177246094,3.2556653874261046,0.3646802008484623,36.75651168823242,100.87773786272321,199.29704938616072,0.5315253990037101,0.23880479165485927,8.051684311458043,0.17781715307916915,544925979.4285715,2.069145236696516,4.072661195482526,77572811629.71428,98692665929.14285,6930319067.428572,133849466002.28572,1727828672.0,41.15785685607365,545000000.0,0.15439632960728236,10523717.214285715,99.62965611049107,915313467.4285715,19150764.627092633,2273578.9285714286,724816054.8571428,0.6036772387368339,0.5905912944248745,1750427465.142857,68933568.0,10443493.091378348,1243405982.747768,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.04,33.22164971487863,23.86324746268136,0.38509576661246164,0.9526545745985848,16.965072086879186,43.41618129185268,45.363713945661274,0.08728331101260013,14.173786163330078,13.55962426321847,44.976043701171875,12.530605861118861,54.668778555733816,2.4740781443459645,0.39278017623083933,36.53611700875418,108.77024841308594,209.19310215541296,0.5301931755883353,0.21944322330611093,4.589075769696917,0.06295163716588702,544997293.7142857,1.9885551588875907,4.840227672031948,80309656429.71428,102138703286.85715,7148212370.285714,138527225563.42856,1799361170.2857144,57.94131115504673,545000000.0,0.1522318422794342,9362166.57142857,47.972176688058035,1341299940.5714285,18459215.0,1969927.544642857,1182580992.0,0.5967153140476772,0.7842691114970616,1679141952.0,65473955.428571425,9663876.107142856,1293366750.1517856,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.05,24.684750148228236,18.287024906703405,0.007844667349542886,0.7819566215787616,30.95758601597377,33.37030724116734,35.21197516577585,0.01481830528272047,9.548714501517159,11.375169481549944,34.70673663275583,9.592762370194707,40.63160705566406,16.511250155312673,0.5389974330152784,27.267640250069753,85.93338448660714,119.52007620675224,0.5572735496929714,0.17144675765718734,3.727214676993234,0.16939601727894374,544964672.0,1.5135953766959054,2.9707975557872226,66033916781.71429,85055771209.14285,5931674477.714286,114493477449.14285,1483012169.142857,53.07860030446734,545000000.0,0.11700720020702907,10432781.0,101.88563319614956,818517386.1358817,19465945.0,1766893.7232142857,633014848.0,0.4513948474611555,0.381291253226144,1763500772.5714285,71409192.57142857,10628300.42857143,962716921.0111607,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.06,25.673418862479075,16.959649222237726,0.35753362519400456,0.712226961340223,21.663136618477957,32.31861877441406,29.405137947627477,0.04461984276505452,7.896360261099679,11.436446871076312,33.31921713692801,9.076920100620814,40.72310311453683,2.1340387208121165,0.24297050572931767,27.554304940359934,66.76851981026786,183.15958949497767,0.3856640032359532,0.1638319492340088,2.996305670057024,0.17254365342003958,544961737.1428572,1.4728057725088937,2.2726450307028636,70814028361.14285,90050982473.14285,6178082669.714286,122017604754.28572,1597645092.5714285,52.01253795623779,545000000.0,0.11430761856692177,8657175.57142857,93.89923095703125,821396180.5714285,15175170.358537946,2050819.2857142857,653707282.2857143,0.44430153710501535,0.30480280944279264,1399310756.5714285,57739822.85714286,8294158.715680803,1199207742.122768,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.07,15.880725315638951,12.69070325578962,0.35753362519400456,0.838792724268777,33.06293215070452,24.806482451302664,27.41739477430071,0.13164105809638776,7.04606819152832,7.930818012782505,25.700321469988143,6.995696540389742,27.24927956717355,29.893578256879533,0.2458609648581062,18.677758353097097,82.46223667689732,89.29544067382812,0.578067455972944,0.11874920129776001,3.6834654126848494,0.17564512150628225,544930834.2857143,1.0487594263894218,2.6687063617365703,45198580589.71429,56498716672.0,4118783707.428571,77566722048.0,978242486.8571428,37.12100831099919,545000000.0,0.07754041680267877,8037108.285714285,99.94713483537946,572878582.8571428,15008287.468052456,1262025.642857143,424649307.4285714,0.29899329798562185,0.2873035413878305,1305864027.4285715,54390689.71428572,8212522.896623884,759826906.0446428,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.08,24.56847599574498,18.559276035853795,0.35753362519400456,0.7030088901519775,29.53763144356864,33.52917807442801,35.74345711299351,0.21734490884201868,10.061363220214844,11.812741688319615,34.97959981645857,9.61314948967525,40.74564906529018,16.397208077566965,0.38861497717776466,27.562049320765905,89.62835039411273,138.11995806012834,0.5446317110742841,0.17501556873321533,3.7739877700805664,0.1719909565789359,544960402.2857143,1.521115473338536,3.316174656152725,69201181549.71428,87916892745.14285,6173479204.571428,119333107419.42857,1530161938.2857144,38.74405995437077,545000000.0,0.11413084609167914,8610255.857142856,97.75912911551339,806650077.7142857,15291808.810686383,2253023.9285714286,642315410.2857143,0.45516196319035124,0.5097299899373736,1440707337.142857,56433512.0,8421601.239257812,1021837401.9196428,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
0.09,25.386272975376674,17.31127085004534,0.38205078669956755,0.8798628875187465,25.262660435267858,33.80171578271048,38.077863693237305,0.0042365953060133,10.059903008597237,11.23743738446917,34.91551487786429,9.368235439062119,41.267694745744976,15.875162516321454,0.2927734005664076,27.36905288696289,97.9526596069336,175.5917009626116,0.48866292408534456,0.16108462640217372,5.118429592677525,0.1111785854612078,544971885.7142857,1.4793104444231306,3.5574765588556017,66780264155.42857,85140485851.42857,5920585435.428572,115271087835.42857,1505576850.2857144,40.43898470061166,545000000.0,0.1125331606183733,8167102.428571428,50.420166015625,760365693.8571428,13789714.176199777,2036100.25,607072749.7142857,0.44574643884386334,0.49526086023875643,1296153161.142857,51512894.85714286,7694112.354771205,1178059180.140625,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,3.0,50.0,47.0,53.0,31.0,43.0,35.0,90.0,545.0,2.0,33.638107776641846,0.8730043172836304,3196.0,1.0,1.0,2.467290163040161
